Longitud_de_onda_A,espectro
4000.0000,0.969237
4000.0500,0.980247
4000.1000,1.00848
4000.1500,0.990547
4000.2000,0.95108
4000.2500,0.971371
4000.3000,0.98466
4000.3500,0.974786
4000.4000,0.967762
4000.4500,0.993311
4000.5000,0.989899
4000.5500,1.01361
4000.6000,0.969315
4000.6500,0.965841
4000.7000,0.953777
4000.7500,0.974228
4000.8000,0.969528
4000.8500,0.987441
4000.9000,0.969564
4000.9500,0.936896
4001.0000,0.964853
4001.0500,0.975988
4001.1000,0.986064
4001.1500,0.972074
4001.2000,0.962921
4001.2500,0.957711
4001.3000,0.953842
4001.3500,0.989776
4001.4000,0.970882
4001.4500,0.989728
4001.5000,0.97914
4001.5500,0.964222
4001.6000,0.996745
4001.6500,0.954958
4001.7000,0.970153
4001.7500,0.976432
4001.8000,1.01226
4001.8500,0.977374
4001.9000,1.0134
4001.9500,0.949706
4002.0000,0.990475
4002.0500,0.958304
4002.1000,0.965338
4002.1500,0.960928
4002.2000,0.949592
4002.2500,0.973117
4002.3000,0.966578
4002.3500,0.959826
4002.4000,0.939296
4002.4500,0.950504
4002.5000,0.97271
4002.5500,0.95601
4002.6000,0.960578
4002.6500,0.977222
4002.7000,0.981594
4002.7500,0.959611
4002.8000,0.938777
4002.8500,0.972422
4002.9000,0.967075
4002.9500,0.975714
4003.0000,0.993973
4003.0500,0.953722
4003.1000,0.977907
4003.1500,0.94705
4003.2000,0.995112
4003.2500,0.955804
4003.3000,0.965067
4003.3500,0.963547
4003.4000,0.998049
4003.4500,0.998482
4003.5000,0.9592
4003.5500,1.00193
4003.6000,1.0069
4003.6500,0.96086
4003.7000,1.0045
4003.7500,1.01931
4003.8000,0.976775
4003.8500,0.972065
4003.9000,0.953837
4003.9500,0.969699
4004.0000,1.006
4004.0500,0.978015
4004.1000,0.945009
4004.1500,0.994535
4004.2000,1.00386
4004.2500,0.991468
4004.3000,0.981202
4004.3500,0.983147
4004.4000,0.989533
4004.4500,0.967178
4004.5000,1.00627
4004.5500,1.01454
4004.6000,0.981207
4004.6500,0.990189
4004.7000,0.997528
4004.7500,0.958638
4004.8000,0.960809
4004.8500,0.976469
4004.9000,0.993118
4004.9500,0.976516
4005.0000,0.985193
4005.0500,0.928421
4005.1000,0.975666
4005.1500,0.96879
4005.2000,1.01833
4005.2500,0.984581
4005.3000,0.995142
4005.3500,1.02343
4005.4000,1.00455
4005.4500,1.00632
4005.5000,0.987652
4005.5500,0.992397
4005.6000,0.977309
4005.6500,0.974537
4005.7000,0.984089
4005.7500,0.962551
4005.8000,0.959074
4005.8500,0.974577
4005.9000,0.96413
4005.9500,0.988114
4006.0000,0.979367
4006.0500,1.00602
4006.1000,0.989864
4006.1500,0.991873
4006.2000,0.990772
4006.2500,0.980125
4006.3000,0.979386
4006.3500,0.961032
4006.4000,0.975056
4006.4500,0.965144
4006.5000,0.99877
4006.5500,0.972033
4006.6000,0.980683
4006.6500,0.995517
4006.7000,0.989762
4006.7500,0.986639
4006.8000,0.979044
4006.8500,0.979375
4006.9000,0.961423
4006.9500,0.972016
4007.0000,0.965087
4007.0500,0.990609
4007.1000,0.982398
4007.1500,0.980366
4007.2000,0.991866
4007.2500,0.977739
4007.3000,0.957914
4007.3500,0.977074
4007.4000,0.963998
4007.4500,0.997114
4007.5000,1.01604
4007.5500,0.981817
4007.6000,1.01284
4007.6500,0.966244
4007.7000,0.95788
4007.7500,1.00943
4007.8000,0.969598
4007.8500,0.968358
4007.9000,0.975974
4007.9500,0.993781
4008.0000,0.971636
4008.0500,0.981066
4008.1000,0.987219
4008.1500,0.978614
4008.2000,0.957779
4008.2500,0.969226
4008.3000,1.00269
4008.3500,0.96736
4008.4000,1.00374
4008.4500,0.971718
4008.5000,0.975257
4008.5500,0.961928
4008.6000,0.971535
4008.6500,0.973471
4008.7000,0.970683
4008.7500,0.930413
4008.8000,0.956216
4008.8500,0.918674
4008.9000,0.949005
4008.9500,0.927735
4009.0000,0.950821
4009.0500,0.969247
4009.1000,0.934584
4009.1500,0.916988
4009.2000,0.938711
4009.2500,0.931991
4009.3000,0.943551
4009.3500,0.935382
4009.4000,0.928563
4009.4500,0.92326
4009.5000,0.942464
4009.5500,0.941722
4009.6000,0.924087
4009.6500,0.95429
4009.7000,0.916088
4009.7500,0.915581
4009.8000,0.910623
4009.8500,0.909999
4009.9000,0.954292
4009.9500,0.94078
4010.0000,0.965688
4010.0500,0.936977
4010.1000,0.976834
4010.1500,0.953257
4010.2000,0.956778
4010.2500,0.949049
4010.3000,0.950622
4010.3500,0.959364
4010.4000,0.958307
4010.4500,0.987156
4010.5000,0.993368
4010.5500,0.97241
4010.6000,0.966303
4010.6500,0.971761
4010.7000,0.962892
4010.7500,0.979511
4010.8000,0.99241
4010.8500,1.01059
4010.9000,0.98515
4010.9500,0.971051
4011.0000,0.975344
4011.0500,1.00435
4011.1000,0.968694
4011.1500,0.973111
4011.2000,0.994457
4011.2500,0.980072
4011.3000,0.992763
4011.3500,0.993611
4011.4000,1.02788
4011.4500,1.02022
4011.5000,0.97626
4011.5500,0.974663
4011.6000,1.01873
4011.6500,1.01519
4011.7000,1.0034
4011.7500,0.980671
4011.8000,1.00469
4011.8500,1.0053
4011.9000,1.01224
4011.9500,0.996848
4012.0000,1.00776
4012.0500,1.01771
4012.1000,1.00039
4012.1500,1.02039
4012.2000,0.997541
4012.2500,0.979981
4012.3000,0.992351
4012.3500,0.977797
4012.4000,1.0269
4012.4500,1.00833
4012.5000,0.997566
4012.5500,1.00574
4012.6000,1.01332
4012.6500,0.971781
4012.7000,1.0133
4012.7500,1.03317
4012.8000,0.999044
4012.8500,1.00795
4012.9000,1.01563
4012.9500,0.993149
4013.0000,1.03504
4013.0500,1.0319
4013.1000,1.01948
4013.1500,1.0372
4013.2000,0.989713
4013.2500,0.977757
4013.3000,1.0068
4013.3500,0.985421
4013.4000,0.997773
4013.4500,0.999948
4013.5000,0.953388
4013.5500,0.990081
4013.6000,1.02791
4013.6500,1.00437
4013.7000,0.97625
4013.7500,1.03914
4013.8000,1.0103
4013.8500,1.00755
4013.9000,0.944256
4013.9500,0.989398
4014.0000,0.9925
4014.0500,0.99835
4014.1000,1.01701
4014.1500,0.994366
4014.2000,0.98656
4014.2500,1.00906
4014.3000,0.985802
4014.3500,1.00807
4014.4000,0.961467
4014.4500,0.985672
4014.5000,1.00867
4014.5500,1.00079
4014.6000,1.00549
4014.6500,1.02499
4014.7000,0.98494
4014.7500,0.97568
4014.8000,1.01196
4014.8500,1.00999
4014.9000,1.01104
4014.9500,1.01233
4015.0000,0.987815
4015.0500,0.984456
4015.1000,1.03269
4015.1500,0.991913
4015.2000,0.974268
4015.2500,0.983093
4015.3000,0.97248
4015.3500,0.975581
4015.4000,0.991431
4015.4500,0.995724
4015.5000,1.00632
4015.5500,0.97701
4015.6000,0.954649
4015.6500,0.991294
4015.7000,0.985792
4015.7500,0.996134
4015.8000,1.0056
4015.8500,1.02321
4015.9000,0.97754
4015.9500,1.01881
4016.0000,1.00931
4016.0500,0.997016
4016.1000,1.01432
4016.1500,0.994411
4016.2000,0.99884
4016.2500,0.975748
4016.3000,0.971264
4016.3500,0.962815
4016.4000,1.00425
4016.4500,1.00403
4016.5000,0.96842
4016.5500,0.99464
4016.6000,0.997541
4016.6500,1.01454
4016.7000,0.991413
4016.7500,0.935008
4016.8000,0.996469
4016.8500,0.996512
4016.9000,0.978335
4016.9500,1.02215
4017.0000,0.994764
4017.0500,1.0001
4017.1000,0.979331
4017.1500,0.99781
4017.2000,0.995076
4017.2500,1.01171
4017.3000,0.992422
4017.3500,0.999269
4017.4000,0.99124
4017.4500,0.980418
4017.5000,1.00384
4017.5500,0.987915
4017.6000,1.0194
4017.6500,0.999987
4017.7000,0.985867
4017.7500,0.981133
4017.8000,0.974988
4017.8500,1.00789
4017.9000,1.00353
4017.9500,0.986406
4018.0000,0.982495
4018.0500,1.00813
4018.1000,0.969592
4018.1500,0.969966
4018.2000,0.982191
4018.2500,0.96216
4018.3000,0.989962
4018.3500,0.985446
4018.4000,1.02375
4018.4500,1.01521
4018.5000,1.01929
4018.5500,0.98646
4018.6000,0.948275
4018.6500,0.973688
4018.7000,0.981247
4018.7500,0.973785
4018.8000,1.01311
4018.8500,0.993877
4018.9000,0.996117
4018.9500,0.996326
4019.0000,0.989791
4019.0500,1.00878
4019.1000,0.965285
4019.1500,0.98955
4019.2000,0.989074
4019.2500,1.0001
4019.3000,0.991812
4019.3500,0.975011
4019.4000,0.976973
4019.4500,1.00127
4019.5000,0.986422
4019.5500,1.00912
4019.6000,1.0065
4019.6500,0.966105
4019.7000,1.00707
4019.7500,0.988128
4019.8000,0.995726
4019.8500,0.976317
4019.9000,1.00923
4019.9500,0.973709
4020.0000,0.983099
4020.0500,0.967138
4020.1000,0.995783
4020.1500,0.992552
4020.2000,0.98574
4020.2500,0.97228
