Longitud_de_onda_A,espectro
4000.0000,0.973853
4000.0500,1.00544
4000.1000,0.984125
4000.1500,0.997954
4000.2000,1.02487
4000.2500,1.00335
4000.3000,0.98258
4000.3500,0.992966
4000.4000,1.00037
4000.4500,0.999179
4000.5000,0.958346
4000.5500,0.934407
4000.6000,0.995184
4000.6500,0.976662
4000.7000,1.02394
4000.7500,1.01376
4000.8000,1.01063
4000.8500,1.00501
4000.9000,1.00086
4000.9500,0.962818
4001.0000,0.989835
4001.0500,0.976702
4001.1000,1.02487
4001.1500,0.988162
4001.2000,0.987149
4001.2500,1.02766
4001.3000,1.0032
4001.3500,0.976428
4001.4000,0.979851
4001.4500,0.999706
4001.5000,0.99477
4001.5500,0.978646
4001.6000,0.988222
4001.6500,1.00649
4001.7000,0.990426
4001.7500,0.950176
4001.8000,0.993516
4001.8500,0.991668
4001.9000,0.999754
4001.9500,0.998914
4002.0000,0.98402
4002.0500,1.00006
4002.1000,0.999592
4002.1500,1.00775
4002.2000,0.981153
4002.2500,0.998187
4002.3000,1.00988
4002.3500,1.00016
4002.4000,1.04204
4002.4500,1.02247
4002.5000,1.00364
4002.5500,0.987077
4002.6000,1.00852
4002.6500,0.997404
4002.7000,0.987335
4002.7500,1.00858
4002.8000,1.0271
4002.8500,0.989173
4002.9000,1.02228
4002.9500,0.972888
4003.0000,0.974533
4003.0500,0.994108
4003.1000,1.01745
4003.1500,0.990115
4003.2000,0.980407
4003.2500,1.0116
4003.3000,0.997085
4003.3500,0.99907
4003.4000,1.00614
4003.4500,0.99328
4003.5000,1.01349
4003.5500,0.971913
4003.6000,1.00772
4003.6500,0.979549
4003.7000,1.00667
4003.7500,0.949236
4003.8000,0.972726
4003.8500,0.988011
4003.9000,1.0164
4003.9500,0.993593
4004.0000,1.01274
4004.0500,1.00442
4004.1000,1.02608
4004.1500,0.983692
4004.2000,1.02146
4004.2500,0.997554
4004.3000,1.01876
4004.3500,0.989597
4004.4000,1.02876
4004.4500,1.01008
4004.5000,1.00209
4004.5500,0.970919
4004.6000,0.983079
4004.6500,1.00909
4004.7000,1.01541
4004.7500,0.973262
4004.8000,1.00623
4004.8500,1.00296
4004.9000,0.997011
4004.9500,0.982883
4005.0000,0.984675
4005.0500,0.974806
4005.1000,0.97586
4005.1500,0.964692
4005.2000,0.954023
4005.2500,0.999576
4005.3000,0.993175
4005.3500,1.03702
4005.4000,0.99198
4005.4500,0.996758
4005.5000,0.997871
4005.5500,1.00531
4005.6000,1.01553
4005.6500,1.01181
4005.7000,0.989756
4005.7500,0.957799
4005.8000,0.998362
4005.8500,0.981567
4005.9000,0.969559
4005.9500,1.01665
4006.0000,1.0323
4006.0500,1.01404
4006.1000,1.03264
4006.1500,1.00088
4006.2000,1.0024
4006.2500,1.02254
4006.3000,0.995273
4006.3500,0.945985
4006.4000,0.996094
4006.4500,0.995213
4006.5000,1.03248
4006.5500,1.00502
4006.6000,0.950722
4006.6500,0.998677
4006.7000,1.00458
4006.7500,0.981037
4006.8000,0.962155
4006.8500,0.966531
4006.9000,0.975307
4006.9500,0.957332
4007.0000,0.977221
4007.0500,0.977207
4007.1000,0.938079
4007.1500,0.9897
4007.2000,0.973712
4007.2500,0.976457
4007.3000,0.988527
4007.3500,0.980724
4007.4000,0.941023
4007.4500,0.954791
4007.5000,0.943884
4007.5500,0.979062
4007.6000,0.97521
4007.6500,0.98224
4007.7000,0.958165
4007.7500,0.975254
4007.8000,0.973958
4007.8500,0.974065
4007.9000,0.959212
4007.9500,0.948018
4008.0000,0.960337
4008.0500,0.947242
4008.1000,0.954917
4008.1500,0.960094
4008.2000,0.939375
4008.2500,0.952187
4008.3000,0.927042
4008.3500,0.920028
4008.4000,0.945206
4008.4500,0.912284
4008.5000,0.915487
4008.5500,0.889041
4008.6000,0.88948
4008.6500,0.874017
4008.7000,0.870711
4008.7500,0.852929
4008.8000,0.830108
4008.8500,0.786657
4008.9000,0.838234
4008.9500,0.821038
4009.0000,0.779967
4009.0500,0.803073
4009.1000,0.787979
4009.1500,0.737226
4009.2000,0.771264
4009.2500,0.787036
4009.3000,0.767687
4009.3500,0.785893
4009.4000,0.77839
4009.4500,0.773598
4009.5000,0.828871
4009.5500,0.806405
4009.6000,0.82787
4009.6500,0.842665
4009.7000,0.851412
4009.7500,0.877557
4009.8000,0.855345
4009.8500,0.867105
4009.9000,0.870669
4009.9500,0.878467
4010.0000,0.910381
4010.0500,0.91924
4010.1000,0.930144
4010.1500,0.938247
4010.2000,0.936297
4010.2500,0.914929
4010.3000,0.967132
4010.3500,0.951476
4010.4000,0.967909
4010.4500,0.962713
4010.5000,0.941717
4010.5500,0.934997
4010.6000,0.978229
4010.6500,0.979074
4010.7000,0.99289
4010.7500,0.990614
4010.8000,0.97869
4010.8500,0.960807
4010.9000,1.01946
4010.9500,0.973935
4011.0000,0.957875
4011.0500,0.988268
4011.1000,0.982912
4011.1500,1.01841
4011.2000,1.02113
4011.2500,1.01877
4011.3000,0.954031
4011.3500,0.999738
4011.4000,1.02147
4011.4500,1.01571
4011.5000,1.02037
4011.5500,1.00199
4011.6000,1.00576
4011.6500,0.996733
4011.7000,1.03418
4011.7500,1.00054
4011.8000,1.0111
4011.8500,1.00037
4011.9000,1.01551
4011.9500,1.02824
4012.0000,1.04498
4012.0500,1.00709
4012.1000,1.01145
4012.1500,1.03666
4012.2000,1.03688
4012.2500,1.02163
4012.3000,1.04807
4012.3500,1.01941
4012.4000,0.999232
4012.4500,1.01125
4012.5000,1.05775
4012.5500,1.02661
4012.6000,1.04287
4012.6500,0.994416
4012.7000,1.03525
4012.7500,1.01863
4012.8000,0.986651
4012.8500,1.0087
4012.9000,1.01014
4012.9500,1.03455
4013.0000,0.990375
4013.0500,1.01023
4013.1000,1.055
4013.1500,1.02021
4013.2000,1.02733
4013.2500,1.00367
4013.3000,1.01162
4013.3500,0.992876
4013.4000,1.04811
4013.4500,1.02319
4013.5000,0.996052
4013.5500,1.00893
4013.6000,1.08632
4013.6500,0.989207
4013.7000,1.02379
4013.7500,1.03273
4013.8000,1.0533
4013.8500,1.05362
4013.9000,1.03715
4013.9500,1.00843
4014.0000,1.01257
4014.0500,1.0356
4014.1000,1.01662
4014.1500,1.0127
4014.2000,0.970328
4014.2500,1.04019
4014.3000,1.0278
4014.3500,1.02392
4014.4000,1.02465
4014.4500,1.04046
4014.5000,1.02686
4014.5500,0.980393
4014.6000,1.00449
4014.6500,1.01084
4014.7000,1.00662
4014.7500,1.05012
4014.8000,1.03493
4014.8500,1.01456
4014.9000,1.02317
4014.9500,1.03192
4015.0000,0.997308
4015.0500,1.01299
4015.1000,1.00103
4015.1500,1.04559
4015.2000,1.00227
4015.2500,0.995216
4015.3000,1.03603
4015.3500,1.03725
4015.4000,0.982568
4015.4500,1.03401
4015.5000,0.999096
4015.5500,1.00366
4015.6000,1.01732
4015.6500,1.02164
4015.7000,1.06691
4015.7500,1.00152
4015.8000,1.00194
4015.8500,1.01285
4015.9000,0.986229
4015.9500,1.00725
4016.0000,0.972195
4016.0500,1.01322
4016.1000,1.03593
4016.1500,1.01201
4016.2000,1.05681
4016.2500,1.01948
4016.3000,1.02872
4016.3500,1.00253
4016.4000,0.985723
4016.4500,1.00206
4016.5000,1.03585
4016.5500,0.974158
4016.6000,0.996208
4016.6500,1.03164
4016.7000,1.01002
4016.7500,0.963352
4016.8000,1.01681
4016.8500,0.99695
4016.9000,0.983631
4016.9500,1.01184
4017.0000,0.993077
4017.0500,0.995029
4017.1000,1.00274
4017.1500,1.02427
4017.2000,1.02823
4017.2500,1.0224
4017.3000,1.00567
4017.3500,0.995445
4017.4000,1.01748
4017.4500,1.02481
4017.5000,0.994492
4017.5500,1.03829
4017.6000,1.01618
4017.6500,1.0129
4017.7000,1.01843
4017.7500,0.96211
4017.8000,0.987922
4017.8500,0.994131
4017.9000,0.951918
4017.9500,0.996625
4018.0000,0.969682
4018.0500,0.989721
4018.1000,1.03317
4018.1500,1.01049
4018.2000,0.990444
4018.2500,1.00325
4018.3000,0.997127
4018.3500,1.01367
4018.4000,1.00155
4018.4500,0.995482
4018.5000,0.982386
4018.5500,1.01164
4018.6000,1.01106
4018.6500,0.992476
4018.7000,1.01588
4018.7500,1.01348
4018.8000,1.01429
4018.8500,1.00283
4018.9000,1.00189
4018.9500,0.983766
4019.0000,0.976468
4019.0500,0.97777
4019.1000,1.00664
4019.1500,0.98566
4019.2000,1.0013
4019.2500,0.98179
4019.3000,1.00119
4019.3500,0.984881
4019.4000,1.01432
4019.4500,1.0067
4019.5000,0.98259
4019.5500,1.01282
4019.6000,1.01492
4019.6500,0.957281
4019.7000,0.993903
4019.7500,0.999917
4019.8000,1.00189
4019.8500,0.994008
4019.9000,0.973537
4019.9500,0.993825
4020.0000,0.981748
4020.0500,0.972149
4020.1000,0.971228
4020.1500,1.01353
4020.2000,1.00836
4020.2500,0.989733
4020.3000,0.998954
4020.3500,0.996231
4020.4000,0.970501
4020.4500,0.998404
4020.5000,0.998809
4020.5500,0.974707
4020.6000,1.01552
4020.6500,0.974899
4020.7000,0.981895
4020.7500,1.00203
4020.8000,0.966644
4020.8500,0.984343
4020.9000,0.982246
4020.9500,0.991273
4021.0000,0.951469
4021.0500,1.00897
4021.1000,0.987406
4021.1500,0.975657
4021.2000,0.990822
4021.2500,0.991361
4021.3000,1.01937
4021.3500,0.976357
4021.4000,0.998549
4021.4500,0.982067
4021.5000,1.00228
4021.5500,0.976531
4021.6000,0.994583
4021.6500,0.992477
4021.7000,0.951575
4021.7500,0.970749
4021.8000,0.983452
4021.8500,0.988387
4021.9000,0.97082
4021.9500,0.975374
4022.0000,0.971645
4022.0500,0.975306
4022.1000,0.942794
4022.1500,0.961288
4022.2000,0.98278
4022.2500,0.956835
4022.3000,0.945125
4022.3500,0.945176
4022.4000,0.998952
4022.4500,1.00733
4022.5000,0.979334
4022.5500,0.984176
4022.6000,1.01037
4022.6500,0.982122
4022.7000,0.973047
4022.7500,0.970685
4022.8000,0.950956
4022.8500,0.970526
4022.9000,0.972436
4022.9500,0.959498
4023.0000,0.956318
4023.0500,0.993527
4023.1000,0.97709
4023.1500,0.97396
4023.2000,0.996736
4023.2500,0.966417
4023.3000,0.95132
4023.3500,0.948091
4023.4000,0.952989
4023.4500,0.958509
4023.5000,0.951203
4023.5500,0.962829
4023.6000,0.96064
4023.6500,0.931958
4023.7000,0.917421
4023.7500,0.904635
4023.8000,0.88931
4023.8500,0.886214
4023.9000,0.882765
4023.9500,0.872813
4024.0000,0.878331
4024.0500,0.894333
4024.1000,0.902459
4024.1500,0.878851
4024.2000,0.868738
4024.2500,0.904925
4024.3000,0.875746
4024.3500,0.878435
4024.4000,0.887084
4024.4500,0.864008
4024.5000,0.911896
4024.5500,0.88553
4024.6000,0.845928
4024.6500,0.866939
4024.7000,0.849678
4024.7500,0.822699
4024.8000,0.842149
4024.8500,0.839124
4024.9000,0.838462
4024.9500,0.805736
4025.0000,0.808362
4025.0500,0.796407
4025.1000,0.824423
4025.1500,0.786714
4025.2000,0.784908
4025.2500,0.765884
4025.3000,0.77102
4025.3500,0.775601
4025.4000,0.761036
4025.4500,0.729109
4025.5000,0.732828
4025.5500,0.720389
4025.6000,0.704946
4025.6500,0.687133
4025.7000,0.693128
4025.7500,0.664349
4025.8000,0.651178
4025.8500,0.625644
4025.9000,0.577026
4025.9500,0.585155
4026.0000,0.568808
4026.0500,0.578087
4026.1000,0.558795
4026.1500,0.521816
4026.2000,0.565707
4026.2500,0.555057
4026.3000,0.563239
4026.3500,0.580257
4026.4000,0.614535
4026.4500,0.619179
4026.5000,0.637698
4026.5500,0.709838
4026.6000,0.699792
4026.6500,0.730038
4026.7000,0.719612
4026.7500,0.76573
4026.8000,0.771082
4026.8500,0.800013
4026.9000,0.784432
4026.9500,0.811888
4027.0000,0.822017
4027.0500,0.832117
4027.1000,0.818864
4027.1500,0.858353
4027.2000,0.829745
4027.2500,0.867309
4027.3000,0.878961
4027.3500,0.875955
4027.4000,0.877941
4027.4500,0.874756
4027.5000,0.871162
4027.5500,0.880731
4027.6000,0.894056
4027.6500,0.905986
4027.7000,0.902457
4027.7500,0.943082
4027.8000,0.93914
4027.8500,0.91585
4027.9000,0.966803
4027.9500,0.945434
4028.0000,0.951053
4028.0500,0.941288
4028.1000,0.929908
4028.1500,0.940943
4028.2000,0.93233
4028.2500,0.938766
4028.3000,0.915067
4028.3500,0.943287
4028.4000,0.943466
4028.4500,0.941594
4028.5000,0.934833
4028.5500,0.937464
4028.6000,0.946868
4028.6500,0.943958
4028.7000,0.919339
4028.7500,0.923315
4028.8000,0.942077
4028.8500,0.952266
4028.9000,0.977778
4028.9500,0.972915
4029.0000,0.975854
4029.0500,0.924184
4029.1000,0.934278
4029.1500,0.968862
4029.2000,0.973073
4029.2500,0.952432
4029.3000,0.941756
4029.3500,0.994041
4029.4000,0.98056
4029.4500,0.96095
4029.5000,0.97529
4029.5500,0.990092
4029.6000,0.987494
4029.6500,0.97861
4029.7000,0.982862
4029.7500,0.963437
4029.8000,1.01568
4029.8500,0.979616
4029.9000,0.968219
4029.9500,0.988973
4030.0000,1.02202
4030.0500,0.996028
4030.1000,0.990455
4030.1500,0.987329
4030.2000,0.978367
4030.2500,1.00485
4030.3000,0.999288
4030.3500,0.997604
4030.4000,0.987515
4030.4500,1.01121
4030.5000,0.980785
4030.5500,0.979776
4030.6000,0.979171
4030.6500,0.993357
4030.7000,0.992965
4030.7500,0.984057
4030.8000,0.995348
