Longitud_de_onda_A,espectro
4000.0000,0.914493
4000.0500,0.964119
4000.1000,0.935545
4000.1500,1.04867
4000.2000,0.863456
4000.2500,0.883856
4000.3000,0.776415
4000.3500,1.08622
4000.4000,0.891147
4000.4500,0.921564
4000.5000,0.82295
4000.5500,0.737791
4000.6000,0.982056
4000.6500,1.19239
4000.7000,1.04789
4000.7500,1.1105
4000.8000,1.35149
4000.8500,1.53115
4000.9000,1.29713
4000.9500,1.3568
4001.0000,1.17367
4001.0500,0.967831
4001.1000,1.01799
4001.1500,1.11438
4001.2000,1.14625
4001.2500,1.19898
4001.3000,0.989809
4001.3500,1.32767
4001.4000,1.1411
4001.4500,0.948541
4001.5000,1.01101
4001.5500,1.02203
4001.6000,1.01989
4001.6500,0.682769
4001.7000,0.705386
4001.7500,1.01614
4001.8000,0.927333
4001.8500,1.39904
4001.9000,1.40114
4001.9500,1.52372
4002.0000,1.56627
4002.0500,1.38526
4002.1000,1.60208
4002.1500,1.39924
4002.2000,1.15483
4002.2500,1.2372
4002.3000,1.48864
4002.3500,1.20988
4002.4000,1.32639
4002.4500,1.04577
4002.5000,0.982235
4002.5500,1.13068
4002.6000,0.935463
4002.6500,1.14237
4002.7000,0.856339
4002.7500,1.36477
4002.8000,1.20145
4002.8500,0.858059
4002.9000,1.2757
4002.9500,0.839532
4003.0000,1.00498
4003.0500,1.19825
4003.1000,1.29858
4003.1500,1.16567
4003.2000,1.08368
4003.2500,1.05402
4003.3000,0.981301
4003.3500,1.46789
4003.4000,1.43015
4003.4500,1.2813
4003.5000,1.41012
4003.5500,1.31819
4003.6000,1.12686
4003.6500,1.04909
4003.7000,0.967496
4003.7500,0.972883
4003.8000,0.797571
4003.8500,0.93709
4003.9000,0.831233
4003.9500,0.818509
4004.0000,0.679788
4004.0500,0.918782
4004.1000,0.711579
4004.1500,0.864528
4004.2000,0.956102
4004.2500,0.902216
4004.3000,1.00185
4004.3500,1.40702
4004.4000,1.33793
4004.4500,1.47019
4004.5000,1.48969
4004.5500,1.46533
4004.6000,1.18155
4004.6500,1.39576
4004.7000,1.16959
4004.7500,0.569451
4004.8000,0.818069
4004.8500,0.408385
4004.9000,0.595263
4004.9500,0.674264
4005.0000,0.686995
4005.0500,0.655842
4005.1000,0.502833
4005.1500,0.435328
4005.2000,0.341127
4005.2500,0.297284
