Longitud_de_onda_A,espectro
4000.0000,1.04851
4000.0500,1.03391
4000.1000,1.00066
4000.1500,0.964363
4000.2000,0.962496
4000.2500,1.0009
4000.3000,1.04107
4000.3500,0.975606
4000.4000,0.993719
4000.4500,1.03079
4000.5000,0.984661
4000.5500,0.986023
4000.6000,0.997632
4000.6500,0.973411
4000.7000,1.00604
4000.7500,0.987711
4000.8000,0.900793
4000.8500,0.963692
4000.9000,0.980272
4000.9500,0.971134
4001.0000,0.982341
4001.0500,1.00713
4001.1000,0.988844
4001.1500,0.933788
4001.2000,1.01981
4001.2500,1.0035
4001.3000,1.03747
4001.3500,0.972229
4001.4000,0.940323
4001.4500,0.939576
4001.5000,0.97846
4001.5500,0.959918
4001.6000,0.948808
4001.6500,0.931622
4001.7000,0.885927
4001.7500,0.908073
4001.8000,0.951308
4001.8500,0.958783
4001.9000,0.933089
4001.9500,0.972421
4002.0000,0.916174
4002.0500,0.966045
4002.1000,0.97295
4002.1500,1.00308
4002.2000,0.996508
4002.2500,1.00736
4002.3000,0.989022
4002.3500,1.05855
4002.4000,0.965129
4002.4500,0.992233
4002.5000,1.04931
4002.5500,1.0612
4002.6000,1.03384
4002.6500,1.01575
4002.7000,1.02843
4002.7500,0.98564
4002.8000,1.02204
4002.8500,0.9737
4002.9000,1.00171
4002.9500,1.05174
4003.0000,1.03519
4003.0500,1.00059
4003.1000,1.00456
4003.1500,1.02404
4003.2000,1.00942
4003.2500,1.02832
4003.3000,1.03156
4003.3500,1.07327
4003.4000,0.994046
4003.4500,1.02725
4003.5000,1.01904
4003.5500,1.05546
4003.6000,0.995765
4003.6500,1.06032
4003.7000,0.99768
4003.7500,0.986377
4003.8000,1.06887
4003.8500,1.08782
4003.9000,1.06475
4003.9500,1.02674
4004.0000,1.03172
4004.0500,1.11722
4004.1000,1.05671
4004.1500,1.09667
4004.2000,1.06809
4004.2500,1.04168
4004.3000,1.06115
4004.3500,1.00007
4004.4000,0.923854
4004.4500,1.02803
4004.5000,1.04259
4004.5500,0.95198
4004.6000,0.963429
4004.6500,0.939732
4004.7000,0.909589
4004.7500,0.86152
4004.8000,0.805865
4004.8500,0.793526
4004.9000,0.768213
4004.9500,0.813462
4005.0000,0.785837
4005.0500,0.748025
4005.1000,0.736693
4005.1500,0.75396
4005.2000,0.680342
4005.2500,0.703095
4005.3000,0.704413
4005.3500,0.740957
4005.4000,0.748742
4005.4500,0.708886
4005.5000,0.712131
4005.5500,0.750836
4005.6000,0.750693
4005.6500,0.82123
4005.7000,0.792339
4005.7500,0.812094
4005.8000,0.797888
4005.8500,0.89679
4005.9000,0.820227
4005.9500,0.809386
4006.0000,0.888414
4006.0500,0.913145
4006.1000,0.917184
4006.1500,0.937176
4006.2000,0.911578
4006.2500,0.915914
4006.3000,0.906336
4006.3500,0.876318
4006.4000,0.889965
4006.4500,0.904393
4006.5000,0.904397
4006.5500,0.885911
4006.6000,0.97411
4006.6500,0.869075
4006.7000,0.850448
4006.7500,0.854537
4006.8000,0.903624
4006.8500,0.907973
4006.9000,0.905933
4006.9500,0.901356
4007.0000,0.886358
4007.0500,0.949846
4007.1000,0.926279
4007.1500,0.934251
4007.2000,0.909559
4007.2500,0.949064
4007.3000,0.939923
4007.3500,0.982288
4007.4000,0.946009
4007.4500,0.982017
4007.5000,1.03815
4007.5500,0.982494
4007.6000,1.0235
4007.6500,0.984963
4007.7000,0.953684
4007.7500,0.992394
4007.8000,0.978183
4007.8500,1.00626
4007.9000,1.03265
4007.9500,1.03353
4008.0000,1.08253
4008.0500,1.07181
4008.1000,1.02512
4008.1500,0.996659
4008.2000,1.0974
4008.2500,1.04585
4008.3000,1.04492
4008.3500,1.06035
4008.4000,1.03971
4008.4500,1.08852
4008.5000,0.942452
4008.5500,1.04773
4008.6000,1.0164
4008.6500,0.98219
4008.7000,1.03699
4008.7500,1.0274
4008.8000,1.0214
4008.8500,1.03758
4008.9000,1.05749
4008.9500,0.972137
4009.0000,1.02449
4009.0500,1.00934
4009.1000,0.98626
4009.1500,0.951716
4009.2000,1.02228
4009.2500,0.909002
4009.3000,0.978671
4009.3500,0.955645
4009.4000,0.955314
4009.4500,0.939677
4009.5000,0.918919
4009.5500,0.997826
4009.6000,0.98427
4009.6500,0.986804
4009.7000,0.96783
4009.7500,0.978476
4009.8000,0.949786
4009.8500,0.918552
4009.9000,0.939283
4009.9500,1.01692
4010.0000,0.986087
4010.0500,0.990198
4010.1000,0.987932
4010.1500,1.00883
4010.2000,0.940337
4010.2500,0.962682
4010.3000,0.989542
4010.3500,1.05119
4010.4000,0.977049
4010.4500,1.04384
4010.5000,1.01113
4010.5500,0.981585
4010.6000,0.989301
4010.6500,1.04877
4010.7000,0.997211
4010.7500,1.03645
4010.8000,0.988874
4010.8500,0.980361
4010.9000,1.02198
4010.9500,1.01539
4011.0000,1.0067
4011.0500,1.01908
4011.1000,1.02292
4011.1500,1.00011
4011.2000,1.0679
4011.2500,1.04096
4011.3000,1.06675
4011.3500,1.0478
4011.4000,1.12879
4011.4500,1.06383
4011.5000,1.02476
4011.5500,1.08537
4011.6000,1.08625
4011.6500,1.06735
4011.7000,1.02421
4011.7500,1.01683
4011.8000,1.01107
4011.8500,1.02333
4011.9000,1.01281
4011.9500,0.956978
4012.0000,0.957361
4012.0500,0.977048
4012.1000,0.912231
4012.1500,0.98701
4012.2000,0.903798
4012.2500,0.91163
4012.3000,0.93343
4012.3500,0.960094
4012.4000,0.910468
4012.4500,0.991664
4012.5000,0.958436
4012.5500,0.912407
4012.6000,0.916696
4012.6500,0.912147
4012.7000,0.937955
4012.7500,1.00497
4012.8000,1.03172
4012.8500,0.941996
4012.9000,0.999434
4012.9500,0.970852
4013.0000,0.976408
4013.0500,0.958412
4013.1000,1.01554
4013.1500,0.987509
4013.2000,1.04611
4013.2500,1.04715
4013.3000,1.02793
4013.3500,1.00765
4013.4000,1.07698
4013.4500,0.98197
4013.5000,1.04483
4013.5500,0.975159
4013.6000,0.961132
4013.6500,0.921117
4013.7000,0.961725
4013.7500,0.978951
4013.8000,0.934462
4013.8500,1.00547
4013.9000,0.933802
4013.9500,0.869935
4014.0000,0.90341
4014.0500,0.929252
4014.1000,0.92248
4014.1500,0.920642
4014.2000,0.895294
4014.2500,0.905029
4014.3000,0.876247
4014.3500,0.914458
4014.4000,0.927923
4014.4500,0.946359
4014.5000,0.984176
4014.5500,0.928996
4014.6000,0.892246
4014.6500,1.01282
4014.7000,0.962545
4014.7500,0.927665
4014.8000,0.914654
4014.8500,0.912292
4014.9000,0.933235
4014.9500,0.945659
4015.0000,0.902229
4015.0500,0.947648
4015.1000,0.930416
4015.1500,0.948471
4015.2000,0.931553
4015.2500,0.95999
4015.3000,0.96627
4015.3500,0.972053
4015.4000,1.012
4015.4500,0.988889
4015.5000,0.973658
4015.5500,1.00629
4015.6000,1.00324
4015.6500,1.00594
4015.7000,1.02032
4015.7500,1.00002
4015.8000,0.985483
4015.8500,0.946725
4015.9000,0.977199
4015.9500,1.03848
4016.0000,1.02286
