Longitud_de_onda_A,espectro
4000.0000,0.92719
4000.0500,0.908299
4000.1000,0.944996
4000.1500,0.882793
4000.2000,0.806906
4000.2500,0.749355
4000.3000,0.77206
4000.3500,0.742818
4000.4000,0.669311
4000.4500,0.549944
4000.5000,0.487859
4000.5500,0.645814
4000.6000,0.825868
4000.6500,0.997749
4000.7000,1.13899
4000.7500,1.06126
4000.8000,1.16287
4000.8500,1.13792
4000.9000,0.999689
4000.9500,1.0413
4001.0000,1.00482
4001.0500,0.847377
4001.1000,0.937249
4001.1500,0.881227
4001.2000,0.857715
4001.2500,0.87563
4001.3000,0.899907
4001.3500,0.998047
4001.4000,0.9779
4001.4500,0.864724
4001.5000,0.877221
4001.5500,0.791192
4001.6000,0.65386
4001.6500,0.559917
4001.7000,0.603139
4001.7500,0.686917
4001.8000,1.00889
4001.8500,1.09402
4001.9000,1.18466
4001.9500,1.15294
4002.0000,1.11
4002.0500,1.15231
4002.1000,1.08171
4002.1500,1.14532
4002.2000,1.16399
4002.2500,1.11462
4002.3000,0.952037
4002.3500,1.03252
4002.4000,1.01649
4002.4500,0.743958
4002.5000,0.692526
4002.5500,0.677984
4002.6000,0.801282
4002.6500,0.929504
4002.7000,0.900181
4002.7500,1.02606
4002.8000,0.9797
4002.8500,0.971121
4002.9000,0.891683
4002.9500,0.73309
4003.0000,0.814935
4003.0500,0.846109
4003.1000,0.907566
4003.1500,0.912183
4003.2000,1.06732
4003.2500,1.08059
4003.3000,1.06579
4003.3500,1.17979
4003.4000,1.04185
4003.4500,0.985823
4003.5000,0.935031
4003.5500,1.02819
4003.6000,1.09222
4003.6500,1.07422
4003.7000,0.884896
4003.7500,0.802789
4003.8000,0.807462
4003.8500,0.856213
4003.9000,0.833453
4003.9500,0.825539
4004.0000,0.689517
4004.0500,0.711896
4004.1000,0.876894
4004.1500,0.910755
4004.2000,1.03048
4004.2500,0.916666
4004.3000,0.987729
4004.3500,1.01685
4004.4000,1.1102
4004.4500,1.10107
4004.5000,1.00243
4004.5500,1.14059
4004.6000,1.02943
