Longitud_de_onda_A,espectro
4000.0000,0.927298
4000.0500,0.90569
4000.1000,0.945442
4000.1500,0.885225
4000.2000,0.803869
4000.2500,0.761962
4000.3000,0.775086
4000.3500,0.742896
4000.4000,0.669258
4000.4500,0.553953
4000.5000,0.483701
4000.5500,0.650741
4000.6000,0.8361
4000.6500,1.00491
4000.7000,1.13665
4000.7500,1.07062
4000.8000,1.16189
4000.8500,1.13948
4000.9000,0.994161
4000.9500,1.03803
4001.0000,1.01042
4001.0500,0.850534
4001.1000,0.938171
4001.1500,0.882765
4001.2000,0.851347
4001.2500,0.866811
4001.3000,0.912738
4001.3500,0.997947
4001.4000,0.98059
4001.4500,0.863001
4001.5000,0.873745
4001.5500,0.792184
4001.6000,0.649772
4001.6500,0.562065
4001.7000,0.603522
4001.7500,0.69181
4001.8000,1.00512
4001.8500,1.08981
4001.9000,1.17925
4001.9500,1.15899
4002.0000,1.11486
4002.0500,1.14565
4002.1000,1.08103
4002.1500,1.1419
4002.2000,1.16485
4002.2500,1.10888
4002.3000,0.953492
4002.3500,1.02855
4002.4000,1.01395
4002.4500,0.746502
4002.5000,0.698309
4002.5500,0.684047
4002.6000,0.807498
4002.6500,0.926407
4002.7000,0.898478
4002.7500,1.02862
4002.8000,0.98111
4002.8500,0.970289
4002.9000,0.898889
4002.9500,0.735258
4003.0000,0.820648
4003.0500,0.847278
4003.1000,0.906384
4003.1500,0.910905
4003.2000,1.06435
4003.2500,1.0765
4003.3000,1.06726
4003.3500,1.1801
4003.4000,1.04435
4003.4500,0.986265
4003.5000,0.937638
4003.5500,1.03541
4003.6000,1.09576
4003.6500,1.07233
4003.7000,0.881512
4003.7500,0.808168
4003.8000,0.800676
4003.8500,0.855876
4003.9000,0.837848
4003.9500,0.832251
4004.0000,0.690956
4004.0500,0.712376
4004.1000,0.880188
4004.1500,0.910432
4004.2000,1.02997
4004.2500,0.924532
4004.3000,0.987272
4004.3500,1.01094
4004.4000,1.10785
4004.4500,1.10564
4004.5000,0.997701
4004.5500,1.14497
4004.6000,1.02666
4004.6500,0.928431
4004.7000,0.790823
4004.7500,0.728735
4004.8000,0.775863
4004.8500,0.561941
4004.9000,0.66245
4004.9500,0.61453
4005.0000,0.610912
4005.0500,0.453335
4005.1000,0.34276
4005.1500,0.31904
4005.2000,0.281924
4005.2500,0.27892
4005.3000,0.226592
4005.3500,0.340874
4005.4000,0.262862
4005.4500,0.472257
4005.5000,0.479232
4005.5500,0.606002
4005.6000,0.771602
4005.6500,0.679508
4005.7000,0.665329
4005.7500,0.73175
4005.8000,0.853991
4005.8500,0.891855
4005.9000,0.832996
4005.9500,0.744244
4006.0000,0.775441
4006.0500,0.976564
4006.1000,0.903778
4006.1500,0.992239
4006.2000,0.831428
4006.2500,0.818566
4006.3000,0.794536
4006.3500,0.712906
4006.4000,0.838513
4006.4500,0.950264
4006.5000,0.871272
4006.5500,0.886038
4006.6000,0.695301
4006.6500,0.709188
4006.7000,0.817017
4006.7500,0.892069
4006.8000,0.936682
4006.8500,1.00496
4006.9000,1.04233
4006.9500,1.10424
4007.0000,1.05115
4007.0500,1.14503
4007.1000,0.968142
4007.1500,0.895613
4007.2000,0.652688
4007.2500,0.591623
4007.3000,0.62612
4007.3500,0.812074
4007.4000,0.735694
4007.4500,0.763313
4007.5000,0.761961
4007.5500,0.870154
4007.6000,0.934515
4007.6500,1.10488
4007.7000,1.09531
4007.7500,1.03443
4007.8000,1.03654
4007.8500,0.915201
4007.9000,0.761231
4007.9500,0.510777
4008.0000,0.582225
4008.0500,0.551292
4008.1000,0.656877
4008.1500,0.824632
4008.2000,0.788438
4008.2500,1.00289
4008.3000,0.936456
4008.3500,1.07922
4008.4000,1.04414
4008.4500,1.06704
4008.5000,1.0461
4008.5500,1.12766
4008.6000,0.98499
4008.6500,0.804162
4008.7000,0.713318
4008.7500,0.440212
4008.8000,0.460869
4008.8500,0.360792
4008.9000,0.297395
4008.9500,0.321992
4009.0000,0.354749
4009.0500,0.363455
4009.1000,0.527368
4009.1500,0.793765
4009.2000,0.832388
4009.2500,0.973698
4009.3000,1.07164
4009.3500,1.14566
4009.4000,1.16218
4009.4500,1.10236
4009.5000,0.82037
4009.5500,0.452705
4009.6000,0.342728
4009.6500,0.332718
4009.7000,0.281444
4009.7500,0.383561
4009.8000,0.597673
4009.8500,0.643723
4009.9000,0.864848
4009.9500,0.992957
4010.0000,1.1043
4010.0500,1.10422
4010.1000,1.13867
4010.1500,1.0483
4010.2000,1.06436
4010.2500,1.01631
4010.3000,1.18489
4010.3500,1.16
4010.4000,1.13895
4010.4500,1.06239
4010.5000,0.976642
4010.5500,0.863399
4010.6000,0.919175
4010.6500,1.00091
4010.7000,0.893369
4010.7500,0.922673
4010.8000,0.905726
4010.8500,1.08594
4010.9000,1.03847
4010.9500,0.973707
4011.0000,0.810056
4011.0500,0.692773
4011.1000,0.572552
4011.1500,0.672411
4011.2000,0.796806
4011.2500,0.846274
4011.3000,0.853307
4011.3500,0.707264
4011.4000,0.597621
4011.4500,0.601013
4011.5000,0.581494
4011.5500,0.647831
4011.6000,0.788193
4011.6500,0.900824
4011.7000,0.724755
4011.7500,0.883543
4011.8000,0.955966
4011.8500,0.920202
4011.9000,0.967281
4011.9500,1.18298
4012.0000,0.971412
4012.0500,1.04232
4012.1000,1.01858
4012.1500,0.928472
4012.2000,0.74879
4012.2500,0.448311
4012.3000,0.540944
4012.3500,0.46913
4012.4000,0.569875
4012.4500,0.505025
4012.5000,0.615804
4012.5500,0.763098
4012.6000,0.784871
4012.6500,0.681015
4012.7000,0.667065
4012.7500,0.668379
4012.8000,0.794269
4012.8500,1.05202
4012.9000,1.11761
4012.9500,1.07862
4013.0000,1.2322
4013.0500,1.18799
4013.1000,1.1938
4013.1500,1.18195
4013.2000,0.976621
4013.2500,0.815437
4013.3000,0.993773
4013.3500,1.08426
4013.4000,1.16341
4013.4500,1.15008
4013.5000,1.02608
4013.5500,0.755118
4013.6000,0.63443
4013.6500,0.672738
4013.7000,0.704439
4013.7500,0.737845
4013.8000,0.724015
4013.8500,0.562504
4013.9000,0.578804
4013.9500,0.616689
4014.0000,0.958937
4014.0500,1.17386
4014.1000,1.24076
4014.1500,1.14239
4014.2000,1.13118
4014.2500,1.00265
4014.3000,0.838836
4014.3500,0.919241
4014.4000,0.864075
4014.4500,0.621359
4014.5000,0.446768
4014.5500,0.557835
4014.6000,0.688615
4014.6500,0.757094
4014.7000,0.875069
4014.7500,0.995062
4014.8000,1.02144
4014.8500,1.03861
4014.9000,0.890085
4014.9500,0.894841
4015.0000,1.02963
4015.0500,0.993192
4015.1000,0.99999
4015.1500,0.961237
4015.2000,1.02829
4015.2500,1.00073
4015.3000,0.833988
4015.3500,0.764795
4015.4000,0.754808
4015.4500,0.869499
4015.5000,0.900144
4015.5500,0.895695
4015.6000,0.849095
4015.6500,0.837175
4015.7000,1.05434
4015.7500,1.15746
4015.8000,1.18811
4015.8500,1.22929
4015.9000,1.27323
4015.9500,1.17348
4016.0000,1.2338
4016.0500,1.18498
4016.1000,1.19881
4016.1500,1.21843
4016.2000,1.06919
4016.2500,0.90208
4016.3000,0.754315
4016.3500,0.866503
4016.4000,0.756717
4016.4500,0.770424
4016.5000,0.921864
4016.5500,0.972451
4016.6000,1.12294
4016.6500,1.21924
4016.7000,1.17822
4016.7500,1.04137
4016.8000,0.979241
4016.8500,1.0695
4016.9000,0.909324
4016.9500,0.80358
4017.0000,0.760953
4017.0500,0.625117
4017.1000,0.451516
4017.1500,0.541892
4017.2000,0.706853
4017.2500,0.925861
4017.3000,1.02911
4017.3500,1.15808
4017.4000,1.04458
4017.4500,0.842013
4017.5000,0.849319
4017.5500,0.903573
4017.6000,0.837232
4017.6500,0.775182
4017.7000,0.796148
4017.7500,0.641182
4017.8000,0.71645
4017.8500,0.874892
4017.9000,0.896324
4017.9500,0.901532
4018.0000,0.639237
4018.0500,0.441271
4018.1000,0.284822
4018.1500,0.348662
4018.2000,0.413389
4018.2500,0.468175
4018.3000,0.598716
4018.3500,0.683429
4018.4000,0.876639
4018.4500,1.0185
4018.5000,1.05087
4018.5500,1.09057
4018.6000,1.31995
4018.6500,1.32832
4018.7000,1.15088
4018.7500,0.962454
4018.8000,0.770189
4018.8500,0.715657
4018.9000,0.797183
4018.9500,0.892764
4019.0000,0.816043
4019.0500,0.690595
4019.1000,0.619206
4019.1500,0.725928
4019.2000,0.728734
4019.2500,0.619408
4019.3000,0.563024
4019.3500,0.513608
4019.4000,0.931545
4019.4500,0.946744
4019.5000,1.04767
4019.5500,1.04932
4019.6000,1.10138
4019.6500,1.34144
4019.7000,1.08679
4019.7500,1.00106
4019.8000,0.885712
4019.8500,0.918639
4019.9000,0.850488
4019.9500,0.847064
4020.0000,0.807292
4020.0500,0.87903
4020.1000,0.85725
4020.1500,0.850051
4020.2000,0.782086
4020.2500,0.578886
4020.3000,0.411765
4020.3500,0.240583
4020.4000,0.255526
4020.4500,0.273497
4020.5000,0.413059
4020.5500,0.65984
4020.6000,0.910783
4020.6500,0.953877
4020.7000,1.07415
4020.7500,0.945282
4020.8000,0.648185
4020.8500,0.451553
4020.9000,0.315982
4020.9500,0.337458
4021.0000,0.453172
4021.0500,0.721697
4021.1000,0.85183
4021.1500,1.00455
4021.2000,1.04415
4021.2500,1.0005
4021.3000,0.809415
4021.3500,0.730627
4021.4000,0.915274
4021.4500,1.06096
4021.5000,0.974727
4021.5500,0.756791
4021.6000,0.693128
4021.6500,0.581058
4021.7000,0.556598
4021.7500,0.480077
4021.8000,0.395113
4021.8500,0.386629
4021.9000,0.454825
4021.9500,0.592058
4022.0000,0.816849
4022.0500,0.826297
4022.1000,0.801481
4022.1500,0.767802
4022.2000,0.644979
4022.2500,0.723663
4022.3000,0.839786
4022.3500,0.962495
4022.4000,0.848998
4022.4500,0.845029
4022.5000,0.981101
4022.5500,1.12795
4022.6000,1.14847
4022.6500,0.903744
4022.7000,0.8667
4022.7500,0.840655
4022.8000,0.858013
4022.8500,1.03172
4022.9000,0.93611
4022.9500,0.823043
4023.0000,0.753776
4023.0500,0.699481
4023.1000,0.632325
4023.1500,0.740404
4023.2000,0.733396
4023.2500,0.719834
4023.3000,0.645859
4023.3500,0.598784
4023.4000,0.594183
4023.4500,0.622806
4023.5000,0.646547
4023.5500,0.545232
4023.6000,0.3499
4023.6500,0.275195
4023.7000,0.204436
4023.7500,0.308133
4023.8000,0.435369
4023.8500,0.619634
4023.9000,0.721771
4023.9500,0.672051
4024.0000,0.592038
4024.0500,0.616912
4024.1000,0.595262
4024.1500,0.692405
4024.2000,0.852857
4024.2500,0.78572
4024.3000,0.767845
4024.3500,0.702777
4024.4000,0.587481
4024.4500,0.399733
4024.5000,0.208316
4024.5500,0.215853
4024.6000,0.235012
4024.6500,0.233314
4024.7000,0.311065
4024.7500,0.328503
4024.8000,0.436263
4024.8500,0.531865
4024.9000,0.536739
4024.9500,0.438923
4025.0000,0.48946
4025.0500,0.476003
4025.1000,0.489582
4025.1500,0.50475
4025.2000,0.568268
4025.2500,0.643755
4025.3000,0.772509
4025.3500,0.944321
4025.4000,0.893741
4025.4500,0.861031
4025.5000,0.966896
4025.5500,1.05255
4025.6000,1.17333
4025.6500,1.26406
4025.7000,1.19896
4025.7500,1.13568
4025.8000,0.932817
4025.8500,0.970348
4025.9000,0.943436
4025.9500,1.02253
4026.0000,1.05057
4026.0500,1.13412
4026.1000,0.98028
4026.1500,0.780261
4026.2000,0.669849
4026.2500,0.909842
4026.3000,1.00818
4026.3500,0.894464
4026.4000,0.802211
4026.4500,0.587903
4026.5000,0.483779
4026.5500,0.459813
4026.6000,0.587807
4026.6500,0.751713
4026.7000,0.872227
4026.7500,0.920986
4026.8000,1.02008
4026.8500,0.885728
4026.9000,0.831809
4026.9500,0.595703
4027.0000,0.418057
4027.0500,0.322097
4027.1000,0.346801
4027.1500,0.368679
4027.2000,0.450941
4027.2500,0.636522
4027.3000,0.811785
4027.3500,1.01611
4027.4000,0.948387
4027.4500,0.897081
4027.5000,0.932091
4027.5500,1.01967
4027.6000,1.0671
4027.6500,1.01122
4027.7000,1.03039
4027.7500,1.08914
4027.8000,1.12084
4027.8500,1.02164
4027.9000,1.073
4027.9500,1.002
4028.0000,1.01561
4028.0500,1.0066
4028.1000,1.09653
4028.1500,1.02243
4028.2000,1.05482
4028.2500,0.979198
4028.3000,0.824806
4028.3500,0.744905
4028.4000,0.744669
4028.4500,0.864811
4028.5000,0.89661
4028.5500,0.947855
4028.6000,1.09648
4028.6500,1.14428
4028.7000,1.05505
4028.7500,1.01018
4028.8000,0.979431
4028.8500,0.970056
4028.9000,0.793912
4028.9500,0.67707
4029.0000,0.800555
4029.0500,0.978498
4029.1000,1.12164
4029.1500,1.13578
4029.2000,1.10696
4029.2500,1.18091
4029.3000,1.14394
4029.3500,1.22538
4029.4000,1.18774
4029.4500,1.19247
4029.5000,1.10276
4029.5500,0.914887
4029.6000,0.732409
4029.6500,0.561362
4029.7000,0.627867
4029.7500,0.709356
4029.8000,0.667799
4029.8500,0.612247
4029.9000,0.624701
4029.9500,0.510491
4030.0000,0.522322
4030.0500,0.510505
4030.1000,0.548912
4030.1500,0.471911
4030.2000,0.469559
4030.2500,0.458168
4030.3000,0.536864
4030.3500,0.524683
4030.4000,0.496954
4030.4500,0.376001
4030.5000,0.325736
4030.5500,0.273738
4030.6000,0.224156
4030.6500,0.17137
4030.7000,0.148316
4030.7500,0.197685
4030.8000,0.205225
4030.8500,0.183831
4030.9000,0.171437
4030.9500,0.263597
4031.0000,0.306732
4031.0500,0.433752
4031.1000,0.5369
4031.1500,0.612091
4031.2000,0.590073
4031.2500,0.575469
4031.3000,0.570371
4031.3500,0.647811
4031.4000,0.662848
4031.4500,0.784052
4031.5000,0.765707
4031.5500,0.69353
4031.6000,0.622495
4031.6500,0.65521
4031.7000,0.486699
4031.7500,0.539061
4031.8000,0.469313
4031.8500,0.590609
4031.9000,0.651304
4031.9500,0.625542
4032.0000,0.69697
4032.0500,0.704589
4032.1000,0.803694
4032.1500,0.805531
4032.2000,0.962931
4032.2500,0.909872
4032.3000,0.802412
4032.3500,0.891056
4032.4000,0.78244
4032.4500,0.634337
4032.5000,0.587394
4032.5500,0.482981
4032.6000,0.422484
4032.6500,0.345303
4032.7000,0.417324
4032.7500,0.391814
4032.8000,0.37441
4032.8500,0.30895
4032.9000,0.199924
4032.9500,0.212528
4033.0000,0.145549
4033.0500,0.134994
4033.1000,0.147507
4033.1500,0.164954
4033.2000,0.206992
4033.2500,0.207155
4033.3000,0.339577
4033.3500,0.455078
4033.4000,0.507235
4033.4500,0.559406
4033.5000,0.546966
4033.5500,0.656337
4033.6000,0.648798
4033.6500,0.582385
4033.7000,0.679084
4033.7500,0.724368
4033.8000,0.705072
4033.8500,0.690178
4033.9000,0.60385
4033.9500,0.679633
4034.0000,0.668149
4034.0500,0.622926
4034.1000,0.705004
4034.1500,0.733003
4034.2000,0.547919
4034.2500,0.526555
4034.3000,0.470895
4034.3500,0.2916
4034.4000,0.257015
4034.4500,0.184669
4034.5000,0.146026
4034.5500,0.191383
4034.6000,0.23332
4034.6500,0.230522
4034.7000,0.352052
4034.7500,0.437738
4034.8000,0.541649
4034.8500,0.570402
4034.9000,0.606742
4034.9500,0.784367
4035.0000,0.813337
4035.0500,0.878425
4035.1000,0.806369
4035.1500,0.856721
4035.2000,0.860391
4035.2500,0.916263
4035.3000,1.0488
4035.3500,1.04614
4035.4000,1.11038
4035.4500,1.06524
4035.5000,1.04162
4035.5500,0.825547
4035.6000,0.548632
4035.6500,0.392897
4035.7000,0.305825
4035.7500,0.294498
4035.8000,0.299022
4035.8500,0.392364
4035.9000,0.440703
4035.9500,0.695342
4036.0000,0.803481
4036.0500,1.04528
4036.1000,1.24082
4036.1500,1.31542
4036.2000,1.28251
4036.2500,1.1736
4036.3000,0.993942
4036.3500,0.966298
4036.4000,0.856548
4036.4500,0.909566
4036.5000,0.987119
4036.5500,0.994308
4036.6000,1.09615
4036.6500,1.14167
4036.7000,0.979412
4036.7500,0.95773
4036.8000,0.91171
4036.8500,0.992676
4036.9000,1.13858
4036.9500,1.26018
4037.0000,1.30477
4037.0500,1.22337
4037.1000,1.05582
4037.1500,0.974876
4037.2000,0.970306
4037.2500,0.828281
4037.3000,0.766367
4037.3500,0.769697
4037.4000,0.84686
4037.4500,1.07555
4037.5000,1.17277
4037.5500,1.21745
4037.6000,1.17259
4037.6500,1.15599
4037.7000,1.05817
4037.7500,1.14883
4037.8000,1.2294
4037.8500,1.03121
4037.9000,1.09233
4037.9500,1.14281
4038.0000,1.17463
4038.0500,1.17161
4038.1000,1.01684
4038.1500,0.917798
4038.2000,1.01638
4038.2500,1.15221
4038.3000,1.11996
4038.3500,0.97701
4038.4000,0.919006
4038.4500,0.862096
4038.5000,0.976782
4038.5500,1.04755
4038.6000,0.993427
4038.6500,0.92106
4038.7000,0.976274
4038.7500,0.92395
4038.8000,0.91924
4038.8500,1.00155
4038.9000,1.08255
4038.9500,1.07658
4039.0000,0.973068
4039.0500,1.02613
4039.1000,0.909359
4039.1500,0.944145
4039.2000,1.05964
4039.2500,1.10072
4039.3000,1.04752
4039.3500,0.980045
4039.4000,0.948299
4039.4500,0.979626
4039.5000,1.09461
4039.5500,1.06798
4039.6000,1.09566
4039.6500,1.04395
4039.7000,1.01773
4039.7500,0.890219
4039.8000,0.682911
4039.8500,0.643487
4039.9000,0.682673
4039.9500,0.863373
4040.0000,0.810527
4040.0500,1.02931
4040.1000,1.06872
4040.1500,1.04929
4040.2000,1.03775
4040.2500,0.848035
4040.3000,0.766031
4040.3500,0.82404
4040.4000,1.03029
4040.4500,1.2715
4040.5000,1.22304
4040.5500,1.0434
4040.6000,0.858273
4040.6500,0.565287
4040.7000,0.498382
4040.7500,0.547898
4040.8000,0.528508
4040.8500,0.592603
4040.9000,0.858479
4040.9500,1.04702
4041.0000,0.978647
4041.0500,0.941255
4041.1000,0.941466
4041.1500,0.969143
4041.2000,0.813482
4041.2500,0.644791
4041.3000,0.397392
4041.3500,0.319363
4041.4000,0.276302
4041.4500,0.409835
4041.5000,0.631765
4041.5500,0.791009
4041.6000,0.830077
4041.6500,0.846852
4041.7000,0.878924
4041.7500,1.00752
4041.8000,1.03954
4041.8500,1.03306
4041.9000,1.00657
4041.9500,1.16824
4042.0000,1.0721
4042.0500,1.0408
4042.1000,1.12597
4042.1500,1.00038
4042.2000,0.974691
4042.2500,0.879844
4042.3000,0.970777
4042.3500,0.942723
4042.4000,0.969954
4042.4500,0.938097
4042.5000,1.00305
4042.5500,0.787365
4042.6000,0.707821
4042.6500,0.612481
4042.7000,0.675554
4042.7500,0.734144
4042.8000,0.760057
4042.8500,0.77124
4042.9000,0.729018
4042.9500,0.767269
4043.0000,0.877906
4043.0500,0.898867
4043.1000,1.1245
4043.1500,1.11829
4043.2000,1.18914
4043.2500,1.09814
4043.3000,1.08863
4043.3500,1.07911
4043.4000,1.07068
4043.4500,1.00891
4043.5000,0.81007
4043.5500,0.597991
4043.6000,0.645453
4043.6500,0.502941
4043.7000,0.634349
4043.7500,0.650247
4043.8000,0.663205
4043.8500,0.714749
4043.9000,0.617239
4043.9500,0.602733
4044.0000,0.624383
4044.0500,0.619193
4044.1000,0.559724
4044.1500,0.5838
4044.2000,0.706717
4044.2500,0.857061
4044.3000,0.883182
4044.3500,0.803248
4044.4000,0.844596
4044.4500,0.789581
4044.5000,0.678218
4044.5500,0.470025
4044.6000,0.411581
4044.6500,0.446168
4044.7000,0.527039
4044.7500,0.511919
4044.8000,0.588252
4044.8500,0.562286
4044.9000,0.567465
4044.9500,0.631057
4045.0000,0.682327
4045.0500,0.631208
4045.1000,0.571994
4045.1500,0.601649
4045.2000,0.634126
4045.2500,0.575209
4045.3000,0.556313
4045.3500,0.478206
4045.4000,0.44814
4045.4500,0.357645
4045.5000,0.381504
4045.5500,0.416849
4045.6000,0.371516
4045.6500,0.281738
4045.7000,0.232663
4045.7500,0.163624
4045.8000,0.109323
4045.8500,0.151397
4045.9000,0.132139
4045.9500,0.130412
4046.0000,0.221175
4046.0500,0.34813
4046.1000,0.416897
4046.1500,0.491565
4046.2000,0.506174
4046.2500,0.503854
4046.3000,0.478725
4046.3500,0.613739
4046.4000,0.646195
4046.4500,0.636714
4046.5000,0.638373
4046.5500,0.709845
4046.6000,0.687807
4046.6500,0.730074
4046.7000,0.721392
