Longitud_de_onda_A,espectro
4000.0000,1.00829
4000.0500,1.05607
4000.1000,0.884258
4000.1500,0.905867
4000.2000,0.728018
4000.2500,0.832668
4000.3000,0.812738
4000.3500,0.79157
4000.4000,0.550611
4000.4500,0.337064
4000.5000,0.469975
4000.5500,0.816053
4000.6000,1.01159
4000.6500,0.991901
4000.7000,1.06941
4000.7500,1.13688
4000.8000,1.07881
4000.8500,1.02271
4000.9000,1.03366
4000.9500,1.13132
4001.0000,0.971004
4001.0500,0.781379
4001.1000,1.02317
4001.1500,0.772713
4001.2000,0.771487
4001.2500,0.826728
4001.3000,0.959279
4001.3500,0.789942
4001.4000,1.02589
4001.4500,0.960479
4001.5000,1.04064
4001.5500,0.98487
4001.6000,0.759353
4001.6500,0.65647
4001.7000,0.625261
4001.7500,0.794283
4001.8000,1.1368
4001.8500,1.12815
4001.9000,1.219
4001.9500,1.16141
4002.0000,1.03995
4002.0500,0.812317
4002.1000,0.922402
4002.1500,1.09749
4002.2000,1.12761
4002.2500,1.2133
4002.3000,1.18772
4002.3500,1.23249
4002.4000,1.19336
4002.4500,1.05208
4002.5000,0.904388
4002.5500,1.00074
4002.6000,0.873121
4002.6500,0.871669
4002.7000,0.922584
4002.7500,0.686631
4002.8000,1.04426
4002.8500,0.846746
4002.9000,0.520028
4002.9500,0.730524
4003.0000,0.835644
4003.0500,1.07445
4003.1000,0.981863
4003.1500,1.04578
4003.2000,0.98968
4003.2500,0.988001
4003.3000,1.10098
4003.3500,1.01046
4003.4000,1.22293
4003.4500,1.07741
4003.5000,1.07797
4003.5500,1.1604
4003.6000,1.12451
4003.6500,0.882515
4003.7000,0.814392
4003.7500,0.667262
4003.8000,0.636829
4003.8500,0.807948
4003.9000,1.13133
4003.9500,0.922943
4004.0000,0.722992
4004.0500,0.927527
4004.1000,0.877168
4004.1500,1.07066
4004.2000,1.03003
4004.2500,1.11949
4004.3000,1.08955
4004.3500,1.22883
4004.4000,1.2002
4004.4500,0.997428
4004.5000,1.05549
4004.5500,1.18104
4004.6000,1.01878
4004.6500,1.04676
4004.7000,0.879196
4004.7500,0.824246
4004.8000,0.563441
4004.8500,0.511631
4004.9000,0.399597
4004.9500,0.226061
4005.0000,0.360522
4005.0500,0.505673
4005.1000,0.645473
4005.1500,0.475307
4005.2000,0.233554
4005.2500,0.225626
4005.3000,0.2178
4005.3500,0.445534
4005.4000,0.614792
4005.4500,0.460188
4005.5000,0.653728
4005.5500,0.719494
4005.6000,0.7955
4005.6500,0.647634
4005.7000,0.528679
4005.7500,0.55807
4005.8000,0.71643
4005.8500,0.888433
4005.9000,0.964881
4005.9500,0.806598
4006.0000,0.844455
4006.0500,0.893937
4006.1000,0.809477
4006.1500,1.05264
4006.2000,0.77938
4006.2500,0.786876
4006.3000,0.537072
4006.3500,0.379609
4006.4000,0.776139
4006.4500,1.20312
4006.5000,1.15488
4006.5500,0.812409
4006.6000,0.678376
4006.6500,0.519343
4006.7000,0.54881
4006.7500,0.715948
4006.8000,0.671487
4006.8500,0.726504
4006.9000,0.838032
4006.9500,0.872617
4007.0000,1.01313
4007.0500,1.07364
4007.1000,1.1475
4007.1500,1.04698
4007.2000,0.806988
4007.2500,0.62586
4007.3000,0.569303
4007.3500,0.687675
4007.4000,0.837433
4007.4500,0.806739
4007.5000,0.973586
4007.5500,0.840281
4007.6000,0.951955
4007.6500,1.13504
4007.7000,1.03134
4007.7500,1.07932
4007.8000,1.21104
4007.8500,1.18607
4007.9000,1.09592
4007.9500,1.15208
4008.0000,1.09546
4008.0500,0.973267
4008.1000,0.930603
4008.1500,0.827054
4008.2000,1.0958
4008.2500,1.11659
4008.3000,1.14887
4008.3500,0.831068
4008.4000,0.883552
4008.4500,1.13536
4008.5000,1.19454
4008.5500,1.00849
4008.6000,0.989496
4008.6500,0.950674
4008.7000,0.746765
4008.7500,0.902947
4008.8000,0.899315
4008.8500,0.459666
4008.9000,0.420014
4008.9500,0.548584
4009.0000,0.81387
4009.0500,0.955649
4009.1000,0.98356
4009.1500,0.889801
4009.2000,0.995922
4009.2500,1.04481
4009.3000,1.0815
4009.3500,1.12507
4009.4000,1.0075
4009.4500,1.04407
4009.5000,0.994902
4009.5500,0.751876
4009.6000,0.580102
4009.6500,0.168099
4009.7000,0.171991
4009.7500,0.382077
4009.8000,0.620373
4009.8500,1.06708
4009.9000,1.23806
4009.9500,1.3158
4010.0000,1.11225
4010.0500,1.15497
4010.1000,0.873411
4010.1500,1.09665
4010.2000,0.865046
4010.2500,1.13245
4010.3000,1.17393
4010.3500,0.693763
4010.4000,0.939273
4010.4500,1.05339
4010.5000,0.970936
4010.5500,0.906472
4010.6000,0.738883
4010.6500,0.760827
4010.7000,0.822829
4010.7500,0.708086
4010.8000,0.907399
4010.8500,0.961176
4010.9000,0.89471
4010.9500,0.943067
4011.0000,0.892532
4011.0500,0.632601
4011.1000,0.673281
4011.1500,0.934694
4011.2000,0.969571
4011.2500,0.938035
4011.3000,0.807167
4011.3500,0.837295
4011.4000,0.832544
4011.4500,0.817934
4011.5000,0.863085
4011.5500,1.01229
4011.6000,1.18119
4011.6500,0.865978
4011.7000,0.778547
4011.7500,0.7035
4011.8000,0.797981
4011.8500,1.03134
4011.9000,1.15175
4011.9500,0.997778
4012.0000,0.953565
4012.0500,1.11871
4012.1000,0.619911
4012.1500,0.764751
4012.2000,0.725856
4012.2500,0.44681
4012.3000,0.22693
4012.3500,0.164439
4012.4000,0.300702
4012.4500,0.532604
4012.5000,0.706731
4012.5500,0.884038
4012.6000,0.808734
4012.6500,0.792866
4012.7000,0.817539
4012.7500,0.998611
4012.8000,1.28261
4012.8500,1.00502
4012.9000,1.00714
4012.9500,1.30199
4013.0000,1.08407
4013.0500,1.09792
4013.1000,1.14941
4013.1500,0.931745
4013.2000,0.955024
