Longitud_de_onda_A,espectro
4000.0000,0.919979
4000.0500,0.884681
4000.1000,0.932651
4000.1500,0.869089
4000.2000,1.00404
4000.2500,0.813814
4000.3000,0.902113
4000.3500,1.01804
4000.4000,0.836085
4000.4500,0.643934
4000.5000,0.773992
4000.5500,0.804279
4000.6000,0.951312
4000.6500,0.933579
4000.7000,0.864429
4000.7500,0.70107
4000.8000,1.04054
4000.8500,0.978032
4000.9000,0.85907
4000.9500,1.04577
4001.0000,0.906874
4001.0500,0.866881
4001.1000,0.798568
4001.1500,0.70649
4001.2000,0.893758
4001.2500,0.815409
4001.3000,1.01178
4001.3500,0.992842
4001.4000,0.901725
4001.4500,0.858729
4001.5000,0.828238
4001.5500,0.851418
4001.6000,0.919088
4001.6500,0.664642
4001.7000,0.648929
4001.7500,0.721534
4001.8000,0.915735
4001.8500,0.912825
4001.9000,1.27514
4001.9500,1.08394
4002.0000,1.04454
4002.0500,1.08601
4002.1000,0.96387
4002.1500,1.03331
4002.2000,0.992315
4002.2500,0.628482
4002.3000,1.04321
4002.3500,1.23845
4002.4000,1.11619
4002.4500,1.02206
4002.5000,1.01885
4002.5500,1.09992
4002.6000,0.841287
4002.6500,0.914289
4002.7000,0.977262
4002.7500,0.940177
4002.8000,0.927747
4002.8500,0.934052
4002.9000,0.807129
4002.9500,0.871861
4003.0000,1.03123
4003.0500,1.19257
4003.1000,0.9496
4003.1500,0.954029
4003.2000,1.01762
4003.2500,1.04671
4003.3000,0.947037
4003.3500,0.91488
4003.4000,0.889761
4003.4500,1.11549
4003.5000,3.28185
4003.5500,3.29471
4003.6000,1.1842
4003.6500,1.00749
4003.7000,1.03841
4003.7500,0.814679
4003.8000,0.795497
4003.8500,1.02749
4003.9000,0.851216
4003.9500,1.26874
4004.0000,0.935776
4004.0500,1.20197
4004.1000,1.09718
4004.1500,1.05826
4004.2000,1.0363
4004.2500,0.977561
4004.3000,0.963499
4004.3500,1.21585
4004.4000,0.998673
4004.4500,1.02923
4004.5000,1.03767
4004.5500,1.07954
4004.6000,1.10602
4004.6500,0.897586
4004.7000,0.89095
4004.7500,0.897326
4004.8000,0.777971
4004.8500,0.591647
4004.9000,0.707595
4004.9500,0.772275
4005.0000,0.778061
4005.0500,0.863118
4005.1000,0.616171
4005.1500,0.467447
4005.2000,0.261177
4005.2500,0.049977
4005.3000,0.340946
4005.3500,0.615988
4005.4000,0.633868
4005.4500,0.637428
4005.5000,0.754548
4005.5500,0.781306
4005.6000,1.02667
4005.6500,0.82633
4005.7000,0.904677
4005.7500,1.02649
4005.8000,0.882134
4005.8500,0.896327
4005.9000,1.04525
4005.9500,0.983157
4006.0000,1.11624
4006.0500,0.962216
4006.1000,0.894155
4006.1500,0.905924
4006.2000,0.973097
4006.2500,0.889847
4006.3000,0.893866
4006.3500,0.717715
4006.4000,0.953467
4006.4500,0.983709
4006.5000,1.0093
4006.5500,0.851041
4006.6000,0.563737
4006.6500,0.836732
4006.7000,0.852664
4006.7500,0.717868
4006.8000,0.758572
4006.8500,0.830135
4006.9000,0.901935
4006.9500,0.790587
4007.0000,0.603194
4007.0500,0.728626
4007.1000,1.08901
4007.1500,0.910674
4007.2000,0.763227
4007.2500,0.512922
4007.3000,0.537224
4007.3500,0.77659
4007.4000,0.944974
4007.4500,0.966192
4007.5000,0.86476
4007.5500,1.02006
4007.6000,0.971835
4007.6500,0.977824
4007.7000,0.894401
4007.7500,0.846223
4007.8000,1.17602
4007.8500,1.16404
4007.9000,1.02294
4007.9500,0.931265
4008.0000,0.804789
4008.0500,1.08853
4008.1000,0.871626
4008.1500,0.845021
4008.2000,0.817589
4008.2500,0.964058
4008.3000,1.00099
4008.3500,0.931241
4008.4000,0.977245
4008.4500,1.03517
4008.5000,1.01266
4008.5500,1.0962
4008.6000,1.12808
4008.6500,0.986441
4008.7000,0.95612
4008.7500,1.05443
4008.8000,0.968703
4008.8500,0.962678
4008.9000,0.579038
4008.9500,0.728751
4009.0000,0.890863
4009.0500,1.04681
4009.1000,1.12551
4009.1500,0.934099
4009.2000,0.843759
4009.2500,1.04299
4009.3000,0.898111
4009.3500,0.877844
4009.4000,1.08495
4009.4500,1.11831
4009.5000,0.888545
4009.5500,0.750481
4009.6000,0.798074
4009.6500,0.934694
4009.7000,0.71353
4009.7500,0.658976
4009.8000,0.930826
4009.8500,0.982854
4009.9000,0.952521
4009.9500,0.900622
4010.0000,0.933511
4010.0500,1.171
4010.1000,1.6609
4010.1500,1.95379
4010.2000,1.14987
4010.2500,1.18906
4010.3000,1.08065
4010.3500,1.01988
4010.4000,0.75912
4010.4500,1.02374
4010.5000,1.05017
4010.5500,0.930685
4010.6000,0.855266
4010.6500,1.02299
4010.7000,0.918914
4010.7500,1.15728
4010.8000,1.09634
4010.8500,0.933568
4010.9000,1.03432
4010.9500,0.903578
4011.0000,1.06964
4011.0500,0.897468
4011.1000,1.09083
4011.1500,1.16894
4011.2000,0.983166
4011.2500,1.08509
4011.3000,1.06053
4011.3500,1.12292
4011.4000,0.950664
4011.4500,1.21092
4011.5000,1.12166
4011.5500,1.01235
4011.6000,0.956174
4011.6500,0.891598
4011.7000,0.902887
4011.7500,0.94837
4011.8000,1.18259
4011.8500,1.19288
4011.9000,1.2831
4011.9500,1.08913
4012.0000,0.978227
4012.0500,1.09766
4012.1000,0.983671
4012.1500,1.08278
4012.2000,0.94303
4012.2500,0.964182
4012.3000,1.16309
4012.3500,0.586696
4012.4000,0.724816
4012.4500,0.974031
