Longitud_de_onda_A,espectro
4000.0000,1.02949
4000.0500,1.02911
4000.1000,1.06315
4000.1500,1.03285
4000.2000,0.808431
4000.2500,0.569848
4000.3000,0.60546
4000.3500,0.687557
4000.4000,0.543377
4000.4500,0.425127
4000.5000,0.519286
4000.5500,0.808369
4000.6000,1.03648
4000.6500,1.12128
4000.7000,1.06445
4000.7500,1.04509
4000.8000,0.964584
4000.8500,0.941076
4000.9000,1.00123
4000.9500,0.951689
4001.0000,0.827724
4001.0500,0.648354
4001.1000,0.487991
4001.1500,0.393433
4001.2000,0.458266
4001.2500,0.647182
4001.3000,0.808944
4001.3500,0.894532
4001.4000,0.774589
4001.4500,0.644351
4001.5000,0.790998
4001.5500,0.931512
4001.6000,0.679125
4001.6500,0.397368
4001.7000,0.377416
4001.7500,0.675613
4001.8000,0.970778
4001.8500,1.1236
4001.9000,1.05073
4001.9500,0.995554
4002.0000,0.939933
4002.0500,0.867715
4002.1000,0.849377
4002.1500,0.97053
4002.2000,1.09707
4002.2500,1.09695
4002.3000,1.08809
4002.3500,0.966984
4002.4000,0.90348
4002.4500,0.772084
4002.5000,0.728496
4002.5500,0.878547
4002.6000,0.885926
4002.6500,0.766415
4002.7000,0.802943
4002.7500,1.02315
4002.8000,1.0602
4002.8500,0.887202
4002.9000,0.625857
4002.9500,0.638867
4003.0000,0.900161
4003.0500,1.04136
4003.1000,1.10084
4003.1500,1.10463
4003.2000,1.03175
4003.2500,1.03457
4003.3000,1.09115
4003.3500,1.15102
4003.4000,1.09215
4003.4500,1.07757
4003.5000,1.02969
4003.5500,1.02082
4003.6000,1.03154
4003.6500,0.991369
4003.7000,0.844087
4003.7500,0.530734
4003.8000,0.531396
4003.8500,0.858619
4003.9000,0.999803
4003.9500,0.980756
4004.0000,0.900344
4004.0500,0.96132
4004.1000,1.02718
4004.1500,1.02678
4004.2000,1.00254
4004.2500,1.03748
4004.3000,1.12204
4004.3500,1.04945
4004.4000,1.06936
4004.4500,1.08325
4004.5000,1.05617
4004.5500,0.974145
4004.6000,0.878695
4004.6500,0.894897
4004.7000,0.904375
4004.7500,0.764895
4004.8000,0.494363
4004.8500,0.260246
4004.9000,0.201135
4004.9500,0.23052
4005.0000,0.254112
4005.0500,0.275925
4005.1000,0.257297
4005.1500,0.222534
4005.2000,0.145856
4005.2500,0.0789915
4005.3000,0.111638
4005.3500,0.166977
4005.4000,0.230269
4005.4500,0.288285
4005.5000,0.396465
4005.5500,0.607748
4005.6000,0.642569
4005.6500,0.509168
4005.7000,0.439158
4005.7500,0.581281
4005.8000,0.853778
4005.8500,0.947873
4005.9000,0.867089
4005.9500,0.814617
4006.0000,0.895917
4006.0500,0.890353
4006.1000,0.741203
4006.1500,0.600163
4006.2000,0.677132
4006.2500,0.661999
4006.3000,0.464441
4006.3500,0.549649
4006.4000,0.837483
4006.4500,0.930129
4006.5000,0.986038
4006.5500,0.7939
4006.6000,0.487318
4006.6500,0.4012
4006.7000,0.429841
4006.7500,0.362852
4006.8000,0.380458
4006.8500,0.606953
4006.9000,0.79088
4006.9500,0.668219
4007.0000,0.528682
4007.0500,0.737893
4007.1000,0.964383
4007.1500,0.927782
4007.2000,0.746393
4007.2500,0.433605
4007.3000,0.430369
4007.3500,0.728539
4007.4000,0.927396
4007.4500,0.950274
4007.5000,0.965288
4007.5500,1.00599
4007.6000,1.02154
4007.6500,1.05123
4007.7000,1.08292
4007.7500,1.02074
4007.8000,0.937825
4007.8500,0.782829
4007.9000,0.643247
4007.9500,0.581635
4008.0000,0.600443
4008.0500,0.641331
4008.1000,0.790688
4008.1500,0.864361
4008.2000,0.942913
4008.2500,1.03845
4008.3000,1.09739
4008.3500,1.09934
4008.4000,1.08699
4008.4500,1.05569
4008.5000,1.07681
4008.5500,1.05396
4008.6000,0.975326
4008.6500,0.956229
4008.7000,0.911759
