Longitud_de_onda_A,espectro
4000.0000,0.98563
4000.0500,0.97568
4000.1000,1.03062
4000.1500,1.0504
4000.2000,0.775
4000.2500,0.562681
4000.3000,0.550332
4000.3500,0.57898
4000.4000,0.495813
4000.4500,0.362801
4000.5000,0.442892
4000.5500,0.759917
4000.6000,0.998939
4000.6500,1.20826
4000.7000,1.20755
4000.7500,1.1638
4000.8000,0.979268
4000.8500,1.04156
4000.9000,1.14405
4000.9500,1.11784
4001.0000,0.96502
4001.0500,0.8062
4001.1000,0.562761
4001.1500,0.501619
4001.2000,0.558694
4001.2500,0.803469
4001.3000,0.924126
4001.3500,1.01109
4001.4000,0.838477
4001.4500,0.667304
4001.5000,0.768493
4001.5500,0.838231
4001.6000,0.598235
4001.6500,0.36808
4001.7000,0.342614
4001.7500,0.668902
4001.8000,0.951049
4001.8500,1.13631
4001.9000,1.15335
4001.9500,1.02195
4002.0000,0.921073
4002.0500,0.857513
4002.1000,0.884616
4002.1500,1.02982
4002.2000,1.21595
4002.2500,1.22968
4002.3000,1.16134
4002.3500,0.967406
4002.4000,0.817955
4002.4500,0.699437
4002.5000,0.697044
4002.5500,0.80371
4002.6000,0.870094
4002.6500,0.716395
4002.7000,0.812246
4002.7500,1.05998
4002.8000,1.04289
4002.8500,0.878107
4002.9000,0.57128
4002.9500,0.594568
4003.0000,0.924084
4003.0500,1.17334
4003.1000,1.18343
4003.1500,1.11174
4003.2000,1.13979
4003.2500,1.09833
4003.3000,1.17081
4003.3500,1.26214
4003.4000,1.21669
4003.4500,1.15267
4003.5000,1.08097
4003.5500,1.03849
4003.6000,1.03313
4003.6500,1.03868
4003.7000,0.778077
4003.7500,0.49775
4003.8000,0.536715
4003.8500,0.784511
4003.9000,0.960123
4003.9500,0.857933
4004.0000,0.768906
4004.0500,0.888806
4004.1000,0.999864
4004.1500,0.981225
4004.2000,0.939658
4004.2500,1.09343
4004.3000,1.14425
4004.3500,1.17773
4004.4000,1.16887
4004.4500,1.19148
4004.5000,1.24929
4004.5500,1.01785
4004.6000,0.884894
4004.6500,0.85895
4004.7000,0.843694
4004.7500,0.70988
4004.8000,0.437962
4004.8500,0.272233
4004.9000,0.241335
4004.9500,0.231614
4005.0000,0.243813
4005.0500,0.216801
4005.1000,0.204065
4005.1500,0.174599
4005.2000,0.129681
4005.2500,0.0972677
4005.3000,0.131779
4005.3500,0.153249
4005.4000,0.201825
4005.4500,0.260251
4005.5000,0.342762
4005.5500,0.533185
4005.6000,0.583049
4005.6500,0.417171
4005.7000,0.393683
4005.7500,0.595246
4005.8000,0.870886
4005.8500,0.995302
4005.9000,0.911143
4005.9500,0.813777
4006.0000,0.912564
4006.0500,0.963768
4006.1000,0.714898
4006.1500,0.606584
4006.2000,0.629305
4006.2500,0.647531
4006.3000,0.479841
4006.3500,0.575719
4006.4000,0.863265
4006.4500,1.00282
4006.5000,0.941235
4006.5500,0.750637
4006.6000,0.507738
4006.6500,0.374313
4006.7000,0.360838
4006.7500,0.354167
4006.8000,0.465781
4006.8500,0.76885
4006.9000,0.93129
4006.9500,0.886811
4007.0000,0.697146
4007.0500,0.774892
4007.1000,1.00388
