Longitud_de_onda_A,espectro
4000.0000,0.976377
4000.0500,1.01646
4000.1000,1.09631
4000.1500,1.01714
4000.2000,0.862912
4000.2500,0.811981
4000.3000,0.949217
4000.3500,0.953402
4000.4000,0.736353
4000.4500,0.703464
4000.5000,0.769169
4000.5500,0.958424
4000.6000,0.928207
4000.6500,1.09279
4000.7000,1.01766
4000.7500,1.00839
4000.8000,0.924661
4000.8500,0.944476
4000.9000,1.01037
4000.9500,1.07514
4001.0000,0.943064
4001.0500,0.928837
4001.1000,0.701951
4001.1500,0.772646
4001.2000,0.850094
4001.2500,0.828806
4001.3000,0.99793
4001.3500,1.01574
4001.4000,0.862129
4001.4500,0.982091
4001.5000,0.899364
4001.5500,0.990439
4001.6000,0.834694
4001.6500,0.62178
4001.7000,0.711184
4001.7500,0.862841
4001.8000,1.06185
4001.8500,0.990161
4001.9000,1.09305
4001.9500,1.11864
4002.0000,1.01246
4002.0500,0.9226
4002.1000,0.945501
4002.1500,1.05604
4002.2000,0.970301
4002.2500,0.999301
4002.3000,1.15068
4002.3500,1.2069
4002.4000,1.03019
4002.4500,0.998329
4002.5000,0.977772
4002.5500,1.05317
4002.6000,1.09697
4002.6500,1.06696
4002.7000,0.973151
4002.7500,1.01227
4002.8000,1.00804
4002.8500,0.878254
4002.9000,0.917183
4002.9500,0.842642
4003.0000,0.985407
4003.0500,1.02498
4003.1000,1.04845
4003.1500,1.05509
4003.2000,1.0738
4003.2500,1.04939
4003.3000,0.959414
4003.3500,0.923597
4003.4000,1.07521
4003.4500,1.08333
4003.5000,1.06442
4003.5500,1.11908
4003.6000,1.10998
4003.6500,1.00752
4003.7000,0.957093
4003.7500,0.910083
4003.8000,0.859259
4003.8500,0.935277
4003.9000,0.943773
4003.9500,1.0144
4004.0000,1.00227
4004.0500,0.971142
4004.1000,1.14577
4004.1500,1.0054
4004.2000,0.908718
4004.2500,1.01013
4004.3000,1.15395
4004.3500,1.05953
4004.4000,1.02087
4004.4500,0.998552
4004.5000,1.06286
4004.5500,1.05661
4004.6000,0.986693
4004.6500,1.01256
4004.7000,0.93537
4004.7500,0.931626
4004.8000,0.747898
4004.8500,0.638111
4004.9000,0.538168
4004.9500,0.630346
4005.0000,0.799148
4005.0500,0.89805
4005.1000,0.722291
4005.1500,0.625643
4005.2000,0.365528
4005.2500,0.247089
4005.3000,0.486332
4005.3500,0.706821
4005.4000,0.840982
4005.4500,0.98577
4005.5000,0.948988
4005.5500,1.02138
4005.6000,1.02728
4005.6500,0.960237
4005.7000,0.675594
4005.7500,0.679941
4005.8000,0.978877
4005.8500,0.997559
4005.9000,1.03767
4005.9500,0.968487
4006.0000,1.02491
4006.0500,1.04692
4006.1000,1.01966
4006.1500,1.01802
4006.2000,1.05213
4006.2500,0.860147
4006.3000,0.687082
4006.3500,0.802855
4006.4000,1.00012
4006.4500,1.16243
4006.5000,1.11675
4006.5500,0.94223
4006.6000,0.76437
4006.6500,0.755027
4006.7000,0.822402
4006.7500,0.720034
4006.8000,0.730797
4006.8500,0.850677
4006.9000,1.00294
4006.9500,0.973465
4007.0000,0.952216
4007.0500,1.00058
4007.1000,0.950067
4007.1500,1.03929
4007.2000,0.891358
4007.2500,0.708
4007.3000,0.664642
4007.3500,0.787808
4007.4000,0.93717
4007.4500,1.02615
4007.5000,1.02281
4007.5500,1.05992
4007.6000,0.913778
4007.6500,0.989674
4007.7000,1.07542
4007.7500,0.976672
4007.8000,1.01018
4007.8500,1.0431
4007.9000,1.00297
4007.9500,1.03943
4008.0000,0.956787
4008.0500,0.957005
4008.1000,1.02828
4008.1500,1.02286
4008.2000,1.04586
4008.2500,1.04136
4008.3000,1.0479
4008.3500,0.966998
4008.4000,1.02021
4008.4500,1.12335
4008.5000,1.13619
4008.5500,1.05887
4008.6000,1.08555
4008.6500,0.982519
4008.7000,0.95918
4008.7500,0.943124
4008.8000,0.934014
4008.8500,0.767347
4008.9000,0.7262
4008.9500,0.759542
4009.0000,0.985683
4009.0500,1.01927
4009.1000,1.01311
4009.1500,0.916345
4009.2000,1.01753
4009.2500,0.969946
4009.3000,1.14344
4009.3500,1.10906
4009.4000,0.998153
4009.4500,0.998202
4009.5000,1.06432
4009.5500,0.991176
4009.6000,0.961046
4009.6500,0.559736
4009.7000,0.455245
4009.7500,0.562814
4009.8000,0.852784
4009.8500,0.978925
4009.9000,1.02404
4009.9500,1.03455
4010.0000,1.03439
4010.0500,1.06982
4010.1000,1.00617
4010.1500,1.05796
4010.2000,1.06401
4010.2500,0.992525
4010.3000,1.0599
4010.3500,1.01791
