Longitud_de_onda_A,espectro
4000.0000,1.00487
4000.0500,0.860571
4000.1000,1.1378
4000.1500,0.99741
4000.2000,0.876991
4000.2500,0.563518
4000.3000,0.71538
4000.3500,0.797461
4000.4000,0.632632
4000.4500,0.597649
4000.5000,0.735894
4000.5500,0.970618
4000.6000,1.0223
4000.6500,1.05663
4000.7000,1.11812
4000.7500,0.967253
4000.8000,0.999487
4000.8500,0.812066
4000.9000,0.922792
4000.9500,0.91905
4001.0000,0.982111
4001.0500,0.833073
4001.1000,0.587132
4001.1500,0.607336
4001.2000,0.699159
4001.2500,0.894436
4001.3000,0.94215
4001.3500,0.855559
4001.4000,0.767397
4001.4500,0.661203
4001.5000,0.730312
4001.5500,0.824531
4001.6000,0.714942
4001.6500,0.476568
4001.7000,0.487885
4001.7500,0.619332
4001.8000,0.843702
4001.8500,1.00983
4001.9000,1.02394
4001.9500,0.996052
4002.0000,0.899961
4002.0500,0.967079
4002.1000,0.979674
4002.1500,0.999707
4002.2000,1.09053
4002.2500,1.11118
4002.3000,1.07669
4002.3500,1.02825
4002.4000,0.869611
4002.4500,0.675234
4002.5000,0.695897
4002.5500,0.927541
4002.6000,0.852066
4002.6500,0.700288
4002.7000,0.755502
4002.7500,0.948869
4002.8000,1.02913
4002.8500,1.00802
4002.9000,0.759949
4002.9500,0.765546
4003.0000,0.960593
4003.0500,0.965818
4003.1000,1.0669
4003.1500,0.996846
4003.2000,1.06752
4003.2500,1.0497
4003.3000,1.15226
4003.3500,1.21133
4003.4000,1.09907
4003.4500,0.97432
4003.5000,0.926422
4003.5500,1.03922
4003.6000,0.927183
4003.6500,0.890558
4003.7000,0.825765
4003.7500,0.482407
4003.8000,0.398483
4003.8500,0.605644
4003.9000,0.788289
4003.9500,0.90591
4004.0000,1.00802
4004.0500,0.945787
4004.1000,0.976265
4004.1500,0.967604
4004.2000,0.882914
4004.2500,0.912862
4004.3000,0.937234
4004.3500,0.838973
4004.4000,0.832582
4004.4500,0.897104
4004.5000,0.8868
4004.5500,0.800796
4004.6000,0.806856
4004.6500,0.948003
4004.7000,0.904981
4004.7500,0.716635
4004.8000,0.521161
4004.8500,0.350323
4004.9000,0.399984
4004.9500,0.349139
4005.0000,0.38875
4005.0500,0.30083
4005.1000,0.279227
4005.1500,0.262742
4005.2000,0.295815
4005.2500,0.206272
4005.3000,0.173653
4005.3500,0.276751
4005.4000,0.264386
4005.4500,0.353311
4005.5000,0.433216
4005.5500,0.475965
4005.6000,0.575552
4005.6500,0.587725
4005.7000,0.473627
4005.7500,0.417399
4005.8000,0.579615
4005.8500,0.716522
4005.9000,0.54098
4005.9500,0.434698
4006.0000,0.634999
4006.0500,0.723983
4006.1000,0.677781
4006.1500,0.589283
4006.2000,0.696177
4006.2500,0.640861
4006.3000,0.554772
4006.3500,0.5687
4006.4000,0.793922
4006.4500,0.849088
4006.5000,0.777761
4006.5500,0.722724
4006.6000,0.574169
4006.6500,0.537685
4006.7000,0.463379
4006.7500,0.450331
4006.8000,0.491384
4006.8500,0.718886
4006.9000,0.944618
4006.9500,0.78071
4007.0000,0.80579
4007.0500,0.810952
4007.1000,0.97382
4007.1500,0.843936
4007.2000,0.628926
4007.2500,0.342103
4007.3000,0.423745
4007.3500,0.741747
4007.4000,0.807266
4007.4500,0.876481
4007.5000,0.99447
4007.5500,0.997675
4007.6000,0.933474
4007.6500,0.949446
4007.7000,1.01908
4007.7500,1.05916
4007.8000,0.923696
4007.8500,0.850127
4007.9000,0.743356
4007.9500,0.611377
4008.0000,0.576657
4008.0500,0.578569
4008.1000,0.731777
4008.1500,0.9711
4008.2000,1.03351
4008.2500,1.13737
4008.3000,1.15162
4008.3500,1.01289
4008.4000,1.00579
4008.4500,1.05247
4008.5000,1.00751
4008.5500,1.10895
4008.6000,0.934985
4008.6500,0.939552
4008.7000,0.968753
4008.7500,0.856555
4008.8000,0.754432
4008.8500,0.641438
4008.9000,0.308139
4008.9500,0.306607
4009.0000,0.419692
4009.0500,0.725829
4009.1000,0.849698
4009.1500,0.686493
4009.2000,0.839884
4009.2500,1.06353
4009.3000,1.07922
4009.3500,1.09635
4009.4000,1.15215
4009.4500,1.0346
4009.5000,0.857177
4009.5500,0.545147
4009.6000,0.421169
4009.6500,0.37828
4009.7000,0.230059
4009.7500,0.302584
4009.8000,0.563683
4009.8500,0.768501
4009.9000,0.836393
4009.9500,1.00496
4010.0000,1.00163
4010.0500,1.11509
4010.1000,1.1037
4010.1500,0.755982
4010.2000,0.854185
4010.2500,0.937092
4010.3000,1.06428
4010.3500,1.03459
4010.4000,1.1628
4010.4500,0.95853
4010.5000,0.861993
4010.5500,0.725599
4010.6000,0.753404
4010.6500,0.900053
4010.7000,0.902658
4010.7500,0.719857
4010.8000,0.717369
4010.8500,0.832865
4010.9000,0.666817
4010.9500,0.724033
4011.0000,0.923038
4011.0500,1.00131
4011.1000,0.911024
4011.1500,0.972004
4011.2000,1.13005
4011.2500,1.04011
4011.3000,1.09147
4011.3500,0.84971
4011.4000,0.782937
4011.4500,0.755165
4011.5000,0.757816
4011.5500,0.800698
4011.6000,1.04816
4011.6500,0.962062
4011.7000,0.735274
4011.7500,0.687325
4011.8000,0.892584
4011.8500,0.894601
4011.9000,0.919124
4011.9500,1.00772
4012.0000,0.950886
4012.0500,0.969428
4012.1000,1.07008
4012.1500,0.834982
4012.2000,0.716105
4012.2500,0.872712
4012.3000,0.869733
4012.3500,0.661842
4012.4000,0.472813
4012.4500,0.498064
4012.5000,0.69173
4012.5500,0.898443
4012.6000,0.860346
4012.6500,0.996465
4012.7000,0.994645
4012.7500,0.887092
4012.8000,0.919908
4012.8500,1.07467
4012.9000,1.16799
4012.9500,1.22249
4013.0000,1.14444
4013.0500,1.1241
4013.1000,1.07818
4013.1500,1.01301
4013.2000,0.986955
4013.2500,1.02217
4013.3000,0.930803
4013.3500,1.17812
4013.4000,1.19072
4013.4500,1.0591
4013.5000,1.0727
4013.5500,0.598056
4013.6000,0.410241
4013.6500,0.483715
4013.7000,0.623861
4013.7500,0.568587
4013.8000,0.46734
4013.8500,0.455068
4013.9000,0.468304
4013.9500,0.681278
4014.0000,0.937626
4014.0500,1.06618
4014.1000,1.06938
4014.1500,1.08546
4014.2000,0.994219
4014.2500,0.685542
4014.3000,0.737243
4014.3500,0.811542
4014.4000,0.742601
4014.4500,0.633435
4014.5000,0.376536
4014.5500,0.32645
4014.6000,0.416702
4014.6500,0.650092
4014.7000,0.815842
4014.7500,0.966657
4014.8000,0.952988
4014.8500,0.942627
4014.9000,0.80591
4014.9500,0.836032
4015.0000,0.998955
4015.0500,1.06455
4015.1000,0.968369
4015.1500,0.951773
4015.2000,0.928089
4015.2500,0.9794
4015.3000,0.901565
4015.3500,0.607601
4015.4000,0.605018
4015.4500,0.821091
4015.5000,0.796133
4015.5500,0.652725
4015.6000,0.549518
4015.6500,0.738861
4015.7000,0.982491
4015.7500,1.05596
4015.8000,1.12495
4015.8500,1.12241
4015.9000,1.07638
4015.9500,1.03924
4016.0000,0.92886
4016.0500,1.09758
4016.1000,1.12885
4016.1500,1.08186
4016.2000,0.982793
4016.2500,0.875833
4016.3000,0.769117
4016.3500,0.720175
4016.4000,0.595978
4016.4500,0.617058
4016.5000,0.810767
4016.5500,0.913393
4016.6000,1.05023
4016.6500,1.02696
4016.7000,1.03726
4016.7500,0.877358
4016.8000,0.790093
4016.8500,0.922703
4016.9000,0.834987
4016.9500,0.764264
4017.0000,0.739734
4017.0500,0.660821
4017.1000,0.384379
4017.1500,0.449549
4017.2000,0.601437
4017.2500,0.787959
4017.3000,0.782302
4017.3500,0.824193
4017.4000,0.706685
4017.4500,0.577593
4017.5000,0.575513
4017.5500,0.643586
4017.6000,0.785746
4017.6500,0.925283
4017.7000,0.896488
4017.7500,0.684754
4017.8000,0.692546
4017.8500,0.978433
4017.9000,1.02526
4017.9500,0.978729
4018.0000,0.746586
4018.0500,0.434097
4018.1000,0.333477
4018.1500,0.409361
4018.2000,0.497116
4018.2500,0.435432
4018.3000,0.584137
4018.3500,0.818758
4018.4000,0.927721
4018.4500,1.09844
4018.5000,1.0711
4018.5500,1.11294
4018.6000,1.16884
4018.6500,1.12898
4018.7000,1.33703
4018.7500,1.19493
4018.8000,1.12626
4018.8500,1.13455
4018.9000,1.10402
4018.9500,1.04718
4019.0000,0.915465
4019.0500,0.735156
4019.1000,0.818765
4019.1500,1.03711
4019.2000,1.07238
4019.2500,0.870079
4019.3000,0.696853
4019.3500,0.895309
4019.4000,1.02946
4019.4500,1.14697
4019.5000,1.2529
4019.5500,1.18074
4019.6000,1.16725
4019.6500,1.29228
4019.7000,1.13608
4019.7500,1.09398
4019.8000,1.21408
4019.8500,1.18018
4019.9000,1.1663
4019.9500,0.955051
4020.0000,0.802641
4020.0500,0.637184
4020.1000,0.621455
4020.1500,0.612886
4020.2000,0.554763
4020.2500,0.546886
4020.3000,0.586332
4020.3500,0.362504
4020.4000,0.282973
4020.4500,0.385222
4020.5000,0.575083
4020.5500,0.880003
4020.6000,1.0704
4020.6500,1.10962
4020.7000,1.21647
4020.7500,1.04579
4020.8000,0.814998
4020.8500,0.546606
4020.9000,0.37931
4020.9500,0.598031
4021.0000,0.992565
4021.0500,1.14051
4021.1000,1.09987
4021.1500,0.981761
4021.2000,1.08512
4021.2500,1.13811
4021.3000,1.02617
4021.3500,0.972352
4021.4000,1.10064
4021.4500,1.08946
4021.5000,1.13604
4021.5500,0.853364
4021.6000,0.557337
4021.6500,0.551775
4021.7000,0.583029
4021.7500,0.59045
4021.8000,0.506736
4021.8500,0.307427
4021.9000,0.300731
4021.9500,0.511207
4022.0000,0.73896
4022.0500,0.799063
4022.1000,0.862813
4022.1500,0.880993
4022.2000,0.699862
4022.2500,0.547067
4022.3000,0.812428
4022.3500,0.995376
4022.4000,0.980094
4022.4500,0.833011
4022.5000,0.917285
4022.5500,1.06001
4022.6000,0.954866
4022.6500,0.872231
4022.7000,0.688433
4022.7500,0.683101
4022.8000,0.925579
4022.8500,1.06238
4022.9000,1.0993
4022.9500,1.06601
4023.0000,0.979228
4023.0500,0.97557
4023.1000,1.03707
4023.1500,1.04207
4023.2000,1.03049
4023.2500,1.02773
4023.3000,0.954616
4023.3500,0.832839
4023.4000,0.653061
4023.4500,0.831295
4023.5000,1.04672
4023.5500,1.025
4023.6000,0.706997
4023.6500,0.380033
4023.7000,0.283881
4023.7500,0.523177
4023.8000,0.930711
4023.8500,1.03693
4023.9000,0.983738
4023.9500,0.796455
4024.0000,0.684136
4024.0500,0.635101
4024.1000,0.607827
4024.1500,0.758968
4024.2000,1.05643
4024.2500,1.01906
4024.3000,0.888868
4024.3500,0.924505
4024.4000,0.966394
4024.4500,0.797926
4024.5000,0.545552
4024.5500,0.254164
4024.6000,0.274201
4024.6500,0.324434
4024.7000,0.339936
4024.7500,0.235608
4024.8000,0.499759
4024.8500,0.717453
4024.9000,0.737798
4024.9500,0.544642
4025.0000,0.522958
4025.0500,0.49605
4025.1000,0.47865
4025.1500,0.497602
4025.2000,0.638482
4025.2500,0.784038
4025.3000,0.995599
4025.3500,0.997523
4025.4000,0.76967
4025.4500,0.70282
4025.5000,0.961935
4025.5500,1.16375
4025.6000,1.03263
4025.6500,1.07452
4025.7000,1.0775
4025.7500,0.856948
4025.8000,0.712783
4025.8500,0.732246
4025.9000,0.863671
4025.9500,1.14927
4026.0000,1.11622
4026.0500,0.993365
4026.1000,0.833362
4026.1500,0.656088
4026.2000,0.685471
4026.2500,0.90631
4026.3000,1.12546
4026.3500,0.934364
4026.4000,0.586306
4026.4500,0.406672
4026.5000,0.511387
4026.5500,0.545354
4026.6000,0.828223
4026.6500,1.1065
4026.7000,1.05952
4026.7500,1.04188
4026.8000,1.12078
4026.8500,1.13238
4026.9000,1.16937
4026.9500,1.04
4027.0000,0.634129
4027.0500,0.413077
4027.1000,0.496095
4027.1500,0.614112
4027.2000,0.730057
4027.2500,0.854136
4027.3000,0.952831
4027.3500,0.879567
4027.4000,0.697962
4027.4500,0.742587
4027.5000,0.782804
4027.5500,1.11064
4027.6000,0.912044
4027.6500,0.81663
4027.7000,0.81125
4027.7500,1.00088
4027.8000,1.05064
4027.8500,1.01005
4027.9000,0.883646
4027.9500,0.888267
4028.0000,0.917444
4028.0500,1.04446
4028.1000,1.00396
4028.1500,1.03342
4028.2000,1.11187
4028.2500,0.888197
4028.3000,0.768461
4028.3500,0.639917
4028.4000,0.768871
4028.4500,0.940331
4028.5000,0.899058
4028.5500,0.945802
4028.6000,0.836895
4028.6500,0.986453
4028.7000,0.934094
4028.7500,0.777142
4028.8000,0.787928
4028.8500,0.940086
4028.9000,1.0477
4028.9500,0.868759
4029.0000,1.0352
4029.0500,1.04547
4029.1000,1.10757
4029.1500,1.01326
4029.2000,1.02052
4029.2500,1.01797
4029.3000,1.09408
4029.3500,0.94324
4029.4000,0.872955
4029.4500,0.850519
4029.5000,0.806542
4029.5500,0.713698
4029.6000,0.469279
4029.6500,0.364862
4029.7000,0.521742
4029.7500,0.686324
4029.8000,0.706235
4029.8500,0.644156
4029.9000,0.584166
4029.9500,0.6857
4030.0000,0.586395
4030.0500,0.54997
4030.1000,0.612093
4030.1500,0.393945
4030.2000,0.395771
4030.2500,0.408481
4030.3000,0.371018
4030.3500,0.391779
4030.4000,0.408446
4030.4500,0.304639
4030.5000,0.250011
4030.5500,0.298993
4030.6000,0.352934
4030.6500,0.324812
4030.7000,0.155375
4030.7500,0.104538
4030.8000,0.142034
4030.8500,0.161668
4030.9000,0.265179
4030.9500,0.313501
4031.0000,0.319157
4031.0500,0.367071
4031.1000,0.354257
4031.1500,0.378893
4031.2000,0.31206
4031.2500,0.441034
4031.3000,0.464385
4031.3500,0.520875
4031.4000,0.537136
4031.4500,0.51803
4031.5000,0.632433
4031.5500,0.609981
4031.6000,0.719718
4031.6500,0.593252
4031.7000,0.400858
4031.7500,0.476926
4031.8000,0.42381
4031.8500,0.484577
4031.9000,0.537183
4031.9500,0.477183
4032.0000,0.594823
4032.0500,0.676819
4032.1000,0.734821
4032.1500,0.769639
4032.2000,0.725121
4032.2500,0.701261
4032.3000,0.685307
4032.3500,0.549866
4032.4000,0.621468
4032.4500,0.501042
4032.5000,0.418982
4032.5500,0.361447
4032.6000,0.376541
4032.6500,0.280192
4032.7000,0.319509
4032.7500,0.421129
4032.8000,0.356802
4032.8500,0.228546
4032.9000,0.351854
4032.9500,0.182347
4033.0000,0.189092
4033.0500,0.164932
4033.1000,0.177463
4033.1500,0.129313
4033.2000,0.305097
4033.2500,0.328193
4033.3000,0.396569
4033.3500,0.35989
4033.4000,0.431735
4033.4500,0.51883
4033.5000,0.401717
4033.5500,0.401346
4033.6000,0.389874
