Longitud_de_onda_A,espectro
4000.0000,0.944465
4000.0500,0.978437
4000.1000,0.9756
4000.1500,0.989201
4000.2000,0.966901
4000.2500,0.978645
4000.3000,1.0095
4000.3500,0.965426
4000.4000,0.983482
4000.4500,0.98572
4000.5000,0.985333
4000.5500,0.993568
4000.6000,0.98362
4000.6500,0.984742
4000.7000,0.984338
4000.7500,0.989664
4000.8000,0.973559
4000.8500,0.994557
4000.9000,0.963915
4000.9500,0.984336
4001.0000,0.97431
4001.0500,0.979894
4001.1000,0.982837
4001.1500,0.986962
4001.2000,0.998708
4001.2500,0.993795
4001.3000,0.97362
4001.3500,0.980854
4001.4000,0.983597
4001.4500,0.995185
4001.5000,0.995955
4001.5500,1.00596
4001.6000,0.992382
4001.6500,0.980068
4001.7000,0.998422
4001.7500,1.00487
4001.8000,1.00938
4001.8500,0.990231
4001.9000,0.978848
4001.9500,0.961398
4002.0000,0.933263
4002.0500,0.892298
4002.1000,0.883622
4002.1500,0.92205
4002.2000,0.963536
4002.2500,0.981976
4002.3000,0.975746
4002.3500,0.974701
4002.4000,0.938782
4002.4500,0.899384
4002.5000,0.832169
4002.5500,0.835262
4002.6000,0.847219
4002.6500,0.899882
4002.7000,0.969872
4002.7500,0.971872
4002.8000,0.980147
4002.8500,0.975849
4002.9000,0.974563
4002.9500,0.956439
4003.0000,0.999637
4003.0500,0.97559
4003.1000,0.964729
4003.1500,0.967141
4003.2000,0.985741
4003.2500,0.965141
4003.3000,0.969789
4003.3500,0.989879
4003.4000,1.00039
4003.4500,1.00759
4003.5000,0.976903
4003.5500,1.01595
4003.6000,0.982652
4003.6500,0.982249
4003.7000,0.984396
4003.7500,1.01073
4003.8000,0.991129
4003.8500,0.982447
4003.9000,0.985081
4003.9500,0.982315
4004.0000,0.97049
4004.0500,0.970464
4004.1000,0.977114
4004.1500,0.987784
4004.2000,0.986688
4004.2500,0.990801
4004.3000,0.997452
4004.3500,0.992551
4004.4000,1.00566
4004.4500,1.00356
4004.5000,0.995632
4004.5500,0.989707
4004.6000,0.995506
4004.6500,1.00514
4004.7000,1.00076
4004.7500,0.992048
4004.8000,0.976936
4004.8500,1.00771
4004.9000,1.00033
4004.9500,0.980507
4005.0000,0.961892
4005.0500,0.963986
4005.1000,0.960231
4005.1500,0.973535
4005.2000,0.981916
4005.2500,0.973375
4005.3000,0.971572
4005.3500,0.970837
4005.4000,1.00294
4005.4500,0.996456
4005.5000,0.981655
4005.5500,0.993128
4005.6000,0.981688
4005.6500,0.985041
4005.7000,0.983148
4005.7500,0.99333
4005.8000,0.988423
