Longitud_de_onda_A,espectro
4000.0000,1.05669
4000.0500,1.03852
4000.1000,1.09845
4000.1500,1.03384
4000.2000,0.793443
4000.2500,0.577733
4000.3000,0.591607
4000.3500,0.668759
4000.4000,0.583992
4000.4500,0.456976
4000.5000,0.602235
4000.5500,0.860781
4000.6000,1.07486
4000.6500,1.13039
4000.7000,1.09612
4000.7500,1.01635
4000.8000,0.976246
4000.8500,0.984186
4000.9000,1.00959
4000.9500,0.977964
4001.0000,0.900138
4001.0500,0.750763
4001.1000,0.54881
4001.1500,0.470336
4001.2000,0.520426
4001.2500,0.715797
4001.3000,0.87945
4001.3500,0.903643
4001.4000,0.736685
4001.4500,0.64256
4001.5000,0.800115
4001.5500,0.917148
4001.6000,0.730374
4001.6500,0.458007
4001.7000,0.424212
4001.7500,0.670187
4001.8000,0.937159
4001.8500,1.03125
4001.9000,1.03357
4001.9500,0.972333
4002.0000,0.91207
4002.0500,0.851314
4002.1000,0.833647
4002.1500,0.977349
4002.2000,1.08339
4002.2500,1.12484
4002.3000,1.08578
4002.3500,1.01077
4002.4000,0.869748
4002.4500,0.743763
4002.5000,0.763291
4002.5500,0.854374
4002.6000,0.859689
4002.6500,0.777942
4002.7000,0.863256
4002.7500,1.03391
4002.8000,1.07452
4002.8500,0.869608
4002.9000,0.672879
4002.9500,0.65396
4003.0000,0.89328
4003.0500,1.1022
4003.1000,1.11402
4003.1500,1.08165
4003.2000,1.08568
4003.2500,1.0184
4003.3000,1.05352
4003.3500,1.08257
4003.4000,1.08848
4003.4500,1.09673
4003.5000,1.0251
4003.5500,1.01586
4003.6000,1.02257
4003.6500,1.0131
4003.7000,0.853368
4003.7500,0.559011
4003.8000,0.575642
4003.8500,0.823535
4003.9000,0.96441
4003.9500,0.965669
4004.0000,1.00931
4004.0500,1.04755
4004.1000,1.04147
4004.1500,1.00548
4004.2000,0.994289
4004.2500,1.02093
4004.3000,1.02649
4004.3500,1.0782
4004.4000,1.0559
4004.4500,1.16766
4004.5000,1.05376
4004.5500,0.970165
4004.6000,0.907163
4004.6500,0.912699
4004.7000,0.93144
4004.7500,0.84981
4004.8000,0.551659
4004.8500,0.317071
4004.9000,0.270288
4004.9500,0.288727
4005.0000,0.291415
4005.0500,0.304137
4005.1000,0.308797
4005.1500,0.26494
4005.2000,0.19763
4005.2500,0.148637
4005.3000,0.181262
4005.3500,0.225782
4005.4000,0.284807
4005.4500,0.338574
4005.5000,0.464809
4005.5500,0.642978
4005.6000,0.69492
4005.6500,0.567646
4005.7000,0.454886
4005.7500,0.601541
4005.8000,0.855604
4005.8500,0.977728
4005.9000,0.92242
4005.9500,0.860277
4006.0000,0.893989
4006.0500,0.909696
4006.1000,0.748022
4006.1500,0.590125
4006.2000,0.673885
4006.2500,0.64666
4006.3000,0.494411
4006.3500,0.554401
4006.4000,0.811086
4006.4500,0.946294
4006.5000,0.908421
4006.5500,0.786814
4006.6000,0.531676
4006.6500,0.422306
4006.7000,0.462542
4006.7500,0.374804
4006.8000,0.413934
4006.8500,0.642476
4006.9000,0.779144
4006.9500,0.723788
4007.0000,0.613855
4007.0500,0.746609
4007.1000,0.943769
4007.1500,0.948486
4007.2000,0.746099
4007.2500,0.442632
4007.3000,0.467406
4007.3500,0.748201
4007.4000,0.944372
4007.4500,0.983726
4007.5000,1.01324
4007.5500,1.00576
4007.6000,0.993454
4007.6500,1.01527
4007.7000,1.014
4007.7500,0.952498
4007.8000,0.855759
4007.8500,0.721197
4007.9000,0.566268
4007.9500,0.543093
