Longitud_de_onda_A,espectro
4000.0000,0.961823
4000.0500,1.03665
4000.1000,1.01162
4000.1500,1.00573
4000.2000,0.99082
4000.2500,0.958803
4000.3000,0.97166
4000.3500,1.00781
4000.4000,1.03498
4000.4500,0.951567
4000.5000,1.01573
4000.5500,0.986713
4000.6000,0.997167
4000.6500,0.974438
4000.7000,1.0272
4000.7500,1.00519
4000.8000,0.996476
4000.8500,0.978027
4000.9000,0.966274
4000.9500,0.986125
4001.0000,1.0126
4001.0500,1.01084
4001.1000,0.980662
4001.1500,0.95468
4001.2000,1.01936
4001.2500,0.989091
4001.3000,1.01956
4001.3500,0.992223
4001.4000,0.962579
4001.4500,1.01914
4001.5000,0.999459
4001.5500,0.987409
4001.6000,0.945172
4001.6500,0.970532
4001.7000,0.969926
4001.7500,1.04356
4001.8000,1.01248
4001.8500,0.991919
4001.9000,1.0357
4001.9500,0.97744
4002.0000,0.985626
4002.0500,1.05631
4002.1000,1.0268
4002.1500,1.02635
4002.2000,1.02829
4002.2500,0.918486
4002.3000,0.990558
4002.3500,0.94833
4002.4000,1.0181
4002.4500,1.04521
4002.5000,1.01101
4002.5500,0.959639
4002.6000,1.02627
4002.6500,1.02078
4002.7000,1.00169
4002.7500,0.989265
4002.8000,1.02019
4002.8500,1.01561
4002.9000,1.02978
4002.9500,1.02544
4003.0000,0.997139
4003.0500,0.917316
4003.1000,0.943967
4003.1500,0.953982
4003.2000,0.921796
4003.2500,0.961654
4003.3000,0.968349
4003.3500,0.981425
4003.4000,0.968484
4003.4500,0.947192
4003.5000,0.93232
4003.5500,0.960501
4003.6000,0.966532
4003.6500,0.989178
4003.7000,0.94344
4003.7500,1.00484
4003.8000,1.02078
4003.8500,0.989896
4003.9000,1.00382
4003.9500,1.00805
4004.0000,0.993729
4004.0500,0.964864
4004.1000,0.987251
4004.1500,0.9605
4004.2000,0.976164
4004.2500,0.970828
4004.3000,0.950502
4004.3500,0.95667
4004.4000,0.963448
4004.4500,0.945119
4004.5000,0.994708
4004.5500,1.03781
4004.6000,1.0149
4004.6500,0.990729
4004.7000,1.01496
