Longitud_de_onda_A,espectro
4000.0000,0.960635
4000.0500,1.03689
4000.1000,1.01148
4000.1500,1.00787
4000.2000,0.990677
4000.2500,0.958564
4000.3000,0.972003
4000.3500,1.00644
4000.4000,1.03548
4000.4500,0.950686
4000.5000,1.01479
4000.5500,0.986128
4000.6000,0.996833
4000.6500,0.973919
4000.7000,1.02761
4000.7500,1.00424
4000.8000,0.995812
4000.8500,0.977284
4000.9000,0.965782
4000.9500,0.984844
4001.0000,1.01221
4001.0500,1.01153
4001.1000,0.980427
4001.1500,0.953368
4001.2000,1.02103
4001.2500,0.989522
4001.3000,1.01935
4001.3500,0.991393
4001.4000,0.962374
4001.4500,1.01912
4001.5000,1.00017
4001.5500,0.987287
4001.6000,0.945303
4001.6500,0.970038
4001.7000,0.969046
4001.7500,1.04374
4001.8000,1.01201
4001.8500,0.992827
4001.9000,1.03458
4001.9500,0.97631
4002.0000,0.985529
4002.0500,1.0564
4002.1000,1.02699
4002.1500,1.02745
4002.2000,1.02799
4002.2500,0.917625
4002.3000,0.990289
4002.3500,0.947782
4002.4000,1.01813
4002.4500,1.04558
4002.5000,1.01077
4002.5500,0.959052
4002.6000,1.02631
4002.6500,1.02092
4002.7000,1.00026
4002.7500,0.98965
4002.8000,1.01923
4002.8500,1.01579
4002.9000,1.03036
4002.9500,1.02615
4003.0000,0.99693
4003.0500,0.918046
4003.1000,0.94287
4003.1500,0.954264
4003.2000,0.922916
4003.2500,0.961518
4003.3000,0.969779
4003.3500,0.98038
4003.4000,0.969668
4003.4500,0.946663
4003.5000,0.933506
4003.5500,0.96012
4003.6000,0.9672
4003.6500,0.989335
4003.7000,0.943287
4003.7500,1.00484
4003.8000,1.02035
4003.8500,0.989577
4003.9000,1.00441
4003.9500,1.00844
4004.0000,0.993641
4004.0500,0.963929
4004.1000,0.986857
4004.1500,0.961613
4004.2000,0.976804
4004.2500,0.970649
4004.3000,0.950349
4004.3500,0.956624
4004.4000,0.964673
4004.4500,0.943811
4004.5000,0.995379
4004.5500,1.03842
4004.6000,1.01458
4004.6500,0.989143
4004.7000,1.01505
4004.7500,1.08946
4004.8000,0.996278
4004.8500,0.988157
4004.9000,0.960476
4004.9500,1.0626
4005.0000,0.994636
4005.0500,0.972379
4005.1000,0.959883
4005.1500,0.940368
4005.2000,0.960927
4005.2500,0.990486
4005.3000,0.978985
4005.3500,0.922844
4005.4000,1.01276
4005.4500,0.983312
4005.5000,0.940965
4005.5500,0.992363
4005.6000,1.02619
4005.6500,0.995643
4005.7000,1.02367
4005.7500,0.970026
4005.8000,1.03672
4005.8500,1.00025
4005.9000,1.06812
4005.9500,1.0113
4006.0000,0.97674
4006.0500,1.04209
4006.1000,0.990091
4006.1500,1.01974
4006.2000,1.02444
4006.2500,1.05273
4006.3000,1.04112
4006.3500,1.02082
4006.4000,1.0515
4006.4500,1.03238
4006.5000,1.03433
4006.5500,1.04285
4006.6000,0.995517
4006.6500,1.04038
4006.7000,1.02215
4006.7500,1.01752
4006.8000,1.07081
4006.8500,1.06495
4006.9000,1.08295
4006.9500,1.03985
4007.0000,0.992924
4007.0500,1.02355
4007.1000,1.02238
4007.1500,1.03371
4007.2000,1.01247
4007.2500,0.977509
4007.3000,0.99951
4007.3500,1.03343
4007.4000,1.00113
4007.4500,1.09421
4007.5000,1.10264
4007.5500,1.01255
4007.6000,1.02834
4007.6500,1.02671
4007.7000,0.97697
4007.7500,0.97503
4007.8000,0.995847
4007.8500,1.03915
4007.9000,1.02673
4007.9500,1.02535
4008.0000,1.00661
4008.0500,1.0545
4008.1000,1.01858
4008.1500,1.03037
4008.2000,1.0222
4008.2500,1.02005
4008.3000,1.03067
4008.3500,1.09807
4008.4000,1.03289
4008.4500,0.987652
4008.5000,1.0265
4008.5500,0.994033
4008.6000,0.930506
4008.6500,0.957161
4008.7000,0.925582
4008.7500,0.947395
4008.8000,0.955225
4008.8500,0.98698
4008.9000,0.987645
4008.9500,0.986771
4009.0000,0.93944
4009.0500,0.953474
4009.1000,0.927613
4009.1500,0.947527
4009.2000,0.965329
4009.2500,0.9113
4009.3000,0.885481
4009.3500,0.981367
4009.4000,0.919152
4009.4500,0.927916
4009.5000,0.92578
4009.5500,0.933875
4009.6000,0.938159
4009.6500,0.966301
4009.7000,0.944753
4009.7500,0.975545
4009.8000,0.992678
4009.8500,0.964486
4009.9000,1.00708
4009.9500,0.995122
4010.0000,1.0001
4010.0500,0.97197
4010.1000,0.982151
4010.1500,1.01292
4010.2000,1.03513
4010.2500,1.02108
4010.3000,1.0071
4010.3500,0.974425
4010.4000,1.03656
4010.4500,1.01117
4010.5000,1.05201
4010.5500,1.039
4010.6000,1.04509
4010.6500,1.03321
4010.7000,1.05521
4010.7500,0.996952
4010.8000,1.04476
4010.8500,0.991743
4010.9000,1.02994
4010.9500,1.03454
4011.0000,1.02023
4011.0500,0.988655
4011.1000,1.02397
4011.1500,0.992603
4011.2000,1.06691
4011.2500,1.0235
4011.3000,0.981861
4011.3500,1.0524
4011.4000,1.0122
4011.4500,1.01544
4011.5000,1.06903
4011.5500,1.02622
4011.6000,1.02501
4011.6500,1.04128
4011.7000,1.04423
4011.7500,1.00576
4011.8000,1.0665
4011.8500,1.00844
4011.9000,1.07616
4011.9500,1.03932
4012.0000,1.05824
4012.0500,1.06439
4012.1000,1.06207
4012.1500,1.08594
4012.2000,1.03683
4012.2500,1.06655
4012.3000,1.04445
4012.3500,1.02547
4012.4000,1.01364
4012.4500,1.0137
4012.5000,0.998512
4012.5500,1.03811
4012.6000,1.05771
4012.6500,1.03441
4012.7000,1.03756
4012.7500,1.05625
4012.8000,1.05215
4012.8500,1.00112
4012.9000,1.0022
4012.9500,1.03846
4013.0000,1.01293
4013.0500,1.03411
4013.1000,0.995547
4013.1500,0.95331
4013.2000,0.999695
4013.2500,1.02529
4013.3000,0.983031
4013.3500,1.0199
4013.4000,1.02569
4013.4500,1.05987
4013.5000,1.05758
4013.5500,0.985531
4013.6000,0.980318
4013.6500,1.02899
4013.7000,1.0376
4013.7500,1.03133
4013.8000,1.07189
4013.8500,1.0201
4013.9000,0.989416
4013.9500,1.03447
4014.0000,0.996768
4014.0500,0.954981
4014.1000,1.0036
4014.1500,1.0286
4014.2000,1.01956
4014.2500,0.973189
4014.3000,0.986596
4014.3500,1.04521
4014.4000,1.06729
4014.4500,1.04625
4014.5000,0.974768
4014.5500,1.01458
4014.6000,0.999358
4014.6500,0.956146
4014.7000,1.02944
4014.7500,0.988887
4014.8000,0.976872
4014.8500,0.96992
4014.9000,1.03579
4014.9500,1.01251
4015.0000,1.02345
4015.0500,1.0282
4015.1000,1.02314
4015.1500,0.989132
4015.2000,1.00474
4015.2500,1.00673
