Longitud_de_onda_A,espectro
4000.0000,0.97167
4000.0500,0.994869
4000.1000,0.961686
4000.1500,0.989193
4000.2000,1.03766
4000.2500,0.96125
4000.3000,0.974083
4000.3500,0.945251
4000.4000,0.934526
4000.4500,1.00786
4000.5000,1.0032
4000.5500,0.959552
4000.6000,0.930406
4000.6500,1.03859
4000.7000,0.976163
4000.7500,0.975513
4000.8000,0.99026
4000.8500,0.991838
4000.9000,0.962145
4000.9500,0.951557
4001.0000,0.956055
4001.0500,0.990388
4001.1000,1.00722
4001.1500,0.996539
4001.2000,1.00489
4001.2500,1.02118
4001.3000,0.970441
4001.3500,0.952214
4001.4000,0.931798
4001.4500,1.02808
4001.5000,0.978503
4001.5500,0.974928
4001.6000,0.976558
4001.6500,0.968657
4001.7000,0.96455
4001.7500,0.962399
4001.8000,0.969167
4001.8500,0.96967
4001.9000,0.981463
4001.9500,0.87869
4002.0000,0.961976
4002.0500,0.976117
4002.1000,1.04482
4002.1500,0.979195
4002.2000,1.01811
4002.2500,0.968198
4002.3000,0.951105
4002.3500,0.95121
4002.4000,0.991983
4002.4500,0.941095
4002.5000,0.915516
4002.5500,0.886375
4002.6000,0.98578
4002.6500,0.947159
4002.7000,1.0037
4002.7500,0.964551
4002.8000,1.03935
4002.8500,1.00457
4002.9000,1.0115
4002.9500,1.05022
4003.0000,0.939424
4003.0500,0.985803
4003.1000,1.01747
4003.1500,0.992812
4003.2000,1.02243
4003.2500,0.973268
4003.3000,0.978327
4003.3500,0.94956
4003.4000,0.956288
4003.4500,1.02395
4003.5000,1.01382
4003.5500,0.997913
4003.6000,0.955182
4003.6500,0.996468
4003.7000,0.986386
4003.7500,1.03724
4003.8000,0.957793
4003.8500,0.956154
4003.9000,1.0032
4003.9500,1.01705
4004.0000,0.983513
4004.0500,0.98362
4004.1000,0.976485
4004.1500,0.94586
4004.2000,0.926234
4004.2500,1.01296
4004.3000,0.975171
4004.3500,0.93094
4004.4000,0.948251
4004.4500,0.990417
4004.5000,1.08875
4004.5500,0.958552
4004.6000,0.942517
4004.6500,0.979736
4004.7000,0.958178
4004.7500,0.943696
4004.8000,0.962106
4004.8500,0.986601
4004.9000,1.02403
4004.9500,1.02785
4005.0000,1.00573
4005.0500,0.957823
4005.1000,0.973497
4005.1500,0.942863
4005.2000,0.966044
4005.2500,0.94462
4005.3000,1.01002
4005.3500,1.00064
4005.4000,0.975728
4005.4500,1.00811
4005.5000,0.954754
4005.5500,0.990972
4005.6000,0.967545
4005.6500,0.993915
4005.7000,1.00157
4005.7500,1.00928
4005.8000,1.02233
4005.8500,1.02817
4005.9000,0.998225
4005.9500,0.998434
4006.0000,1.04861
4006.0500,1.02162
4006.1000,1.00179
4006.1500,1.0688
4006.2000,1.02173
4006.2500,1.03677
4006.3000,0.978574
4006.3500,0.974198
4006.4000,1.04816
4006.4500,1.01324
4006.5000,1.00596
4006.5500,0.940773
4006.6000,0.994141
4006.6500,1.01321
4006.7000,1.0055
4006.7500,0.97666
4006.8000,0.978774
4006.8500,1.03222
4006.9000,0.975416
4006.9500,0.972741
4007.0000,1.00791
4007.0500,1.00234
4007.1000,0.995351
4007.1500,0.982169
4007.2000,1.04494
4007.2500,1.005
4007.3000,0.974528
4007.3500,1.00219
4007.4000,1.00053
4007.4500,1.00056
4007.5000,0.974612
4007.5500,0.932399
4007.6000,1.0336
4007.6500,0.973216
4007.7000,1.0063
4007.7500,1.00143
4007.8000,0.947478
4007.8500,0.972285
4007.9000,1.0081
4007.9500,1.02777
4008.0000,1.02584
4008.0500,0.984326
4008.1000,0.998845
4008.1500,1.03634
4008.2000,1.05645
4008.2500,0.983787
4008.3000,0.987487
4008.3500,1.03025
4008.4000,0.990317
4008.4500,0.962207
4008.5000,0.988314
4008.5500,1.03588
4008.6000,0.963352
4008.6500,0.958073
4008.7000,0.979201
4008.7500,0.995062
4008.8000,0.95265
4008.8500,0.941477
4008.9000,1.00399
4008.9500,0.927612
4009.0000,0.998604
4009.0500,1.01565
4009.1000,0.995771
4009.1500,0.916362
4009.2000,0.968238
4009.2500,0.954036
4009.3000,1.02143
4009.3500,0.986199
4009.4000,0.935214
4009.4500,0.990087
4009.5000,0.917137
4009.5500,0.968073
4009.6000,0.958616
4009.6500,0.990615
4009.7000,1.03505
4009.7500,0.97168
4009.8000,0.949114
4009.8500,1.03769
4009.9000,1.01306
4009.9500,0.995827
4010.0000,1.00667
4010.0500,0.985204
4010.1000,0.960889
4010.1500,1.01332
4010.2000,1.01492
4010.2500,0.966237
4010.3000,0.965712
4010.3500,1.00743
4010.4000,0.963237
4010.4500,1.00403
4010.5000,0.995836
4010.5500,1.04579
4010.6000,1.01526
4010.6500,0.953944
4010.7000,0.921497
4010.7500,1.06836
4010.8000,1.01001
4010.8500,1.02327
4010.9000,1.00165
4010.9500,0.985948
4011.0000,0.991984
4011.0500,1.00943
4011.1000,0.973497
4011.1500,1.00418
4011.2000,1.04174
4011.2500,1.09866
4011.3000,1.00018
4011.3500,1.07273
4011.4000,1.02184
4011.4500,0.990543
4011.5000,1.00186
4011.5500,1.00581
4011.6000,1.03289
4011.6500,1.00442
4011.7000,1.08103
4011.7500,1.04986
4011.8000,1.06622
4011.8500,1.02726
4011.9000,0.930038
4011.9500,0.991293
4012.0000,1.02778
4012.0500,0.979663
4012.1000,0.99644
4012.1500,1.04975
4012.2000,1.02712
4012.2500,1.04419
4012.3000,1.01223
4012.3500,0.959264
4012.4000,0.993565
4012.4500,1.00889
4012.5000,1.04074
4012.5500,1.00007
4012.6000,1.01632
4012.6500,1.00586
4012.7000,1.02435
4012.7500,1.07075
4012.8000,1.01323
4012.8500,0.998154
4012.9000,1.04805
4012.9500,1.00899
4013.0000,0.999092
4013.0500,1.07225
4013.1000,1.03473
4013.1500,1.05195
4013.2000,0.988662
4013.2500,1.00575
4013.3000,1.03959
4013.3500,1.07163
4013.4000,0.984081
4013.4500,0.944883
4013.5000,1.01951
4013.5500,1.03541
4013.6000,1.04958
4013.6500,1.01988
4013.7000,1.0008
4013.7500,1.03862
4013.8000,1.01087
4013.8500,0.963107
4013.9000,1.02976
4013.9500,1.04195
4014.0000,1.03726
4014.0500,1.04736
4014.1000,1.04267
4014.1500,1.0313
4014.2000,1.01312
4014.2500,1.00922
4014.3000,0.995623
4014.3500,1.02137
4014.4000,1.02414
4014.4500,1.03752
4014.5000,1.04722
4014.5500,1.06173
4014.6000,1.03277
4014.6500,0.978299
4014.7000,0.942761
4014.7500,1.01258
4014.8000,1.01217
4014.8500,1.00915
4014.9000,0.963595
4014.9500,1.01259
4015.0000,1.0101
4015.0500,0.99217
4015.1000,0.96647
4015.1500,0.985116
4015.2000,0.986328
4015.2500,0.999931
4015.3000,1.02462
4015.3500,1.0143
4015.4000,0.991373
4015.4500,0.937066
4015.5000,0.963395
4015.5500,0.975021
4015.6000,1.00519
4015.6500,1.01832
4015.7000,0.948185
4015.7500,1.04737
4015.8000,1.01356
4015.8500,1.00298
4015.9000,0.996137
4015.9500,1.02029
4016.0000,1.03685
4016.0500,0.980284
4016.1000,1.02214
4016.1500,0.997599
4016.2000,0.952222
4016.2500,0.965272
4016.3000,1.02624
4016.3500,1.00969
4016.4000,0.966627
4016.4500,1.02086
4016.5000,0.996134
4016.5500,0.999943
4016.6000,0.949651
4016.6500,0.982393
4016.7000,0.963472
4016.7500,1.01141
4016.8000,0.987382
4016.8500,0.998892
4016.9000,0.974704
4016.9500,1.0004
4017.0000,1.03556
4017.0500,0.917904
4017.1000,0.966892
4017.1500,0.995292
4017.2000,1.02957
4017.2500,1.00876
4017.3000,1.05747
4017.3500,1.00136
4017.4000,1.02834
4017.4500,0.995541
4017.5000,0.997866
4017.5500,0.961614
4017.6000,0.965925
4017.6500,0.96048
4017.7000,0.992861
4017.7500,0.978771
4017.8000,0.944503
4017.8500,1.029
4017.9000,1.01392
4017.9500,0.998746
4018.0000,0.952789
4018.0500,0.985759
4018.1000,0.968326
4018.1500,0.976304
4018.2000,1.05103
4018.2500,1.00393
4018.3000,1.00374
4018.3500,0.991283
4018.4000,1.00155
4018.4500,1.00064
4018.5000,0.991906
4018.5500,1.00527
4018.6000,0.977001
4018.6500,1.00261
4018.7000,1.00617
4018.7500,0.990131
4018.8000,1.01439
4018.8500,0.981345
4018.9000,0.96167
4018.9500,0.941203
4019.0000,0.961008
4019.0500,1.00715
4019.1000,0.97907
4019.1500,0.991031
4019.2000,0.998962
4019.2500,0.955136
4019.3000,0.988577
4019.3500,0.998823
4019.4000,0.979644
4019.4500,0.988301
4019.5000,1.0028
4019.5500,0.982681
4019.6000,0.984263
4019.6500,0.92846
4019.7000,0.977047
4019.7500,0.981331
4019.8000,0.968952
4019.8500,0.932444
4019.9000,0.981311
4019.9500,0.989306
4020.0000,0.986746
4020.0500,0.96637
4020.1000,1.02402
4020.1500,0.979112
4020.2000,0.971431
4020.2500,0.979717
4020.3000,1.02514
4020.3500,0.975993
4020.4000,1.0024
4020.4500,1.0012
4020.5000,0.979962
4020.5500,0.984624
4020.6000,0.97575
4020.6500,0.979233
4020.7000,0.96623
4020.7500,0.975179
4020.8000,0.955072
4020.8500,1.00201
4020.9000,0.944746
4020.9500,0.968435
4021.0000,0.984754
4021.0500,0.991471
4021.1000,0.95009
4021.1500,0.964058
4021.2000,0.985134
4021.2500,0.949821
