Longitud_de_onda_A,espectro
4000.0000,0.970832
4000.0500,0.996059
4000.1000,0.961274
4000.1500,0.991523
4000.2000,1.03634
4000.2500,0.961498
4000.3000,0.974374
4000.3500,0.947799
4000.4000,0.934789
4000.4500,1.00835
4000.5000,1.00386
4000.5500,0.957341
4000.6000,0.930308
4000.6500,1.03927
4000.7000,0.973853
4000.7500,0.975412
4000.8000,0.991415
4000.8500,0.991825
4000.9000,0.962614
4000.9500,0.950699
4001.0000,0.956244
4001.0500,0.990901
4001.1000,1.0059
4001.1500,0.9963
4001.2000,1.00418
4001.2500,1.02016
4001.3000,0.968212
4001.3500,0.953273
4001.4000,0.931224
4001.4500,1.02903
4001.5000,0.979192
4001.5500,0.974133
4001.6000,0.976768
4001.6500,0.968812
4001.7000,0.966055
4001.7500,0.963108
4001.8000,0.97025
4001.8500,0.970197
4001.9000,0.982296
4001.9500,0.877779
4002.0000,0.963441
4002.0500,0.974566
4002.1000,1.04645
4002.1500,0.979712
4002.2000,1.01794
4002.2500,0.967966
4002.3000,0.952962
4002.3500,0.952625
4002.4000,0.992951
4002.4500,0.941518
4002.5000,0.916382
4002.5500,0.885715
4002.6000,0.984613
4002.6500,0.946796
4002.7000,1.00391
4002.7500,0.962841
4002.8000,1.04076
4002.8500,1.00286
4002.9000,1.01082
4002.9500,1.0499
4003.0000,0.939195
4003.0500,0.986954
4003.1000,1.01864
4003.1500,0.993201
4003.2000,1.0242
4003.2500,0.972377
4003.3000,0.977965
4003.3500,0.94987
4003.4000,0.956992
4003.4500,1.02262
4003.5000,1.01402
4003.5500,0.998416
4003.6000,0.954138
4003.6500,0.996393
4003.7000,0.984158
4003.7500,1.0363
4003.8000,0.959231
4003.8500,0.956525
4003.9000,1.00216
4003.9500,1.01581
4004.0000,0.984556
4004.0500,0.981234
4004.1000,0.977203
4004.1500,0.946044
4004.2000,0.926146
4004.2500,1.013
4004.3000,0.976014
4004.3500,0.933255
4004.4000,0.945931
4004.4500,0.990334
4004.5000,1.08856
4004.5500,0.957824
4004.6000,0.943072
4004.6500,0.978259
4004.7000,0.956027
4004.7500,0.943114
4004.8000,0.962072
4004.8500,0.98541
4004.9000,1.02499
4004.9500,1.02732
4005.0000,1.00611
4005.0500,0.957107
4005.1000,0.972521
4005.1500,0.941696
4005.2000,0.967234
4005.2500,0.945859
4005.3000,1.01031
4005.3500,1.00393
4005.4000,0.976525
4005.4500,1.0077
4005.5000,0.955723
4005.5500,0.990441
4005.6000,0.968928
4005.6500,0.992156
4005.7000,1.00345
4005.7500,1.01274
4005.8000,1.02174
4005.8500,1.02857
4005.9000,0.999773
4005.9500,0.998296
4006.0000,1.04858
4006.0500,1.02321
4006.1000,1.00232
4006.1500,1.06789
4006.2000,1.01732
4006.2500,1.03738
4006.3000,0.978146
4006.3500,0.974256
4006.4000,1.04637
4006.4500,1.00985
4006.5000,1.00559
4006.5500,0.940693
4006.6000,0.994434
4006.6500,1.01249
4006.7000,1.00661
4006.7500,0.978031
4006.8000,0.980738
4006.8500,1.03167
4006.9000,0.974557
4006.9500,0.971891
4007.0000,1.00782
4007.0500,1.00183
4007.1000,0.99445
4007.1500,0.983704
4007.2000,1.04442
4007.2500,1.00436
4007.3000,0.975589
4007.3500,1.00389
4007.4000,0.998732
4007.4500,0.998609
4007.5000,0.975143
4007.5500,0.93201
4007.6000,1.03244
4007.6500,0.973409
4007.7000,1.00671
4007.7500,1.00236
4007.8000,0.947242
4007.8500,0.973949
4007.9000,1.01086
4007.9500,1.02679
4008.0000,1.02482
4008.0500,0.985844
4008.1000,0.999605
4008.1500,1.03723
4008.2000,1.0564
4008.2500,0.98281
4008.3000,0.987161
4008.3500,1.0301
4008.4000,0.990596
4008.4500,0.962615
4008.5000,0.988021
4008.5500,1.0362
4008.6000,0.96362
4008.6500,0.958385
