Longitud_de_onda_A,espectro
4000.0000,0.964406
4000.0500,0.932318
4000.1000,0.951154
4000.1500,0.976737
4000.2000,0.97142
4000.2500,0.969195
4000.3000,1.009
4000.3500,0.948094
4000.4000,0.961536
4000.4500,0.982149
4000.5000,0.961653
4000.5500,0.990548
4000.6000,1.00693
4000.6500,0.999277
4000.7000,0.954535
4000.7500,0.958402
4000.8000,0.963257
4000.8500,0.998578
4000.9000,0.985182
4000.9500,0.964075
4001.0000,0.972231
4001.0500,0.973545
4001.1000,1.0005
4001.1500,0.965499
4001.2000,0.960732
4001.2500,0.992716
4001.3000,0.976453
4001.3500,0.973524
4001.4000,1.03011
4001.4500,1.00561
4001.5000,0.993561
4001.5500,0.984519
4001.6000,0.981535
4001.6500,0.953482
4001.7000,0.969668
4001.7500,0.981007
4001.8000,0.974512
4001.8500,0.97255
4001.9000,0.992224
4001.9500,0.968847
4002.0000,0.989936
4002.0500,0.978282
4002.1000,1.00602
4002.1500,1.00076
4002.2000,0.954394
4002.2500,0.967969
4002.3000,0.967671
4002.3500,0.973376
4002.4000,0.993981
4002.4500,0.957516
4002.5000,0.966251
4002.5500,0.96866
4002.6000,0.976614
4002.6500,0.974306
4002.7000,0.978048
4002.7500,0.967619
4002.8000,0.986902
4002.8500,0.997998
4002.9000,0.981707
4002.9500,0.955092
4003.0000,0.952069
4003.0500,0.958117
4003.1000,0.962125
4003.1500,0.966022
4003.2000,0.984019
4003.2500,1.01546
4003.3000,0.984132
4003.3500,0.95672
4003.4000,0.976605
4003.4500,0.988083
4003.5000,1.01336
4003.5500,1.0158
4003.6000,0.962685
4003.6500,0.992198
4003.7000,0.981956
4003.7500,1.00989
4003.8000,0.982573
4003.8500,1.01403
4003.9000,0.974259
4003.9500,0.97182
4004.0000,0.964723
4004.0500,0.970053
4004.1000,0.997355
4004.1500,0.980471
4004.2000,0.964697
4004.2500,0.986755
4004.3000,0.964138
4004.3500,0.963158
4004.4000,1.00437
4004.4500,0.999284
4004.5000,1.01173
4004.5500,1.01661
4004.6000,0.974106
4004.6500,0.961504
4004.7000,0.977575
4004.7500,1.00846
4004.8000,0.987948
4004.8500,0.998346
4004.9000,0.970708
4004.9500,0.985985
4005.0000,0.978038
4005.0500,0.980443
4005.1000,0.980735
4005.1500,1.00856
4005.2000,0.970738
4005.2500,1.02226
4005.3000,0.982614
4005.3500,0.982046
4005.4000,0.98616
4005.4500,0.994269
4005.5000,0.993356
4005.5500,1.02626
4005.6000,1.03307
4005.6500,0.978166
4005.7000,0.990579
4005.7500,0.949847
4005.8000,0.986332
4005.8500,0.96635
4005.9000,1.01567
4005.9500,1.03928
4006.0000,0.985408
4006.0500,0.988183
4006.1000,0.978622
4006.1500,0.997001
4006.2000,0.983529
4006.2500,1.03088
4006.3000,1.00412
4006.3500,0.997832
4006.4000,1.0112
4006.4500,0.976571
4006.5000,0.965964
4006.5500,0.992602
4006.6000,0.990882
4006.6500,0.99287
4006.7000,0.989319
4006.7500,0.984973
4006.8000,0.989048
4006.8500,1.00143
4006.9000,0.98639
4006.9500,1.00045
4007.0000,0.990194
4007.0500,0.965304
4007.1000,0.959612
4007.1500,0.985945
4007.2000,1.01035
4007.2500,0.990634
4007.3000,0.995111
4007.3500,0.989043
4007.4000,1.00912
4007.4500,1.01596
4007.5000,1.00463
4007.5500,0.992632
4007.6000,0.992427
4007.6500,1.00693
4007.7000,0.980784
4007.7500,0.994029
4007.8000,0.984189
4007.8500,0.968768
4007.9000,0.960867
4007.9500,0.981875
4008.0000,1.00413
4008.0500,0.979154
4008.1000,0.964635
4008.1500,1.01489
4008.2000,0.983934
4008.2500,0.992922
4008.3000,0.986146
4008.3500,0.985893
4008.4000,0.985439
4008.4500,0.972753
4008.5000,0.986176
4008.5500,0.947846
4008.6000,0.992903
4008.6500,0.980936
4008.7000,0.992351
4008.7500,1.00303
4008.8000,1.01297
4008.8500,0.984933
4008.9000,0.989592
4008.9500,0.961464
4009.0000,0.967121
4009.0500,0.984314
4009.1000,0.97336
4009.1500,0.960504
4009.2000,0.969457
4009.2500,0.95344
4009.3000,0.965078
4009.3500,1.0085
4009.4000,1.00148
4009.4500,0.961288
4009.5000,0.969081
4009.5500,0.958118
4009.6000,1.00703
4009.6500,0.990214
4009.7000,0.969365
4009.7500,0.966804
4009.8000,0.958284
4009.8500,1.00305
4009.9000,1.00241
4009.9500,0.973011
4010.0000,0.978516
4010.0500,0.985468
4010.1000,1.00475
4010.1500,0.997962
4010.2000,1.00996
4010.2500,0.98352
4010.3000,1.01266
4010.3500,1.00289
4010.4000,1.00351
4010.4500,1.04176
4010.5000,0.997041
4010.5500,1.0117
4010.6000,1.00201
4010.6500,0.986181
4010.7000,1.00818
4010.7500,1.01504
4010.8000,1.00295
4010.8500,0.98103
4010.9000,0.979989
4010.9500,1.00361
4011.0000,0.988289
4011.0500,0.990245
4011.1000,1.01486
4011.1500,0.995832
4011.2000,1.01361
4011.2500,1.02912
4011.3000,1.0364
4011.3500,1.00467
4011.4000,0.99477
4011.4500,0.994276
4011.5000,0.951539
4011.5500,1.01171
4011.6000,1.0391
4011.6500,1.0532
4011.7000,1.073
4011.7500,1.01346
4011.8000,1.03852
4011.8500,1.0613
4011.9000,0.99534
4011.9500,1.00925
4012.0000,0.985086
4012.0500,1.01569
4012.1000,0.988583
4012.1500,0.964651
4012.2000,1.02799
4012.2500,1.01801
4012.3000,1.02924
4012.3500,1.03851
4012.4000,1.02303
4012.4500,1.01308
4012.5000,1.00389
4012.5500,0.980773
4012.6000,1.03088
4012.6500,0.983751
4012.7000,0.971971
4012.7500,0.985894
4012.8000,0.968654
4012.8500,1.03611
4012.9000,1.05537
4012.9500,1.06248
4013.0000,1.05283
4013.0500,1.01986
4013.1000,1.0449
4013.1500,1.03368
4013.2000,1.0584
4013.2500,0.976851
4013.3000,0.991919
4013.3500,1.0042
4013.4000,1.01276
4013.4500,0.982332
4013.5000,0.994545
4013.5500,1.02349
4013.6000,0.986919
4013.6500,0.988944
4013.7000,0.962226
4013.7500,0.998665
4013.8000,1.02492
4013.8500,0.961342
4013.9000,0.943708
4013.9500,0.9875
4014.0000,0.990309
4014.0500,1.01827
4014.1000,1.13983
4014.1500,1.03523
4014.2000,1.01395
4014.2500,1.02256
4014.3000,1.00444
4014.3500,1.00186
4014.4000,1.01815
4014.4500,0.987985
4014.5000,0.97543
4014.5500,0.98751
4014.6000,0.97922
4014.6500,1.01165
4014.7000,0.993145
4014.7500,0.960764
4014.8000,1.02456
4014.8500,1.01403
4014.9000,0.992719
4014.9500,1.00504
4015.0000,1.00722
4015.0500,0.996052
4015.1000,1.00359
4015.1500,1.0038
4015.2000,1.00241
4015.2500,0.999176
4015.3000,1.00088
4015.3500,1.00851
4015.4000,1.02671
4015.4500,1.00793
4015.5000,0.987439
4015.5500,0.990344
4015.6000,1.0055
4015.6500,1.08113
4015.7000,1.00517
4015.7500,1.01835
4015.8000,1.00691
4015.8500,1.00075
4015.9000,1.05484
4015.9500,1.00743
4016.0000,1.01488
4016.0500,1.01401
4016.1000,0.989443
4016.1500,1.02423
4016.2000,1.02668
4016.2500,0.995993
4016.3000,1.01589
4016.3500,0.977281
4016.4000,0.995874
4016.4500,0.997379
4016.5000,1.00341
4016.5500,1.019
4016.6000,0.99905
4016.6500,1.01401
4016.7000,1.01621
4016.7500,0.950113
4016.8000,0.992082
4016.8500,0.997389
4016.9000,1.02302
4016.9500,0.979668
4017.0000,1.00292
4017.0500,1.00016
4017.1000,0.980455
4017.1500,1.04287
4017.2000,1.01578
4017.2500,1.01647
4017.3000,0.998871
4017.3500,0.968427
4017.4000,0.978936
4017.4500,0.983867
4017.5000,0.989479
4017.5500,1.00023
4017.6000,1.00093
4017.6500,0.997972
4017.7000,0.991469
4017.7500,0.992574
4017.8000,0.983011
4017.8500,0.987645
4017.9000,1.02108
4017.9500,0.997294
4018.0000,1.00222
4018.0500,0.956179
4018.1000,0.995237
4018.1500,0.984916
4018.2000,0.98137
4018.2500,0.963709
4018.3000,1.0232
4018.3500,0.950794
4018.4000,0.970286
4018.4500,0.984712
4018.5000,0.981961
4018.5500,0.9779
4018.6000,0.936371
4018.6500,0.980875
4018.7000,0.963805
4018.7500,0.987195
4018.8000,0.966431
4018.8500,0.988757
4018.9000,0.946898
4018.9500,0.992279
4019.0000,0.958811
4019.0500,0.988293
4019.1000,0.994276
4019.1500,0.97108
4019.2000,0.959764
4019.2500,0.978842
4019.3000,1.00092
4019.3500,0.984511
4019.4000,0.995324
4019.4500,0.977325
4019.5000,0.993682
4019.5500,1.01256
4019.6000,0.970279
4019.6500,0.978515
4019.7000,0.9958
4019.7500,0.995326
4019.8000,0.963908
4019.8500,0.961541
4019.9000,0.989872
4019.9500,0.971998
4020.0000,0.98511
4020.0500,1.00658
4020.1000,0.965394
4020.1500,0.963562
4020.2000,0.942872
4020.2500,0.971842
4020.3000,1.01781
4020.3500,1.00484
4020.4000,0.979853
4020.4500,0.979322
4020.5000,0.989322
4020.5500,0.928615
4020.6000,0.949841
4020.6500,0.985252
4020.7000,1.00387
4020.7500,0.992758
4020.8000,0.958143
4020.8500,0.948254
4020.9000,0.9813
4020.9500,0.979924
4021.0000,0.967178
4021.0500,0.98045
4021.1000,0.982702
4021.1500,0.969474
4021.2000,0.984098
4021.2500,1.00392
4021.3000,0.96861
4021.3500,0.948844
4021.4000,0.977146
4021.4500,0.96375
4021.5000,0.974674
4021.5500,0.97712
4021.6000,0.979847
4021.6500,0.970337
4021.7000,0.943508
4021.7500,1.00481
4021.8000,1.00662
4021.8500,0.989691
4021.9000,0.931651
4021.9500,0.99728
4022.0000,0.986759
4022.0500,0.983669
4022.1000,1.00439
4022.1500,0.936284
4022.2000,0.973929
4022.2500,0.955728
4022.3000,0.96901
4022.3500,0.962903
4022.4000,0.960519
4022.4500,0.96557
4022.5000,0.955952
4022.5500,0.947572
4022.6000,0.96182
4022.6500,0.97016
4022.7000,0.949812
4022.7500,0.967286
4022.8000,0.964981
4022.8500,0.944806
4022.9000,0.942826
4022.9500,0.93817
