Longitud_de_onda_A,espectro
4000.0000,0.965554
4000.0500,0.932771
4000.1000,0.951613
4000.1500,0.976033
4000.2000,0.969668
4000.2500,0.971101
4000.3000,1.00941
4000.3500,0.948021
4000.4000,0.962094
4000.4500,0.982331
4000.5000,0.961891
4000.5500,0.992011
4000.6000,1.00648
4000.6500,0.999225
4000.7000,0.953437
4000.7500,0.959855
4000.8000,0.9636
4000.8500,0.999009
4000.9000,0.985233
4000.9500,0.963999
4001.0000,0.972768
4001.0500,0.975118
4001.1000,1.00158
4001.1500,0.96748
4001.2000,0.959821
4001.2500,0.992274
4001.3000,0.97672
4001.3500,0.97307
4001.4000,1.03099
4001.4500,1.00464
4001.5000,0.993995
4001.5500,0.984249
4001.6000,0.981895
4001.6500,0.953853
4001.7000,0.968087
4001.7500,0.980593
4001.8000,0.973653
4001.8500,0.971824
4001.9000,0.990934
4001.9500,0.96788
4002.0000,0.989308
4002.0500,0.978674
4002.1000,1.00564
4002.1500,1.00009
4002.2000,0.955385
4002.2500,0.967713
4002.3000,0.967609
4002.3500,0.972525
4002.4000,0.993001
4002.4500,0.957438
4002.5000,0.964431
4002.5500,0.96951
4002.6000,0.976893
4002.6500,0.974941
4002.7000,0.979167
4002.7500,0.967854
4002.8000,0.98656
4002.8500,0.997906
4002.9000,0.980102
4002.9500,0.953656
4003.0000,0.951239
4003.0500,0.957727
4003.1000,0.963519
4003.1500,0.965145
4003.2000,0.982219
4003.2500,1.016
4003.3000,0.983736
4003.3500,0.957389
4003.4000,0.97634
4003.4500,0.987381
4003.5000,1.01293
4003.5500,1.01607
4003.6000,0.96178
4003.6500,0.992936
4003.7000,0.984061
4003.7500,1.00985
4003.8000,0.982601
4003.8500,1.01395
4003.9000,0.975081
4003.9500,0.973148
4004.0000,0.964433
4004.0500,0.969886
4004.1000,0.997894
4004.1500,0.982364
4004.2000,0.964977
4004.2500,0.9874
4004.3000,0.964741
4004.3500,0.963249
4004.4000,1.00449
4004.4500,0.997381
4004.5000,1.01085
4004.5500,1.01675
4004.6000,0.974972
4004.6500,0.961724
4004.7000,0.978094
4004.7500,1.00947
4004.8000,0.98869
4004.8500,0.997932
4004.9000,0.970943
4004.9500,0.9856
4005.0000,0.976984
4005.0500,0.981199
4005.1000,0.979573
4005.1500,1.00974
4005.2000,0.970706
4005.2500,1.0226
4005.3000,0.983561
4005.3500,0.981918
4005.4000,0.986824
4005.4500,0.995149
4005.5000,0.993845
4005.5500,1.02654
4005.6000,1.03366
4005.6500,0.976746
4005.7000,0.990782
4005.7500,0.949132
4005.8000,0.986129
4005.8500,0.966235
4005.9000,1.0164
4005.9500,1.03975
