Longitud_de_onda_A,espectro
4000.0000,1.03982
4000.0500,1.06108
4000.1000,1.04792
4000.1500,1.0011
4000.2000,1.02209
4000.2500,1.00861
4000.3000,1.01056
4000.3500,0.9906
4000.4000,0.991365
4000.4500,1.00338
4000.5000,0.97128
4000.5500,0.989573
4000.6000,0.995511
4000.6500,0.986609
4000.7000,1.02047
4000.7500,0.990716
4000.8000,0.981593
4000.8500,1.01817
4000.9000,1.03343
4000.9500,1.02526
4001.0000,0.95826
4001.0500,0.993912
4001.1000,0.988248
4001.1500,0.982322
4001.2000,0.982388
4001.2500,0.987814
4001.3000,0.954725
4001.3500,0.98575
4001.4000,0.969504
4001.4500,0.977537
4001.5000,0.940148
4001.5500,0.93987
4001.6000,0.920844
4001.6500,0.947486
4001.7000,0.924336
4001.7500,0.935854
4001.8000,0.957251
4001.8500,0.966259
4001.9000,0.956295
4001.9500,0.953454
4002.0000,1.00245
4002.0500,0.975904
4002.1000,0.993088
4002.1500,0.983497
4002.2000,0.981068
4002.2500,0.983941
4002.3000,0.999241
4002.3500,0.989482
4002.4000,0.991611
4002.4500,0.996708
4002.5000,1.01239
4002.5500,1.00233
4002.6000,1.00237
4002.6500,0.990548
4002.7000,1.04279
4002.7500,0.998
4002.8000,1.02118
4002.8500,1.01293
4002.9000,1.02296
4002.9500,1.03589
4003.0000,1.02188
4003.0500,1.03491
4003.1000,1.03715
4003.1500,1.03239
4003.2000,1.03881
4003.2500,1.03548
4003.3000,1.01515
4003.3500,1.02104
4003.4000,1.04339
4003.4500,1.04069
4003.5000,1.06064
4003.5500,1.04848
4003.6000,1.05328
4003.6500,1.04819
4003.7000,1.02564
4003.7500,1.02869
4003.8000,1.08061
4003.8500,1.03603
4003.9000,1.03952
4003.9500,1.06573
4004.0000,1.04163
4004.0500,1.08205
4004.1000,1.0821
4004.1500,1.06369
4004.2000,1.06111
4004.2500,1.05771
4004.3000,1.07647
4004.3500,1.06467
4004.4000,1.03288
4004.4500,1.01538
4004.5000,0.985845
4004.5500,0.977576
4004.6000,0.924756
4004.6500,0.909231
4004.7000,0.901599
4004.7500,0.878791
4004.8000,0.806483
4004.8500,0.752836
4004.9000,0.76638
4004.9500,0.746597
4005.0000,0.721774
4005.0500,0.695798
4005.1000,0.69453
4005.1500,0.675334
4005.2000,0.682181
4005.2500,0.676594
4005.3000,0.707694
4005.3500,0.692489
4005.4000,0.687861
4005.4500,0.701698
4005.5000,0.733909
4005.5500,0.739255
4005.6000,0.767819
4005.6500,0.782957
4005.7000,0.79528
4005.7500,0.808309
4005.8000,0.851466
4005.8500,0.858914
4005.9000,0.840362
4005.9500,0.870481
4006.0000,0.887736
4006.0500,0.87835
4006.1000,0.897444
4006.1500,0.886791
4006.2000,0.889928
4006.2500,0.880143
4006.3000,0.845305
4006.3500,0.837795
4006.4000,0.874833
4006.4500,0.853271
4006.5000,0.89317
4006.5500,0.89343
4006.6000,0.882626
4006.6500,0.877157
4006.7000,0.881647
4006.7500,0.876265
4006.8000,0.895737
4006.8500,0.864145
4006.9000,0.873794
4006.9500,0.883748
4007.0000,0.920434
4007.0500,0.892021
4007.1000,0.913377
4007.1500,0.93186
4007.2000,0.964123
4007.2500,0.954709
4007.3000,0.950416
4007.3500,0.972011
4007.4000,0.960176
4007.4500,0.972084
4007.5000,0.981152
4007.5500,0.989374
4007.6000,0.962109
4007.6500,0.983394
4007.7000,1.00846
4007.7500,1.01825
4007.8000,0.999401
4007.8500,1.02772
4007.9000,1.01562
4007.9500,1.03377
4008.0000,1.01316
4008.0500,1.03841
4008.1000,1.02603
4008.1500,1.04183
4008.2000,1.02509
4008.2500,1.03688
4008.3000,1.05135
4008.3500,1.0564
4008.4000,1.0467
4008.4500,1.04786
4008.5000,1.0341
4008.5500,1.02186
4008.6000,1.0401
4008.6500,1.01836
4008.7000,0.99965
4008.7500,1.03447
4008.8000,0.999773
4008.8500,1.01526
4008.9000,1.0073
4008.9500,0.98622
4009.0000,1.00159
4009.0500,1.00216
4009.1000,0.986053
4009.1500,0.96966
4009.2000,0.990592
4009.2500,1.00924
4009.3000,0.984129
4009.3500,0.968377
4009.4000,0.952053
4009.4500,0.937497
4009.5000,0.941572
4009.5500,0.962413
4009.6000,0.951418
4009.6500,0.945143
4009.7000,0.953369
4009.7500,0.955855
4009.8000,0.963589
4009.8500,0.954791
4009.9000,0.956799
4009.9500,0.993379
4010.0000,0.960004
4010.0500,0.971305
4010.1000,0.994021
4010.1500,1.01585
4010.2000,0.999072
4010.2500,0.99533
4010.3000,1.02922
4010.3500,0.975552
4010.4000,1.00251
4010.4500,0.999163
4010.5000,0.984061
4010.5500,1.00485
4010.6000,0.985848
4010.6500,0.998307
4010.7000,1.00784
4010.7500,0.998445
4010.8000,0.98998
4010.8500,1.00657
4010.9000,1.00665
4010.9500,1.02892
4011.0000,1.0135
4011.0500,1.01547
4011.1000,1.01483
4011.1500,1.04457
4011.2000,1.06611
4011.2500,1.06883
4011.3000,1.06162
4011.3500,1.02927
4011.4000,1.02926
4011.4500,1.01417
4011.5000,1.03437
4011.5500,1.04961
4011.6000,1.07818
4011.6500,1.03321
4011.7000,1.04311
4011.7500,1.06261
4011.8000,1.00241
4011.8500,0.997733
4011.9000,0.985602
4011.9500,0.968823
4012.0000,0.926664
4012.0500,0.937276
4012.1000,0.935721
4012.1500,0.897628
4012.2000,0.890892
4012.2500,0.922016
4012.3000,0.901443
4012.3500,0.879005
4012.4000,0.912047
4012.4500,0.901455
4012.5000,0.908169
4012.5500,0.920662
4012.6000,0.957274
4012.6500,0.963912
4012.7000,0.986911
4012.7500,0.963698
4012.8000,1.00845
4012.8500,1.04647
4012.9000,1.01438
4012.9500,1.03867
4013.0000,1.06943
4013.0500,1.06358
4013.1000,1.05618
4013.1500,1.05855
4013.2000,1.05113
4013.2500,1.01051
4013.3000,1.0279
4013.3500,1.04483
4013.4000,0.993744
4013.4500,1.00879
4013.5000,0.987309
4013.5500,0.979462
4013.6000,0.976305
4013.6500,0.966381
4013.7000,1.01818
4013.7500,0.996143
4013.8000,0.955501
4013.8500,0.915952
4013.9000,0.931892
4013.9500,0.936299
4014.0000,0.931876
4014.0500,0.941336
4014.1000,0.928112
4014.1500,0.901914
4014.2000,0.899114
4014.2500,0.905066
4014.3000,0.922601
4014.3500,0.874914
4014.4000,0.962203
4014.4500,0.896144
4014.5000,0.910617
4014.5500,0.895118
4014.6000,0.914778
4014.6500,0.916147
4014.7000,0.948085
4014.7500,0.974637
4014.8000,0.957418
4014.8500,0.982794
4014.9000,0.992607
4014.9500,1.03559
4015.0000,1.01325
4015.0500,1.01675
4015.1000,0.975805
4015.1500,0.994843
4015.2000,1.00503
4015.2500,0.960004
4015.3000,0.964246
4015.3500,0.978422
4015.4000,0.968611
4015.4500,0.946581
4015.5000,0.95252
4015.5500,0.998585
4015.6000,1.00422
4015.6500,0.999082
4015.7000,0.998976
4015.7500,1.01132
4015.8000,0.990265
4015.8500,1.01553
4015.9000,1.00952
4015.9500,1.02847
4016.0000,1.03074
4016.0500,1.03494
4016.1000,1.04251
4016.1500,1.01078
4016.2000,1.01397
4016.2500,1.03196
4016.3000,1.03663
4016.3500,1.03245
4016.4000,1.01835
4016.4500,1.00154
4016.5000,0.985077
4016.5500,0.995564
4016.6000,0.99623
4016.6500,0.978343
4016.7000,0.991061
4016.7500,0.987682
4016.8000,0.967114
4016.8500,0.949419
4016.9000,0.939796
4016.9500,0.916093
4017.0000,0.889767
4017.0500,0.873678
4017.1000,0.875469
4017.1500,0.849771
4017.2000,0.855923
4017.2500,0.863062
4017.3000,0.863502
4017.3500,0.874962
4017.4000,0.878682
4017.4500,0.884823
4017.5000,0.867297
4017.5500,0.869876
4017.6000,0.879907
4017.6500,0.863464
4017.7000,0.881095
4017.7500,0.864555
4017.8000,0.858005
4017.8500,0.861692
4017.9000,0.828008
4017.9500,0.817807
4018.0000,0.853744
4018.0500,0.862024
4018.1000,0.864795
4018.1500,0.860934
4018.2000,0.840157
4018.2500,0.885622
4018.3000,0.900124
4018.3500,0.896395
4018.4000,0.916059
4018.4500,0.918685
4018.5000,0.949688
4018.5500,0.952859
4018.6000,0.973915
4018.6500,0.988815
4018.7000,1.01848
4018.7500,0.991624
4018.8000,1.02574
4018.8500,1.02633
4018.9000,0.992366
4018.9500,0.999058
4019.0000,1.00677
4019.0500,1.05564
4019.1000,1.05025
4019.1500,1.04955
4019.2000,1.04305
4019.2500,1.06068
4019.3000,1.05358
4019.3500,1.06041
4019.4000,1.06808
4019.4500,1.08573
4019.5000,1.08273
4019.5500,1.05664
4019.6000,1.06176
4019.6500,1.04708
4019.7000,1.04549
4019.7500,1.04411
4019.8000,1.01345
4019.8500,0.996769
4019.9000,0.983355
4019.9500,0.982839
4020.0000,0.999623
4020.0500,0.985054
4020.1000,0.97676
4020.1500,0.973958
4020.2000,0.966452
4020.2500,0.958198
4020.3000,0.967104
4020.3500,0.967511
4020.4000,0.967204
4020.4500,0.945718
4020.5000,0.939351
4020.5500,0.939664
4020.6000,0.979843
4020.6500,0.961692
4020.7000,0.989361
4020.7500,1.00022
4020.8000,1.00211
4020.8500,0.99579
4020.9000,1.02901
4020.9500,0.999406
4021.0000,1.00822
4021.0500,0.998437
4021.1000,1.01072
4021.1500,0.98808
4021.2000,0.983481
4021.2500,1.02235
4021.3000,1.00192
4021.3500,0.991108
4021.4000,1.00297
4021.4500,0.967145
4021.5000,0.948243
4021.5500,0.953742
4021.6000,0.946327
4021.6500,0.917352
4021.7000,0.900927
4021.7500,0.896405
4021.8000,0.894332
4021.8500,0.887591
4021.9000,0.878537
4021.9500,0.896914
4022.0000,0.920525
4022.0500,0.915982
4022.1000,0.915467
4022.1500,0.90809
4022.2000,0.913583
4022.2500,0.914064
4022.3000,0.95415
4022.3500,0.974549
4022.4000,0.970561
4022.4500,0.961746
4022.5000,0.938745
4022.5500,0.981396
4022.6000,0.991423
4022.6500,0.978331
4022.7000,1.01185
4022.7500,0.996737
4022.8000,0.974076
4022.8500,0.974969
4022.9000,0.978674
4022.9500,0.959547
4023.0000,0.953232
4023.0500,0.957574
4023.1000,0.931761
4023.1500,0.969774
4023.2000,0.987971
4023.2500,0.952796
4023.3000,0.976844
4023.3500,0.948359
4023.4000,0.955832
4023.4500,0.931334
4023.5000,0.949754
4023.5500,0.957865
4023.6000,0.950171
4023.6500,0.970595
4023.7000,0.9616
4023.7500,0.974149
4023.8000,0.976538
4023.8500,0.970484
4023.9000,0.983248
4023.9500,0.972044
4024.0000,0.940103
4024.0500,0.94163
4024.1000,0.91969
4024.1500,0.901047
4024.2000,0.899813
4024.2500,0.882106
4024.3000,0.882551
4024.3500,0.855908
4024.4000,0.88041
4024.4500,0.862246
4024.5000,0.870925
4024.5500,0.830276
4024.6000,0.825641
4024.6500,0.820175
4024.7000,0.833195
4024.7500,0.801338
4024.8000,0.792615
4024.8500,0.806688
4024.9000,0.812544
4024.9500,0.813957
4025.0000,0.825202
4025.0500,0.841734
4025.1000,0.823923
4025.1500,0.864008
4025.2000,0.866544
