Longitud_de_onda_A,espectro
4000.0000,0.968647
4000.0500,0.958074
4000.1000,0.98201
4000.1500,0.971175
4000.2000,0.977652
4000.2500,0.981942
4000.3000,0.976351
4000.3500,0.987241
4000.4000,1.0015
4000.4500,0.968435
4000.5000,0.985167
4000.5500,0.971993
4000.6000,0.943659
4000.6500,0.945906
4000.7000,0.966626
4000.7500,0.957039
4000.8000,0.933111
4000.8500,0.945335
4000.9000,0.941532
4000.9500,0.960964
4001.0000,0.945841
4001.0500,0.972654
4001.1000,1.02604
4001.1500,1.03098
4001.2000,0.99679
4001.2500,0.985313
4001.3000,0.98256
4001.3500,0.966852
4001.4000,0.935581
4001.4500,0.986863
4001.5000,0.972632
4001.5500,0.971377
4001.6000,0.95759
4001.6500,0.953224
4001.7000,0.943163
4001.7500,0.956492
4001.8000,0.984446
4001.8500,0.968181
4001.9000,0.981358
4001.9500,0.972316
4002.0000,0.947786
4002.0500,0.963974
4002.1000,0.950609
4002.1500,0.93459
4002.2000,0.950835
4002.2500,0.947109
4002.3000,0.967823
4002.3500,0.994515
4002.4000,0.963645
4002.4500,0.972562
4002.5000,0.953074
4002.5500,0.944231
4002.6000,0.954467
4002.6500,0.990251
4002.7000,0.996737
4002.7500,0.963723
4002.8000,0.947028
4002.8500,0.95721
4002.9000,0.957501
4002.9500,0.962337
4003.0000,0.959593
4003.0500,0.947591
4003.1000,0.978644
4003.1500,0.956492
4003.2000,0.947068
4003.2500,0.955226
4003.3000,0.972804
4003.3500,0.943377
4003.4000,0.944285
4003.4500,0.952104
4003.5000,0.960973
4003.5500,0.96235
4003.6000,0.949767
4003.6500,0.976692
4003.7000,0.968448
4003.7500,0.977346
4003.8000,0.952261
4003.8500,0.947988
4003.9000,0.956203
4003.9500,0.991099
4004.0000,0.963585
4004.0500,0.950283
4004.1000,0.960625
4004.1500,0.940681
4004.2000,0.96577
4004.2500,0.950895
4004.3000,0.951924
4004.3500,0.954711
4004.4000,0.95099
4004.4500,0.970836
4004.5000,0.943129
4004.5500,0.974534
4004.6000,0.966038
4004.6500,0.982004
4004.7000,0.944944
4004.7500,0.977234
4004.8000,0.982926
4004.8500,0.98504
4004.9000,0.971089
4004.9500,0.962182
4005.0000,0.972992
4005.0500,0.977645
4005.1000,0.993333
4005.1500,0.978079
4005.2000,0.966899
4005.2500,0.991862
4005.3000,0.979177
4005.3500,0.979491
4005.4000,0.974103
4005.4500,0.942929
4005.5000,0.986228
4005.5500,0.983399
4005.6000,0.969461
4005.6500,0.982373
4005.7000,0.991575
4005.7500,0.970893
4005.8000,0.984691
4005.8500,0.977311
4005.9000,0.963717
4005.9500,0.98979
4006.0000,1.00216
4006.0500,1.01937
4006.1000,0.990241
4006.1500,0.993357
4006.2000,1.06891
4006.2500,0.986976
4006.3000,0.978768
4006.3500,1.00036
4006.4000,1.00166
4006.4500,1.00525
4006.5000,1.02109
4006.5500,0.978439
4006.6000,0.955337
4006.6500,1.00301
4006.7000,0.963435
4006.7500,0.997637
4006.8000,0.957803
4006.8500,0.97107
4006.9000,0.971405
4006.9500,0.981896
4007.0000,0.987692
4007.0500,1.01298
4007.1000,0.992036
4007.1500,0.970476
4007.2000,0.949861
4007.2500,0.982751
4007.3000,0.966557
4007.3500,1.00354
4007.4000,0.999541
4007.4500,0.9895
4007.5000,0.980105
4007.5500,0.992165
4007.6000,0.982399
4007.6500,0.991375
4007.7000,0.946594
4007.7500,0.997393
4007.8000,0.985897
4007.8500,0.973099
4007.9000,0.964792
4007.9500,0.953523
4008.0000,0.957253
4008.0500,0.964674
4008.1000,0.999609
4008.1500,0.968358
4008.2000,0.945249
4008.2500,0.968624
4008.3000,0.963001
4008.3500,0.969777
4008.4000,0.976495
4008.4500,0.956054
4008.5000,0.967218
4008.5500,0.958298
4008.6000,0.967897
4008.6500,0.938661
4008.7000,0.953543
4008.7500,0.981437
4008.8000,0.951215
4008.8500,0.960349
4008.9000,0.938242
4008.9500,0.972162
4009.0000,0.979706
4009.0500,0.968491
4009.1000,0.989358
4009.1500,0.954243
4009.2000,0.965994
4009.2500,0.959215
4009.3000,0.979073
4009.3500,0.950423
4009.4000,0.955786
4009.4500,0.946115
4009.5000,0.934376
4009.5500,0.945588
4009.6000,0.975399
4009.6500,0.961881
4009.7000,0.950676
4009.7500,0.940844
4009.8000,0.968177
4009.8500,0.959825
4009.9000,0.977614
4009.9500,0.932599
4010.0000,0.964639
4010.0500,0.983313
4010.1000,0.981405
4010.1500,0.966957
4010.2000,0.966138
4010.2500,0.967964
4010.3000,0.979871
4010.3500,0.962714
4010.4000,0.961377
4010.4500,0.983465
4010.5000,0.99895
4010.5500,0.976989
4010.6000,0.977023
4010.6500,0.964598
4010.7000,1.0146
4010.7500,1.02279
4010.8000,0.997958
4010.8500,0.996741
4010.9000,0.99399
4010.9500,1.0185
4011.0000,0.97437
4011.0500,0.975578
4011.1000,0.98951
4011.1500,0.986095
4011.2000,1.00554
4011.2500,0.999989
4011.3000,0.998957
4011.3500,0.995695
4011.4000,1.00317
4011.4500,1.04117
4011.5000,1.07194
4011.5500,1.04504
4011.6000,0.994728
4011.6500,1.00565
4011.7000,0.996851
4011.7500,1.0499
4011.8000,1.05388
4011.8500,1.01668
4011.9000,0.986038
4011.9500,0.989898
4012.0000,1.00284
4012.0500,0.997091
4012.1000,1.0119
4012.1500,1.03841
4012.2000,1.00252
4012.2500,1.00098
4012.3000,1.04151
4012.3500,1.02464
4012.4000,1.00999
4012.4500,0.99103
4012.5000,1.00241
4012.5500,0.994606
4012.6000,1.02472
4012.6500,1.00258
4012.7000,1.03352
4012.7500,1.00714
4012.8000,1.01899
4012.8500,1.00528
4012.9000,1.00391
4012.9500,1.038
4013.0000,0.993366
4013.0500,1.00417
4013.1000,0.991747
4013.1500,0.999208
4013.2000,0.971857
4013.2500,0.987636
4013.3000,1.00052
4013.3500,1.02696
4013.4000,1.00382
4013.4500,0.998434
4013.5000,0.997593
4013.5500,1.01898
4013.6000,0.986485
