Longitud_de_onda_A,espectro
4000.0000,1.01341
4000.0500,0.997714
4000.1000,1.00883
4000.1500,1.00889
4000.2000,0.996336
4000.2500,1.0074
4000.3000,0.996211
4000.3500,1.00172
4000.4000,0.988592
4000.4500,0.981204
4000.5000,0.999455
4000.5500,0.98678
4000.6000,1.00513
4000.6500,1.00766
4000.7000,1.00175
4000.7500,1.00876
4000.8000,1.00843
4000.8500,0.989672
4000.9000,0.982646
4000.9500,0.970561
4001.0000,1.00212
4001.0500,1.00375
4001.1000,0.985429
4001.1500,0.988998
4001.2000,1.01318
4001.2500,1.00587
4001.3000,1.01227
4001.3500,0.998366
4001.4000,0.996638
4001.4500,1.00945
4001.5000,0.997214
4001.5500,0.99106
4001.6000,0.984872
4001.6500,0.97711
4001.7000,0.986078
4001.7500,0.98318
4001.8000,0.986772
4001.8500,0.990079
4001.9000,0.967373
4001.9500,0.982354
4002.0000,0.973054
4002.0500,0.982244
4002.1000,0.975196
4002.1500,0.974356
4002.2000,0.977011
4002.2500,0.976228
4002.3000,0.968114
4002.3500,0.955359
4002.4000,0.956591
4002.4500,0.94852
4002.5000,0.966285
4002.5500,0.947507
4002.6000,0.949359
4002.6500,0.955033
4002.7000,0.946565
4002.7500,0.959251
4002.8000,0.982135
4002.8500,0.978759
4002.9000,0.966432
4002.9500,0.966329
4003.0000,0.944372
4003.0500,0.974838
4003.1000,0.975914
4003.1500,0.9591
4003.2000,0.95781
4003.2500,0.984164
4003.3000,0.977785
4003.3500,0.977216
4003.4000,0.979704
4003.4500,0.975798
4003.5000,0.995417
4003.5500,0.982587
4003.6000,0.987358
4003.6500,0.9807
4003.7000,1.005
4003.7500,0.990584
4003.8000,0.994222
4003.8500,0.997862
4003.9000,0.982024
4003.9500,0.999619
4004.0000,0.994653
4004.0500,0.986219
4004.1000,0.990267
4004.1500,0.989406
4004.2000,0.983781
4004.2500,0.990149
4004.3000,0.985829
4004.3500,1.00397
4004.4000,0.988937
4004.4500,0.975024
4004.5000,0.983432
4004.5500,0.971882
4004.6000,0.972185
4004.6500,0.980116
4004.7000,0.971248
4004.7500,0.990483
4004.8000,0.972852
4004.8500,0.935407
4004.9000,0.955576
4004.9500,0.95653
4005.0000,0.948361
4005.0500,0.953838
4005.1000,0.95139
4005.1500,0.923175
4005.2000,0.946693
4005.2500,0.952194
4005.3000,0.933905
4005.3500,0.94135
4005.4000,0.933528
4005.4500,0.940185
4005.5000,0.930003
4005.5500,0.941783
4005.6000,0.941077
4005.6500,0.940498
4005.7000,0.946302
4005.7500,0.943214
4005.8000,0.939489
4005.8500,0.994775
4005.9000,0.968232
4005.9500,0.983051
4006.0000,0.965311
4006.0500,0.95562
4006.1000,0.960019
4006.1500,0.972897
4006.2000,0.966813
4006.2500,0.962812
4006.3000,0.98216
4006.3500,0.984452
4006.4000,0.99038
4006.4500,0.986055
4006.5000,0.986653
4006.5500,1.00851
4006.6000,0.992549
4006.6500,0.985343
4006.7000,0.989909
4006.7500,0.983338
4006.8000,1.00582
4006.8500,1.01762
4006.9000,0.997338
4006.9500,1.0015
4007.0000,0.988099
4007.0500,1.00136
4007.1000,1.01343
4007.1500,0.992495
4007.2000,1.01642
4007.2500,1.01304
4007.3000,1.00464
4007.3500,1.00224
4007.4000,0.995266
4007.4500,0.990793
4007.5000,0.988184
4007.5500,1.01961
4007.6000,1.01198
4007.6500,1.00098
4007.7000,1.00696
4007.7500,1.00113
4007.8000,1.00835
4007.8500,1.02961
4007.9000,1.0239
