Longitud_de_onda_A,espectro
4000.0000,1.27973
4000.0500,1.13805
4000.1000,1.0183
4000.1500,1.02532
4000.2000,0.793359
4000.2500,0.6464
4000.3000,0.575564
4000.3500,0.558393
4000.4000,0.409192
4000.4500,0.368982
4000.5000,0.416957
4000.5500,0.600529
4000.6000,0.935893
4000.6500,1.242
4000.7000,1.50725
4000.7500,1.61102
4000.8000,1.65223
4000.8500,1.6134
4000.9000,1.69144
4000.9500,1.64865
4001.0000,1.48796
4001.0500,1.13569
4001.1000,0.916969
4001.1500,0.785429
4001.2000,0.87878
4001.2500,1.0013
4001.3000,1.09924
4001.3500,1.2045
4001.4000,1.05188
4001.4500,0.87086
4001.5000,0.764321
4001.5500,0.573338
4001.6000,0.452762
4001.6500,0.400222
4001.7000,0.475331
4001.7500,0.650492
4001.8000,1.02068
4001.8500,1.34839
4001.9000,1.5406
4001.9500,1.46544
4002.0000,1.47419
4002.0500,1.35031
4002.1000,1.32888
4002.1500,1.35852
4002.2000,1.4872
4002.2500,1.62404
4002.3000,1.58613
4002.3500,1.34367
4002.4000,1.01723
4002.4500,0.873041
4002.5000,0.835112
4002.5500,0.845586
4002.6000,0.915632
4002.6500,0.892601
4002.7000,1.00264
4002.7500,1.10273
4002.8000,1.01446
4002.8500,0.900315
4002.9000,0.784528
4002.9500,0.896545
4003.0000,1.03416
4003.0500,1.23349
4003.1000,1.13877
4003.1500,1.22113
4003.2000,1.25372
4003.2500,1.45427
4003.3000,1.56675
4003.3500,1.58676
4003.4000,1.47571
4003.4500,1.31531
4003.5000,1.24869
4003.5500,1.1781
4003.6000,1.16814
4003.6500,1.02573
4003.7000,0.837677
4003.7500,0.659881
4003.8000,0.588907
4003.8500,0.705333
4003.9000,0.814474
4003.9500,0.75379
4004.0000,0.647103
4004.0500,0.727114
4004.1000,0.923503
4004.1500,1.01523
4004.2000,1.17758
4004.2500,1.31093
4004.3000,1.39342
4004.3500,1.47965
4004.4000,1.59648
4004.4500,1.57841
4004.5000,1.42797
4004.5500,1.24021
4004.6000,1.025
4004.6500,0.84532
4004.7000,0.674517
4004.7500,0.575572
4004.8000,0.45583
4004.8500,0.372657
4004.9000,0.30022
4004.9500,0.303682
4005.0000,0.309121
4005.0500,0.224077
4005.1000,0.219922
4005.1500,0.114194
4005.2000,0.124642
4005.2500,0.0750515
4005.3000,0.117472
4005.3500,0.117288
4005.4000,0.162143
4005.4500,0.238936
4005.5000,0.297134
4005.5500,0.342018
4005.6000,0.405921
4005.6500,0.454154
4005.7000,0.489513
4005.7500,0.593911
4005.8000,0.766428
4005.8500,0.942341
4005.9000,0.947045
4005.9500,0.899513
4006.0000,0.955609
4006.0500,1.01625
4006.1000,0.890557
4006.1500,0.784332
4006.2000,0.622662
4006.2500,0.599046
4006.3000,0.530598
4006.3500,0.624786
4006.4000,0.802682
4006.4500,0.902271
4006.5000,0.840417
4006.5500,0.717544
4006.6000,0.552376
4006.6500,0.498073
4006.7000,0.507607
4006.7500,0.570643
4006.8000,0.812365
4006.8500,1.1876
4006.9000,1.43953
4006.9500,1.50997
4007.0000,1.44387
4007.0500,1.31143
4007.1000,1.22206
4007.1500,0.998013
4007.2000,0.71085
4007.2500,0.505134
4007.3000,0.468582
4007.3500,0.470305
4007.4000,0.575588
4007.4500,0.677585
4007.5000,0.789215
4007.5500,0.925782
4007.6000,1.02737
4007.6500,1.257
4007.7000,1.36464
4007.7500,1.34112
4007.8000,1.26568
4007.8500,1.11866
4007.9000,0.945399
4007.9500,0.780777
4008.0000,0.665629
4008.0500,0.657062
4008.1000,0.64074
4008.1500,0.813003
4008.2000,1.0654
4008.2500,1.2763
4008.3000,1.44116
4008.3500,1.51648
4008.4000,1.50305
4008.4500,1.46372
4008.5000,1.5033
4008.5500,1.31759
4008.6000,1.01647
4008.6500,0.754918
4008.7000,0.595451
4008.7500,0.500694
4008.8000,0.404122
4008.8500,0.336682
4008.9000,0.27398
4008.9500,0.27375
4009.0000,0.39015
4009.0500,0.476211
4009.1000,0.592867
4009.1500,0.797351
4009.2000,1.05339
4009.2500,1.40723
4009.3000,1.74178
4009.3500,1.81493
4009.4000,1.76685
4009.4500,1.47776
4009.5000,1.05603
4009.5500,0.630757
4009.6000,0.446231
4009.6500,0.301395
4009.7000,0.224925
4009.7500,0.315708
4009.8000,0.524617
4009.8500,0.773576
4009.9000,1.08335
4009.9500,1.27417
4010.0000,1.41885
4010.0500,1.41734
4010.1000,1.28987
4010.1500,1.08859
4010.2000,1.20853
4010.2500,1.37984
4010.3000,1.42723
4010.3500,1.35992
4010.4000,1.21493
4010.4500,1.01766
4010.5000,0.935725
4010.5500,0.800264
4010.6000,0.818086
4010.6500,0.91053
4010.7000,0.913389
4010.7500,0.841768
4010.8000,0.884052
4010.8500,0.927297
4010.9000,0.922216
