Longitud_de_onda_A,espectro
4000.0000,1.02685
4000.0500,1.04194
4000.1000,1.02877
4000.1500,0.981109
4000.2000,0.900157
4000.2500,0.872206
4000.3000,0.862743
4000.3500,0.849498
4000.4000,0.793774
4000.4500,0.742323
4000.5000,0.795199
4000.5500,0.907496
4000.6000,0.990756
4000.6500,1.00103
4000.7000,1.00616
4000.7500,1.02563
4000.8000,1.02036
4000.8500,1.02723
4000.9000,1.0244
4000.9500,1.02269
4001.0000,1.00411
4001.0500,0.963873
4001.1000,0.908548
4001.1500,0.900128
4001.2000,0.912435
4001.2500,0.952909
4001.3000,0.967986
4001.3500,0.981016
4001.4000,0.945997
4001.4500,0.894004
4001.5000,0.910079
4001.5500,0.891778
4001.6000,0.797075
4001.6500,0.713042
4001.7000,0.719148
4001.7500,0.832441
4001.8000,0.963057
4001.8500,1.01205
4001.9000,1.0264
4001.9500,0.998682
4002.0000,0.958121
4002.0500,0.89237
4002.1000,0.902174
4002.1500,0.956235
4002.2000,0.997742
4002.2500,1.01824
4002.3000,1.02178
4002.3500,1.02986
4002.4000,1.00413
4002.4500,0.989867
4002.5000,0.979202
4002.5500,0.963367
4002.6000,0.977677
4002.6500,0.990444
4002.7000,1.00182
4002.7500,1.00032
4002.8000,1.00544
4002.8500,0.928847
4002.9000,0.849443
4002.9500,0.837512
4003.0000,0.90843
4003.0500,0.977522
4003.1000,1.02567
4003.1500,1.0128
4003.2000,1.02172
4003.2500,1.03195
4003.3000,1.02527
4003.3500,1.04322
4003.4000,1.03793
4003.4500,1.02589
4003.5000,1.02297
4003.5500,1.02704
4003.6000,1.02898
4003.6500,0.991325
4003.7000,0.90266
4003.7500,0.827766
4003.8000,0.841025
4003.8500,0.918237
4003.9000,0.976334
4003.9500,1.0103
4004.0000,1.02692
4004.0500,0.997949
4004.1000,1.01597
4004.1500,1.02468
4004.2000,1.01862
4004.2500,1.01978
4004.3000,1.05542
4004.3500,1.02654
4004.4000,1.03998
4004.4500,1.03539
4004.5000,1.02493
4004.5500,1.01322
4004.6000,1.01707
4004.6500,1.00777
4004.7000,0.977002
4004.7500,0.88314
4004.8000,0.743438
4004.8500,0.612727
4004.9000,0.570061
4004.9500,0.613643
4005.0000,0.695041
4005.0500,0.75624
4005.1000,0.742308
4005.1500,0.609954
4005.2000,0.436702
4005.2500,0.339477
4005.3000,0.438263
4005.3500,0.622759
4005.4000,0.770899
4005.4500,0.853351
4005.5000,0.894687
4005.5500,0.924738
4005.6000,0.852473
4005.6500,0.735997
4005.7000,0.645701
4005.7500,0.71842
4005.8000,0.878225
4005.8500,0.959543
4005.9000,1.00613
4005.9500,1.02013
4006.0000,1.02165
4006.0500,0.999841
4006.1000,0.971002
4006.1500,0.935237
4006.2000,0.901663
4006.2500,0.800037
4006.3000,0.720826
4006.3500,0.776315
4006.4000,0.886501
4006.4500,0.970809
4006.5000,0.961064
4006.5500,0.887532
4006.6000,0.752802
4006.6500,0.704407
4006.7000,0.694976
4006.7500,0.734943
4006.8000,0.801006
4006.8500,0.899221
4006.9000,0.947802
4006.9500,0.977879
4007.0000,0.977412
4007.0500,0.980415
4007.1000,0.999357
4007.1500,0.939516
4007.2000,0.83012
4007.2500,0.699083
4007.3000,0.720187
4007.3500,0.829107
4007.4000,0.953117
4007.4500,0.996115
4007.5000,1.00983
4007.5500,1.01267
4007.6000,1.03542
4007.6500,1.01749
4007.7000,1.04454
4007.7500,1.02486
4007.8000,1.00349
4007.8500,0.988777
4007.9000,0.951994
4007.9500,0.957111
4008.0000,0.955013
4008.0500,0.962078
4008.1000,0.975961
4008.1500,0.992988
4008.2000,1.00894
4008.2500,1.02142
4008.3000,1.03261
4008.3500,1.02755
4008.4000,1.04348
4008.4500,1.05055
4008.5000,1.04444
4008.5500,1.0254
4008.6000,1.04133
4008.6500,1.02424
4008.7000,1.00426
4008.7500,0.970197
4008.8000,0.923541
4008.8500,0.846588
4008.9000,0.799225
4008.9500,0.846238
4009.0000,0.90911
4009.0500,0.966229
4009.1000,0.963152
4009.1500,0.946664
4009.2000,0.992848
4009.2500,1.00689
4009.3000,1.03217
4009.3500,1.05025
4009.4000,1.05577
4009.4500,1.02891
4009.5000,0.999483
4009.5500,0.930664
4009.6000,0.842465
4009.6500,0.695515
