Longitud_de_onda_A,espectro
4000.0000,1.03459
4000.0500,1.01493
4000.1000,0.999332
4000.1500,1.01358
4000.2000,0.88861
4000.2500,0.782312
4000.3000,0.862305
4000.3500,0.916897
4000.4000,0.803607
4000.4500,0.689632
4000.5000,0.742037
4000.5500,0.921347
4000.6000,1.01462
4000.6500,1.03192
4000.7000,1.0228
4000.7500,1.01958
4000.8000,0.991221
4000.8500,1.00551
4000.9000,1.00094
4000.9500,1.00913
4001.0000,0.962704
4001.0500,0.891454
4001.1000,0.818045
4001.1500,0.764282
4001.2000,0.810693
4001.2500,0.890532
4001.3000,0.962943
4001.3500,0.951701
4001.4000,0.893344
4001.4500,0.869914
4001.5000,0.92983
4001.5500,0.968635
4001.6000,0.779578
4001.6500,0.589819
4001.7000,0.658099
4001.7500,0.85123
4001.8000,1.01657
4001.8500,1.0102
4001.9000,1.01709
4001.9500,1.01532
4002.0000,0.971777
4002.0500,0.911036
4002.1000,0.924891
4002.1500,0.992335
4002.2000,1.03231
4002.2500,1.02525
4002.3000,1.04206
4002.3500,1.0261
4002.4000,1.01692
4002.4500,0.961848
4002.5000,0.954021
4002.5500,0.978552
4002.6000,0.964271
4002.6500,1.00486
4002.7000,1.00585
4002.7500,1.05278
4002.8000,1.03041
4002.8500,0.969995
4002.9000,0.86749
4002.9500,0.860177
4003.0000,0.964998
4003.0500,1.02974
4003.1000,1.04725
4003.1500,1.00721
4003.2000,1.02
4003.2500,0.989373
4003.3000,1.03003
4003.3500,1.02826
4003.4000,1.06334
4003.4500,1.03069
4003.5000,1.07109
4003.5500,1.03288
4003.6000,1.02421
4003.6500,1.00975
4003.7000,0.926479
4003.7500,0.777089
4003.8000,0.781936
4003.8500,0.897298
4003.9000,0.986537
4003.9500,1.01737
4004.0000,0.960841
4004.0500,0.999765
4004.1000,1.01699
4004.1500,1.04744
4004.2000,1.03278
4004.2500,1.0113
4004.3000,1.04261
4004.3500,1.05162
4004.4000,1.03612
4004.4500,1.05453
4004.5000,1.04164
4004.5500,1.04963
4004.6000,0.999122
4004.6500,1.00607
4004.7000,0.986871
4004.7500,0.888086
4004.8000,0.697057
4004.8500,0.534729
4004.9000,0.473098
4004.9500,0.555839
4005.0000,0.656507
4005.0500,0.713289
4005.1000,0.695296
4005.1500,0.564358
4005.2000,0.321097
4005.2500,0.237279
4005.3000,0.362212
4005.3500,0.567394
4005.4000,0.690123
4005.4500,0.752741
4005.5000,0.845
4005.5500,0.932366
4005.6000,0.944098
4005.6500,0.77032
4005.7000,0.623484
4005.7500,0.734864
4005.8000,0.925349
4005.8500,1.01751
4005.9000,1.02607
4005.9500,1.00084
4006.0000,0.993721
4006.0500,1.04247
4006.1000,0.926404
4006.1500,0.912556
4006.2000,0.937591
4006.2500,0.829985
4006.3000,0.649901
4006.3500,0.705164
4006.4000,0.897843
4006.4500,0.987738
4006.5000,0.986498
4006.5500,0.89082
4006.6000,0.711953
4006.6500,0.672453
4006.7000,0.701525
4006.7500,0.656079
4006.8000,0.678895
4006.8500,0.826962
4006.9000,0.908348
4006.9500,0.91382
4007.0000,0.870506
4007.0500,0.886569
4007.1000,0.980609
4007.1500,1.01652
4007.2000,0.83989
4007.2500,0.645875
4007.3000,0.645953
4007.3500,0.856583
4007.4000,0.970154
4007.4500,1.01529
4007.5000,1.03891
4007.5500,1.05292
4007.6000,1.03267
4007.6500,1.03361
4007.7000,1.01651
4007.7500,1.02954
4007.8000,1.03212
4007.8500,0.994433
4007.9000,0.951549
4007.9500,0.951029
4008.0000,0.9598
4008.0500,0.985452
4008.1000,1.01757
4008.1500,0.99468
4008.2000,1.01438
4008.2500,1.00701
4008.3000,1.03155
4008.3500,1.00372
4008.4000,1.02023
4008.4500,0.983285
4008.5000,1.03304
4008.5500,1.02426
4008.6000,1.03631
4008.6500,1.05527
4008.7000,1.03741
4008.7500,1.01894
4008.8000,0.947276
4008.8500,0.809701
4008.9000,0.726978
4008.9500,0.780296
4009.0000,0.940777
4009.0500,1.01706
4009.1000,0.969768
4009.1500,0.920222
4009.2000,0.967635
4009.2500,1.03636
4009.3000,1.04972
4009.3500,1.08211
4009.4000,1.08599
4009.4500,1.07252
4009.5000,0.981269
4009.5500,0.941505
4009.6000,0.900278
