Longitud_de_onda_A,espectro
4000.0000,0.99997
4000.0500,0.979688
4000.1000,1.08846
4000.1500,0.996312
4000.2000,0.825845
4000.2500,0.6696
4000.3000,0.742847
4000.3500,0.796113
4000.4000,0.721673
4000.4500,0.636466
4000.5000,0.684926
4000.5500,0.908715
4000.6000,0.953536
4000.6500,1.03333
4000.7000,1.03833
4000.7500,1.00118
4000.8000,1.02327
4000.8500,1.03387
4000.9000,0.995961
4000.9500,0.963514
4001.0000,1.00157
4001.0500,0.859493
4001.1000,0.750579
4001.1500,0.686194
4001.2000,0.678163
4001.2500,0.809521
4001.3000,0.91646
4001.3500,0.930036
4001.4000,0.786024
4001.4500,0.808997
4001.5000,0.87328
4001.5500,0.864288
4001.6000,0.761277
4001.6500,0.55776
4001.7000,0.599492
4001.7500,0.780728
4001.8000,0.927945
4001.8500,1.03509
4001.9000,1.0639
4001.9500,1.0304
4002.0000,0.900183
4002.0500,0.854337
4002.1000,0.833528
4002.1500,0.925325
4002.2000,1.02859
4002.2500,1.05324
4002.3000,1.00963
4002.3500,1.02582
4002.4000,0.976454
4002.4500,1.00492
4002.5000,0.905511
4002.5500,0.900008
4002.6000,0.946893
4002.6500,0.890663
4002.7000,0.974482
4002.7500,1.02661
4002.8000,1.03867
4002.8500,0.861752
4002.9000,0.724304
4002.9500,0.729198
4003.0000,0.990013
4003.0500,1.02921
4003.1000,1.0652
4003.1500,1.05838
4003.2000,1.06622
4003.2500,1.03893
4003.3000,1.05177
4003.3500,1.09775
4003.4000,1.1261
4003.4500,1.05591
4003.5000,1.08766
4003.5500,1.03103
4003.6000,1.0824
4003.6500,1.03583
4003.7000,0.828962
4003.7500,0.676305
4003.8000,0.695449
4003.8500,1.0164
4003.9000,1.00112
4003.9500,1.02213
4004.0000,1.02171
4004.0500,1.01646
4004.1000,1.02577
4004.1500,1.07268
4004.2000,1.05951
4004.2500,1.07471
4004.3000,1.03572
4004.3500,0.989251
4004.4000,1.07768
4004.4500,1.03007
4004.5000,1.05459
4004.5500,1.03943
4004.6000,0.964597
4004.6500,0.986099
4004.7000,0.981625
4004.7500,0.826108
4004.8000,0.550068
4004.8500,0.464739
4004.9000,0.401656
4004.9500,0.401268
4005.0000,0.469563
4005.0500,0.486274
4005.1000,0.507792
4005.1500,0.489352
4005.2000,0.312873
4005.2500,0.217703
4005.3000,0.304221
4005.3500,0.369628
4005.4000,0.50999
4005.4500,0.521845
4005.5000,0.669478
4005.5500,0.814351
4005.6000,0.824954
4005.6500,0.649792
4005.7000,0.536391
4005.7500,0.693392
4005.8000,0.881912
4005.8500,0.985833
4005.9000,0.960578
4005.9500,0.987563
4006.0000,1.03386
4006.0500,1.02962
4006.1000,0.85023
4006.1500,0.758258
4006.2000,0.818278
4006.2500,0.803452
4006.3000,0.612416
4006.3500,0.635414
4006.4000,0.872402
4006.4500,0.974628
4006.5000,1.04914
4006.5500,0.822079
4006.6000,0.581476
4006.6500,0.61204
4006.7000,0.552606
4006.7500,0.50649
4006.8000,0.607961
4006.8500,0.768664
4006.9000,0.930268
4006.9500,0.847716
4007.0000,0.799686
4007.0500,0.894034
4007.1000,0.999042
4007.1500,0.977341
4007.2000,0.796288
4007.2500,0.573557
4007.3000,0.590454
4007.3500,0.746684
4007.4000,0.915524
4007.4500,0.99052
4007.5000,1.00011
4007.5500,0.996964
4007.6000,1.06543
4007.6500,1.01914
4007.7000,1.05321
4007.7500,1.04673
4007.8000,0.923581
4007.8500,0.872898
4007.9000,0.842018
4007.9500,0.870677
4008.0000,0.897174
4008.0500,0.903507
4008.1000,0.895329
4008.1500,0.993445
4008.2000,0.93816
4008.2500,0.989714
4008.3000,1.1067
4008.3500,1.073
4008.4000,1.07634
4008.4500,1.10429
4008.5000,1.08072
4008.5500,1.02413
4008.6000,1.03154
4008.6500,1.01579
4008.7000,1.03162
4008.7500,0.978103
4008.8000,0.90147
4008.8500,0.651566
4008.9000,0.514867
4008.9500,0.635515
4009.0000,0.810124
4009.0500,0.887152
4009.1000,0.867276
4009.1500,0.823022
4009.2000,0.897513
4009.2500,1.03567
4009.3000,1.07735
4009.3500,1.09544
4009.4000,1.08116
4009.4500,1.08797
4009.5000,0.957487
4009.5500,0.833411
4009.6000,0.790977
4009.6500,0.59772
4009.7000,0.411927
4009.7500,0.530468
4009.8000,0.740234
4009.8500,0.927072
4009.9000,1.00727
4009.9500,0.992524
4010.0000,1.00256
4010.0500,0.998159
4010.1000,0.993711
4010.1500,0.909017
4010.2000,0.931772
4010.2500,0.967774
4010.3000,1.01477
4010.3500,1.03311
4010.4000,1.06621
4010.4500,0.988381
4010.5000,0.889746
4010.5500,0.711687
4010.6000,0.735715
4010.6500,0.839453
4010.7000,0.890366
4010.7500,0.867945
4010.8000,0.811814
4010.8500,0.858698
4010.9000,0.851445
4010.9500,0.879043
4011.0000,0.90271
4011.0500,0.991003
4011.1000,1.05074
4011.1500,1.04642
4011.2000,1.07776
4011.2500,1.08119
4011.3000,1.0734
4011.3500,0.908497
4011.4000,0.745884
4011.4500,0.833161
4011.5000,0.967328
4011.5500,1.01386
4011.6000,1.04016
4011.6500,0.910974
4011.7000,0.853672
4011.7500,0.850794
4011.8000,0.942916
4011.8500,1.05132
4011.9000,1.11085
4011.9500,1.04387
4012.0000,1.01863
4012.0500,0.965585
4012.1000,1.03955
4012.1500,0.858137
4012.2000,0.763978
4012.2500,0.695692
4012.3000,0.661817
4012.3500,0.509668
4012.4000,0.419218
4012.4500,0.587133
4012.5000,0.790318
4012.5500,0.911676
4012.6000,0.957056
4012.6500,0.930277
4012.7000,0.892057
4012.7500,0.987862
4012.8000,1.02986
4012.8500,1.09017
4012.9000,1.09388
4012.9500,1.05309
4013.0000,1.16782
4013.0500,1.1139
4013.1000,1.13349
4013.1500,1.07993
4013.2000,1.09463
4013.2500,1.05727
4013.3000,1.0221
4013.3500,1.0617
4013.4000,1.0735
4013.4500,1.08559
4013.5000,1.0205
4013.5500,0.824089
4013.6000,0.699515
4013.6500,0.698361
4013.7000,0.734338
4013.7500,0.641748
4013.8000,0.502512
4013.8500,0.573604
4013.9000,0.74982
4013.9500,0.878383
4014.0000,0.981194
4014.0500,1.08168
4014.1000,1.03866
4014.1500,1.02969
4014.2000,0.949023
4014.2500,0.840054
4014.3000,0.872984
4014.3500,0.968396
4014.4000,0.839157
4014.4500,0.693241
4014.5000,0.478122
4014.5500,0.427553
4014.6000,0.666774
4014.6500,0.860207
4014.7000,0.959033
4014.7500,1.04217
4014.8000,1.05577
4014.8500,0.999515
4014.9000,0.925905
4014.9500,0.927503
4015.0000,0.996159
4015.0500,1.05628
4015.1000,1.05041
4015.1500,0.964248
4015.2000,1.10618
4015.2500,1.10054
4015.3000,1.04028
4015.3500,0.918733
4015.4000,0.876636
4015.4500,0.878691
4015.5000,0.847049
4015.5500,0.711827
4015.6000,0.667126
4015.6500,0.727013
4015.7000,0.87665
4015.7500,1.02697
4015.8000,1.03189
4015.8500,1.02925
4015.9000,1.03066
4015.9500,1.05019
4016.0000,1.05451
4016.0500,1.10058
4016.1000,1.03267
4016.1500,1.02869
4016.2000,1.01003
4016.2500,1.03336
4016.3000,0.953153
4016.3500,0.78936
4016.4000,0.692023
4016.4500,0.720378
4016.5000,0.849878
4016.5500,0.931878
4016.6000,1.01724
4016.6500,0.995966
4016.7000,1.00412
4016.7500,0.984372
4016.8000,0.948688
4016.8500,0.946407
4016.9000,0.982315
4016.9500,0.900138
4017.0000,0.857203
4017.0500,0.64837
4017.1000,0.42027
4017.1500,0.39592
4017.2000,0.562049
4017.2500,0.772381
4017.3000,0.88176
4017.3500,0.891874
4017.4000,0.784306
4017.4500,0.633306
4017.5000,0.584818
