Longitud_de_onda_A,espectro
4000.0000,0.954597
4000.0500,0.998501
4000.1000,0.979984
4000.1500,0.988826
4000.2000,0.962704
4000.2500,0.975942
4000.3000,0.968943
4000.3500,0.986812
4000.4000,1.02319
4000.4500,0.971296
4000.5000,0.988328
4000.5500,0.954366
4000.6000,1.0112
4000.6500,1.03628
4000.7000,1.00366
4000.7500,0.989724
4000.8000,0.982026
4000.8500,0.970218
4000.9000,1.01969
4000.9500,0.994621
4001.0000,0.985544
4001.0500,0.936978
4001.1000,0.994759
4001.1500,1.05799
4001.2000,0.9671
4001.2500,0.977145
4001.3000,1.01846
4001.3500,1.01663
4001.4000,0.998822
4001.4500,0.964641
4001.5000,0.964427
4001.5500,0.947493
4001.6000,0.972271
4001.6500,0.944796
4001.7000,0.970767
4001.7500,0.981943
4001.8000,1.0021
4001.8500,0.965469
4001.9000,0.952325
4001.9500,0.999734
4002.0000,0.995
4002.0500,0.984843
4002.1000,1.01587
4002.1500,0.978836
4002.2000,1.0031
4002.2500,0.966072
4002.3000,0.98342
4002.3500,0.976266
4002.4000,0.994397
4002.4500,0.989342
4002.5000,0.946693
4002.5500,1.02137
4002.6000,1.04795
4002.6500,0.985467
4002.7000,0.996496
4002.7500,0.993026
4002.8000,0.975086
4002.8500,0.959693
4002.9000,0.971128
4002.9500,0.962381
4003.0000,0.96159
4003.0500,0.973642
4003.1000,1.01107
4003.1500,0.975075
4003.2000,0.979672
4003.2500,0.994174
4003.3000,1.00403
4003.3500,0.98218
4003.4000,0.977916
4003.4500,0.979381
4003.5000,0.992833
4003.5500,0.969819
4003.6000,1.03218
4003.6500,0.93294
4003.7000,0.949594
4003.7500,0.985794
4003.8000,1.00415
4003.8500,0.98627
4003.9000,1.00412
4003.9500,0.986729
4004.0000,0.990141
4004.0500,0.939017
4004.1000,0.960301
4004.1500,0.956655
4004.2000,0.956135
4004.2500,0.975059
4004.3000,0.995847
4004.3500,0.937507
4004.4000,0.975614
4004.4500,0.99243
4004.5000,0.96506
4004.5500,0.959035
4004.6000,0.97173
4004.6500,0.966965
4004.7000,0.936028
4004.7500,0.998101
4004.8000,0.996124
4004.8500,1.02734
4004.9000,0.969784
4004.9500,0.945369
4005.0000,0.94708
4005.0500,0.977732
4005.1000,0.980633
4005.1500,0.941999
4005.2000,0.965312
4005.2500,0.978707
4005.3000,0.984974
4005.3500,1.02968
4005.4000,0.991683
4005.4500,1.02337
4005.5000,1.01634
4005.5500,0.998386
4005.6000,0.971326
4005.6500,0.953553
4005.7000,1.00153
4005.7500,1.01529
4005.8000,1.0005
4005.8500,1.03398
4005.9000,0.987223
4005.9500,0.97066
4006.0000,1.01427
4006.0500,1.02581
4006.1000,1.026
4006.1500,1.04038
4006.2000,1.00806
4006.2500,1.03614
4006.3000,0.950185
4006.3500,0.993567
4006.4000,1.01697
4006.4500,0.995542
4006.5000,1.02029
4006.5500,1.01651
4006.6000,1.05189
4006.6500,0.981905
4006.7000,1.03151
4006.7500,1.00589
4006.8000,1.00267
4006.8500,0.983713
4006.9000,1.05663
4006.9500,1.05872
4007.0000,1.05219
4007.0500,1.03671
4007.1000,0.996853
4007.1500,0.958866
4007.2000,0.957676
4007.2500,0.992528
4007.3000,0.984773
4007.3500,0.993886
4007.4000,1.00333
4007.4500,0.984947
4007.5000,0.999
4007.5500,0.98874
4007.6000,0.978382
4007.6500,1.00453
4007.7000,0.99525
4007.7500,0.972197
4007.8000,0.944471
4007.8500,0.984409
4007.9000,0.98682
4007.9500,1.01194
4008.0000,1.0211
4008.0500,0.978443
4008.1000,0.984722
4008.1500,0.9707
4008.2000,0.984343
4008.2500,0.954327
4008.3000,0.93874
4008.3500,0.994442
4008.4000,0.983524
4008.4500,0.988306
4008.5000,0.982351
4008.5500,0.982679
4008.6000,0.965992
4008.6500,0.94132
4008.7000,0.956597
4008.7500,0.985533
4008.8000,0.942408
4008.8500,0.942957
4008.9000,0.944514
4008.9500,0.942729
4009.0000,0.950129
4009.0500,0.988586
4009.1000,0.997465
4009.1500,0.973637
4009.2000,0.934817
4009.2500,0.976523
4009.3000,0.948665
4009.3500,0.961823
4009.4000,0.907838
4009.4500,0.958309
4009.5000,0.996842
4009.5500,0.974164
4009.6000,0.987427
4009.6500,0.973735
4009.7000,0.908187
4009.7500,0.996516
4009.8000,0.970777
4009.8500,0.944701
4009.9000,0.929301
4009.9500,0.97762
4010.0000,0.952055
4010.0500,0.990452
4010.1000,0.991896
4010.1500,0.978447
4010.2000,0.981556
4010.2500,1.01694
4010.3000,0.956064
4010.3500,0.942315
4010.4000,1.0252
4010.4500,0.995203
4010.5000,0.951324
4010.5500,1.005
4010.6000,1.02522
4010.6500,1.03583
4010.7000,0.939341
4010.7500,1.01397
4010.8000,0.998561
4010.8500,0.989926
4010.9000,0.991666
4010.9500,1.01859
4011.0000,1.00499
4011.0500,1.01241
4011.1000,1.02035
4011.1500,0.992013
4011.2000,1.02782
4011.2500,0.984251
4011.3000,0.979914
4011.3500,1.03195
4011.4000,1.05325
4011.4500,0.986651
4011.5000,1.07683
4011.5500,1.01852
4011.6000,1.03884
4011.6500,1.00212
4011.7000,0.977558
4011.7500,1.08207
4011.8000,1.00094
4011.8500,1.00113
4011.9000,1.0286
4011.9500,0.982003
4012.0000,1.00243
4012.0500,0.994584
4012.1000,0.949236
4012.1500,1.02942
4012.2000,1.01196
4012.2500,1.05259
4012.3000,1.05205
4012.3500,1.01357
4012.4000,0.97256
4012.4500,1.01818
4012.5000,1.03469
4012.5500,1.03073
4012.6000,1.03045
4012.6500,0.996491
4012.7000,1.02714
4012.7500,1.04704
4012.8000,1.03427
4012.8500,1.05494
4012.9000,1.01956
4012.9500,1.05954
4013.0000,1.03734
4013.0500,1.04397
4013.1000,1.00869
4013.1500,0.971795
4013.2000,1.03344
4013.2500,1.01765
4013.3000,1.02029
4013.3500,1.00428
4013.4000,0.964843
4013.4500,1.01611
4013.5000,0.997775
4013.5500,1.03423
4013.6000,1.02098
4013.6500,1.00714
4013.7000,1.01194
4013.7500,1.08136
4013.8000,1.01987
4013.8500,1.04589
4013.9000,1.01813
4013.9500,1.00803
4014.0000,1.0203
4014.0500,0.991787
4014.1000,1.0269
4014.1500,1.00405
4014.2000,1.0141
4014.2500,1.05959
4014.3000,1.00201
4014.3500,0.987436
4014.4000,0.999803
4014.4500,1.00961
4014.5000,1.01934
4014.5500,1.05241
4014.6000,1.03584
4014.6500,1.01818
4014.7000,0.963713
4014.7500,0.984176
4014.8000,1.03808
4014.8500,1.02376
4014.9000,1.04309
4014.9500,1.03391
4015.0000,1.04513
