Longitud_de_onda_A,espectro
4000.0000,0.970819
4000.0500,0.97113
4000.1000,0.950532
4000.1500,0.95913
4000.2000,0.97163
4000.2500,0.987591
4000.3000,0.950791
4000.3500,0.957082
4000.4000,0.947401
4000.4500,0.951213
4000.5000,0.9652
4000.5500,0.95925
4000.6000,0.973068
4000.6500,0.964384
4000.7000,0.981972
4000.7500,0.967277
4000.8000,0.966969
4000.8500,0.966666
4000.9000,0.945815
4000.9500,0.979143
4001.0000,0.974308
4001.0500,0.977497
4001.1000,0.973096
4001.1500,0.969184
4001.2000,0.962459
4001.2500,0.957786
4001.3000,0.967542
4001.3500,0.969957
4001.4000,0.967457
4001.4500,0.971593
4001.5000,0.976294
4001.5500,0.968934
4001.6000,0.965723
4001.6500,0.991568
4001.7000,0.967747
4001.7500,0.981097
4001.8000,0.980408
4001.8500,0.952672
4001.9000,0.958862
4001.9500,0.980982
4002.0000,0.949692
4002.0500,0.964648
4002.1000,0.964776
4002.1500,0.98719
4002.2000,0.945886
4002.2500,0.956861
4002.3000,0.969866
4002.3500,0.980899
4002.4000,0.983739
4002.4500,0.964791
4002.5000,0.958405
4002.5500,0.953723
4002.6000,0.979667
4002.6500,0.980939
4002.7000,0.956117
4002.7500,0.959404
4002.8000,0.951697
4002.8500,0.967575
4002.9000,0.973849
4002.9500,0.959091
4003.0000,0.971236
4003.0500,0.969184
4003.1000,0.961395
4003.1500,0.965834
4003.2000,0.951907
4003.2500,0.952955
4003.3000,0.972859
4003.3500,0.974996
4003.4000,0.964325
4003.4500,0.964865
4003.5000,0.950946
4003.5500,0.949489
4003.6000,0.951841
4003.6500,0.971392
4003.7000,0.958543
4003.7500,0.945296
4003.8000,0.955473
4003.8500,0.955164
4003.9000,0.946432
4003.9500,0.973457
4004.0000,0.954866
4004.0500,0.945462
4004.1000,0.946768
4004.1500,0.96157
4004.2000,0.972603
4004.2500,0.968314
4004.3000,0.962599
4004.3500,0.97684
4004.4000,0.970444
4004.4500,0.932105
4004.5000,0.954217
4004.5500,0.964353
4004.6000,0.938887
4004.6500,0.952762
4004.7000,0.988683
4004.7500,1.00443
4004.8000,0.969911
4004.8500,0.964015
4004.9000,0.960053
4004.9500,0.966815
4005.0000,0.982786
4005.0500,0.979678
4005.1000,0.967568
4005.1500,0.976858
4005.2000,0.952643
4005.2500,0.968333
4005.3000,0.967202
4005.3500,0.984428
4005.4000,0.990014
4005.4500,0.974117
4005.5000,0.983845
4005.5500,0.984266
4005.6000,0.982317
4005.6500,0.97627
4005.7000,0.988209
4005.7500,0.987539
4005.8000,0.978371
4005.8500,0.995054
4005.9000,0.976386
4005.9500,0.96358
4006.0000,0.983522
4006.0500,0.983567
4006.1000,0.977573
4006.1500,0.990838
4006.2000,0.97507
4006.2500,0.972228
4006.3000,0.978098
4006.3500,0.987186
4006.4000,0.999588
4006.4500,0.984427
4006.5000,0.995338
4006.5500,0.989627
4006.6000,0.981441
4006.6500,1.002
4006.7000,0.994244
4006.7500,0.987535
4006.8000,0.988308
4006.8500,0.997699
4006.9000,0.997451
4006.9500,0.987076
4007.0000,0.986881
4007.0500,0.980433
4007.1000,0.987872
4007.1500,0.984881
4007.2000,0.988569
4007.2500,0.9683
4007.3000,0.983684
