Longitud_de_onda_A,espectro
4000.0000,0.970949
4000.0500,0.970018
4000.1000,0.950999
4000.1500,0.959454
4000.2000,0.971066
4000.2500,0.987913
4000.3000,0.95065
4000.3500,0.957055
4000.4000,0.946926
4000.4500,0.949807
4000.5000,0.965201
4000.5500,0.960124
4000.6000,0.974027
4000.6500,0.964849
4000.7000,0.980849
4000.7500,0.967364
4000.8000,0.966617
4000.8500,0.966656
4000.9000,0.945639
4000.9500,0.98025
4001.0000,0.974535
4001.0500,0.978119
4001.1000,0.973877
4001.1500,0.968814
4001.2000,0.963339
4001.2500,0.957645
4001.3000,0.967106
4001.3500,0.968758
4001.4000,0.967592
4001.4500,0.972083
4001.5000,0.976871
4001.5500,0.967999
4001.6000,0.965803
4001.6500,0.990022
4001.7000,0.967295
4001.7500,0.979731
4001.8000,0.979992
4001.8500,0.952947
4001.9000,0.960229
4001.9500,0.980887
4002.0000,0.948947
4002.0500,0.964783
4002.1000,0.965244
4002.1500,0.987435
4002.2000,0.946211
4002.2500,0.956805
4002.3000,0.970188
4002.3500,0.98166
4002.4000,0.984413
4002.4500,0.964167
4002.5000,0.959881
4002.5500,0.952265
4002.6000,0.979322
4002.6500,0.982401
4002.7000,0.956312
4002.7500,0.958683
4002.8000,0.950736
4002.8500,0.96917
4002.9000,0.974359
4002.9500,0.958781
4003.0000,0.970857
4003.0500,0.96876
4003.1000,0.961474
4003.1500,0.965874
4003.2000,0.952489
4003.2500,0.952614
4003.3000,0.972765
4003.3500,0.974406
4003.4000,0.964303
4003.4500,0.964713
4003.5000,0.951468
4003.5500,0.948373
4003.6000,0.951575
4003.6500,0.970295
4003.7000,0.957919
4003.7500,0.946618
4003.8000,0.954228
4003.8500,0.954213
4003.9000,0.946259
4003.9500,0.974641
4004.0000,0.955548
4004.0500,0.945742
4004.1000,0.946029
4004.1500,0.962005
4004.2000,0.972803
4004.2500,0.967807
4004.3000,0.962169
4004.3500,0.977673
4004.4000,0.970685
4004.4500,0.933074
4004.5000,0.954499
4004.5500,0.964234
4004.6000,0.939443
4004.6500,0.953195
4004.7000,0.98826
4004.7500,1.00355
4004.8000,0.970087
4004.8500,0.964517
4004.9000,0.959703
4004.9500,0.967536
4005.0000,0.982309
4005.0500,0.981202
4005.1000,0.968293
4005.1500,0.976297
4005.2000,0.952396
4005.2500,0.96861
4005.3000,0.967307
4005.3500,0.985555
4005.4000,0.990439
4005.4500,0.974823
4005.5000,0.984467
4005.5500,0.98481
4005.6000,0.982091
4005.6500,0.97671
4005.7000,0.988039
4005.7500,0.987523
4005.8000,0.978652
4005.8500,0.995229
4005.9000,0.977725
4005.9500,0.962524
4006.0000,0.984072
4006.0500,0.983657
4006.1000,0.977725
4006.1500,0.990847
4006.2000,0.974523
4006.2500,0.97096
4006.3000,0.977378
4006.3500,0.988382
4006.4000,1.00063
4006.4500,0.984988
4006.5000,0.994976
4006.5500,0.989647
4006.6000,0.981156
4006.6500,1.00281
4006.7000,0.994379
4006.7500,0.987516
4006.8000,0.987923
4006.8500,0.997957
4006.9000,0.996666
4006.9500,0.98793
4007.0000,0.986491
4007.0500,0.981013
4007.1000,0.987327
4007.1500,0.985966
4007.2000,0.988859
4007.2500,0.969018
4007.3000,0.983203
4007.3500,1.00166
4007.4000,0.992554
4007.4500,0.97894
4007.5000,1.01321
4007.5500,0.982086
4007.6000,0.99153
4007.6500,1.00262
4007.7000,0.987562
4007.7500,0.993301
4007.8000,0.996315
4007.8500,0.986454
4007.9000,0.979353
4007.9500,0.985083
4008.0000,0.968384
4008.0500,0.965726
4008.1000,0.964437
4008.1500,0.976637
4008.2000,0.964754
4008.2500,0.9696
4008.3000,0.973904
4008.3500,0.971083
4008.4000,0.964694
4008.4500,0.985958
4008.5000,0.954668
4008.5500,0.963292
4008.6000,0.970741
4008.6500,0.965532
4008.7000,0.960914
4008.7500,0.963762
4008.8000,0.948675
4008.8500,0.925874
4008.9000,0.988591
4008.9500,0.95366
4009.0000,0.942925
4009.0500,0.940681
4009.1000,0.942997
4009.1500,0.942521
4009.2000,0.961998
4009.2500,0.949268
4009.3000,0.931734
4009.3500,0.943281
4009.4000,0.92752
4009.4500,0.938518
4009.5000,0.936997
4009.5500,0.943038
4009.6000,0.933676
4009.6500,0.939188
4009.7000,0.94548
4009.7500,0.957626
4009.8000,0.943654
4009.8500,0.942496
4009.9000,0.941202
4009.9500,0.9445
4010.0000,0.975003
4010.0500,0.962457
4010.1000,0.960688
4010.1500,0.962186
4010.2000,0.97736
4010.2500,0.96017
4010.3000,0.9465
4010.3500,0.948773
4010.4000,0.996288
4010.4500,0.963967
4010.5000,0.969133
4010.5500,0.976323
4010.6000,0.978689
4010.6500,0.990735
4010.7000,0.990107
4010.7500,0.986003
4010.8000,0.985971
4010.8500,0.978541
4010.9000,0.985859
4010.9500,0.994517
4011.0000,1.00555
4011.0500,1.00198
4011.1000,1.00743
4011.1500,0.995676
4011.2000,1.01195
4011.2500,1.00246
4011.3000,0.995805
4011.3500,0.989595
4011.4000,0.999473
4011.4500,0.991445
4011.5000,1.01111
4011.5500,1.01355
4011.6000,0.99978
4011.6500,0.990678
4011.7000,0.997
4011.7500,1.00198
4011.8000,1.01547
4011.8500,1.00762
4011.9000,1.01328
4011.9500,0.996609
4012.0000,1.01441
4012.0500,1.01124
4012.1000,1.00979
4012.1500,1.01465
4012.2000,1.00961
4012.2500,1.00066
4012.3000,1.01669
4012.3500,1.02262
4012.4000,1.02521
4012.4500,1.02522
4012.5000,1.00812
4012.5500,1.02598
4012.6000,1.0137
4012.6500,1.02351
4012.7000,1.01047
4012.7500,1.00926
4012.8000,1.02953
4012.8500,1.02989
4012.9000,1.02591
4012.9500,0.993659
4013.0000,0.985025
4013.0500,1.01382
4013.1000,1.01191
4013.1500,1.01535
4013.2000,1.03725
4013.2500,1.02626
4013.3000,1.01804
4013.3500,0.997863
4013.4000,1.01386
4013.4500,1.0255
4013.5000,1.02492
4013.5500,0.994115
4013.6000,1.03367
4013.6500,1.03059
