Longitud_de_onda_A,espectro
4000.0000,0.933127
4000.0500,0.966308
4000.1000,0.978954
4000.1500,0.931208
4000.2000,0.93657
4000.2500,0.95549
4000.3000,1.02612
4000.3500,0.959143
4000.4000,0.966124
4000.4500,0.949791
4000.5000,0.928559
4000.5500,0.940135
4000.6000,0.955563
4000.6500,0.948665
4000.7000,0.924273
4000.7500,0.950406
4000.8000,0.935256
4000.8500,0.960509
4000.9000,0.952848
4000.9500,0.981451
4001.0000,0.958064
4001.0500,0.956167
4001.1000,0.980649
4001.1500,0.979075
4001.2000,0.979884
4001.2500,0.962049
4001.3000,0.952421
4001.3500,0.953139
4001.4000,0.939248
4001.4500,0.950914
4001.5000,0.966809
4001.5500,0.958467
4001.6000,0.962366
4001.6500,0.932135
4001.7000,0.971058
4001.7500,0.941753
4001.8000,0.957192
4001.8500,0.944884
4001.9000,0.926213
4001.9500,0.952436
4002.0000,0.948685
4002.0500,0.937246
4002.1000,0.905444
4002.1500,0.930649
4002.2000,0.970363
4002.2500,0.945246
4002.3000,0.985458
4002.3500,0.977375
4002.4000,0.968137
4002.4500,0.963076
4002.5000,0.951492
4002.5500,0.960478
4002.6000,0.968479
4002.6500,0.939497
4002.7000,0.967979
4002.7500,0.963449
4002.8000,0.921472
4002.8500,0.957879
4002.9000,0.924586
4002.9500,0.962601
4003.0000,0.931956
4003.0500,0.971664
4003.1000,0.960052
4003.1500,0.948161
4003.2000,0.939928
4003.2500,0.961323
4003.3000,0.95417
4003.3500,0.94642
4003.4000,0.957546
4003.4500,0.942734
4003.5000,0.930824
4003.5500,0.965422
4003.6000,0.956668
4003.6500,0.940973
4003.7000,0.946867
4003.7500,0.962949
4003.8000,0.950912
4003.8500,0.951991
4003.9000,0.997
4003.9500,0.966176
4004.0000,0.948081
4004.0500,0.964867
4004.1000,0.963859
4004.1500,0.951941
4004.2000,0.934205
4004.2500,0.955137
4004.3000,0.950242
4004.3500,0.97798
4004.4000,0.975914
4004.4500,0.96505
4004.5000,0.965278
4004.5500,0.942791
4004.6000,0.987396
4004.6500,0.973281
4004.7000,0.961595
4004.7500,0.963842
4004.8000,0.963191
4004.8500,0.962457
4004.9000,0.96741
4004.9500,0.95549
4005.0000,0.954323
4005.0500,0.979414
4005.1000,0.968736
4005.1500,0.956713
4005.2000,0.958824
4005.2500,0.946356
4005.3000,0.938235
4005.3500,0.978269
