Longitud_de_onda_A,espectro
4000.0000,0.99784
4000.0500,0.993317
4000.1000,1.01604
4000.1500,0.980807
4000.2000,0.965053
4000.2500,0.964859
4000.3000,1.00087
4000.3500,0.996078
4000.4000,0.985568
4000.4500,0.977833
4000.5000,0.996197
4000.5500,0.995915
4000.6000,0.984043
4000.6500,0.973856
4000.7000,0.975236
4000.7500,1.00152
4000.8000,0.983776
4000.8500,0.985653
4000.9000,0.982052
4000.9500,0.984271
4001.0000,0.968458
4001.0500,0.963791
4001.1000,0.970888
4001.1500,0.986779
4001.2000,0.987397
4001.2500,0.966864
4001.3000,1.02902
4001.3500,0.975946
4001.4000,0.976218
4001.4500,0.998177
4001.5000,0.987788
4001.5500,0.988672
4001.6000,0.989456
4001.6500,0.99449
4001.7000,0.985654
4001.7500,1.00447
4001.8000,0.977633
4001.8500,0.993892
4001.9000,0.985898
4001.9500,0.976864
4002.0000,0.976493
4002.0500,0.973023
4002.1000,0.970188
4002.1500,0.981494
4002.2000,0.956389
4002.2500,0.955502
4002.3000,0.963728
4002.3500,0.988271
4002.4000,0.992063
4002.4500,0.976793
4002.5000,0.970714
4002.5500,0.960962
4002.6000,0.978122
4002.6500,0.996531
4002.7000,0.963111
4002.7500,0.971398
4002.8000,0.999685
4002.8500,0.957104
4002.9000,0.987032
4002.9500,0.986627
4003.0000,0.997913
4003.0500,0.978514
4003.1000,0.986252
4003.1500,0.984903
4003.2000,0.994015
4003.2500,0.977956
4003.3000,0.968354
4003.3500,0.966288
4003.4000,0.99854
4003.4500,0.988977
4003.5000,0.982023
4003.5500,0.976373
4003.6000,0.98317
4003.6500,1.00781
4003.7000,1.00257
4003.7500,0.992401
4003.8000,0.997743
4003.8500,1.00349
4003.9000,0.987814
4003.9500,0.993067
4004.0000,1.01605
4004.0500,0.998777
4004.1000,0.993893
4004.1500,1.02036
4004.2000,0.988944
4004.2500,0.987012
4004.3000,0.998965
4004.3500,0.987766
4004.4000,0.97431
4004.4500,1.00619
4004.5000,1.00188
4004.5500,0.970131
4004.6000,0.99816
4004.6500,0.957786
4004.7000,0.965729
4004.7500,0.993308
4004.8000,1.02012
4004.8500,0.995291
4004.9000,0.991382
4004.9500,0.972085
4005.0000,1.01232
4005.0500,1.00303
4005.1000,0.974678
4005.1500,0.98547
4005.2000,0.974524
4005.2500,0.986755
4005.3000,0.993272
4005.3500,0.982535
4005.4000,0.977148
4005.4500,1.00027
4005.5000,0.977786
4005.5500,0.963109
4005.6000,0.976188
4005.6500,0.992584
4005.7000,1.01332
4005.7500,0.995703
4005.8000,1.01009
4005.8500,0.993373
4005.9000,1.00045
4005.9500,1.00352
4006.0000,0.990918
4006.0500,0.98749
4006.1000,0.970587
4006.1500,0.990096
4006.2000,0.989116
4006.2500,1.01183
4006.3000,0.964944
4006.3500,1.00553
4006.4000,0.990058
4006.4500,1.00772
4006.5000,0.99933
4006.5500,1.00686
4006.6000,0.992253
4006.6500,0.979992
4006.7000,0.980521
4006.7500,0.978949
4006.8000,0.98813
4006.8500,1.00255
4006.9000,0.990335
4006.9500,0.990088
4007.0000,0.973556
4007.0500,0.986092
4007.1000,0.96209
4007.1500,0.991551
