Longitud_de_onda_A,espectro
4000.0000,0.99944
4000.0500,0.993125
4000.1000,1.01653
4000.1500,0.980808
4000.2000,0.964631
4000.2500,0.963086
4000.3000,1.0019
4000.3500,0.994968
4000.4000,0.986311
4000.4500,0.978664
4000.5000,0.997976
4000.5500,0.995369
4000.6000,0.982246
4000.6500,0.973146
4000.7000,0.975598
4000.7500,1.00044
4000.8000,0.983569
4000.8500,0.985285
4000.9000,0.982589
4000.9500,0.983321
4001.0000,0.968066
4001.0500,0.964059
4001.1000,0.969098
4001.1500,0.984623
4001.2000,0.988235
4001.2500,0.967885
4001.3000,1.02595
4001.3500,0.97606
4001.4000,0.97454
4001.4500,0.99937
4001.5000,0.986843
4001.5500,0.990151
4001.6000,0.988765
4001.6500,0.993002
4001.7000,0.983436
4001.7500,1.0027
4001.8000,0.976314
4001.8500,0.992415
4001.9000,0.985349
4001.9500,0.975609
4002.0000,0.977312
4002.0500,0.974162
4002.1000,0.969153
4002.1500,0.981799
4002.2000,0.957161
4002.2500,0.956953
4002.3000,0.965172
4002.3500,0.987003
4002.4000,0.991678
4002.4500,0.978018
4002.5000,0.970894
4002.5500,0.960881
4002.6000,0.976515
4002.6500,0.997212
4002.7000,0.963904
4002.7500,0.970291
4002.8000,0.999591
4002.8500,0.955114
4002.9000,0.98688
4002.9500,0.986275
4003.0000,0.997603
4003.0500,0.976707
4003.1000,0.985496
4003.1500,0.985291
4003.2000,0.995195
4003.2500,0.978384
4003.3000,0.966917
4003.3500,0.964675
4003.4000,0.99606
4003.4500,0.989961
4003.5000,0.982073
4003.5500,0.977814
4003.6000,0.982048
4003.6500,1.00919
4003.7000,1.00319
4003.7500,0.993623
4003.8000,1.00028
4003.8500,1.00165
4003.9000,0.990357
4003.9500,0.993474
4004.0000,1.01422
4004.0500,0.998025
4004.1000,0.991969
4004.1500,1.02153
4004.2000,0.988022
4004.2500,0.987549
4004.3000,0.998986
4004.3500,0.987624
4004.4000,0.97431
4004.4500,1.0049
4004.5000,0.999817
4004.5500,0.971447
4004.6000,0.996749
4004.6500,0.958524
4004.7000,0.964451
4004.7500,0.991766
4004.8000,1.02076
4004.8500,0.995015
4004.9000,0.992115
4004.9500,0.972553
4005.0000,1.01278
4005.0500,1.00324
4005.1000,0.975559
4005.1500,0.984136
4005.2000,0.97467
4005.2500,0.986946
4005.3000,0.994586
4005.3500,0.982893
4005.4000,0.978412
4005.4500,1.00003
4005.5000,0.979704
4005.5500,0.963063
4005.6000,0.976601
4005.6500,0.992601
4005.7000,1.01374
