Longitud_de_onda_A,espectro
4000.0000,1.05764
4000.0500,1.01616
4000.1000,0.983049
4000.1500,1.00075
4000.2000,1.02076
4000.2500,1.02711
4000.3000,0.990084
4000.3500,0.96806
4000.4000,1.00632
4000.4500,0.950631
4000.5000,1.00581
4000.5500,0.968929
4000.6000,0.982026
4000.6500,1.03402
4000.7000,1.03201
4000.7500,0.99369
4000.8000,1.00811
4000.8500,1.00359
4000.9000,0.994339
4000.9500,0.976769
4001.0000,0.981292
4001.0500,0.982097
4001.1000,1.00294
4001.1500,1.02294
4001.2000,0.968964
4001.2500,0.988315
4001.3000,0.963854
4001.3500,0.950138
4001.4000,0.957808
4001.4500,0.983023
4001.5000,0.978196
4001.5500,1.02051
4001.6000,0.970638
4001.6500,1.00846
4001.7000,0.962356
4001.7500,0.940911
4001.8000,0.922952
4001.8500,0.901297
4001.9000,0.866079
4001.9500,0.869737
4002.0000,0.832223
4002.0500,0.799337
4002.1000,0.805261
4002.1500,0.817084
4002.2000,0.821338
4002.2500,0.850236
4002.3000,0.821809
4002.3500,0.876462
4002.4000,0.852958
4002.4500,0.839746
4002.5000,0.829776
4002.5500,0.865497
4002.6000,0.896138
4002.6500,0.849782
4002.7000,0.891157
4002.7500,0.878064
4002.8000,0.920374
4002.8500,0.91212
4002.9000,0.862655
4002.9500,0.889515
4003.0000,0.932046
4003.0500,0.937966
4003.1000,0.895862
4003.1500,0.912174
4003.2000,0.927455
4003.2500,0.920513
4003.3000,0.878173
4003.3500,0.948041
4003.4000,0.964968
4003.4500,1.00027
4003.5000,0.961563
4003.5500,0.987501
4003.6000,0.961828
4003.6500,0.982585
4003.7000,0.998553
4003.7500,1.0146
4003.8000,1.0014
4003.8500,1.01462
4003.9000,1.02064
4003.9500,1.00203
4004.0000,1.0099
4004.0500,1.00184
4004.1000,0.970626
4004.1500,0.997386
4004.2000,1.01147
4004.2500,1.02058
4004.3000,0.983616
4004.3500,1.02746
4004.4000,1.00178
4004.4500,1.01747
4004.5000,0.977531
4004.5500,0.995925
4004.6000,1.01096
4004.6500,0.982317
4004.7000,0.996325
4004.7500,1.01278
4004.8000,1.00904
4004.8500,0.980068
4004.9000,0.942034
4004.9500,0.926967
4005.0000,0.945926
4005.0500,0.958887
4005.1000,0.945508
4005.1500,0.913669
4005.2000,0.883065
4005.2500,0.847251
4005.3000,0.866943
4005.3500,0.890382
4005.4000,0.878453
4005.4500,0.864354
4005.5000,0.866
4005.5500,0.828093
4005.6000,0.846707
4005.6500,0.760381
4005.7000,0.756406
4005.7500,0.793085
4005.8000,0.820755
4005.8500,0.854378
4005.9000,0.888689
4005.9500,0.886727
4006.0000,0.91514
4006.0500,0.947183
4006.1000,0.948672
4006.1500,0.964803
4006.2000,0.961852
4006.2500,1.02341
4006.3000,1.01456
4006.3500,0.999494
4006.4000,1.03893
4006.4500,1.0124
4006.5000,1.00049
4006.5500,1.03197
4006.6000,1.00106
4006.6500,0.9709
4006.7000,1.08858
4006.7500,1.06793
4006.8000,1.05131
4006.8500,1.03618
4006.9000,1.00478
4006.9500,0.99532
4007.0000,0.998645
4007.0500,1.02949
4007.1000,0.990758
4007.1500,1.0114
4007.2000,1.05014
4007.2500,1.02257
4007.3000,1.0274
4007.3500,1.01405
4007.4000,1.02799
4007.4500,1.02725
4007.5000,1.06189
4007.5500,1.02142
4007.6000,1.01786
4007.6500,1.04635
4007.7000,1.0379
4007.7500,1.06139
4007.8000,1.00023
4007.8500,1.01762
4007.9000,1.02891
4007.9500,1.01674
4008.0000,1.0148
4008.0500,0.993542
4008.1000,0.960256
4008.1500,0.990517
4008.2000,0.996048
4008.2500,1.00978
4008.3000,0.997662
4008.3500,1.05372
4008.4000,1.02464
4008.4500,1.01659
4008.5000,1.0312
4008.5500,1.04531
4008.6000,1.03819
4008.6500,1.04933
4008.7000,1.05773
4008.7500,1.06664
4008.8000,1.02195
4008.8500,1.01961
4008.9000,1.01241
4008.9500,1.03708
4009.0000,0.998262
4009.0500,1.01867
4009.1000,1.02283
4009.1500,1.00344
4009.2000,0.964684
4009.2500,0.965594
4009.3000,1.0297
4009.3500,1.00649
4009.4000,0.982009
4009.4500,0.970129
4009.5000,1.03518
4009.5500,0.98171
4009.6000,1.02575
4009.6500,1.02736
4009.7000,1.0255
4009.7500,0.998658
4009.8000,0.998723
4009.8500,1.05541
4009.9000,1.05511
4009.9500,1.02831
4010.0000,0.995195
4010.0500,0.999143
4010.1000,1.0322
4010.1500,1.0594
4010.2000,1.02832
4010.2500,1.05673
4010.3000,1.04226
4010.3500,1.00532
4010.4000,1.07221
4010.4500,1.03789
4010.5000,1.03466
4010.5500,0.997998
4010.6000,1.03136
4010.6500,1.06252
4010.7000,1.03728
4010.7500,1.01881
4010.8000,1.02176
4010.8500,1.05473
4010.9000,1.02964
4010.9500,1.00911
4011.0000,0.989588
4011.0500,1.04947
4011.1000,1.02806
4011.1500,1.0418
4011.2000,1.00342
4011.2500,1.02762
4011.3000,1.02035
4011.3500,1.07633
4011.4000,1.03867
4011.4500,1.03206
4011.5000,1.02554
4011.5500,1.0222
4011.6000,1.01634
4011.6500,1.02893
4011.7000,1.05086
4011.7500,1.02838
4011.8000,1.05195
4011.8500,1.0693
4011.9000,1.00911
4011.9500,1.02467
4012.0000,1.03254
4012.0500,0.952163
4012.1000,0.958692
4012.1500,0.840923
4012.2000,0.811472
4012.2500,0.743924
4012.3000,0.686901
4012.3500,0.622976
4012.4000,0.558184
4012.4500,0.621913
4012.5000,0.626124
4012.5500,0.690732
4012.6000,0.724664
4012.6500,0.779474
4012.7000,0.863367
4012.7500,0.954811
4012.8000,0.915843
4012.8500,0.985945
4012.9000,1.00657
4012.9500,0.987027
4013.0000,0.968289
4013.0500,0.962655
4013.1000,0.991697
4013.1500,1.01666
4013.2000,1.02765
4013.2500,1.017
4013.3000,1.00545
4013.3500,1.0519
4013.4000,1.01512
4013.4500,1.06356
4013.5000,1.04812
4013.5500,1.05242
4013.6000,1.00761
4013.6500,1.03655
4013.7000,1.03112
4013.7500,0.99256
4013.8000,1.00667
4013.8500,1.05974
4013.9000,1.00606
4013.9500,0.997212
4014.0000,1.01942
4014.0500,1.02149
4014.1000,1.01419
4014.1500,1.04181
4014.2000,1.0051
4014.2500,1.00396
4014.3000,0.985796
4014.3500,1.00782
4014.4000,0.98993
4014.4500,0.972278
4014.5000,0.99744
4014.5500,0.98723
4014.6000,0.98875
4014.6500,1.05018
4014.7000,0.99689
4014.7500,1.00759
4014.8000,1.00899
4014.8500,0.99104
4014.9000,1.00432
4014.9500,1.03449
4015.0000,1.02249
4015.0500,1.06874
4015.1000,1.03786
4015.1500,1.04203
4015.2000,1.02399
4015.2500,0.949272
4015.3000,0.942095
4015.3500,0.893883
4015.4000,0.921335
4015.4500,0.884892
4015.5000,0.88752
4015.5500,0.871793
4015.6000,0.894931
4015.6500,0.920281
4015.7000,0.956441
4015.7500,0.977541
4015.8000,0.965197
4015.8500,1.03272
4015.9000,1.02711
4015.9500,1.03919
4016.0000,1.03838
4016.0500,1.03076
4016.1000,1.02768
4016.1500,1.0302
4016.2000,0.989045
4016.2500,0.975586
4016.3000,0.983048
4016.3500,0.986437
4016.4000,1.02242
4016.4500,1.03533
4016.5000,1.03353
4016.5500,1.01277
4016.6000,1.0416
4016.6500,1.05466
4016.7000,0.988051
4016.7500,0.983605
4016.8000,1.01167
4016.8500,1.00022
4016.9000,1.01469
4016.9500,1.01241
4017.0000,1.02904
4017.0500,1.03465
4017.1000,1.02201
4017.1500,0.982541
4017.2000,0.99349
4017.2500,1.01588
4017.3000,0.973483
4017.3500,1.0444
4017.4000,1.07046
4017.4500,1.0773
4017.5000,1.04274
4017.5500,0.997061
4017.6000,0.97929
4017.6500,1.00501
4017.7000,1.00527
4017.7500,1.00601
4017.8000,1.016
4017.8500,1.06019
4017.9000,1.01476
4017.9500,1.0066
4018.0000,0.989705
4018.0500,1.00444
4018.1000,0.972145
4018.1500,1.01379
4018.2000,0.978178
4018.2500,0.999119
4018.3000,1.01785
4018.3500,0.979769
4018.4000,0.992586
4018.4500,0.997511
4018.5000,0.986296
4018.5500,1.01991
4018.6000,1.015
4018.6500,1.014
4018.7000,0.99413
4018.7500,1.01899
4018.8000,1.01245
4018.8500,1.02861
4018.9000,0.993865
4018.9500,1.04423
4019.0000,1.07019
4019.0500,1.00471
4019.1000,0.973508
4019.1500,1.04847
4019.2000,1.00606
4019.2500,1.01166
4019.3000,1.05746
4019.3500,1.0293
4019.4000,1.02414
4019.4500,1.03052
4019.5000,1.03788
4019.5500,1.0254
4019.6000,0.973101
4019.6500,1.02691
4019.7000,0.992523
4019.7500,1.00297
4019.8000,0.999766
4019.8500,1.00738
4019.9000,1.007
4019.9500,1.02666
4020.0000,0.999947
4020.0500,1.01726
4020.1000,0.993256
4020.1500,1.03228
4020.2000,1.02138
4020.2500,0.998119
4020.3000,0.988989
4020.3500,1.00438
4020.4000,1.00805
4020.4500,0.987538
4020.5000,1.00124
4020.5500,1.04508
4020.6000,1.03044
4020.6500,1.05085
4020.7000,1.07928
4020.7500,1.02193
4020.8000,1.03173
4020.8500,1.01291
4020.9000,1.00464
4020.9500,1.01701
4021.0000,1.00702
4021.0500,0.966984
4021.1000,1.00869
4021.1500,1.00829
4021.2000,0.995398
4021.2500,0.994821
4021.3000,1.00069
4021.3500,1.02773
4021.4000,1.00207
4021.4500,1.02077
4021.5000,1.00518
4021.5500,1.00265
4021.6000,0.971082
4021.6500,0.986494
4021.7000,1.00005
4021.7500,0.960927
4021.8000,1.02233
4021.8500,0.989787
4021.9000,0.986354
4021.9500,0.978019
4022.0000,1.0125
4022.0500,0.970695
4022.1000,0.943583
4022.1500,0.987298
4022.2000,0.987319
4022.2500,1.01142
4022.3000,0.989636
4022.3500,0.993721
4022.4000,1.01467
4022.4500,0.948997
4022.5000,1.055
4022.5500,0.989061
4022.6000,0.959931
4022.6500,0.999924
4022.7000,1.04534
4022.7500,0.983907
4022.8000,0.977992
4022.8500,0.985366
4022.9000,0.998006
4022.9500,0.989227
4023.0000,1.0166
4023.0500,0.966108
4023.1000,0.936229
4023.1500,0.913467
4023.2000,0.918713
4023.2500,0.866494
4023.3000,0.866846
4023.3500,0.860879
4023.4000,0.828661
4023.4500,0.813305
4023.5000,0.83732
4023.5500,0.870105
4023.6000,0.907244
4023.6500,0.927159
4023.7000,0.906153
4023.7500,0.923041
4023.8000,1.00844
4023.8500,1.01317
4023.9000,0.986441
4023.9500,0.979323
4024.0000,0.975266
4024.0500,1.0088
4024.1000,0.966412
4024.1500,0.97451
4024.2000,0.957564
4024.2500,0.941173
4024.3000,0.871653
4024.3500,0.829908
4024.4000,0.845434
4024.4500,0.764491
4024.5000,0.723928
4024.5500,0.709172
4024.6000,0.727051
4024.6500,0.760423
4024.7000,0.766674
4024.7500,0.774607
4024.8000,0.827432
4024.8500,0.81333
4024.9000,0.811476
4024.9500,0.773076
4025.0000,0.744041
4025.0500,0.727303
4025.1000,0.72715
4025.1500,0.761704
4025.2000,0.760575
4025.2500,0.766817
4025.3000,0.810885
4025.3500,0.800643
4025.4000,0.921927
4025.4500,0.8741
4025.5000,0.912917
4025.5500,0.943793
4025.6000,0.946034
4025.6500,0.951987
4025.7000,0.952068
4025.7500,0.987811
4025.8000,0.967837
4025.8500,1.01123
4025.9000,0.9834
4025.9500,0.959187
4026.0000,0.962447
4026.0500,0.934344
4026.1000,0.913309
4026.1500,0.931358
4026.2000,0.904357
4026.2500,0.915212
4026.3000,0.952857
4026.3500,0.952422
4026.4000,0.955742
4026.4500,0.959384
4026.5000,0.943959
4026.5500,0.979559
4026.6000,0.943621
4026.6500,0.976157
4026.7000,1.00952
4026.7500,0.973065
4026.8000,0.982552
4026.8500,0.964732
4026.9000,0.997045
4026.9500,0.974579
4027.0000,1.01244
4027.0500,0.974772
4027.1000,0.974873
4027.1500,1.00233
4027.2000,0.992262
4027.2500,1.00777
4027.3000,1.03626
4027.3500,1.01584
4027.4000,1.00056
4027.4500,0.986318
4027.5000,0.981052
4027.5500,0.982717
4027.6000,1.03006
4027.6500,0.994965
4027.7000,0.998692
4027.7500,1.02767
4027.8000,1.00518
4027.8500,0.96283
4027.9000,0.980225
4027.9500,0.940213
4028.0000,0.916329
4028.0500,0.865677
4028.1000,0.841669
4028.1500,0.816642
4028.2000,0.732775
4028.2500,0.698419
4028.3000,0.672105
4028.3500,0.704119
4028.4000,0.652555
4028.4500,0.706309
4028.5000,0.72498
4028.5500,0.827912
4028.6000,0.810753
4028.6500,0.867691
4028.7000,0.886247
4028.7500,0.917959
4028.8000,0.939434
4028.8500,0.973445
4028.9000,0.958925
4028.9500,0.977268
4029.0000,0.981811
4029.0500,0.985672
4029.1000,1.00541
4029.1500,0.982901
4029.2000,0.969677
4029.2500,1.00547
4029.3000,0.990659
4029.3500,0.994851
4029.4000,0.978129
4029.4500,0.982645
4029.5000,0.937465
4029.5500,1.01112
4029.6000,1.00971
4029.6500,0.955576
4029.7000,1.00115
4029.7500,0.982589
4029.8000,0.980685
4029.8500,0.983444
4029.9000,0.993487
4029.9500,0.980113
4030.0000,0.963799
4030.0500,1.03281
4030.1000,0.969302
4030.1500,0.976758
4030.2000,0.972019
4030.2500,1.04348
4030.3000,0.947038
4030.3500,0.896169
4030.4000,0.960023
4030.4500,0.920227
4030.5000,0.900611
4030.5500,0.933611
4030.6000,0.968824
4030.6500,0.924668
4030.7000,0.963296
4030.7500,0.948411
4030.8000,0.949132
4030.8500,0.947913
4030.9000,0.972255
4030.9500,0.995123
4031.0000,1.00214
4031.0500,0.97195
4031.1000,1.00085
4031.1500,1.03804
4031.2000,0.965294
4031.2500,0.905325
4031.3000,0.919578
4031.3500,0.944936
4031.4000,0.952618
4031.4500,0.94599
4031.5000,0.948976
4031.5500,0.948231
4031.6000,0.97047
4031.6500,0.951062
4031.7000,0.976888
4031.7500,0.977627
4031.8000,1.002
4031.8500,0.969744
4031.9000,0.94785
4031.9500,0.997783
4032.0000,1.02044
4032.0500,0.989464
4032.1000,0.987926
4032.1500,1.01183
4032.2000,1.01231
4032.2500,0.989453
4032.3000,1.00861
4032.3500,1.00008
4032.4000,1.01626
4032.4500,1.024
4032.5000,0.999842
4032.5500,0.969058
4032.6000,0.959773
4032.6500,0.949367
4032.7000,0.890198
4032.7500,0.853388
4032.8000,0.844893
4032.8500,0.847563
4032.9000,0.841416
4032.9500,0.807522
4033.0000,0.815463
4033.0500,0.830458
4033.1000,0.876165
4033.1500,0.884864
4033.2000,0.93385
4033.2500,0.977962
4033.3000,0.986103
4033.3500,0.986817
4033.4000,1.00415
4033.4500,1.00466
4033.5000,1.00242
4033.5500,0.989209
4033.6000,1.00228
4033.6500,0.980078
4033.7000,1.02598
4033.7500,1.0233
4033.8000,0.997093
4033.8500,1.04029
4033.9000,0.983569
4033.9500,0.982067
4034.0000,0.975167
4034.0500,1.00756
4034.1000,0.987455
4034.1500,0.986408
4034.2000,0.994202
4034.2500,0.961005
4034.3000,0.992072
4034.3500,0.995708
4034.4000,0.963107
4034.4500,0.968813
4034.5000,0.956553
4034.5500,0.979289
4034.6000,0.986683
4034.6500,1.02487
4034.7000,1.0066
4034.7500,0.975943
4034.8000,0.96464
4034.8500,0.974046
4034.9000,0.978223
4034.9500,0.981359
4035.0000,0.968774
4035.0500,0.991371
4035.1000,0.968258
4035.1500,0.982881
4035.2000,0.990898
4035.2500,0.969321
4035.3000,0.971113
4035.3500,0.941517
4035.4000,0.926936
4035.4500,0.902085
4035.5000,0.842082
4035.5500,0.823689
4035.6000,0.809834
4035.6500,0.843181
4035.7000,0.818014
4035.7500,0.84113
4035.8000,0.891584
4035.8500,0.918925
4035.9000,0.941419
4035.9500,0.971716
4036.0000,0.961021
4036.0500,0.948544
4036.1000,0.980016
4036.1500,1.03425
4036.2000,0.993533
4036.2500,0.980925
4036.3000,0.97418
4036.3500,0.998866
4036.4000,1.04301
4036.4500,0.997608
4036.5000,0.988271
4036.5500,1.00133
4036.6000,0.973541
4036.6500,0.97065
4036.7000,0.953305
4036.7500,0.964943
4036.8000,0.964425
4036.8500,0.95073
4036.9000,0.95423
4036.9500,0.949408
4037.0000,0.968279
4037.0500,0.98309
4037.1000,0.982639
4037.1500,0.989399
4037.2000,0.975316
4037.2500,1.00603
4037.3000,0.989034
4037.3500,0.986121
4037.4000,1.02325
4037.4500,1.00847
4037.5000,1.07104
4037.5500,1.02565
4037.6000,1.021
4037.6500,1.00783
4037.7000,0.985523
4037.7500,0.955069
4037.8000,0.958215
4037.8500,0.92663
4037.9000,0.948771
4037.9500,0.927334
4038.0000,0.93733
4038.0500,0.940884
4038.1000,0.935336
4038.1500,0.954769
4038.2000,0.979263
4038.2500,1.00516
4038.3000,1.0076
4038.3500,1.02036
4038.4000,0.994077
4038.4500,1.01009
4038.5000,1.03346
4038.5500,1.01866
4038.6000,1.03663
4038.6500,1.05693
4038.7000,0.992406
4038.7500,0.997373
4038.8000,1.00758
4038.8500,1.04475
4038.9000,1.03152
4038.9500,0.990027
4039.0000,1.01338
4039.0500,0.997206
4039.1000,0.989035
4039.1500,1.02278
4039.2000,0.994487
4039.2500,1.00663
4039.3000,1.02275
4039.3500,1.03115
4039.4000,1.04834
4039.4500,0.986313
4039.5000,0.998781
4039.5500,1.01235
4039.6000,0.999649
4039.6500,0.988908
4039.7000,0.990614
4039.7500,1.00784
4039.8000,0.984067
4039.8500,0.958642
4039.9000,1.00567
4039.9500,1.01624
