Longitud_de_onda_A,espectro
4000.0000,0.974048
4000.0500,0.987136
4000.1000,0.981942
4000.1500,0.981519
4000.2000,0.978692
4000.2500,0.989467
4000.3000,0.979322
4000.3500,0.976447
4000.4000,0.988386
4000.4500,0.979433
4000.5000,0.980414
4000.5500,0.987116
4000.6000,0.965345
4000.6500,0.980479
4000.7000,0.986174
4000.7500,0.986009
4000.8000,0.987337
4000.8500,0.985707
4000.9000,1.00559
4000.9500,0.989318
4001.0000,0.978381
4001.0500,0.980378
4001.1000,0.994305
4001.1500,0.983465
4001.2000,0.985079
4001.2500,0.985039
4001.3000,0.984941
4001.3500,0.981187
4001.4000,0.994389
4001.4500,0.988271
4001.5000,0.984088
4001.5500,0.990312
4001.6000,0.980864
4001.6500,0.970872
4001.7000,0.972817
4001.7500,0.982699
4001.8000,0.973574
4001.8500,0.983253
4001.9000,0.987194
4001.9500,0.990003
4002.0000,0.984721
4002.0500,0.989159
4002.1000,0.985204
4002.1500,0.992432
4002.2000,0.982147
4002.2500,0.998291
4002.3000,0.966817
4002.3500,0.987114
4002.4000,0.996488
4002.4500,0.979319
4002.5000,0.974322
4002.5500,0.984529
4002.6000,0.992828
4002.6500,0.987871
4002.7000,1.0005
4002.7500,0.990249
4002.8000,0.986103
4002.8500,0.992545
4002.9000,0.99164
4002.9500,0.988234
4003.0000,0.982746
4003.0500,0.978823
4003.1000,0.987011
4003.1500,0.980762
4003.2000,0.986174
4003.2500,0.990494
4003.3000,0.972233
4003.3500,0.986785
4003.4000,0.979352
4003.4500,0.986237
4003.5000,0.979723
4003.5500,0.976257
4003.6000,1.00154
4003.6500,0.985965
4003.7000,0.991132
4003.7500,0.987371
4003.8000,0.992353
4003.8500,0.992749
4003.9000,1.00176
4003.9500,0.980833
4004.0000,0.969028
4004.0500,0.993689
4004.1000,0.980887
4004.1500,0.989233
4004.2000,0.989072
4004.2500,0.991725
4004.3000,0.982468
4004.3500,0.977316
4004.4000,0.986282
4004.4500,0.977183
4004.5000,0.974251
4004.5500,0.97895
4004.6000,0.98858
4004.6500,0.99372
4004.7000,0.979212
4004.7500,0.975645
4004.8000,0.970791
4004.8500,0.981059
4004.9000,0.981608
4004.9500,0.978139
4005.0000,0.968326
4005.0500,0.986158
4005.1000,0.999901
4005.1500,0.97865
4005.2000,0.974635
4005.2500,0.960901
4005.3000,0.981443
4005.3500,0.964645
4005.4000,0.970883
4005.4500,0.964272
4005.5000,0.961735
4005.5500,0.987057
4005.6000,0.97281
4005.6500,0.966661
4005.7000,0.968081
4005.7500,0.966328
4005.8000,0.968123
4005.8500,0.958611
4005.9000,0.96415
4005.9500,0.972638
4006.0000,0.967685
4006.0500,0.973234
4006.1000,0.968804
4006.1500,0.966916
4006.2000,0.967646
4006.2500,0.946489
4006.3000,0.960247
4006.3500,0.965061
4006.4000,0.956412
4006.4500,0.951947
4006.5000,0.962614
4006.5500,0.951804
4006.6000,0.958398
4006.6500,0.9574
4006.7000,0.943387
4006.7500,0.951656
4006.8000,0.942121
4006.8500,0.943894
4006.9000,0.954034
4006.9500,0.962131
4007.0000,0.963631
4007.0500,0.942591
4007.1000,0.939181
4007.1500,0.939002
4007.2000,0.951688
4007.2500,0.962596
4007.3000,0.945139
4007.3500,0.951707
4007.4000,0.943469
4007.4500,0.945268
4007.5000,0.943682
4007.5500,0.938975
4007.6000,0.947493
4007.6500,0.943873
4007.7000,0.93836
4007.7500,0.92726
4007.8000,0.951024
4007.8500,0.957523
4007.9000,0.932359
4007.9500,0.936593
4008.0000,0.946606
4008.0500,0.948863
4008.1000,0.941395
4008.1500,0.942602
4008.2000,0.950377
4008.2500,0.948682
4008.3000,0.924081
4008.3500,0.942053
4008.4000,0.946685
4008.4500,0.950409
4008.5000,0.939675
4008.5500,0.941955
4008.6000,0.934166
4008.6500,0.937753
4008.7000,0.954348
4008.7500,0.94675
4008.8000,0.961442
4008.8500,0.936083
4008.9000,0.945044
4008.9500,0.955302
4009.0000,0.94283
4009.0500,0.952165
4009.1000,0.937684
4009.1500,0.938243
4009.2000,0.96744
4009.2500,0.949686
4009.3000,0.949717
4009.3500,0.948053
4009.4000,0.955138
4009.4500,0.941108
4009.5000,0.958441
4009.5500,0.943356
4009.6000,0.943501
4009.6500,0.940136
4009.7000,0.94963
4009.7500,0.957272
4009.8000,0.961988
4009.8500,0.935672
4009.9000,0.959348
4009.9500,0.987714
4010.0000,0.984507
4010.0500,0.964168
4010.1000,0.961049
4010.1500,0.953026
4010.2000,0.953418
4010.2500,0.937688
4010.3000,0.95653
4010.3500,0.947208
4010.4000,0.959056
4010.4500,0.967824
4010.5000,0.953945
4010.5500,0.960301
4010.6000,0.952064
4010.6500,0.956722
4010.7000,0.944221
4010.7500,0.962664
4010.8000,0.95655
4010.8500,0.968835
4010.9000,0.957318
4010.9500,0.969771
4011.0000,0.950622
4011.0500,0.965556
4011.1000,0.960928
4011.1500,0.972337
4011.2000,0.966654
4011.2500,0.961308
4011.3000,0.983951
4011.3500,1.01672
4011.4000,1.00729
4011.4500,0.96182
4011.5000,0.975127
4011.5500,0.961088
4011.6000,0.98191
4011.6500,0.968643
4011.7000,0.989855
4011.7500,0.97034
4011.8000,0.980016
4011.8500,0.971563
4011.9000,0.965119
4011.9500,0.971142
4012.0000,0.969221
4012.0500,0.962044
4012.1000,0.970675
4012.1500,0.990157
4012.2000,0.978636
4012.2500,0.963224
4012.3000,0.952208
4012.3500,0.969875
4012.4000,0.958836
4012.4500,0.977484
4012.5000,0.973695
4012.5500,0.974826
4012.6000,0.990112
4012.6500,0.983434
4012.7000,0.999407
4012.7500,0.988524
4012.8000,0.980372
4012.8500,0.986138
4012.9000,0.983369
4012.9500,0.991973
4013.0000,0.978404
4013.0500,0.996637
4013.1000,0.987044
4013.1500,0.995761
4013.2000,0.997586
4013.2500,0.999142
4013.3000,1.00969
4013.3500,0.982617
4013.4000,0.978193
4013.4500,0.993638
4013.5000,0.991115
4013.5500,0.994562
4013.6000,1.00597
4013.6500,0.984592
4013.7000,0.999722
4013.7500,0.998378
4013.8000,0.99896
4013.8500,1.01151
4013.9000,1.00158
4013.9500,1.01146
4014.0000,0.99922
4014.0500,0.993393
4014.1000,0.99018
4014.1500,1.00708
4014.2000,0.997667
4014.2500,1.00843
4014.3000,0.989895
4014.3500,1.0102
4014.4000,1.00883
4014.4500,1.00079
4014.5000,0.989891
4014.5500,1.00285
4014.6000,1.00383
4014.6500,1.0154
4014.7000,1.02152
4014.7500,0.999496
4014.8000,1.00929
4014.8500,1.02287
4014.9000,1.01286
4014.9500,1.00246
4015.0000,1.02027
4015.0500,1.00524
4015.1000,0.994653
4015.1500,1.00013
4015.2000,1.00052
4015.2500,1.01119
4015.3000,0.989096
4015.3500,0.999651
4015.4000,1.00559
4015.4500,1.00623
4015.5000,1.00379
4015.5500,0.998952
4015.6000,1.00151
4015.6500,1.01937
4015.7000,1.01414
4015.7500,0.99238
4015.8000,1.00489
4015.8500,1.01434
4015.9000,1.02058
4015.9500,1.02384
4016.0000,0.989941
4016.0500,1.02173
4016.1000,1.02036
4016.1500,1.00481
4016.2000,1.00548
4016.2500,1.00875
4016.3000,1.0084
4016.3500,1.00092
4016.4000,1.00286
4016.4500,1.00385
4016.5000,1.00687
4016.5500,1.01536
4016.6000,1.01683
4016.6500,1.00404
4016.7000,1.0105
4016.7500,1.01141
4016.8000,1.00047
4016.8500,0.982356
4016.9000,1.016
4016.9500,1.01724
4017.0000,0.994076
4017.0500,1.01322
4017.1000,1.01193
4017.1500,1.00048
4017.2000,1.00441
4017.2500,0.995136
4017.3000,1.01142
4017.3500,1.01318
4017.4000,0.999239
4017.4500,0.995981
4017.5000,1.01351
4017.5500,0.996685
4017.6000,0.99743
4017.6500,0.997664
4017.7000,0.994841
4017.7500,0.992893
4017.8000,0.985636
4017.8500,1.0019
4017.9000,1.00366
4017.9500,1.0048
4018.0000,1.01044
4018.0500,1.01186
4018.1000,1.0047
4018.1500,0.997797
4018.2000,0.999495
4018.2500,1.00436
4018.3000,0.995929
4018.3500,1.00133
4018.4000,0.981327
4018.4500,0.993691
4018.5000,1.00989
4018.5500,1.00267
4018.6000,0.994586
4018.6500,1.00439
4018.7000,1.00146
4018.7500,1.0006
4018.8000,0.992094
4018.8500,0.998731
4018.9000,0.991353
4018.9500,0.984559
4019.0000,0.9902
4019.0500,1.00278
4019.1000,1.00574
4019.1500,1.00678
4019.2000,0.996724
4019.2500,1.00002
4019.3000,0.97987
4019.3500,0.990901
4019.4000,0.993738
4019.4500,0.996629
4019.5000,0.996741
4019.5500,0.989489
4019.6000,1.01051
4019.6500,0.990663
4019.7000,0.985884
4019.7500,0.987594
4019.8000,0.991925
4019.8500,0.978098
4019.9000,0.975814
4019.9500,0.973506
4020.0000,0.983371
4020.0500,0.990902
4020.1000,0.987366
4020.1500,0.977666
4020.2000,0.976945
4020.2500,0.976592
4020.3000,0.978724
4020.3500,0.978672
4020.4000,0.998067
4020.4500,0.977846
4020.5000,0.97687
4020.5500,0.978158
4020.6000,0.966771
4020.6500,0.960456
4020.7000,0.970331
4020.7500,0.956071
4020.8000,0.960544
4020.8500,0.969319
4020.9000,0.975979
4020.9500,0.991064
4021.0000,0.98191
4021.0500,0.975837
4021.1000,0.962897
4021.1500,0.97889
4021.2000,0.956056
4021.2500,0.960152
4021.3000,0.955454
4021.3500,0.961427
4021.4000,0.944107
4021.4500,0.970201
4021.5000,0.96489
4021.5500,0.956636
4021.6000,0.964461
4021.6500,0.955582
4021.7000,0.96335
4021.7500,0.952619
4021.8000,0.958297
4021.8500,0.956081
4021.9000,0.952664
4021.9500,0.951675
4022.0000,0.950099
4022.0500,0.950176
4022.1000,0.924779
4022.1500,0.960915
4022.2000,0.940841
4022.2500,0.945471
4022.3000,0.931999
4022.3500,0.928675
4022.4000,0.933166
4022.4500,0.93457
4022.5000,0.919611
4022.5500,0.919806
4022.6000,0.935212
4022.6500,0.913491
4022.7000,0.925669
4022.7500,0.921243
4022.8000,0.922993
4022.8500,0.91755
4022.9000,0.904716
4022.9500,0.887027
4023.0000,0.897886
4023.0500,0.899138
4023.1000,0.89537
4023.1500,0.901449
4023.2000,0.890116
4023.2500,0.893121
4023.3000,0.896891
4023.3500,0.879523
4023.4000,0.882926
4023.4500,0.893454
4023.5000,0.882606
4023.5500,0.881337
4023.6000,0.888502
4023.6500,0.883207
4023.7000,0.862743
4023.7500,0.869968
4023.8000,0.869533
4023.8500,0.871901
4023.9000,0.873854
4023.9500,0.873062
4024.0000,0.860889
4024.0500,0.86878
4024.1000,0.856179
4024.1500,0.868975
4024.2000,0.854743
4024.2500,0.867884
4024.3000,0.863613
4024.3500,0.854509
4024.4000,0.858308
4024.4500,0.847905
4024.5000,0.850568
4024.5500,0.84721
4024.6000,0.842874
4024.6500,0.861773
4024.7000,0.852078
4024.7500,0.850175
4024.8000,0.856761
4024.8500,0.848459
4024.9000,0.848986
4024.9500,0.830212
4025.0000,0.853208
4025.0500,0.841345
4025.1000,0.842605
4025.1500,0.847693
4025.2000,0.841385
4025.2500,0.854374
4025.3000,0.850699
4025.3500,0.842413
4025.4000,0.836975
4025.4500,0.832263
4025.5000,0.847275
4025.5500,0.829262
4025.6000,0.834403
4025.6500,0.833429
4025.7000,0.839015
4025.7500,0.84781
4025.8000,0.841638
4025.8500,0.847017
4025.9000,0.837943
4025.9500,0.833162
4026.0000,0.827726
4026.0500,0.843224
4026.1000,0.831348
4026.1500,0.84143
4026.2000,0.844953
4026.2500,0.838828
4026.3000,0.83438
4026.3500,0.839281
4026.4000,0.838141
4026.4500,0.847813
4026.5000,0.84411
4026.5500,0.845629
4026.6000,0.845179
4026.6500,0.838802
4026.7000,0.838529
4026.7500,0.842024
4026.8000,0.838083
4026.8500,0.854996
4026.9000,0.838113
4026.9500,0.842398
4027.0000,0.839817
4027.0500,0.849828
4027.1000,0.857448
4027.1500,0.856204
4027.2000,0.857116
4027.2500,0.850624
4027.3000,0.846144
4027.3500,0.857623
4027.4000,0.845333
4027.4500,0.850914
4027.5000,0.856393
4027.5500,0.847621
4027.6000,0.847254
4027.6500,0.854211
4027.7000,0.866784
4027.7500,0.866702
4027.8000,0.875544
4027.8500,0.879355
4027.9000,0.869735
4027.9500,0.885481
