Longitud_de_onda_A,espectro
4000.0000,1.2586
4000.0500,1.13917
4000.1000,1.11693
4000.1500,1.00252
4000.2000,0.879493
4000.2500,0.721187
4000.3000,0.610565
4000.3500,0.571093
4000.4000,0.487611
4000.4500,0.47284
4000.5000,0.539439
4000.5500,0.744356
4000.6000,1.01999
4000.6500,1.20851
4000.7000,1.28628
4000.7500,1.29394
4000.8000,1.23913
4000.8500,1.22362
4000.9000,1.22887
4000.9500,1.18709
4001.0000,1.06128
4001.0500,0.830645
4001.1000,0.678943
4001.1500,0.623662
4001.2000,0.667313
4001.2500,0.787528
4001.3000,0.985033
4001.3500,0.990122
4001.4000,0.893769
4001.4500,0.766008
4001.5000,0.723143
4001.5500,0.699255
4001.6000,0.560859
4001.6500,0.494367
4001.7000,0.521195
4001.7500,0.720872
4001.8000,1.00094
4001.8500,1.20951
4001.9000,1.21937
4001.9500,1.18642
4002.0000,1.0397
4002.0500,0.983223
4002.1000,0.998025
4002.1500,1.10681
4002.2000,1.23812
4002.2500,1.30978
4002.3000,1.22855
4002.3500,1.09063
4002.4000,0.948139
4002.4500,0.847289
4002.5000,0.852231
4002.5500,0.86544
4002.6000,0.87961
4002.6500,0.886212
4002.7000,0.934236
4002.7500,0.983154
4002.8000,0.936499
4002.8500,0.833723
4002.9000,0.713026
4002.9500,0.75781
4003.0000,0.912035
4003.0500,1.09389
4003.1000,1.17793
4003.1500,1.19099
4003.2000,1.18949
4003.2500,1.27568
4003.3000,1.26725
4003.3500,1.33101
4003.4000,1.29783
4003.4500,1.26274
4003.5000,1.19086
4003.5500,1.12702
4003.6000,1.10533
4003.6500,0.989717
4003.7000,0.851357
4003.7500,0.687879
4003.8000,0.700801
4003.8500,0.812127
4003.9000,0.91432
4003.9500,0.908178
4004.0000,0.874525
4004.0500,0.915361
4004.1000,1.02467
4004.1500,1.05121
4004.2000,1.07298
4004.2500,1.12434
4004.3000,1.2202
4004.3500,1.33676
4004.4000,1.33322
4004.4500,1.30567
4004.5000,1.29076
4004.5500,1.1411
4004.6000,1.02515
4004.6500,0.910825
4004.7000,0.834273
4004.7500,0.656555
4004.8000,0.519715
4004.8500,0.368879
4004.9000,0.286424
4004.9500,0.290058
4005.0000,0.272407
4005.0500,0.260032
4005.1000,0.24732
4005.1500,0.217046
4005.2000,0.172137
4005.2500,0.135734
4005.3000,0.167908
4005.3500,0.189178
4005.4000,0.232761
4005.4500,0.325898
4005.5000,0.451637
4005.5500,0.530441
4005.6000,0.532272
4005.6500,0.491065
4005.7000,0.526234
4005.7500,0.671709
4005.8000,0.852557
4005.8500,1.00143
4005.9000,1.0394
4005.9500,1.0526
4006.0000,0.982322
4006.0500,0.959139
4006.1000,0.839916
4006.1500,0.740719
