Longitud_de_onda_A,espectro
4000.0000,1.02428
4000.0500,1.08757
4000.1000,0.969471
4000.1500,1.03489
4000.2000,1.00433
4000.2500,0.961636
4000.3000,0.926009
4000.3500,0.894312
4000.4000,0.895807
4000.4500,0.894422
4000.5000,0.930563
4000.5500,0.903966
4000.6000,0.973072
4000.6500,1.02464
4000.7000,1.05668
4000.7500,1.15355
4000.8000,1.06666
4000.8500,1.03749
4000.9000,1.03306
4000.9500,0.979694
4001.0000,1.00704
4001.0500,0.96274
4001.1000,0.909615
4001.1500,0.986156
4001.2000,0.936232
4001.2500,0.903843
4001.3000,0.980055
4001.3500,0.958553
4001.4000,0.919842
4001.4500,0.904162
4001.5000,0.948166
4001.5500,0.908328
4001.6000,0.914169
4001.6500,0.907747
4001.7000,0.904335
4001.7500,0.935706
4001.8000,1.03413
4001.8500,0.948092
4001.9000,1.00661
4001.9500,1.0038
4002.0000,1.04619
4002.0500,0.982632
4002.1000,0.970014
4002.1500,1.02618
4002.2000,1.02403
4002.2500,1.06864
4002.3000,1.04979
4002.3500,0.988148
4002.4000,0.952312
4002.4500,0.94703
4002.5000,0.9677
4002.5500,0.954542
4002.6000,0.917302
4002.6500,1.02559
4002.7000,1.0163
4002.7500,1.00082
4002.8000,0.882761
4002.8500,0.974458
4002.9000,0.946996
4002.9500,0.955492
4003.0000,0.978069
4003.0500,0.984704
4003.1000,0.993406
4003.1500,1.05504
4003.2000,1.04446
4003.2500,1.06881
4003.3000,1.00918
4003.3500,1.0408
4003.4000,1.08099
4003.4500,1.01525
4003.5000,1.037
4003.5500,0.999318
4003.6000,0.978127
4003.6500,0.992154
4003.7000,0.992711
4003.7500,0.962403
4003.8000,0.972702
4003.8500,0.950402
4003.9000,0.969747
4003.9500,1.00343
4004.0000,0.971227
4004.0500,1.0188
4004.1000,0.981344
4004.1500,1.05883
4004.2000,0.958644
4004.2500,1.04907
4004.3000,1.01287
4004.3500,1.07611
4004.4000,1.10414
4004.4500,1.08388
4004.5000,1.00726
4004.5500,1.03572
4004.6000,0.998442
4004.6500,0.984873
4004.7000,0.961975
4004.7500,0.894886
4004.8000,0.865364
4004.8500,0.850998
4004.9000,0.85432
4004.9500,0.815925
4005.0000,0.770891
4005.0500,0.858818
4005.1000,0.805811
4005.1500,0.802989
4005.2000,0.801489
4005.2500,0.77188
4005.3000,0.791109
4005.3500,0.830893
4005.4000,0.778262
4005.4500,0.817387
4005.5000,0.91489
4005.5500,0.837411
4005.6000,0.884277
4005.6500,0.889844
4005.7000,0.907952
4005.7500,0.86017
4005.8000,0.907126
4005.8500,1.00379
4005.9000,1.01531
4005.9500,0.993885
4006.0000,0.980696
4006.0500,1.00009
4006.1000,1.0274
4006.1500,0.900856
4006.2000,0.880672
4006.2500,0.890103
4006.3000,0.900469
4006.3500,0.922863
4006.4000,0.954501
4006.4500,0.991364
4006.5000,0.973467
4006.5500,0.920992
4006.6000,0.929784
4006.6500,0.932512
4006.7000,0.913596
4006.7500,0.886837
4006.8000,0.911299
4006.8500,0.926911
4006.9000,0.94757
4006.9500,0.950416
4007.0000,0.929458
4007.0500,0.964827
4007.1000,1.02475
4007.1500,0.99843
4007.2000,0.994652
4007.2500,0.905551
4007.3000,0.925384
4007.3500,0.914771
4007.4000,1.02099
4007.4500,0.999533
4007.5000,0.947828
4007.5500,1.00933
4007.6000,0.972985
4007.6500,1.02553
4007.7000,0.973219
4007.7500,0.982165
4007.8000,1.01421
4007.8500,0.929963
4007.9000,0.988365
4007.9500,0.962186
4008.0000,0.965531
4008.0500,0.932756
4008.1000,0.928765
4008.1500,0.994392
4008.2000,0.987977
4008.2500,1.00139
4008.3000,0.995939
4008.3500,1.03066
4008.4000,1.036
4008.4500,1.03594
4008.5000,1.04175
4008.5500,1.05459
4008.6000,0.988027
4008.6500,0.981377
4008.7000,1.04577
4008.7500,0.959189
4008.8000,0.928584
4008.8500,0.926801
4008.9000,0.926
4008.9500,0.957756
4009.0000,0.899074
4009.0500,0.916461
4009.1000,0.940936
4009.1500,0.950717
4009.2000,1.03631
4009.2500,1.01131
4009.3000,1.06316
4009.3500,1.08145
4009.4000,1.04936
4009.4500,1.05465
4009.5000,0.999214
4009.5500,0.914321
4009.6000,0.891606
4009.6500,0.877113
4009.7000,0.880372
4009.7500,0.92001
4009.8000,0.92496
4009.8500,1.02688
4009.9000,1.02031
4009.9500,1.06098
4010.0000,1.0953
4010.0500,1.01093
4010.1000,1.07183
4010.1500,1.03842
4010.2000,1.10331
4010.2500,1.03582
4010.3000,1.00614
4010.3500,1.09935
4010.4000,1.05888
4010.4500,1.06272
4010.5000,1.01602
4010.5500,0.971838
4010.6000,0.955298
4010.6500,0.971042
4010.7000,0.980096
4010.7500,0.935702
4010.8000,0.938429
4010.8500,0.929208
4010.9000,0.95502
4010.9500,1.01793
4011.0000,1.0397
4011.0500,0.991292
4011.1000,1.01841
4011.1500,1.01781
4011.2000,1.06118
4011.2500,1.07293
4011.3000,1.03125
4011.3500,1.0094
4011.4000,0.982866
4011.4500,0.953478
4011.5000,1.02363
4011.5500,0.981795
4011.6000,0.977957
4011.6500,0.996971
4011.7000,0.963258
4011.7500,1.01279
4011.8000,1.03112
4011.8500,1.03424
4011.9000,1.04403
4011.9500,1.03893
4012.0000,1.03411
4012.0500,0.942328
4012.1000,0.91481
4012.1500,1.00942
4012.2000,0.918186
4012.2500,0.880838
4012.3000,0.850511
4012.3500,0.837099
4012.4000,0.868439
4012.4500,0.792093
4012.5000,0.943401
4012.5500,0.942731
4012.6000,0.97852
4012.6500,0.984727
4012.7000,0.947736
4012.7500,1.02358
4012.8000,1.02751
4012.8500,1.07905
4012.9000,1.12621
4012.9500,1.07972
4013.0000,1.00807
4013.0500,1.04085
4013.1000,1.00178
4013.1500,1.03705
4013.2000,1.0992
4013.2500,1.08505
4013.3000,1.04192
4013.3500,1.11925
4013.4000,1.04899
4013.4500,1.06156
4013.5000,1.06067
4013.5500,0.960765
4013.6000,0.926889
4013.6500,0.903993
4013.7000,0.877035
4013.7500,0.931234
4013.8000,0.869831
4013.8500,0.869155
4013.9000,0.878804
4013.9500,0.948606
4014.0000,1.01837
4014.0500,1.09726
4014.1000,1.00258
4014.1500,1.05105
4014.2000,0.976431
4014.2500,1.00311
4014.3000,1.03311
4014.3500,0.988319
4014.4000,0.97762
4014.4500,0.96901
4014.5000,0.924392
4014.5500,0.923293
4014.6000,0.953633
4014.6500,0.982365
4014.7000,1.03044
4014.7500,1.05449
4014.8000,1.00262
4014.8500,1.0076
4014.9000,1.04479
4014.9500,1.03257
4015.0000,0.994773
4015.0500,1.11273
4015.1000,1.03617
4015.1500,1.0251
4015.2000,1.02134
4015.2500,1.01119
4015.3000,0.994888
4015.3500,0.997049
4015.4000,0.97755
4015.4500,0.927707
4015.5000,0.960208
4015.5500,0.978044
4015.6000,0.999532
4015.6500,0.988555
4015.7000,0.972014
4015.7500,1.00378
4015.8000,1.02883
4015.8500,1.10116
4015.9000,1.07848
4015.9500,1.01261
4016.0000,1.06443
4016.0500,1.08256
4016.1000,1.02236
4016.1500,1.07039
4016.2000,1.02515
4016.2500,0.986239
4016.3000,1.00036
4016.3500,0.963737
4016.4000,0.992132
4016.4500,0.96661
4016.5000,0.973939
4016.5500,1.03007
4016.6000,1.02455
4016.6500,0.97824
4016.7000,0.965719
4016.7500,1.00343
4016.8000,1.07156
4016.8500,0.988661
4016.9000,0.963774
4016.9500,0.933648
4017.0000,1.01822
4017.0500,0.853838
4017.1000,0.911827
4017.1500,0.902201
4017.2000,0.911118
4017.2500,0.895734
4017.3000,0.890663
4017.3500,0.939756
4017.4000,0.975344
4017.4500,0.925493
4017.5000,0.9464
4017.5500,0.966807
4017.6000,0.993455
4017.6500,0.99749
