Longitud_de_onda_A,espectro
4000.0000,0.94102
4000.0500,0.973386
4000.1000,0.988041
4000.1500,0.976563
4000.2000,1.00011
4000.2500,1.02121
4000.3000,0.962684
4000.3500,0.983959
4000.4000,0.949472
4000.4500,0.952431
4000.5000,0.912476
4000.5500,0.979112
4000.6000,0.97963
4000.6500,0.991581
4000.7000,0.958606
4000.7500,0.943021
4000.8000,0.944545
4000.8500,0.969758
4000.9000,0.974693
4000.9500,0.97233
4001.0000,1.00292
4001.0500,0.989857
4001.1000,0.965952
4001.1500,0.935358
4001.2000,1.00087
4001.2500,0.991543
4001.3000,0.990693
4001.3500,0.992151
4001.4000,1.01631
4001.4500,1.01408
4001.5000,0.968661
4001.5500,1.00511
4001.6000,1.01135
4001.6500,0.965802
4001.7000,1.00288
4001.7500,1.00505
4001.8000,0.984874
4001.8500,0.995023
4001.9000,0.989807
4001.9500,0.971763
4002.0000,1.00135
4002.0500,0.991036
4002.1000,0.954714
4002.1500,0.99454
4002.2000,0.984189
4002.2500,0.995853
4002.3000,0.979552
4002.3500,0.970539
4002.4000,0.969764
4002.4500,0.974578
4002.5000,0.990487
4002.5500,0.958632
4002.6000,0.956896
4002.6500,0.940197
4002.7000,0.978287
4002.7500,0.99226
4002.8000,0.950816
4002.8500,1.00025
4002.9000,0.987023
4002.9500,1.002
4003.0000,1.00646
4003.0500,0.961696
4003.1000,0.945773
4003.1500,0.955138
4003.2000,0.944382
4003.2500,0.98596
4003.3000,0.979346
4003.3500,0.977864
4003.4000,0.9593
4003.4500,0.998801
4003.5000,0.958845
4003.5500,0.918264
4003.6000,1.00903
4003.6500,0.995126
4003.7000,1.00894
4003.7500,0.997693
4003.8000,0.976502
4003.8500,0.971505
4003.9000,1.00286
4003.9500,0.971368
4004.0000,0.996613
4004.0500,1.00848
4004.1000,0.989306
4004.1500,0.979509
4004.2000,1.01169
4004.2500,0.995303
4004.3000,0.998853
4004.3500,1.032
4004.4000,1.00828
4004.4500,0.967612
4004.5000,0.969523
4004.5500,1.0018
4004.6000,0.971489
4004.6500,0.933347
4004.7000,0.978598
4004.7500,0.972605
4004.8000,0.988673
4004.8500,1.00773
4004.9000,0.982223
4004.9500,0.980851
4005.0000,0.996893
4005.0500,1.01117
4005.1000,0.993245
4005.1500,1.04555
4005.2000,0.980409
4005.2500,0.988842
4005.3000,1.00103
4005.3500,0.996371
4005.4000,0.982866
4005.4500,0.987976
4005.5000,1.03339
4005.5500,0.947953
4005.6000,0.980979
4005.6500,0.987939
4005.7000,0.992809
4005.7500,1.022
4005.8000,0.988287
4005.8500,1.02688
4005.9000,0.975243
4005.9500,1.0146
4006.0000,0.994461
4006.0500,0.991743
4006.1000,1.00247
4006.1500,0.971019
4006.2000,0.963829
4006.2500,1.01731
4006.3000,1.01798
4006.3500,1.00092
4006.4000,0.991316
4006.4500,0.989265
4006.5000,0.998892
4006.5500,1.01591
4006.6000,0.973905
4006.6500,0.938199
4006.7000,1.01935
4006.7500,0.991099
4006.8000,0.990844
4006.8500,0.999455
4006.9000,0.983458
4006.9500,0.985543
4007.0000,0.979186
4007.0500,1.00301
4007.1000,0.964443
4007.1500,0.980194
4007.2000,1.03311
4007.2500,0.95858
4007.3000,0.975119
4007.3500,1.02576
4007.4000,1.01586
4007.4500,0.991111
4007.5000,1.02336
4007.5500,1.00661
4007.6000,0.973412
4007.6500,1.04086
4007.7000,1.02704
4007.7500,1.00046
4007.8000,0.97238
4007.8500,0.966454
4007.9000,0.966936
4007.9500,0.986
4008.0000,0.992201
4008.0500,1.00564
4008.1000,0.971632
4008.1500,0.953204
4008.2000,0.990858
4008.2500,0.979406
4008.3000,1.00722
4008.3500,0.985279
4008.4000,0.988848
4008.4500,0.99132
4008.5000,0.974147
4008.5500,0.992574
4008.6000,0.921831
4008.6500,0.986923
4008.7000,0.996102
4008.7500,0.980848
4008.8000,0.992952
4008.8500,1.00121
4008.9000,0.945243
4008.9500,0.989806
4009.0000,0.959718
4009.0500,0.973726
4009.1000,0.968374
4009.1500,0.988652
4009.2000,0.95326
4009.2500,0.96865
4009.3000,0.988384
4009.3500,0.957145
4009.4000,0.954347
4009.4500,0.969789
4009.5000,0.970074
4009.5500,0.95512
4009.6000,0.939018
4009.6500,0.964495
4009.7000,0.964721
4009.7500,0.955487
4009.8000,0.985198
4009.8500,0.948127
4009.9000,1.00116
4009.9500,0.972025
4010.0000,0.981811
4010.0500,0.987316
4010.1000,1.00016
4010.1500,0.984238
4010.2000,1.00308
4010.2500,0.997777
4010.3000,0.975892
4010.3500,0.971987
4010.4000,1.0069
4010.4500,1.00792
4010.5000,1.00384
4010.5500,1.00912
4010.6000,1.00738
4010.6500,0.992709
4010.7000,0.985558
4010.7500,1.0069
4010.8000,0.967021
4010.8500,1.00897
4010.9000,1.01547
4010.9500,1.04808
4011.0000,1.04304
4011.0500,0.976355
4011.1000,1.00844
4011.1500,1.00026
4011.2000,0.999825
4011.2500,0.993992
4011.3000,1.06074
4011.3500,1.03262
4011.4000,0.978379
4011.4500,1.0147
4011.5000,1.01178
4011.5500,1.07016
4011.6000,1.06334
4011.6500,1.0141
4011.7000,1.05699
4011.7500,0.982601
4011.8000,0.941107
4011.8500,1.00332
4011.9000,0.974795
4011.9500,1.00465
4012.0000,0.987337
4012.0500,0.969565
4012.1000,1.01594
4012.1500,1.06762
4012.2000,0.974974
4012.2500,0.970342
4012.3000,0.958448
4012.3500,1.02374
4012.4000,0.985123
4012.4500,0.948331
4012.5000,0.98232
4012.5500,0.992015
4012.6000,0.957929
4012.6500,1.01324
4012.7000,0.992127
4012.7500,0.980784
4012.8000,1.03345
4012.8500,0.935526
4012.9000,0.958264
4012.9500,0.976488
4013.0000,0.983088
4013.0500,0.999658
4013.1000,0.984424
4013.1500,1.03581
4013.2000,1.00204
4013.2500,0.968346
4013.3000,1.01421
4013.3500,0.991358
4013.4000,1.00746
4013.4500,1.07853
4013.5000,1.02767
4013.5500,1.00952
4013.6000,1.01001
4013.6500,0.994423
4013.7000,0.977967
4013.7500,1.00193
4013.8000,0.989237
4013.8500,0.985363
4013.9000,0.971709
4013.9500,0.993819
4014.0000,1.01056
4014.0500,1.00603
4014.1000,1.00641
4014.1500,0.987214
4014.2000,1.02931
4014.2500,1.0055
4014.3000,0.978554
4014.3500,1.0204
4014.4000,0.982157
4014.4500,1.03496
4014.5000,1.00252
4014.5500,1.02193
4014.6000,1.00704
4014.6500,1.0022
4014.7000,1.03914
4014.7500,1.0038
4014.8000,1.00977
4014.8500,0.976943
4014.9000,1.00932
4014.9500,1.02377
4015.0000,1.01204
4015.0500,1.05667
4015.1000,1.03357
4015.1500,1.04033
4015.2000,0.999381
4015.2500,1.03534
4015.3000,1.03561
4015.3500,0.991136
4015.4000,0.992262
4015.4500,1.00965
4015.5000,0.98765
4015.5500,0.978574
4015.6000,1.01279
4015.6500,1.03487
4015.7000,1.05951
4015.7500,1.00887
4015.8000,0.924987
4015.8500,1.01939
4015.9000,0.987872
4015.9500,0.986889
4016.0000,0.957212
4016.0500,0.944973
4016.1000,0.975065
4016.1500,0.938509
4016.2000,0.977146
4016.2500,0.988374
4016.3000,0.988712
4016.3500,0.980342
4016.4000,0.961021
4016.4500,0.975055
4016.5000,1.02298
4016.5500,1.00847
4016.6000,0.990747
4016.6500,1.04602
4016.7000,0.986166
4016.7500,0.976307
4016.8000,1.00026
4016.8500,1.01043
4016.9000,0.99894
4016.9500,1.00456
4017.0000,0.960418
4017.0500,0.977612
4017.1000,0.978706
4017.1500,0.997737
4017.2000,1.0229
4017.2500,0.99876
4017.3000,0.961632
4017.3500,0.980776
4017.4000,0.969447
4017.4500,1.01413
4017.5000,0.984577
4017.5500,0.965573
4017.6000,0.973916
4017.6500,0.97584
4017.7000,0.955923
4017.7500,0.975241
4017.8000,0.987409
4017.8500,1.0002
4017.9000,1.0048
4017.9500,0.993694
4018.0000,0.996128
4018.0500,0.997522
4018.1000,0.998759
4018.1500,1.00615
4018.2000,1.01115
4018.2500,0.988507
4018.3000,0.958552
4018.3500,1.01961
4018.4000,0.996914
4018.4500,0.968867
4018.5000,0.986545
4018.5500,0.978092
4018.6000,0.974385
4018.6500,1.02739
4018.7000,1.02825
4018.7500,0.997396
4018.8000,0.999196
4018.8500,1.00719
4018.9000,0.959226
4018.9500,0.959826
4019.0000,0.991852
4019.0500,1.00443
4019.1000,1.02061
4019.1500,0.950688
4019.2000,1.02626
4019.2500,0.95809
4019.3000,0.991033
4019.3500,0.989224
4019.4000,0.942678
4019.4500,1.04213
4019.5000,0.985415
4019.5500,0.994301
4019.6000,0.979685
4019.6500,0.985479
4019.7000,0.985317
4019.7500,1.0173
4019.8000,1.01131
4019.8500,1.00824
4019.9000,0.989407
4019.9500,0.987135
4020.0000,0.968487
4020.0500,0.984314
4020.1000,1.0111
4020.1500,1.0189
4020.2000,0.977075
4020.2500,0.991631
4020.3000,0.981453
4020.3500,0.938918
4020.4000,0.96967
4020.4500,0.951299
4020.5000,0.955645
4020.5500,0.986115
4020.6000,0.998126
4020.6500,0.993312
4020.7000,1.00741
4020.7500,1.01282
4020.8000,1.0661
4020.8500,1.01005
4020.9000,0.983385
4020.9500,1.02407
4021.0000,1.05247
4021.0500,0.992321
4021.1000,0.98178
4021.1500,1.00431
4021.2000,0.999284
4021.2500,0.978935
4021.3000,0.973934
4021.3500,0.977452
4021.4000,0.993422
4021.4500,0.995915
4021.5000,0.960093
4021.5500,0.961341
4021.6000,0.99776
4021.6500,1.00019
4021.7000,0.974029
4021.7500,0.978056
4021.8000,0.997768
4021.8500,0.968507
4021.9000,0.985878
4021.9500,0.956863
4022.0000,0.97737
4022.0500,0.974726
4022.1000,0.986151
4022.1500,1.02036
4022.2000,1.00488
4022.2500,0.991933
4022.3000,1.00312
4022.3500,0.964987
4022.4000,0.96971
4022.4500,0.959547
4022.5000,0.997802
4022.5500,0.952598
4022.6000,0.958859
4022.6500,0.977523
4022.7000,0.965858
4022.7500,0.981798
4022.8000,0.967582
4022.8500,0.993547
4022.9000,0.992405
4022.9500,0.999795
4023.0000,0.964137
4023.0500,0.980539
4023.1000,0.977662
4023.1500,0.97642
4023.2000,0.979917
4023.2500,0.951771
4023.3000,0.946252
4023.3500,0.924295
4023.4000,0.99158
4023.4500,0.977264
4023.5000,0.958602
4023.5500,0.956125
4023.6000,0.94027
4023.6500,0.938018
4023.7000,0.919601
4023.7500,0.909769
4023.8000,0.953936
4023.8500,0.950432
4023.9000,0.968299
4023.9500,0.970478
4024.0000,0.928335
4024.0500,0.931116
4024.1000,0.963707
4024.1500,0.943107
4024.2000,0.981083
4024.2500,0.931162
4024.3000,0.943908
4024.3500,0.943918
4024.4000,0.957605
4024.4500,1.0411
4024.5000,0.930808
4024.5500,0.941423
4024.6000,0.902664
4024.6500,0.913756
4024.7000,0.953829
4024.7500,0.905449
4024.8000,0.899697
4024.8500,0.887586
4024.9000,0.889811
4024.9500,0.917136
4025.0000,0.844471
4025.0500,0.887225
4025.1000,0.915246
4025.1500,0.900144
4025.2000,0.909205
4025.2500,0.893962
4025.3000,0.891226
4025.3500,0.920096
4025.4000,0.89085
4025.4500,0.893043
4025.5000,0.873658
4025.5500,0.84481
4025.6000,0.859091
4025.6500,0.843329
4025.7000,0.837614
4025.7500,0.853557
4025.8000,0.844598
4025.8500,0.847706
4025.9000,0.832569
4025.9500,0.814612
4026.0000,0.847205
4026.0500,0.830416
4026.1000,0.838378
4026.1500,0.838868
4026.2000,0.800278
4026.2500,0.846158
4026.3000,0.882883
4026.3500,0.814388
4026.4000,0.826201
4026.4500,0.826784
4026.5000,0.855581
4026.5500,0.827816
4026.6000,0.859064
4026.6500,0.847967
4026.7000,0.885737
4026.7500,0.888583
4026.8000,0.891873
4026.8500,0.861986
4026.9000,0.892753
4026.9500,0.877009
4027.0000,0.882742
4027.0500,0.891326
4027.1000,0.942629
4027.1500,0.976891
4027.2000,0.91306
4027.2500,0.985791
4027.3000,0.931613
4027.3500,0.956089
4027.4000,0.905564
4027.4500,0.923692
4027.5000,0.961714
4027.5500,0.939469
4027.6000,0.90767
4027.6500,0.946915
4027.7000,0.936761
4027.7500,0.933433
4027.8000,0.938766
4027.8500,0.969131
4027.9000,0.936644
4027.9500,0.960329
4028.0000,0.959074
4028.0500,0.962108
4028.1000,0.954136
4028.1500,0.955482
4028.2000,0.901133
4028.2500,0.935488
4028.3000,0.955709
4028.3500,0.979945
4028.4000,0.918379
4028.4500,0.95999
4028.5000,0.96876
4028.5500,0.922832
4028.6000,0.986885
4028.6500,0.961785
4028.7000,0.967428
4028.7500,0.979321
4028.8000,0.986443
4028.8500,0.956359
4028.9000,0.968006
4028.9500,0.952905
4029.0000,0.992951
4029.0500,0.990063
4029.1000,0.975504
4029.1500,0.965509
4029.2000,0.970003
4029.2500,1.00875
4029.3000,0.985589
4029.3500,0.95195
4029.4000,0.949584
4029.4500,0.953892
4029.5000,0.970561
4029.5500,0.958152
4029.6000,1.01106
4029.6500,1.02245
4029.7000,1.03433
4029.7500,0.956735
4029.8000,0.994168
4029.8500,0.97728
4029.9000,1.00121
4029.9500,0.948437
4030.0000,0.956638
4030.0500,1.00955
4030.1000,1.02484
4030.1500,1.00462
4030.2000,1.0121
4030.2500,0.9823
4030.3000,1.01201
4030.3500,1.0152
4030.4000,0.96554
4030.4500,0.999854
4030.5000,0.991526
4030.5500,0.986301
4030.6000,0.977142
4030.6500,0.96693
4030.7000,1.00716
4030.7500,1.02341
4030.8000,0.95207
4030.8500,0.958279
4030.9000,0.987972
4030.9500,1.0294
4031.0000,1.00067
4031.0500,1.01454
4031.1000,0.972122
4031.1500,0.988461
4031.2000,1.00147
4031.2500,0.995498
4031.3000,1.02152
4031.3500,0.993226
4031.4000,0.992534
4031.4500,1.02965
4031.5000,0.990956
4031.5500,1.0197
4031.6000,1.01796
4031.6500,1.01564
4031.7000,1.0327
