Longitud_de_onda_A,espectro
4000.0000,1.01817
4000.0500,0.943407
4000.1000,1.04624
4000.1500,0.955538
4000.2000,0.955093
4000.2500,0.954031
4000.3000,0.989699
4000.3500,1.02333
4000.4000,1.00057
4000.4500,1.04793
4000.5000,1.05377
4000.5500,0.993932
4000.6000,0.921101
4000.6500,0.967141
4000.7000,1.05508
4000.7500,0.993294
4000.8000,1.01662
4000.8500,0.933419
4000.9000,0.993237
4000.9500,1.03322
4001.0000,1.01052
4001.0500,1.00098
4001.1000,1.01683
4001.1500,0.988009
4001.2000,1.01689
4001.2500,0.979757
4001.3000,1.03827
4001.3500,1.02521
4001.4000,1.04299
4001.4500,1.03617
4001.5000,1.01011
4001.5500,0.995668
4001.6000,0.944892
4001.6500,0.979252
4001.7000,1.02095
4001.7500,0.967846
4001.8000,0.923064
4001.8500,0.953442
4001.9000,0.952853
4001.9500,0.976141
4002.0000,1.00493
4002.0500,1.00753
4002.1000,0.989904
4002.1500,1.00386
4002.2000,1.02464
4002.2500,1.01973
4002.3000,0.928142
4002.3500,1.01806
4002.4000,0.947379
4002.4500,1.00974
4002.5000,1.00196
4002.5500,0.972885
4002.6000,1.00158
4002.6500,1.00271
4002.7000,1.0194
4002.7500,0.961947
4002.8000,1.02691
4002.8500,1.05495
4002.9000,0.966711
4002.9500,1.03062
4003.0000,0.917795
4003.0500,0.949553
4003.1000,0.949671
4003.1500,1.02837
4003.2000,0.984944
4003.2500,0.999759
4003.3000,1.02086
4003.3500,0.95398
4003.4000,1.00059
4003.4500,0.91418
4003.5000,1.03639
4003.5500,1.04175
4003.6000,1.06982
4003.6500,1.01169
4003.7000,1.07667
4003.7500,1.0437
4003.8000,1.04181
4003.8500,0.999259
4003.9000,0.965786
4003.9500,1.03776
4004.0000,1.025
4004.0500,0.969968
4004.1000,0.952923
4004.1500,0.990334
4004.2000,1.01981
4004.2500,0.964827
4004.3000,1.00839
4004.3500,1.02842
4004.4000,1.01598
4004.4500,0.969815
4004.5000,1.03989
4004.5500,1.02231
4004.6000,0.945644
4004.6500,0.992563
4004.7000,0.992103
4004.7500,0.987722
4004.8000,1.03536
4004.8500,1.04578
4004.9000,0.934301
4004.9500,1.04801
4005.0000,0.990909
4005.0500,0.981674
4005.1000,1.01402
4005.1500,1.09757
4005.2000,1.04876
4005.2500,0.958711
4005.3000,0.979576
4005.3500,1.0389
4005.4000,1.08642
4005.4500,0.974537
4005.5000,0.988843
4005.5500,0.994848
4005.6000,1.02729
4005.6500,0.997092
4005.7000,0.99786
4005.7500,1.04393
4005.8000,0.994654
4005.8500,0.99656
4005.9000,1.08354
4005.9500,0.927655
4006.0000,0.980592
4006.0500,0.971592
4006.1000,0.940681
4006.1500,1.02059
4006.2000,1.05132
4006.2500,1.00804
4006.3000,0.965101
4006.3500,0.907488
4006.4000,1.01733
4006.4500,1.00736
4006.5000,0.906509
4006.5500,1.01103
4006.6000,0.997808
4006.6500,1.01887
4006.7000,1.02548
4006.7500,1.05262
4006.8000,0.957392
4006.8500,1.11475
4006.9000,1.01254
4006.9500,1.02846
4007.0000,1.05917
4007.0500,0.932435
4007.1000,1.03993
4007.1500,1.04019
4007.2000,0.970325
4007.2500,1.08887
4007.3000,1.04346
4007.3500,0.974231
4007.4000,0.976951
4007.4500,1.08081
4007.5000,0.987009
4007.5500,0.994208
4007.6000,0.995111
4007.6500,1.02206
4007.7000,0.90332
4007.7500,0.964049
4007.8000,1.01921
4007.8500,1.03065
4007.9000,1.02105
4007.9500,1.00398
4008.0000,0.98656
4008.0500,1.00385
4008.1000,0.97775
4008.1500,1.01727
4008.2000,1.02832
4008.2500,1.06147
4008.3000,1.0037
4008.3500,1.03577
4008.4000,1.0299
4008.4500,1.08421
4008.5000,1.06174
4008.5500,1.02796
4008.6000,1.00952
4008.6500,1.00974
4008.7000,1.03577
4008.7500,1.02209
4008.8000,1.10351
4008.8500,1.05384
4008.9000,1.02631
4008.9500,1.03231
4009.0000,1.02677
4009.0500,0.992711
4009.1000,1.03144
4009.1500,0.981589
4009.2000,1.00488
4009.2500,1.05031
4009.3000,1.02496
4009.3500,1.00245
4009.4000,1.01999
4009.4500,1.02743
4009.5000,1.0412
4009.5500,0.99886
4009.6000,0.972052
4009.6500,1.02484
4009.7000,1.0249
4009.7500,0.998783
4009.8000,1.04813
4009.8500,0.97703
4009.9000,1.02334
4009.9500,1.00605
4010.0000,0.999179
4010.0500,1.05468
4010.1000,1.04459
4010.1500,1.10101
4010.2000,0.981701
4010.2500,0.97009
4010.3000,1.01369
4010.3500,1.02411
4010.4000,0.956825
4010.4500,1.01504
4010.5000,0.967815
4010.5500,1.06827
4010.6000,1.01129
4010.6500,0.922283
4010.7000,1.03986
4010.7500,0.987428
4010.8000,1.07339
4010.8500,1.07234
4010.9000,0.989537
4010.9500,1.0639
4011.0000,1.05111
4011.0500,0.939078
4011.1000,1.08948
4011.1500,1.17011
4011.2000,1.14681
4011.2500,1.04618
4011.3000,1.06972
4011.3500,1.0513
4011.4000,1.01522
4011.4500,1.06499
4011.5000,0.987868
4011.5500,1.00362
4011.6000,1.08776
4011.6500,1.07163
4011.7000,1.09598
4011.7500,1.09666
4011.8000,1.04115
4011.8500,0.957558
4011.9000,0.953287
4011.9500,0.952652
4012.0000,1.02144
4012.0500,1.00696
4012.1000,1.03117
4012.1500,1.06342
4012.2000,1.10402
4012.2500,1.08856
4012.3000,1.09313
4012.3500,1.02478
4012.4000,1.11177
4012.4500,1.12548
4012.5000,1.07647
4012.5500,1.05289
4012.6000,0.969104
4012.6500,0.984232
4012.7000,1.01366
4012.7500,1.05582
4012.8000,1.11618
4012.8500,1.1419
4012.9000,1.07547
4012.9500,1.05653
4013.0000,1.00685
4013.0500,0.915118
4013.1000,1.0507
4013.1500,1.01293
4013.2000,1.02065
4013.2500,1.01219
4013.3000,1.01473
4013.3500,1.10515
4013.4000,0.99652
4013.4500,1.08023
4013.5000,1.06374
4013.5500,1.04863
4013.6000,0.984494
4013.6500,0.949335
4013.7000,0.99215
4013.7500,0.955437
4013.8000,1.03956
4013.8500,0.887604
4013.9000,0.993306
4013.9500,0.979131
4014.0000,0.977598
4014.0500,1.05325
4014.1000,1.03314
4014.1500,1.08644
4014.2000,1.12111
4014.2500,1.03158
4014.3000,1.05185
4014.3500,1.00354
4014.4000,1.07922
4014.4500,0.998108
4014.5000,0.995137
4014.5500,1.01517
4014.6000,0.977815
4014.6500,1.03463
4014.7000,1.02647
4014.7500,1.0317
4014.8000,0.973218
4014.8500,1.02038
4014.9000,1.07331
4014.9500,1.09021
4015.0000,1.0677
4015.0500,0.954507
4015.1000,1.04924
4015.1500,1.12294
4015.2000,1.08007
4015.2500,1.05078
4015.3000,1.02089
4015.3500,1.00394
4015.4000,0.981448
4015.4500,0.956073
4015.5000,0.96858
4015.5500,1.15498
4015.6000,1.01189
4015.6500,1.00399
4015.7000,0.998804
4015.7500,1.00343
4015.8000,1.04194
4015.8500,0.981263
4015.9000,1.07246
4015.9500,1.11314
4016.0000,1.0444
4016.0500,1.06139
4016.1000,0.983681
4016.1500,1.0085
4016.2000,0.969623
4016.2500,1.03279
4016.3000,1.07734
4016.3500,1.01433
4016.4000,1.07831
4016.4500,1.11305
4016.5000,1.00629
4016.5500,1.05136
4016.6000,1.053
4016.6500,0.992017
4016.7000,1.09204
4016.7500,1.00029
4016.8000,1.02633
4016.8500,1.00924
4016.9000,1.05459
4016.9500,1.03942
4017.0000,1.02812
4017.0500,1.02389
4017.1000,1.0409
4017.1500,1.00315
4017.2000,0.992916
4017.2500,1.08224
4017.3000,1.05248
4017.3500,1.02561
4017.4000,1.0001
4017.4500,1.04611
4017.5000,1.03605
4017.5500,0.996373
4017.6000,0.971279
4017.6500,1.01213
4017.7000,0.992627
4017.7500,1.06193
4017.8000,1.04951
4017.8500,1.05632
4017.9000,1.04974
4017.9500,0.996901
4018.0000,1.03046
4018.0500,1.05251
4018.1000,1.02636
4018.1500,1.04056
4018.2000,1.03178
4018.2500,0.999664
4018.3000,1.10277
4018.3500,1.11553
4018.4000,1.19741
4018.4500,1.06149
4018.5000,0.982308
4018.5500,1.13575
4018.6000,1.01432
4018.6500,1.00284
4018.7000,0.972535
4018.7500,1.01453
4018.8000,1.04256
4018.8500,1.01265
4018.9000,1.01634
4018.9500,1.00685
4019.0000,0.926344
4019.0500,0.907272
4019.1000,1.0268
4019.1500,1.00692
4019.2000,0.978166
4019.2500,1.07128
4019.3000,0.963095
4019.3500,0.938934
4019.4000,0.96729
4019.4500,0.963343
4019.5000,0.985135
4019.5500,0.960788
4019.6000,0.962014
4019.6500,0.998985
4019.7000,0.962925
4019.7500,1.00298
4019.8000,0.999921
4019.8500,1.02642
4019.9000,1.02737
4019.9500,1.00566
4020.0000,1.02781
4020.0500,1.03615
4020.1000,0.978036
4020.1500,1.01676
4020.2000,1.00988
4020.2500,0.987485
4020.3000,1.08389
4020.3500,1.01466
4020.4000,1.02088
4020.4500,1.06017
4020.5000,0.938506
4020.5500,1.00443
4020.6000,0.994081
4020.6500,0.967943
4020.7000,0.996077
4020.7500,0.909884
4020.8000,0.967822
4020.8500,1.02371
4020.9000,1.01708
4020.9500,1.03966
4021.0000,0.989871
4021.0500,0.947227
4021.1000,0.946465
4021.1500,0.938096
4021.2000,0.968242
4021.2500,1.02206
4021.3000,1.01608
4021.3500,0.975161
4021.4000,0.946952
4021.4500,0.93523
4021.5000,0.95146
4021.5500,0.948831
4021.6000,1.02174
4021.6500,1.00509
4021.7000,0.992896
4021.7500,1.03775
4021.8000,0.976009
4021.8500,0.998344
4021.9000,0.991375
4021.9500,0.902763
4022.0000,1.01922
4022.0500,1.03871
4022.1000,0.950556
4022.1500,0.994628
4022.2000,1.04766
4022.2500,1.00311
4022.3000,0.948571
4022.3500,0.960908
4022.4000,0.93404
4022.4500,0.92287
4022.5000,0.980511
4022.5500,0.978379
4022.6000,0.97586
4022.6500,0.99502
4022.7000,0.888957
4022.7500,0.984168
4022.8000,0.937181
4022.8500,0.964883
4022.9000,0.912034
4022.9500,0.922451
4023.0000,1.00135
