Longitud_de_onda_A,espectro
4000.0000,0.96629
4000.0500,0.955404
4000.1000,0.948981
4000.1500,0.961333
4000.2000,0.97635
4000.2500,0.959879
4000.3000,0.981241
4000.3500,0.969696
4000.4000,0.975726
4000.4500,0.974095
4000.5000,0.980473
4000.5500,0.978837
4000.6000,0.967026
4000.6500,1.01289
4000.7000,0.978188
4000.7500,0.969485
4000.8000,0.965451
4000.8500,0.988231
4000.9000,0.96063
4000.9500,0.956327
4001.0000,0.964142
4001.0500,0.957092
4001.1000,0.964426
4001.1500,0.994419
4001.2000,0.996231
4001.2500,0.972791
4001.3000,0.965721
4001.3500,1.01157
4001.4000,1.01959
4001.4500,1.01231
4001.5000,0.979054
4001.5500,1.03063
4001.6000,0.999959
4001.6500,0.977152
4001.7000,0.980748
4001.7500,0.998301
4001.8000,0.993344
4001.8500,0.977633
4001.9000,0.995012
4001.9500,0.975828
4002.0000,0.992243
4002.0500,1.00598
4002.1000,1.00774
4002.1500,0.955318
4002.2000,0.946673
4002.2500,0.956749
4002.3000,0.921216
4002.3500,0.933961
4002.4000,0.921172
4002.4500,0.92799
4002.5000,0.915329
4002.5500,0.926403
4002.6000,0.942075
4002.6500,0.915402
4002.7000,0.925932
4002.7500,0.941533
4002.8000,0.939226
4002.8500,0.966311
4002.9000,0.980337
4002.9500,0.964547
4003.0000,0.950012
4003.0500,0.962964
4003.1000,0.937054
4003.1500,0.925249
4003.2000,0.913167
4003.2500,0.906165
4003.3000,0.941996
4003.3500,0.926732
4003.4000,0.952496
4003.4500,0.938273
4003.5000,0.940584
4003.5500,0.956792
4003.6000,0.947888
4003.6500,1.00794
4003.7000,0.997844
4003.7500,1.02336
4003.8000,0.98806
4003.8500,0.986102
4003.9000,0.987362
4003.9500,1.01912
4004.0000,1.00839
4004.0500,1.01115
4004.1000,1.00958
4004.1500,1.02323
4004.2000,1.00416
4004.2500,1.00307
4004.3000,0.992146
4004.3500,1.00427
4004.4000,0.995569
4004.4500,1.00982
4004.5000,1.00706
4004.5500,0.996307
4004.6000,0.982419
4004.6500,0.973624
4004.7000,0.958715
4004.7500,0.964132
4004.8000,0.958402
4004.8500,0.927311
4004.9000,0.925397
4004.9500,0.93839
4005.0000,0.993027
4005.0500,0.936191
4005.1000,0.936764
4005.1500,0.967676
4005.2000,0.935583
4005.2500,1.0206
4005.3000,1.00143
4005.3500,0.978366
4005.4000,0.983767
4005.4500,0.978382
4005.5000,0.974685
4005.5500,1.00107
4005.6000,1.00368
4005.6500,0.99758
4005.7000,0.974782
4005.7500,0.982429
4005.8000,0.993897
4005.8500,1.00215
4005.9000,0.995262
4005.9500,1.01321
4006.0000,0.980216
4006.0500,1.00058
4006.1000,0.998181
4006.1500,0.96737
4006.2000,1.01868
4006.2500,1.03336
4006.3000,0.999236
4006.3500,1.00675
4006.4000,0.98961
4006.4500,1.01906
4006.5000,1.0118
4006.5500,1.00093
4006.6000,1.01207
4006.6500,1.00259
4006.7000,1.00543
4006.7500,1.00161
4006.8000,1.00873
4006.8500,0.994779
4006.9000,0.965105
4006.9500,0.983518
4007.0000,0.999029
4007.0500,0.993404
4007.1000,1.00038
4007.1500,0.966838
4007.2000,1.00652
4007.2500,1.03122
4007.3000,0.985688
4007.3500,1.02171
4007.4000,1.03648
4007.4500,1.02812
4007.5000,1.03226
4007.5500,1.00156
4007.6000,1.00808
4007.6500,1.00414
4007.7000,1.01428
