Longitud_de_onda_A,espectro
4000.0000,0.971748
4000.0500,1.01102
4000.1000,0.980193
4000.1500,0.980936
4000.2000,0.981218
4000.2500,0.991078
4000.3000,0.955504
4000.3500,0.999466
4000.4000,0.978403
4000.4500,0.983311
4000.5000,0.931383
4000.5500,0.990281
4000.6000,1.00217
4000.6500,0.948282
4000.7000,0.981616
4000.7500,0.970738
4000.8000,1.01024
4000.8500,0.997285
4000.9000,0.985843
4000.9500,0.983404
4001.0000,1.01471
4001.0500,0.98131
4001.1000,0.9819
4001.1500,0.968409
4001.2000,0.989412
4001.2500,0.978346
4001.3000,1.00982
4001.3500,0.997859
4001.4000,0.998084
4001.4500,0.969956
4001.5000,0.982196
4001.5500,0.986126
4001.6000,0.98897
4001.6500,0.963363
4001.7000,0.972555
4001.7500,0.994098
4001.8000,0.949246
4001.8500,0.977801
4001.9000,0.994807
4001.9500,1.01957
4002.0000,1.01629
4002.0500,0.992562
4002.1000,0.999151
4002.1500,1.02172
4002.2000,0.972599
4002.2500,0.97224
4002.3000,0.98869
4002.3500,0.988922
4002.4000,1.00572
4002.4500,1.00068
4002.5000,0.990232
4002.5500,1.03232
4002.6000,1.01487
4002.6500,1.00205
4002.7000,0.968993
4002.7500,0.975486
4002.8000,0.982698
4002.8500,0.992039
4002.9000,1.00673
4002.9500,1.0033
4003.0000,0.983852
4003.0500,0.963777
4003.1000,0.982786
4003.1500,0.974065
4003.2000,0.974386
4003.2500,0.98443
4003.3000,0.980846
4003.3500,1.01056
4003.4000,1.00852
4003.4500,0.984929
4003.5000,0.976741
4003.5500,0.978534
4003.6000,0.982886
4003.6500,0.980442
4003.7000,0.994077
4003.7500,1.01032
4003.8000,1.01383
4003.8500,1.00542
4003.9000,0.996954
4003.9500,0.956937
4004.0000,0.996779
4004.0500,1.02505
4004.1000,0.966591
4004.1500,0.9744
4004.2000,1.0114
4004.2500,0.996671
4004.3000,0.964874
4004.3500,0.965529
4004.4000,1.01262
4004.4500,0.980376
4004.5000,1.00141
4004.5500,0.968767
4004.6000,0.990559
4004.6500,0.98565
4004.7000,1.00931
4004.7500,0.999186
4004.8000,0.962935
4004.8500,0.994036
4004.9000,0.958968
4004.9500,0.977586
4005.0000,1.01237
4005.0500,0.99013
4005.1000,1.003
