Longitud_de_onda_A,espectro
4000.0000,0.999782
4000.0500,0.975119
4000.1000,0.986712
4000.1500,0.991007
4000.2000,0.991366
4000.2500,0.983456
4000.3000,0.993522
4000.3500,0.988816
4000.4000,0.996687
4000.4500,0.985593
4000.5000,0.99605
4000.5500,1.00341
4000.6000,0.985679
4000.6500,0.982708
4000.7000,0.983151
4000.7500,0.982973
4000.8000,0.974849
4000.8500,0.98721
4000.9000,0.990737
4000.9500,0.98693
4001.0000,0.972411
4001.0500,0.983799
4001.1000,0.980222
4001.1500,0.985931
4001.2000,0.978336
4001.2500,0.971597
4001.3000,0.988268
4001.3500,0.961977
4001.4000,0.976304
4001.4500,0.978055
4001.5000,0.980784
4001.5500,0.98139
4001.6000,0.983917
4001.6500,0.988455
4001.7000,0.97551
4001.7500,0.972929
4001.8000,0.977712
4001.8500,0.9668
4001.9000,0.964798
4001.9500,0.97324
4002.0000,0.986504
4002.0500,0.972973
4002.1000,0.959866
4002.1500,0.970691
4002.2000,0.971941
4002.2500,0.980463
4002.3000,0.958826
4002.3500,0.973073
4002.4000,0.965255
4002.4500,0.982717
4002.5000,0.970427
4002.5500,0.961044
4002.6000,0.97754
4002.6500,0.984783
4002.7000,0.956328
4002.7500,0.955957
4002.8000,0.974901
4002.8500,0.974339
4002.9000,0.974094
4002.9500,0.974484
4003.0000,0.97955
4003.0500,0.984856
4003.1000,0.975783
4003.1500,0.983795
4003.2000,0.993516
4003.2500,0.984813
4003.3000,0.990078
4003.3500,0.978275
4003.4000,0.972037
4003.4500,0.972166
4003.5000,0.958913
4003.5500,0.986685
4003.6000,0.985254
4003.6500,0.966005
4003.7000,0.961874
4003.7500,0.970157
4003.8000,0.966629
4003.8500,0.958463
4003.9000,0.97537
4003.9500,0.962396
4004.0000,0.981054
4004.0500,0.966461
4004.1000,0.975691
4004.1500,0.966282
4004.2000,0.971614
4004.2500,0.972587
4004.3000,0.976102
4004.3500,0.967691
4004.4000,0.972804
4004.4500,0.982539
