Longitud_de_onda_A,espectro
4000.0000,0.996894
4000.0500,0.975121
4000.1000,0.98777
4000.1500,0.991336
4000.2000,0.992057
4000.2500,0.983143
4000.3000,0.990842
4000.3500,0.989401
4000.4000,0.995164
4000.4500,0.984573
4000.5000,0.995947
4000.5500,1.00328
4000.6000,0.987658
4000.6500,0.984486
4000.7000,0.982259
4000.7500,0.980192
4000.8000,0.976741
4000.8500,0.987614
4000.9000,0.9887
4000.9500,0.98845
4001.0000,0.970054
4001.0500,0.984456
4001.1000,0.976148
4001.1500,0.98542
4001.2000,0.978241
4001.2500,0.973368
4001.3000,0.9901
4001.3500,0.960461
4001.4000,0.975464
4001.4500,0.977947
4001.5000,0.979416
4001.5500,0.979962
4001.6000,0.984384
4001.6500,0.988133
4001.7000,0.975739
4001.7500,0.974478
4001.8000,0.977483
4001.8500,0.970002
4001.9000,0.964589
4001.9500,0.972177
4002.0000,0.985827
4002.0500,0.972785
4002.1000,0.959243
4002.1500,0.971669
4002.2000,0.974025
4002.2500,0.979753
4002.3000,0.958811
4002.3500,0.973391
4002.4000,0.963945
4002.4500,0.983539
4002.5000,0.970475
4002.5500,0.962254
4002.6000,0.977477
4002.6500,0.985805
4002.7000,0.954627
4002.7500,0.956863
4002.8000,0.974843
4002.8500,0.974281
4002.9000,0.972038
4002.9500,0.977036
4003.0000,0.977398
4003.0500,0.983895
4003.1000,0.973701
4003.1500,0.983264
4003.2000,0.995144
4003.2500,0.985989
4003.3000,0.991194
4003.3500,0.981363
4003.4000,0.971163
4003.4500,0.972773
4003.5000,0.95842
4003.5500,0.986271
4003.6000,0.984545
4003.6500,0.96587
4003.7000,0.961738
4003.7500,0.970124
4003.8000,0.967386
4003.8500,0.957026
4003.9000,0.977658
4003.9500,0.96078
4004.0000,0.980952
4004.0500,0.966552
4004.1000,0.977497
4004.1500,0.96503
4004.2000,0.971753
4004.2500,0.973272
4004.3000,0.976015
4004.3500,0.967402
4004.4000,0.972823
4004.4500,0.982305
4004.5000,0.972646
4004.5500,0.978011
4004.6000,0.97696
4004.6500,0.982714
4004.7000,0.977285
4004.7500,0.969892
4004.8000,0.960852
4004.8500,0.982944
4004.9000,0.99164
4004.9500,0.976849
4005.0000,0.981498
4005.0500,0.983725
4005.1000,0.964946
4005.1500,0.967043
4005.2000,0.967506
4005.2500,0.973927
4005.3000,0.974892
4005.3500,0.975974
4005.4000,0.975597
4005.4500,0.976071
4005.5000,0.959439
4005.5500,0.96462
4005.6000,0.985983
4005.6500,0.970967
4005.7000,0.973698
4005.7500,0.970271
4005.8000,0.975539
4005.8500,0.979689
4005.9000,0.983935
4005.9500,0.975015
4006.0000,0.959069
4006.0500,0.967867
4006.1000,0.981888
4006.1500,0.977558
4006.2000,0.972947
4006.2500,0.979652
4006.3000,0.985947
4006.3500,0.976795
4006.4000,0.984003
4006.4500,0.968852
4006.5000,0.975009
4006.5500,0.98469
