Longitud_de_onda_A,espectro
4000.0000,0.973015
4000.0500,0.964313
4000.1000,0.949077
4000.1500,0.950795
4000.2000,0.968624
4000.2500,0.946645
4000.3000,0.972857
4000.3500,0.949888
4000.4000,0.971286
4000.4500,0.956162
4000.5000,0.971845
4000.5500,0.966911
4000.6000,0.964171
4000.6500,0.967191
4000.7000,0.953496
4000.7500,0.944493
4000.8000,0.958733
4000.8500,0.970126
4000.9000,0.97351
4000.9500,0.983328
4001.0000,0.961811
4001.0500,0.995396
4001.1000,0.983976
4001.1500,0.986908
4001.2000,0.978991
4001.2500,0.962205
4001.3000,0.993409
4001.3500,0.959495
4001.4000,0.97432
4001.4500,0.964905
4001.5000,0.983451
4001.5500,0.986781
4001.6000,0.945134
4001.6500,0.988914
4001.7000,0.977232
4001.7500,0.942592
4001.8000,0.96291
4001.8500,0.952148
4001.9000,0.99249
4001.9500,0.971301
4002.0000,0.960659
4002.0500,0.975939
4002.1000,0.997335
4002.1500,0.952367
4002.2000,0.965726
4002.2500,0.96087
4002.3000,0.984463
4002.3500,0.984526
4002.4000,0.986515
4002.4500,0.968872
4002.5000,1.00323
4002.5500,0.984345
4002.6000,0.937835
4002.6500,0.968401
4002.7000,0.977773
4002.7500,0.942906
4002.8000,0.961953
4002.8500,0.982126
4002.9000,0.976424
4002.9500,0.969461
4003.0000,0.961005
4003.0500,0.960163
4003.1000,0.922552
4003.1500,0.960649
4003.2000,0.965007
4003.2500,0.96168
4003.3000,0.932388
4003.3500,0.944607
4003.4000,0.938007
4003.4500,0.930463
4003.5000,0.945147
4003.5500,0.933289
4003.6000,0.956089
4003.6500,0.954701
4003.7000,0.972596
4003.7500,0.943
4003.8000,0.938091
4003.8500,0.953228
4003.9000,0.9214
4003.9500,0.966221
4004.0000,0.929971
4004.0500,0.97025
4004.1000,0.96477
4004.1500,0.949749
4004.2000,0.960412
4004.2500,0.985605
4004.3000,0.972155
4004.3500,0.989099
4004.4000,0.972856
4004.4500,1.00043
4004.5000,0.961071
4004.5500,0.947908
4004.6000,0.985809
4004.6500,0.978737
4004.7000,0.971661
4004.7500,0.97454
4004.8000,0.989173
4004.8500,0.980204
4004.9000,0.994369
4004.9500,0.973428
4005.0000,1.0395
4005.0500,0.989175
4005.1000,1.00055
4005.1500,0.974933
4005.2000,0.97362
4005.2500,0.991863
4005.3000,0.96337
4005.3500,0.949894
4005.4000,0.974683
4005.4500,0.984728
4005.5000,0.990699
4005.5500,0.976331
4005.6000,0.960221
4005.6500,0.997258
4005.7000,0.972703
4005.7500,0.990629
4005.8000,0.991603
4005.8500,0.997816
4005.9000,0.995382
4005.9500,0.983697
4006.0000,1.02064
4006.0500,0.97026
4006.1000,0.982947
4006.1500,0.983125
4006.2000,0.992461
4006.2500,0.982826
4006.3000,1.00099
4006.3500,0.97785
4006.4000,1.03788
4006.4500,0.994423
4006.5000,1.02074
4006.5500,0.989526
4006.6000,0.990103
4006.6500,0.99711
4006.7000,0.997038
4006.7500,0.988263
4006.8000,1.03165
4006.8500,1.00847
4006.9000,0.999867
4006.9500,1.01005
4007.0000,0.983768
4007.0500,0.987902
4007.1000,0.99859
4007.1500,0.981043
4007.2000,1.00858
4007.2500,1.02076
4007.3000,1.01111
4007.3500,0.962242
4007.4000,0.999627
4007.4500,1.00238
4007.5000,0.99796
4007.5500,0.966621
4007.6000,1.00253
4007.6500,0.993656
4007.7000,1.00568
4007.7500,1.01507
4007.8000,1.00054
4007.8500,0.98818
4007.9000,0.982245
4007.9500,1.01671
4008.0000,1.01291
4008.0500,0.977478
4008.1000,0.939897
4008.1500,0.971572
4008.2000,0.959907
4008.2500,0.958485
4008.3000,0.973737
4008.3500,0.981624
4008.4000,0.942274
4008.4500,1.00881
4008.5000,0.98468
4008.5500,0.969989
4008.6000,0.948291
4008.6500,0.954774
4008.7000,0.977116
4008.7500,0.944825
4008.8000,0.971384
4008.8500,0.9466
4008.9000,0.971756
4008.9500,0.944847
4009.0000,0.948792
4009.0500,0.957342
4009.1000,0.966125
4009.1500,0.934139
4009.2000,0.942399
4009.2500,0.948175
4009.3000,0.916018
4009.3500,0.941226
4009.4000,0.964795
4009.4500,0.93648
4009.5000,0.935832
4009.5500,0.963331
4009.6000,0.954474
4009.6500,0.947652
4009.7000,0.977104
4009.7500,0.987879
4009.8000,0.977397
4009.8500,0.936622
4009.9000,0.971782
4009.9500,0.955577
4010.0000,0.974506
4010.0500,0.962201
4010.1000,0.955201
4010.1500,0.980414
4010.2000,0.97552
4010.2500,0.983513
4010.3000,0.995198
4010.3500,1.01449
4010.4000,0.998208
4010.4500,0.980209
4010.5000,0.98113
4010.5500,0.995192
4010.6000,1.0148
4010.6500,1.04404
4010.7000,1.05393
4010.7500,1.03051
4010.8000,1.01937
4010.8500,1.00405
4010.9000,1.00366
4010.9500,0.994385
4011.0000,0.999657
4011.0500,1.01486
4011.1000,1.01375
4011.1500,0.977023
4011.2000,1.02614
4011.2500,1.00077
4011.3000,1.02465
4011.3500,1.01586
4011.4000,1.01508
4011.4500,1.01016
4011.5000,1.01037
4011.5500,1.00789
4011.6000,1.02102
4011.6500,1.01038
4011.7000,1.00329
4011.7500,1.00053
4011.8000,1.02313
4011.8500,1.01496
4011.9000,1.01769
4011.9500,1.01184
4012.0000,1.0111
4012.0500,1.03084
4012.1000,1.00037
4012.1500,1.01874
4012.2000,1.01306
4012.2500,1.03025
4012.3000,1.01248
4012.3500,1.02117
4012.4000,1.01232
4012.4500,1.0216
4012.5000,1.01974
4012.5500,1.03658
4012.6000,1.04219
4012.6500,1.01218
4012.7000,1.04002
4012.7500,1.01694
4012.8000,1.04603
4012.8500,0.993372
4012.9000,1.05999
4012.9500,1.01504
4013.0000,1.02127
4013.0500,0.998604
4013.1000,1.026
4013.1500,1.00735
4013.2000,1.01599
4013.2500,1.01237
4013.3000,1.01678
4013.3500,1.0156
4013.4000,0.991362
4013.4500,0.99649
4013.5000,1.18681
4013.5500,1.02689
4013.6000,0.978626
4013.6500,1.02204
4013.7000,1.00083
4013.7500,1.03886
4013.8000,1.07609
4013.8500,1.02645
4013.9000,0.988186
4013.9500,1.01286
4014.0000,1.00772
4014.0500,1.00235
4014.1000,1.02116
4014.1500,0.982569
4014.2000,0.966189
4014.2500,1.00182
4014.3000,1.00908
4014.3500,1.00069
4014.4000,1.04879
4014.4500,1.00358
4014.5000,1.00611
4014.5500,1.01174
4014.6000,1.00875
4014.6500,1.03711
4014.7000,1.02129
4014.7500,1.00639
4014.8000,1.01347
4014.8500,1.02622
4014.9000,1.01961
