Longitud_de_onda_A,espectro
4000.0000,0.971633
4000.0500,0.963795
4000.1000,0.948801
4000.1500,0.951015
4000.2000,0.968679
4000.2500,0.947062
4000.3000,0.972539
4000.3500,0.950309
4000.4000,0.970543
4000.4500,0.954991
4000.5000,0.970946
4000.5500,0.966903
4000.6000,0.964067
4000.6500,0.967087
4000.7000,0.951901
4000.7500,0.944285
4000.8000,0.959705
4000.8500,0.969254
4000.9000,0.972155
4000.9500,0.983189
4001.0000,0.960602
4001.0500,0.996316
4001.1000,0.984048
4001.1500,0.986795
4001.2000,0.979172
4001.2500,0.960735
4001.3000,0.993426
4001.3500,0.959155
4001.4000,0.974581
4001.4500,0.964708
4001.5000,0.98332
4001.5500,0.98613
4001.6000,0.944748
4001.6500,0.989487
4001.7000,0.977664
4001.7500,0.942301
4001.8000,0.963907
4001.8500,0.952153
4001.9000,0.99269
4001.9500,0.970973
4002.0000,0.960821
4002.0500,0.975808
4002.1000,0.996272
4002.1500,0.952393
4002.2000,0.965074
4002.2500,0.960475
4002.3000,0.984012
4002.3500,0.985284
4002.4000,0.986105
4002.4500,0.968972
4002.5000,1.00378
4002.5500,0.984684
4002.6000,0.938078
4002.6500,0.968307
4002.7000,0.978011
4002.7500,0.943256
4002.8000,0.962148
4002.8500,0.981833
4002.9000,0.976096
4002.9500,0.969802
4003.0000,0.96106
4003.0500,0.961054
4003.1000,0.922758
4003.1500,0.961002
4003.2000,0.965663
4003.2500,0.960831
4003.3000,0.931684
4003.3500,0.945845
4003.4000,0.93853
4003.4500,0.930374
4003.5000,0.944981
4003.5500,0.93223
4003.6000,0.95442
4003.6500,0.955492
4003.7000,0.974032
4003.7500,0.943442
4003.8000,0.938359
4003.8500,0.95178
4003.9000,0.921701
4003.9500,0.966602
4004.0000,0.930878
4004.0500,0.969924
4004.1000,0.965547
4004.1500,0.950608
4004.2000,0.960464
4004.2500,0.986363
4004.3000,0.971603
4004.3500,0.988841
4004.4000,0.972208
4004.4500,1
4004.5000,0.961089
4004.5500,0.947674
4004.6000,0.986391
4004.6500,0.979203
4004.7000,0.97172
4004.7500,0.973015
4004.8000,0.989467
4004.8500,0.979173
4004.9000,0.995112
4004.9500,0.973851
4005.0000,1.04026
4005.0500,0.989933
4005.1000,1.00048
4005.1500,0.975062
4005.2000,0.973986
4005.2500,0.992288
4005.3000,0.963756
4005.3500,0.949977
4005.4000,0.974834
4005.4500,0.984732
4005.5000,0.990825
4005.5500,0.977148
4005.6000,0.961179
4005.6500,0.996531
4005.7000,0.972478
4005.7500,0.990333
4005.8000,0.991853
4005.8500,0.998595
4005.9000,0.995697
4005.9500,0.984194
4006.0000,1.02075
4006.0500,0.969041
4006.1000,0.982093
4006.1500,0.983609
4006.2000,0.992508
4006.2500,0.983604
4006.3000,0.99997
4006.3500,0.977848
4006.4000,1.03763
4006.4500,0.993939
4006.5000,1.02035
4006.5500,0.990099
4006.6000,0.990931
4006.6500,0.996801
4006.7000,0.998542
