Longitud_de_onda_A,espectro
4000.0000,0.90716
4000.0500,0.850759
4000.1000,0.779412
4000.1500,0.798032
4000.2000,0.70084
4000.2500,0.609673
4000.3000,0.722839
4000.3500,0.757803
4000.4000,0.661337
4000.4500,0.45237
4000.5000,0.509637
4000.5500,0.601756
4000.6000,0.832518
4000.6500,1.06648
4000.7000,1.14585
4000.7500,1.1696
4000.8000,1.0726
4000.8500,1.05781
4000.9000,0.990811
4000.9500,1.05842
4001.0000,1.02416
4001.0500,0.81212
4001.1000,0.64198
4001.1500,0.689848
4001.2000,0.790452
4001.2500,0.829475
4001.3000,0.808946
4001.3500,0.882132
4001.4000,0.894543
4001.4500,0.871653
4001.5000,0.769617
4001.5500,0.722728
4001.6000,0.635634
4001.6500,0.36604
4001.7000,0.470592
4001.7500,0.640698
4001.8000,0.934168
4001.8500,1.11915
4001.9000,1.17191
4001.9500,1.09273
4002.0000,1.05157
4002.0500,1.14953
4002.1000,1.16597
4002.1500,1.12638
4002.2000,1.04076
4002.2500,1.0549
4002.3000,1.08699
4002.3500,1.04276
4002.4000,0.88513
4002.4500,0.584569
4002.5000,0.637125
4002.5500,0.639789
4002.6000,0.780301
4002.6500,0.810345
4002.7000,0.907499
4002.7500,0.940019
4002.8000,0.970672
4002.8500,1.00135
4002.9000,0.786978
4002.9500,0.745671
4003.0000,0.843066
4003.0500,0.839983
4003.1000,0.886312
4003.1500,0.853496
4003.2000,0.989998
4003.2500,1.08911
4003.3000,1.03934
4003.3500,1.10402
4003.4000,0.934434
4003.4500,1.00275
4003.5000,0.942401
4003.5500,0.911994
4003.6000,1.02004
4003.6500,0.992728
4003.7000,0.831894
4003.7500,0.614471
4003.8000,0.520492
4003.8500,0.647234
4003.9000,0.874991
4003.9500,0.729855
4004.0000,0.642569
4004.0500,0.720674
4004.1000,0.854041
4004.1500,0.837113
4004.2000,0.830731
4004.2500,0.854661
4004.3000,0.91592
4004.3500,1.04619
4004.4000,0.989724
4004.4500,1.03737
4004.5000,0.945886
4004.5500,0.885161
4004.6000,0.8411
4004.6500,0.775375
4004.7000,0.631156
4004.7500,0.728631
4004.8000,0.558031
4004.8500,0.484494
4004.9000,0.505673
4004.9500,0.578585
4005.0000,0.453518
4005.0500,0.515347
4005.1000,0.448059
4005.1500,0.339283
4005.2000,0.234206
4005.2500,0.192666
4005.3000,0.262824
4005.3500,0.285255
4005.4000,0.237392
4005.4500,0.331654
4005.5000,0.455826
4005.5500,0.551229
4005.6000,0.562493
4005.6500,0.576198
4005.7000,0.642187
4005.7500,0.723655
4005.8000,0.816535
4005.8500,0.80928
4005.9000,0.803368
4005.9500,0.713903
4006.0000,0.612661
4006.0500,0.78802
4006.1000,0.808793
4006.1500,0.818738
4006.2000,0.757372
4006.2500,0.702749
4006.3000,0.649388
4006.3500,0.587034
4006.4000,0.782467
4006.4500,0.881156
4006.5000,0.836881
4006.5500,0.857112
4006.6000,0.63041
4006.6500,0.621643
4006.7000,0.633592
4006.7500,0.731056
4006.8000,0.875481
4006.8500,0.939919
4006.9000,1.12896
4006.9500,0.998958
4007.0000,1.01675
4007.0500,0.984025
4007.1000,1.06145
4007.1500,0.790413
4007.2000,0.592603
4007.2500,0.469915
4007.3000,0.620647
4007.3500,0.687608
4007.4000,0.777821
4007.4500,0.647892
4007.5000,0.678537
4007.5500,0.859996
4007.6000,0.881856
4007.6500,0.934211
4007.7000,1.10221
4007.7500,1.1475
4007.8000,1.03564
