Longitud_de_onda_A,espectro
4000.0000,0.973548
4000.0500,0.960528
4000.1000,0.970105
4000.1500,0.966254
4000.2000,0.984449
4000.2500,0.961665
4000.3000,0.966224
4000.3500,0.96348
4000.4000,0.976212
4000.4500,0.964876
4000.5000,0.972158
4000.5500,0.977593
4000.6000,0.975679
4000.6500,0.98038
4000.7000,0.979896
4000.7500,1.00365
4000.8000,0.983259
4000.8500,0.970109
4000.9000,0.964066
4000.9500,0.989122
4001.0000,0.974557
4001.0500,0.975616
4001.1000,0.981404
4001.1500,0.974461
4001.2000,0.979487
4001.2500,0.982502
4001.3000,0.992894
4001.3500,0.985662
4001.4000,0.981409
4001.4500,0.994679
4001.5000,1.00701
4001.5500,0.97292
4001.6000,0.970059
4001.6500,0.980521
4001.7000,0.984523
4001.7500,0.960233
4001.8000,0.980997
4001.8500,0.999815
4001.9000,0.980394
4001.9500,0.986272
4002.0000,0.956128
4002.0500,0.966565
4002.1000,0.984046
4002.1500,0.960431
4002.2000,0.978316
4002.2500,0.961281
4002.3000,0.933485
4002.3500,0.946229
4002.4000,0.961341
4002.4500,0.946326
4002.5000,0.945905
4002.5500,0.948044
4002.6000,0.98201
4002.6500,0.974302
4002.7000,0.963111
4002.7500,0.976159
4002.8000,0.966829
4002.8500,0.962277
4002.9000,0.992972
4002.9500,0.986217
4003.0000,0.97412
4003.0500,0.968177
4003.1000,0.952597
4003.1500,0.954132
4003.2000,0.9648
4003.2500,0.955368
4003.3000,0.96193
4003.3500,0.950588
4003.4000,0.951579
4003.4500,0.955541
4003.5000,0.976621
4003.5500,0.970171
4003.6000,0.977679
4003.6500,0.98092
4003.7000,0.972128
4003.7500,0.993279
4003.8000,0.947597
4003.8500,0.985543
4003.9000,0.986461
4003.9500,0.986522
4004.0000,0.999631
4004.0500,0.977065
4004.1000,0.98915
4004.1500,1.00862
4004.2000,1.01444
4004.2500,0.990403
4004.3000,0.998088
4004.3500,0.982571
4004.4000,0.997599
4004.4500,0.994331
4004.5000,0.99197
4004.5500,0.985758
4004.6000,0.983646
4004.6500,1.00247
4004.7000,1.00209
4004.7500,0.978956
4004.8000,1.00511
4004.8500,1.00308
4004.9000,0.989009
4004.9500,0.978448
4005.0000,0.981137
4005.0500,0.990213
4005.1000,0.977407
4005.1500,0.988671
4005.2000,0.986775
4005.2500,0.977569
4005.3000,0.978997
4005.3500,0.989431
4005.4000,1.00089
4005.4500,1.01145
4005.5000,0.97844
4005.5500,0.998281
4005.6000,1.00828
4005.6500,1.00293
4005.7000,1.00494
4005.7500,0.974394
4005.8000,0.990378
4005.8500,1.00424
4005.9000,0.998056
4005.9500,0.998523
4006.0000,0.984591
4006.0500,0.991985
4006.1000,0.994685
4006.1500,1.00615
4006.2000,0.990397
4006.2500,0.958836
4006.3000,1.00083
4006.3500,1.01481
4006.4000,0.990615
4006.4500,0.971556
4006.5000,1.00791
4006.5500,0.96836
4006.6000,1.02337
4006.6500,0.987453
4006.7000,0.981537
4006.7500,0.987404
4006.8000,1.02908
4006.8500,1.00132
4006.9000,0.969885
4006.9500,0.996758
4007.0000,0.987211
4007.0500,1.00982
4007.1000,0.993697
4007.1500,0.995282
4007.2000,1.02089
4007.2500,0.994351
4007.3000,0.979466
4007.3500,1.00297
4007.4000,0.999733
4007.4500,0.988585
4007.5000,0.98264
4007.5500,0.992931
4007.6000,0.977948
4007.6500,1.00052
4007.7000,1.00026
4007.7500,1.00043
4007.8000,0.996791
4007.8500,0.99416
4007.9000,0.981101
4007.9500,0.993801
4008.0000,1.00839
4008.0500,0.999038
4008.1000,0.991619
4008.1500,0.965763
4008.2000,0.994612
4008.2500,0.973364
4008.3000,0.996447
4008.3500,0.986397
4008.4000,1.00317
4008.4500,0.969317
4008.5000,0.985796
4008.5500,0.97688
4008.6000,0.989235
4008.6500,0.962423
4008.7000,0.984676
4008.7500,0.972998
4008.8000,0.97043
4008.8500,0.972326
4008.9000,0.975804
4008.9500,0.981434
4009.0000,0.978257
4009.0500,0.964925
4009.1000,0.995352
4009.1500,0.983523
4009.2000,0.973969
