Longitud_de_onda_A,espectro
4000.0000,1.00775
4000.0500,1.00345
4000.1000,1.02879
4000.1500,1.00506
4000.2000,0.938827
4000.2500,0.877474
4000.3000,0.903482
4000.3500,0.934404
4000.4000,0.828193
4000.4500,0.762053
4000.5000,0.808275
4000.5500,0.942982
4000.6000,0.985544
4000.6500,1.00034
4000.7000,1.02891
4000.7500,0.984577
4000.8000,1.01159
4000.8500,1.04326
4000.9000,1.02562
4000.9500,0.999586
4001.0000,1.00644
4001.0500,1.00397
4001.1000,0.981097
4001.1500,0.933239
4001.2000,0.89203
4001.2500,0.971186
4001.3000,1.00487
4001.3500,1.00223
4001.4000,0.953394
4001.4500,0.947614
4001.5000,0.964217
4001.5500,0.947033
4001.6000,0.836327
4001.6500,0.720003
4001.7000,0.720388
4001.7500,0.861374
4001.8000,0.988369
4001.8500,1.03369
4001.9000,1.07013
4001.9500,1.03273
4002.0000,0.982699
4002.0500,0.887408
4002.1000,0.920599
4002.1500,0.972063
4002.2000,0.981859
4002.2500,1.02903
4002.3000,1.06871
4002.3500,1.0411
4002.4000,1.02176
4002.4500,0.987797
4002.5000,1.01481
4002.5500,0.976449
4002.6000,0.97058
4002.6500,0.968884
4002.7000,1.03659
4002.7500,1.0315
4002.8000,1.04041
4002.8500,0.94446
4002.9000,0.847621
4002.9500,0.832436
4003.0000,0.958661
4003.0500,0.995895
4003.1000,1.05433
4003.1500,1.08285
4003.2000,1.07434
4003.2500,1.04673
4003.3000,0.989534
4003.3500,1.04363
4003.4000,1.04058
4003.4500,1.00969
4003.5000,1.05078
4003.5500,1.01787
4003.6000,1.00466
4003.6500,0.992783
4003.7000,0.915479
4003.7500,0.846206
4003.8000,0.836103
4003.8500,0.953302
4003.9000,1.05379
4003.9500,1.00087
4004.0000,1.01812
4004.0500,1.00985
4004.1000,1.02709
4004.1500,1.00129
4004.2000,1.00429
4004.2500,1.02881
4004.3000,1.04244
4004.3500,1.04106
4004.4000,1.0327
