Longitud_de_onda_A,espectro
4000.0000,0.982045
4000.0500,0.983778
4000.1000,0.980074
4000.1500,0.969066
4000.2000,0.978818
4000.2500,0.96162
4000.3000,0.981203
4000.3500,0.971695
4000.4000,0.980306
4000.4500,0.979947
4000.5000,0.985925
4000.5500,0.981881
4000.6000,0.971609
4000.6500,0.975772
4000.7000,0.973014
4000.7500,0.975322
4000.8000,0.978013
4000.8500,0.971053
4000.9000,0.971279
4000.9500,0.967125
4001.0000,0.973058
4001.0500,0.95978
4001.1000,0.967045
4001.1500,0.973103
4001.2000,0.965879
4001.2500,0.969351
4001.3000,0.985456
4001.3500,0.9623
4001.4000,0.982978
4001.4500,0.979209
4001.5000,0.967968
4001.5500,0.977068
4001.6000,0.962763
4001.6500,0.959144
4001.7000,0.968374
4001.7500,0.995568
4001.8000,0.980031
4001.8500,0.962065
4001.9000,0.97839
4001.9500,0.981695
4002.0000,0.968836
4002.0500,0.973236
4002.1000,0.97673
4002.1500,0.960982
4002.2000,0.971974
4002.2500,0.986525
4002.3000,0.962282
4002.3500,0.950143
4002.4000,0.965002
4002.4500,0.965079
4002.5000,0.971863
4002.5500,0.95864
4002.6000,0.97652
4002.6500,0.959097
4002.7000,0.989757
4002.7500,0.993851
4002.8000,0.982249
4002.8500,0.974206
4002.9000,0.985374
4002.9500,0.962183
4003.0000,0.977484
4003.0500,0.953025
4003.1000,0.966189
4003.1500,0.958225
4003.2000,0.970159
4003.2500,0.970863
4003.3000,0.99474
4003.3500,0.970319
4003.4000,0.96637
4003.4500,0.979626
4003.5000,0.977839
4003.5500,0.997547
4003.6000,0.974675
4003.6500,0.967041
4003.7000,0.981699
4003.7500,0.957832
4003.8000,0.956565
4003.8500,0.981811
4003.9000,0.991261
4003.9500,0.977059
4004.0000,0.964292
4004.0500,0.972511
4004.1000,0.960238
4004.1500,0.978849
4004.2000,0.968985
4004.2500,0.967423
4004.3000,0.970445
4004.3500,0.969251
4004.4000,0.967001
4004.4500,0.981132
4004.5000,0.953553
4004.5500,0.963082
4004.6000,0.972228
4004.6500,0.973342
4004.7000,0.98474
4004.7500,0.975257
4004.8000,0.977661
4004.8500,0.98657
4004.9000,0.989538
4004.9500,0.961503
4005.0000,0.967091
4005.0500,0.976518
4005.1000,0.987998
4005.1500,0.981347
4005.2000,0.974599
4005.2500,0.983073
4005.3000,0.986657
4005.3500,0.967881
4005.4000,1.00011
4005.4500,0.972914
4005.5000,0.968805
4005.5500,0.985722
4005.6000,0.988989
4005.6500,0.975689
4005.7000,0.99912
4005.7500,0.989769
4005.8000,0.975632
4005.8500,0.974967
4005.9000,0.980776
4005.9500,0.970964
4006.0000,0.97627
4006.0500,0.968594
4006.1000,0.986419
4006.1500,0.978948
4006.2000,0.983867
4006.2500,0.978178
4006.3000,0.973769
4006.3500,0.977779
4006.4000,0.997517
4006.4500,0.989086
4006.5000,0.991028
4006.5500,0.974599
4006.6000,0.980482
4006.6500,0.99921
4006.7000,1.00938
4006.7500,0.989458
4006.8000,0.971037
4006.8500,0.982081
4006.9000,0.995973
4006.9500,0.981578
4007.0000,0.995932
4007.0500,0.983553
4007.1000,0.97601
4007.1500,0.985053
4007.2000,0.993749
4007.2500,0.99014
4007.3000,0.985453
4007.3500,1.00282
4007.4000,0.981152
4007.4500,0.967165
4007.5000,0.987969
4007.5500,0.993737
4007.6000,0.998552
4007.6500,0.98819
4007.7000,0.989701
4007.7500,0.99455
4007.8000,0.967371
4007.8500,0.97982
4007.9000,0.992238
4007.9500,0.982377
4008.0000,0.977681
4008.0500,0.981086
4008.1000,0.996269
4008.1500,0.979848
4008.2000,0.981288
4008.2500,0.965642
4008.3000,0.982534
4008.3500,0.996955
4008.4000,0.991796
4008.4500,1.00083
4008.5000,0.994538
4008.5500,0.979698
4008.6000,0.981285
4008.6500,0.993794
4008.7000,0.989294
4008.7500,0.989349
4008.8000,0.98259
4008.8500,0.985863
4008.9000,0.981013
4008.9500,0.976033
4009.0000,0.988452
4009.0500,0.999093
4009.1000,0.984803
4009.1500,0.983616
4009.2000,0.986383
4009.2500,0.994583
4009.3000,0.967206
4009.3500,0.986012
4009.4000,0.989226
4009.4500,0.983371
4009.5000,0.981625
4009.5500,0.98358
4009.6000,0.98286
4009.6500,0.986517
4009.7000,1.01082
4009.7500,0.981358
4009.8000,0.998886
4009.8500,0.980629
4009.9000,0.985727
4009.9500,0.993075
4010.0000,0.976744
4010.0500,0.986175
4010.1000,0.980769
4010.1500,0.992208
4010.2000,0.985077
4010.2500,0.981881
4010.3000,0.990794
4010.3500,0.969634
4010.4000,0.983323
