Longitud_de_onda_A,espectro
4000.0000,0.968125
4000.0500,0.831881
4000.1000,1.10023
4000.1500,1.10042
4000.2000,0.974711
4000.2500,0.784335
4000.3000,0.812682
4000.3500,1.03432
4000.4000,1.11993
4000.4500,0.656068
4000.5000,0.899549
4000.5500,0.885606
4000.6000,1.26643
4000.6500,1.36721
4000.7000,1.02221
4000.7500,0.945159
4000.8000,1.01806
4000.8500,1.07418
4000.9000,1.08702
4000.9500,0.968937
4001.0000,0.874433
4001.0500,0.936654
4001.1000,1.11586
4001.1500,0.804493
4001.2000,0.868736
4001.2500,0.815645
4001.3000,1.0457
4001.3500,0.918084
4001.4000,0.975386
4001.4500,0.810268
4001.5000,0.933147
4001.5500,1.04404
4001.6000,0.78336
4001.6500,0.592362
4001.7000,0.798278
4001.7500,0.966973
4001.8000,1.05835
4001.8500,1.30444
4001.9000,1.29707
4001.9500,1.2022
4002.0000,1.1776
4002.0500,1.21455
4002.1000,1.14745
4002.1500,0.908783
4002.2000,1.30951
4002.2500,1.15397
4002.3000,1.21316
4002.3500,0.998515
4002.4000,0.87364
4002.4500,0.641281
4002.5000,0.721706
4002.5500,0.84457
4002.6000,0.941673
4002.6500,1.04118
4002.7000,0.900188
4002.7500,0.884813
4002.8000,1.03191
4002.8500,1.18956
4002.9000,1.10685
4002.9500,1.02585
4003.0000,1.21968
4003.0500,1.14066
4003.1000,0.87903
4003.1500,1.27033
4003.2000,1.09709
4003.2500,1.19181
4003.3000,0.948627
4003.3500,1.08831
4003.4000,0.917599
4003.4500,0.99187
4003.5000,0.922613
4003.5500,1.15024
4003.6000,0.924776
4003.6500,1.11537
4003.7000,0.915701
4003.7500,0.580416
4003.8000,0.831365
4003.8500,0.738228
4003.9000,0.946914
4003.9500,1.06155
4004.0000,0.859085
4004.0500,0.894065
4004.1000,1.26896
4004.1500,1.03066
4004.2000,1.06489
4004.2500,0.936316
4004.3000,1.39606
4004.3500,1.31781
4004.4000,1.57047
4004.4500,1.39844
4004.5000,1.03435
4004.5500,0.748888
4004.6000,0.896995
4004.6500,0.848508
4004.7000,0.933797
4004.7500,0.655387
4004.8000,0.569241
4004.8500,0.518061
4004.9000,0.739155
4004.9500,0.565266
4005.0000,0.501592
4005.0500,0.459198
4005.1000,0.683666
4005.1500,0.418776
4005.2000,0.375523
4005.2500,0.250836
4005.3000,0.400207
4005.3500,0.388603
4005.4000,0.435696
4005.4500,0.559132
4005.5000,0.489365
4005.5500,0.559953
4005.6000,0.580334
4005.6500,0.658728
4005.7000,0.855648
4005.7500,0.686382
4005.8000,0.948132
4005.8500,0.821716
4005.9000,0.736518
4005.9500,0.694156
4006.0000,0.860844
4006.0500,0.994986
4006.1000,0.920602
4006.1500,0.965769
4006.2000,0.799796
4006.2500,0.866197
4006.3000,0.533084
4006.3500,0.776032
4006.4000,0.799589
4006.4500,0.89593
4006.5000,0.989109
4006.5500,1.02098
4006.6000,0.989822
4006.6500,0.759253
4006.7000,0.627798
4006.7500,0.715677
4006.8000,0.936255
4006.8500,0.975759
4006.9000,1.02117
4006.9500,1.06044
4007.0000,0.829428
4007.0500,0.853855
4007.1000,1.13271
4007.1500,1.04305
4007.2000,0.793467
4007.2500,0.683915
4007.3000,0.6471
4007.3500,0.787748
4007.4000,0.897004
4007.4500,0.970532
4007.5000,0.942405
4007.5500,1.10636
4007.6000,1.26595
4007.6500,1.09371
4007.7000,0.889597
4007.7500,1.05558
4007.8000,1.05747
4007.8500,0.997535
4007.9000,1.12352
4007.9500,0.837439
4008.0000,0.538804
4008.0500,0.378129
4008.1000,0.50436
4008.1500,1.05423
4008.2000,1.25439
4008.2500,1.17253
4008.3000,1.183
4008.3500,1.16382
4008.4000,1.08902
4008.4500,1.20352
4008.5000,1.05003
4008.5500,1.00724
4008.6000,1.07602
4008.6500,0.918127
4008.7000,0.897761
4008.7500,1.01238
4008.8000,0.871815
4008.8500,0.756482
4008.9000,0.364315
4008.9500,0.459169
4009.0000,0.57775
4009.0500,0.81256
4009.1000,0.73465
4009.1500,0.920187
4009.2000,1.04194
4009.2500,1.13494
4009.3000,1.20697
4009.3500,1.2798
4009.4000,1.07288
4009.4500,1.13558
4009.5000,0.979901
4009.5500,0.976271
4009.6000,0.499464
4009.6500,0.475466
4009.7000,0.436417
4009.7500,0.565023
4009.8000,0.722067
4009.8500,0.900743
4009.9000,0.890186
4009.9500,0.913629
4010.0000,1.22342
4010.0500,1.01281
4010.1000,0.916762
4010.1500,0.697209
4010.2000,0.913983
4010.2500,1.27178
4010.3000,1.11316
4010.3500,1.11864
4010.4000,0.874235
4010.4500,1.06286
4010.5000,1.17711
4010.5500,1.03584
4010.6000,0.875427
4010.6500,0.986308
4010.7000,1.0261
4010.7500,0.85049
4010.8000,0.989858
4010.8500,1.08915
4010.9000,1.08137
4010.9500,0.972118
4011.0000,1.26766
4011.0500,1.21644
4011.1000,1.1202
4011.1500,0.79596
4011.2000,1.18281
4011.2500,1.25695
4011.3000,1.1437
4011.3500,0.862701
4011.4000,0.822287
4011.4500,0.852783
4011.5000,1.21338
4011.5500,1.00797
4011.6000,1.25721
4011.6500,0.987575
4011.7000,0.761355
4011.7500,0.718885
4011.8000,1.03685
4011.8500,1.21605
4011.9000,1.39731
4011.9500,0.921045
4012.0000,1.1329
4012.0500,1.05427
4012.1000,0.885223
4012.1500,0.876602
4012.2000,0.80475
4012.2500,0.882397
4012.3000,0.952867
4012.3500,0.753874
4012.4000,0.721116
4012.4500,0.871178
4012.5000,1.15868
4012.5500,0.995886
4012.6000,1.30704
