Longitud_de_onda_A,espectro
4000.0000,0.507777
4000.0500,0.515558
4000.1000,1.16777
4000.1500,0.969053
4000.2000,0.633202
4000.2500,0.855806
4000.3000,1.13196
4000.3500,1.16292
4000.4000,0.754875
4000.4500,0.874113
4000.5000,1.01917
4000.5500,1.09418
4000.6000,1.28711
4000.6500,1.10785
4000.7000,1.5655
4000.7500,1.40036
4000.8000,1.19775
4000.8500,1.41078
4000.9000,0.996354
4000.9500,1.14363
4001.0000,0.959026
4001.0500,1.1648
4001.1000,1.3938
4001.1500,0.558974
4001.2000,0.838896
4001.2500,1.34061
4001.3000,0.875557
4001.3500,0.742628
4001.4000,1.16716
4001.4500,1.00394
4001.5000,0.891014
4001.5500,1.02165
4001.6000,0.45855
4001.6500,0.50438
4001.7000,0.875479
4001.7500,0.866702
4001.8000,1.45382
4001.8500,1.21694
4001.9000,1.62097
4001.9500,0.802404
4002.0000,1.29246
4002.0500,1.5177
4002.1000,1.65916
4002.1500,1.04195
4002.2000,1.48137
4002.2500,1.32273
4002.3000,0.86778
4002.3500,1.21686
4002.4000,0.688871
4002.4500,0.820009
4002.5000,0.180421
4002.5500,1.00493
4002.6000,0.680733
4002.6500,1.25316
4002.7000,1.24276
4002.7500,1.2201
4002.8000,1.57178
4002.8500,1.03984
4002.9000,1.12615
4002.9500,1.35352
4003.0000,1.07549
4003.0500,0.871844
4003.1000,1.1361
4003.1500,1.29475
4003.2000,1.2697
4003.2500,1.18583
4003.3000,1.11434
4003.3500,1.37103
4003.4000,1.45571
4003.4500,1.14965
4003.5000,1.20329
4003.5500,1.10107
4003.6000,0.999199
4003.6500,1.26865
4003.7000,0.951008
4003.7500,0.633225
4003.8000,0.577581
4003.8500,1.00828
4003.9000,0.936525
4003.9500,0.989971
4004.0000,1.18937
4004.0500,1.08688
4004.1000,1.145
4004.1500,1.02284
4004.2000,1.88758
4004.2500,1.12393
4004.3000,0.420537
4004.3500,-0.00142873
4004.4000,1.12012
4004.4500,1.01928
4004.5000,0.950069
4004.5500,1.17171
4004.6000,0.980953
4004.6500,1.244
4004.7000,1.05935
4004.7500,1.20045
4004.8000,0.984604
4004.8500,0.856228
4004.9000,0.755708
4004.9500,0.69909
4005.0000,0.521038
4005.0500,0.220706
4005.1000,0.449812
4005.1500,0.410285
4005.2000,0.387346
4005.2500,0.286756
4005.3000,0.33707
4005.3500,0.851998
4005.4000,0.801294
4005.4500,0.810612
4005.5000,0.519652
4005.5500,0.873029
4005.6000,0.880077
4005.6500,0.919242
4005.7000,0.999798
4005.7500,1.06778
4005.8000,0.552644
4005.8500,0.972565
4005.9000,0.54411
4005.9500,0.838894
4006.0000,0.855111
4006.0500,1.05574
4006.1000,1.00919
4006.1500,1.14744
4006.2000,1.2696
4006.2500,1.06311
4006.3000,0.395415
4006.3500,0.626592
4006.4000,1.20154
4006.4500,1.83338
4006.5000,1.33928
4006.5500,0.461014
4006.6000,0.726614
4006.6500,0.97468
4006.7000,1.26542
4006.7500,1.41302
4006.8000,1.62774
4006.8500,1.08659
4006.9000,1.32996
4006.9500,1.2164
4007.0000,1.32321
4007.0500,1.10235
4007.1000,1.1488
4007.1500,1.229
4007.2000,1.36202
4007.2500,1.13711
4007.3000,0.375661
4007.3500,0.938798
4007.4000,0.828901
4007.4500,0.897263
4007.5000,0.858026
4007.5500,0.712543
4007.6000,0.384063
4007.6500,0.894488
4007.7000,1.36994
4007.7500,0.74113
4007.8000,0.891833
4007.8500,1.04733
4007.9000,1.29908
4007.9500,0.800282
4008.0000,1.17849
4008.0500,0.729023
4008.1000,0.56713
4008.1500,1.12016
4008.2000,1.46367
4008.2500,1.36581
4008.3000,0.643469
4008.3500,1.04028
4008.4000,1.29918
4008.4500,0.991061
4008.5000,1.97088
4008.5500,0.760183
4008.6000,1.20037
4008.6500,0.977446
4008.7000,0.548635
4008.7500,0.718578
4008.8000,1.15276
4008.8500,0.667854
4008.9000,0.153846
4008.9500,0.0172856
4009.0000,0.272998
4009.0500,0.45263
4009.1000,0.852435
4009.1500,1.04325
4009.2000,0.736735
4009.2500,1.36349
4009.3000,1.30393
4009.3500,1.43578
4009.4000,0.8579
4009.4500,0.951594
4009.5000,1.20374
4009.5500,1.46102
4009.6000,0.750693
4009.6500,0.352734
4009.7000,0.233904
4009.7500,0.854726
4009.8000,0.723139
4009.8500,0.894206
4009.9000,1.50646
4009.9500,1.1701
4010.0000,1.24733
4010.0500,0.817418
4010.1000,1.72656
4010.1500,1.3277
4010.2000,0.893536
4010.2500,1.32893
4010.3000,1.24275
4010.3500,1.39028
4010.4000,1.73217
4010.4500,1.43805
4010.5000,0.906985
4010.5500,1.01645
4010.6000,1.35626
4010.6500,0.62312
4010.7000,0.927691
4010.7500,1.55697
4010.8000,1.38833
4010.8500,0.761087
4010.9000,1.15302
4010.9500,0.919554
4011.0000,0.828187
4011.0500,1.07685
4011.1000,1.30771
4011.1500,0.23843
4011.2000,1.51106
4011.2500,1.47175
4011.3000,1.14622
4011.3500,3.52942
4011.4000,1.39487
4011.4500,0.813337
4011.5000,1.04131
4011.5500,1.33314
4011.6000,1.41278
4011.6500,0.92855
4011.7000,1.1444
4011.7500,1.0058
4011.8000,1.21596
4011.8500,0.862919
4011.9000,1.32013
4011.9500,1.69803
4012.0000,1.23676
4012.0500,0.998092
4012.1000,1.0198
4012.1500,0.814617
