Longitud_de_onda_A,espectro
4000.0000,0.98711
4000.0500,0.975048
4000.1000,0.944458
4000.1500,0.95495
4000.2000,0.98589
4000.2500,0.96346
4000.3000,0.97451
4000.3500,0.962513
4000.4000,0.97499
4000.4500,0.967904
4000.5000,0.977017
4000.5500,0.986235
4000.6000,0.97
4000.6500,0.948716
4000.7000,0.987091
4000.7500,0.974361
4000.8000,0.975786
4000.8500,1.00757
4000.9000,0.980444
4000.9500,0.964071
4001.0000,0.951098
4001.0500,0.950407
4001.1000,0.959878
4001.1500,0.976264
4001.2000,0.985855
4001.2500,0.949444
4001.3000,0.960919
4001.3500,0.970535
4001.4000,0.960195
4001.4500,0.958663
4001.5000,0.96414
4001.5500,0.958131
4001.6000,0.954704
4001.6500,1.01688
4001.7000,0.953941
4001.7500,0.959057
4001.8000,0.991518
4001.8500,0.929273
4001.9000,0.99582
4001.9500,0.970651
4002.0000,0.974659
4002.0500,0.962788
4002.1000,0.979681
4002.1500,0.977708
4002.2000,0.960512
4002.2500,0.961754
4002.3000,0.960298
4002.3500,1.00608
4002.4000,0.956202
4002.4500,0.966588
4002.5000,0.967251
4002.5500,0.985997
4002.6000,0.945181
4002.6500,0.952863
4002.7000,0.957423
4002.7500,0.995811
4002.8000,0.979606
4002.8500,0.980131
4002.9000,0.987241
4002.9500,0.941959
4003.0000,0.983346
4003.0500,0.977019
4003.1000,0.958121
4003.1500,0.958726
4003.2000,0.979624
4003.2500,0.944208
4003.3000,0.978814
4003.3500,0.989241
4003.4000,0.952087
4003.4500,0.949366
4003.5000,0.961412
4003.5500,0.9787
4003.6000,0.968904
4003.6500,0.978964
4003.7000,0.924628
4003.7500,0.975257
4003.8000,0.976821
4003.8500,0.984716
4003.9000,0.945012
4003.9500,0.947777
4004.0000,0.954134
4004.0500,0.99404
4004.1000,0.967199
4004.1500,0.940143
4004.2000,0.997113
4004.2500,0.97338
4004.3000,0.943394
4004.3500,0.985941
4004.4000,0.960432
4004.4500,0.949815
4004.5000,0.951882
4004.5500,0.987718
4004.6000,1.00626
4004.6500,0.977231
4004.7000,0.986955
4004.7500,0.972823
4004.8000,0.972018
4004.8500,0.965162
4004.9000,0.96531
4004.9500,0.977654
4005.0000,0.982727
4005.0500,0.969317
4005.1000,0.999447
4005.1500,0.988179
4005.2000,0.965277
4005.2500,0.99919
4005.3000,0.963295
4005.3500,1.00891
4005.4000,0.997396
4005.4500,1.00222
4005.5000,0.985581
4005.5500,0.98279
4005.6000,1.00348
4005.6500,0.990645
4005.7000,1.00059
4005.7500,0.986945
4005.8000,0.981785
4005.8500,1.0007
4005.9000,0.984781
4005.9500,0.956976
4006.0000,0.958257
4006.0500,0.951043
4006.1000,1.00577
4006.1500,1.00734
4006.2000,0.98892
4006.2500,1.00584
4006.3000,1.01286
4006.3500,0.988995
4006.4000,1.01473
4006.4500,1.03483
4006.5000,1.02708
4006.5500,0.986507
4006.6000,0.969888
4006.6500,0.974038
4006.7000,0.991738
4006.7500,0.962057
4006.8000,0.974475
4006.8500,0.964212
4006.9000,1.00412
4006.9500,0.981245
4007.0000,0.992273
4007.0500,1.00458
4007.1000,0.993779
4007.1500,1.00083
4007.2000,0.956713
