Longitud_de_onda_A,espectro
4000.0000,0.795344
4000.0500,0.8402
4000.1000,0.928429
4000.1500,0.840044
4000.2000,0.789644
4000.2500,0.753079
4000.3000,0.759142
4000.3500,0.69963
4000.4000,0.529596
4000.4500,0.429741
4000.5000,0.253508
4000.5500,0.586778
4000.6000,0.945899
4000.6500,1.08766
4000.7000,1.20627
4000.7500,1.15535
4000.8000,1.19706
4000.8500,1.20349
4000.9000,1.18093
4000.9500,1.01081
4001.0000,0.984079
4001.0500,0.734864
4001.1000,0.716215
4001.1500,0.730474
4001.2000,0.706525
4001.2500,0.895542
4001.3000,0.912398
4001.3500,1.03896
4001.4000,0.878296
4001.4500,0.809136
4001.5000,0.859062
4001.5500,0.834123
4001.6000,0.548042
4001.6500,0.426889
4001.7000,0.527809
4001.7500,0.743808
4001.8000,1.08129
4001.8500,1.22677
4001.9000,1.2282
4001.9500,1.2253
4002.0000,1.09843
4002.0500,1.11488
4002.1000,1.18766
4002.1500,1.12431
4002.2000,1.20804
4002.2500,1.25816
4002.3000,1.2223
4002.3500,1.23388
4002.4000,0.814714
4002.4500,0.724382
4002.5000,0.531394
4002.5500,0.72334
4002.6000,0.697652
4002.6500,0.775146
4002.7000,0.836294
4002.7500,1.02087
4002.8000,0.970164
4002.8500,0.894847
4002.9000,0.627358
4002.9500,0.763307
4003.0000,0.938164
4003.0500,0.967247
4003.1000,0.90585
4003.1500,1.01378
4003.2000,1.00907
4003.2500,1.13803
4003.3000,1.13503
4003.3500,1.13533
4003.4000,1.18358
4003.4500,1.06101
4003.5000,1.01178
4003.5500,0.908618
4003.6000,0.979519
4003.6500,0.999192
4003.7000,0.899975
4003.7500,0.589494
4003.8000,0.572421
4003.8500,0.743456
4003.9000,0.908043
4003.9500,0.935107
4004.0000,0.678678
4004.0500,0.80355
4004.1000,0.9115
4004.1500,1.08025
4004.2000,1.02875
4004.2500,1.04361
4004.3000,1.12585
4004.3500,1.12453
4004.4000,1.03552
4004.4500,1.09744
4004.5000,1.0344
4004.5500,1.02093
4004.6000,0.880981
4004.6500,0.806073
4004.7000,0.76696
4004.7500,0.557539
4004.8000,0.508724
4004.8500,0.418166
4004.9000,0.456354
4004.9500,0.343942
4005.0000,0.377423
4005.0500,0.41689
4005.1000,0.325537
4005.1500,0.182888
4005.2000,0.217606
4005.2500,0.242203
4005.3000,0.265223
4005.3500,0.295687
4005.4000,0.343624
4005.4500,0.417597
4005.5000,0.43204
4005.5500,0.534532
4005.6000,0.465315
4005.6500,0.388913
4005.7000,0.581917
4005.7500,0.697314
4005.8000,0.873091
4005.8500,0.796202
4005.9000,0.825743
4005.9500,0.670386
4006.0000,0.722367
4006.0500,0.891324
4006.1000,0.781227
4006.1500,0.698451
4006.2000,0.697015
4006.2500,0.710381
4006.3000,0.712163
4006.3500,0.658186
4006.4000,0.866416
4006.4500,0.887497
4006.5000,0.821518
4006.5500,0.790372
4006.6000,0.620771
4006.6500,0.53679
4006.7000,0.701322
4006.7500,0.68483
4006.8000,0.84477
4006.8500,1.03638
4006.9000,1.19063
4006.9500,1.07301
4007.0000,1.07921
4007.0500,1.06323
4007.1000,0.999689
4007.1500,0.932234
4007.2000,0.629485
4007.2500,0.441742
4007.3000,0.53685
4007.3500,0.646097
4007.4000,0.680062
4007.4500,0.664237
4007.5000,0.798305
4007.5500,0.913146
4007.6000,0.931782
4007.6500,1.01534
4007.7000,1.13124
4007.7500,0.977974
4007.8000,1.13549
4007.8500,1.01805
4007.9000,0.867063
4007.9500,0.627363
4008.0000,0.517882
4008.0500,0.528261
4008.1000,0.605419
4008.1500,0.785527
4008.2000,0.802854
4008.2500,1.06952
4008.3000,1.17909
4008.3500,1.09107
4008.4000,1.0495
4008.4500,1.19616
4008.5000,1.11557
4008.5500,1.12367
4008.6000,0.892081
4008.6500,0.675038
4008.7000,0.614555
4008.7500,0.564348
4008.8000,0.54133
4008.8500,0.345286
4008.9000,0.225309
4008.9500,0.266342
4009.0000,0.40281
4009.0500,0.59829
4009.1000,0.633566
4009.1500,0.656377
4009.2000,0.914655
4009.2500,1.09513
4009.3000,1.20012
4009.3500,1.28709
4009.4000,1.36532
4009.4500,1.21089
4009.5000,0.914699
4009.5500,0.541348
4009.6000,0.361764
4009.6500,0.232773
4009.7000,0.271375
4009.7500,0.454308
4009.8000,0.637641
4009.8500,0.882995
4009.9000,1.03024
4009.9500,1.09307
4010.0000,1.28648
4010.0500,1.2158
4010.1000,1.02164
4010.1500,0.907214
4010.2000,0.957718
4010.2500,1.09087
4010.3000,1.09052
4010.3500,1.12149
4010.4000,0.938204
4010.4500,0.931869
4010.5000,0.904966
4010.5500,0.888434
4010.6000,0.822114
4010.6500,0.948029
4010.7000,0.981638
4010.7500,0.836679
4010.8000,0.880187
4010.8500,0.982523
4010.9000,0.956976
4010.9500,0.939749
4011.0000,0.878122
4011.0500,0.644606
4011.1000,0.587705
4011.1500,0.780979
4011.2000,0.995555
4011.2500,0.888535
4011.3000,0.697244
4011.3500,0.609794
4011.4000,0.661597
4011.4500,0.671018
4011.5000,0.58824
4011.5500,0.707379
4011.6000,0.902881
4011.6500,0.914498
4011.7000,0.696303
4011.7500,0.788102
4011.8000,0.915938
4011.8500,0.977824
4011.9000,1.20869
4011.9500,1.12117
4012.0000,1.05297
4012.0500,1.03285
4012.1000,1.06266
4012.1500,0.853482
4012.2000,0.530366
4012.2500,0.440622
4012.3000,0.420717
4012.3500,0.426261
4012.4000,0.417852
4012.4500,0.524528
4012.5000,0.707649
4012.5500,0.812042
4012.6000,0.82372
4012.6500,0.666814
4012.7000,0.592997
4012.7500,0.558404
4012.8000,0.779262
4012.8500,0.907665
4012.9000,1.22645
4012.9500,1.50665
4013.0000,1.43099
4013.0500,1.27451
4013.1000,1.20397
4013.1500,1.09662
4013.2000,0.941814
4013.2500,0.906707
4013.3000,1.15784
4013.3500,1.33924
4013.4000,1.29838
4013.4500,1.34351
4013.5000,1.03121
4013.5500,0.674353
4013.6000,0.497112
4013.6500,0.512067
4013.7000,0.631573
4013.7500,0.608274
4013.8000,0.461281
4013.8500,0.427513
4013.9000,0.560251
4013.9500,0.569778
4014.0000,0.86921
4014.0500,1.17951
4014.1000,1.27544
4014.1500,1.29695
4014.2000,0.99146
4014.2500,0.824077
4014.3000,0.871017
4014.3500,0.922723
4014.4000,0.783558
4014.4500,0.537114
4014.5000,0.370099
4014.5500,0.467021
4014.6000,0.677911
4014.6500,0.869023
4014.7000,0.992541
4014.7500,1.04014
4014.8000,1.04483
4014.8500,0.949368
4014.9000,0.838271
4014.9500,0.802732
4015.0000,0.9537
4015.0500,1.10307
4015.1000,1.04615
4015.1500,1.00028
