Longitud_de_onda_A,espectro
4000.0000,0.949999
4000.0500,0.948019
4000.1000,0.997596
4000.1500,0.953693
4000.2000,0.942273
4000.2500,0.95299
4000.3000,0.950703
4000.3500,0.960669
4000.4000,0.964822
4000.4500,0.938737
4000.5000,0.968596
4000.5500,0.942827
4000.6000,0.93932
4000.6500,0.971402
4000.7000,0.98626
4000.7500,0.942529
4000.8000,0.928396
4000.8500,0.961073
4000.9000,1.04813
4000.9500,0.971878
4001.0000,1.05889
4001.0500,1.03527
4001.1000,0.942247
4001.1500,0.926791
4001.2000,1.00279
4001.2500,0.936848
4001.3000,0.978435
4001.3500,0.97918
4001.4000,0.97962
4001.4500,0.950826
4001.5000,0.930295
4001.5500,0.976077
4001.6000,0.96923
4001.6500,0.961891
4001.7000,0.922466
4001.7500,0.945054
4001.8000,0.944622
4001.8500,0.943085
4001.9000,0.934592
4001.9500,0.970196
4002.0000,0.952383
4002.0500,0.975393
4002.1000,0.975374
4002.1500,0.932986
4002.2000,0.919227
4002.2500,0.996176
4002.3000,0.9329
4002.3500,0.950382
4002.4000,0.978248
4002.4500,0.942101
4002.5000,0.92748
4002.5500,0.958167
4002.6000,0.984239
4002.6500,0.962442
4002.7000,0.983215
4002.7500,0.943419
4002.8000,0.988206
4002.8500,0.935263
4002.9000,0.936262
4002.9500,1.0188
4003.0000,0.99044
4003.0500,0.956435
4003.1000,0.977101
4003.1500,0.957629
4003.2000,0.969714
4003.2500,0.936749
4003.3000,0.964826
4003.3500,0.964208
4003.4000,0.961083
4003.4500,0.963845
4003.5000,0.953624
4003.5500,0.985029
4003.6000,0.950863
4003.6500,0.953891
4003.7000,0.912549
4003.7500,0.969431
4003.8000,0.947826
4003.8500,0.977261
4003.9000,1.01369
4003.9500,0.950446
4004.0000,0.992832
4004.0500,0.977291
4004.1000,0.954048
4004.1500,1.0006
4004.2000,0.972303
4004.2500,0.980658
4004.3000,0.98141
4004.3500,0.954396
4004.4000,0.948343
4004.4500,0.951688
4004.5000,1.00744
4004.5500,0.962015
4004.6000,0.957389
4004.6500,0.912704
4004.7000,0.97356
4004.7500,0.959873
4004.8000,0.958558
4004.8500,0.936198
4004.9000,0.933481
4004.9500,0.973785
4005.0000,0.959679
4005.0500,0.918126
4005.1000,0.948015
4005.1500,0.95146
4005.2000,0.92519
4005.2500,0.961497
4005.3000,0.948273
4005.3500,0.962943
4005.4000,0.928948
4005.4500,0.958891
4005.5000,0.976335
4005.5500,0.978629
4005.6000,0.968607
4005.6500,0.960731
4005.7000,0.91763
4005.7500,0.922419
4005.8000,0.97209
4005.8500,1.03497
4005.9000,0.989026
4005.9500,0.980244
4006.0000,0.97776
4006.0500,0.953584
4006.1000,0.945787
4006.1500,0.948439
4006.2000,0.960158
4006.2500,0.968183
4006.3000,0.94721
4006.3500,1.0005
4006.4000,0.95803
4006.4500,0.971393
4006.5000,0.962588
4006.5500,0.977291
4006.6000,0.959821
4006.6500,0.965214
4006.7000,1.01363
4006.7500,0.992746
4006.8000,0.943285
4006.8500,0.949841
4006.9000,0.939078
4006.9500,0.949232
4007.0000,0.964579
4007.0500,0.938157
4007.1000,0.969168
4007.1500,0.99469
4007.2000,0.968279
4007.2500,0.981086
4007.3000,0.978298
4007.3500,0.93047
4007.4000,0.980036
4007.4500,0.978651
4007.5000,0.983258
4007.5500,1.01479
4007.6000,0.990014
4007.6500,0.982286
4007.7000,0.927278
4007.7500,0.990161
4007.8000,1.00837
4007.8500,0.969758
4007.9000,0.962185
4007.9500,0.956197
4008.0000,0.966194
4008.0500,0.940012
4008.1000,0.995514
4008.1500,0.93666
4008.2000,1.00471
4008.2500,0.972456
4008.3000,0.99652
4008.3500,1.01478
4008.4000,0.999059
4008.4500,0.96392
4008.5000,1.035
4008.5500,0.986368
4008.6000,0.996833
4008.6500,0.973134
4008.7000,0.976516
4008.7500,0.962566
4008.8000,0.971784
4008.8500,0.96868
4008.9000,0.987216
4008.9500,0.978589
4009.0000,0.97293
4009.0500,0.931473
4009.1000,0.946705
4009.1500,0.956477
4009.2000,0.963721
4009.2500,0.99832
4009.3000,0.988736
4009.3500,1.00538
4009.4000,0.953536
4009.4500,0.953048
4009.5000,0.952648
4009.5500,0.982815
4009.6000,0.979889
4009.6500,0.968386
4009.7000,0.98423
4009.7500,0.987896
4009.8000,0.973936
4009.8500,1.00801
4009.9000,0.99784
4009.9500,0.992522
4010.0000,0.984663
4010.0500,0.966454
4010.1000,0.964078
4010.1500,0.95468
4010.2000,0.982718
4010.2500,0.949727
4010.3000,0.982699
4010.3500,0.963125
4010.4000,1.02047
4010.4500,0.967241
4010.5000,0.946574
4010.5500,0.980822
4010.6000,1.01397
4010.6500,0.98441
4010.7000,0.984044
4010.7500,1.01741
4010.8000,0.979435
4010.8500,0.960544
4010.9000,0.976112
4010.9500,0.991542
4011.0000,0.960948
4011.0500,1.01414
4011.1000,0.990451
4011.1500,0.973636
4011.2000,0.980853
4011.2500,0.974162
4011.3000,0.944652
4011.3500,0.960946
4011.4000,0.964999
4011.4500,0.963994
4011.5000,0.935493
4011.5500,0.961472
4011.6000,0.987685
4011.6500,0.988467
4011.7000,1.0011
4011.7500,1.01565
4011.8000,0.990884
4011.8500,0.983691
4011.9000,0.994591
4011.9500,0.982423
4012.0000,1.03475
4012.0500,1.00688
4012.1000,0.994897
4012.1500,1.01203
4012.2000,0.963732
4012.2500,0.955539
4012.3000,1.01299
4012.3500,1.00954
4012.4000,0.986356
4012.4500,1.00049
4012.5000,0.999534
4012.5500,0.990029
4012.6000,0.999012
4012.6500,1.00038
4012.7000,0.987239
4012.7500,0.995407
4012.8000,0.955352
4012.8500,1.04914
4012.9000,1.05375
4012.9500,1.04774
4013.0000,0.993049
4013.0500,1.02135
4013.1000,1.03687
4013.1500,0.976818
4013.2000,1.07238
4013.2500,0.990019
4013.3000,1.0289
4013.3500,0.980338
4013.4000,0.990728
4013.4500,1.00892
4013.5000,1.0503
4013.5500,1.01858
4013.6000,0.98805
4013.6500,1.00562
4013.7000,1.02111
4013.7500,1.02125
4013.8000,1.02117
4013.8500,1.02372
4013.9000,1.02051
4013.9500,1.00258
4014.0000,0.999352
4014.0500,1.01286
4014.1000,1.03609
4014.1500,1.03777
4014.2000,1.01288
4014.2500,0.977483
4014.3000,0.975997
4014.3500,1.01548
4014.4000,1.04942
4014.4500,1.05439
4014.5000,1.01307
4014.5500,1.04677
4014.6000,1.03694
4014.6500,1.00456
4014.7000,1.03168
4014.7500,1.04266
4014.8000,0.97394
4014.8500,1.03314
4014.9000,1.01384
4014.9500,0.989269
4015.0000,1.02685
4015.0500,1.02228
4015.1000,1.0355
4015.1500,1.02206
4015.2000,1.04732
4015.2500,1.04766
4015.3000,1.09556
4015.3500,1.04705
4015.4000,0.971995
4015.4500,1.00401
4015.5000,0.992301
4015.5500,1.01887
4015.6000,1.01619
4015.6500,1.00841
4015.7000,1.02883
4015.7500,1.03795
4015.8000,1.05879
4015.8500,1.00522
4015.9000,1.00881
4015.9500,1.03156
4016.0000,1.02601
4016.0500,1.00503
4016.1000,1.01498
4016.1500,1.02235
4016.2000,1.00812
4016.2500,0.987913
4016.3000,0.995487
4016.3500,1.00373
4016.4000,0.981835
4016.4500,0.997004
4016.5000,0.993086
4016.5500,0.990334
4016.6000,0.987454
4016.6500,0.975123
4016.7000,1.0129
4016.7500,1.07772
4016.8000,1.0266
4016.8500,1.00643
4016.9000,1.03247
4016.9500,1.01036
4017.0000,0.990559
4017.0500,0.945354
4017.1000,0.993416
4017.1500,1.01237
4017.2000,1.009
4017.2500,1.00549
4017.3000,0.994729
4017.3500,1.00789
4017.4000,1.03275
4017.4500,1.00351
4017.5000,0.993531
4017.5500,1.02711
4017.6000,1.03283
4017.6500,1.02179
4017.7000,1.00685
4017.7500,0.972407
4017.8000,0.954164
4017.8500,0.994031
4017.9000,1.02722
4017.9500,1.03532
4018.0000,0.98228
4018.0500,0.994102
4018.1000,0.982811
4018.1500,0.998927
4018.2000,1.0018
4018.2500,1.02975
4018.3000,0.990152
4018.3500,0.963166
4018.4000,0.985969
4018.4500,0.980856
4018.5000,0.987869
4018.5500,0.977049
4018.6000,0.952562
4018.6500,1.00858
4018.7000,1.01691
4018.7500,0.997846
4018.8000,1.01622
4018.8500,1.00082
4018.9000,0.975952
4018.9500,0.984168
4019.0000,1.02411
4019.0500,1.02816
4019.1000,0.991369
4019.1500,1.03635
4019.2000,1.00157
4019.2500,1.02422
4019.3000,1.02042
4019.3500,1.00081
4019.4000,0.982543
4019.4500,0.990354
4019.5000,0.992694
4019.5500,0.983921
4019.6000,0.982636
4019.6500,1.01415
4019.7000,0.998235
4019.7500,0.983135
4019.8000,0.99747
4019.8500,0.988429
4019.9000,1.02806
4019.9500,0.95156
4020.0000,0.941785
4020.0500,0.96154
4020.1000,0.950588
4020.1500,0.981302
4020.2000,0.95572
4020.2500,0.998105
4020.3000,0.984195
4020.3500,0.953806
4020.4000,0.969877
4020.4500,0.987753
4020.5000,0.978277
4020.5500,0.96917
4020.6000,0.990152
4020.6500,0.993104
4020.7000,0.994647
4020.7500,0.954464
4020.8000,0.976966
4020.8500,0.961664
4020.9000,0.952643
4020.9500,1.01831
4021.0000,0.995013
4021.0500,1.00214
4021.1000,0.957612
4021.1500,0.991026
4021.2000,1.01472
4021.2500,0.965176
4021.3000,0.958268
4021.3500,0.982858
4021.4000,0.960525
4021.4500,0.928365
4021.5000,0.983243
4021.5500,0.94014
4021.6000,0.963945
4021.6500,0.978777
4021.7000,0.988998
4021.7500,0.976802
4021.8000,0.988582
4021.8500,0.984166
4021.9000,0.957214
4021.9500,0.952055
