Longitud_de_onda_A,espectro
4000.0000,0.974686
4000.0500,0.969404
4000.1000,0.960722
4000.1500,0.986216
4000.2000,0.990971
4000.2500,0.998717
4000.3000,0.9706
4000.3500,0.961188
4000.4000,0.998375
4000.4500,0.968806
4000.5000,0.995612
4000.5500,0.987235
4000.6000,0.996127
4000.6500,1.01042
4000.7000,0.978368
4000.7500,1.01127
4000.8000,1.01058
4000.8500,0.997796
4000.9000,1.01583
4000.9500,1.02723
4001.0000,1.00783
4001.0500,0.987632
4001.1000,0.973032
4001.1500,0.997454
4001.2000,0.990965
4001.2500,0.990135
4001.3000,0.974833
4001.3500,0.990319
4001.4000,0.977819
4001.4500,1.00935
4001.5000,0.996134
4001.5500,0.997814
4001.6000,0.977996
4001.6500,0.996408
4001.7000,1.02687
4001.7500,0.999102
4001.8000,0.988762
4001.8500,0.991752
4001.9000,0.990309
4001.9500,0.999918
4002.0000,0.980731
4002.0500,0.985706
4002.1000,0.962829
4002.1500,0.977845
4002.2000,0.994893
4002.2500,0.989627
4002.3000,1.00423
4002.3500,0.98545
4002.4000,0.976998
4002.4500,0.964892
4002.5000,1.00176
4002.5500,0.996556
4002.6000,0.975138
4002.6500,0.977988
4002.7000,0.976936
4002.7500,0.982382
4002.8000,0.956846
4002.8500,0.946547
4002.9000,0.968895
4002.9500,0.966837
4003.0000,0.96245
4003.0500,0.981206
4003.1000,0.984675
4003.1500,0.978406
4003.2000,0.976219
4003.2500,0.963328
4003.3000,0.940761
4003.3500,0.975544
4003.4000,0.958892
4003.4500,0.95756
4003.5000,0.976448
4003.5500,0.960715
4003.6000,0.980001
4003.6500,0.979303
4003.7000,0.964361
4003.7500,0.964943
4003.8000,0.959075
4003.8500,0.963292
4003.9000,0.981267
4003.9500,0.959076
4004.0000,0.950305
4004.0500,0.970463
4004.1000,0.942073
4004.1500,0.949809
4004.2000,0.944878
4004.2500,0.950395
4004.3000,0.95467
4004.3500,0.971458
4004.4000,0.962268
4004.4500,0.981993
4004.5000,0.955397
4004.5500,0.971388
4004.6000,0.979503
4004.6500,0.98805
4004.7000,1.00745
4004.7500,1.00842
4004.8000,0.997357
4004.8500,1.01205
4004.9000,1.00432
4004.9500,0.990255
4005.0000,0.976252
4005.0500,0.981379
4005.1000,0.989624
4005.1500,1.00646
4005.2000,0.989527
4005.2500,0.977004
4005.3000,1.03175
4005.3500,1.01235
4005.4000,0.960541
4005.4500,0.992892
4005.5000,1.02096
4005.5500,1.01083
4005.6000,0.98161
4005.6500,1.00307
4005.7000,1.01742
4005.7500,0.994904
4005.8000,1.02404
4005.8500,1.0113
4005.9000,0.995306
4005.9500,0.980703
4006.0000,0.985193
4006.0500,0.99131
4006.1000,1.00349
4006.1500,1.03316
4006.2000,1.02904
4006.2500,1.01398
4006.3000,1.00395
4006.3500,1.01539
4006.4000,1.02194
4006.4500,1.0261
4006.5000,1.00948
4006.5500,1.00001
4006.6000,1.03984
4006.6500,1.02693
4006.7000,1.00974
4006.7500,1.00203
4006.8000,1.02236
4006.8500,1.0126
4006.9000,1.00817
4006.9500,1.01859
4007.0000,1.01143
4007.0500,0.981574
4007.1000,0.998246
4007.1500,1.02121
4007.2000,1.00643
4007.2500,1.01709
4007.3000,1.02651
4007.3500,1.01457
4007.4000,1.00086
4007.4500,0.999437
4007.5000,1.07774
4007.5500,1.07893
4007.6000,1.03346
4007.6500,1.02065
4007.7000,0.976913
4007.7500,1.00179
4007.8000,0.984489
4007.8500,0.999422
4007.9000,1.00179
4007.9500,0.976945
4008.0000,1.00347
4008.0500,0.982364
4008.1000,0.981755
4008.1500,0.992991
4008.2000,0.994481
4008.2500,0.964129
4008.3000,0.979652
4008.3500,0.978119
4008.4000,0.971869
4008.4500,0.986702
4008.5000,0.977488
4008.5500,0.962873
4008.6000,0.957576
4008.6500,0.992322
4008.7000,0.964787
4008.7500,0.981361
4008.8000,0.957503
4008.8500,0.970382
4008.9000,0.96649
4008.9500,0.967431
4009.0000,0.969681
4009.0500,0.97039
4009.1000,0.975196
4009.1500,0.970704
4009.2000,0.922103
4009.2500,0.944973
4009.3000,0.95416
4009.3500,0.963402
4009.4000,0.970434
4009.4500,0.997567
4009.5000,0.970755
4009.5500,0.941666
4009.6000,0.999428
4009.6500,0.94541
4009.7000,0.957202
4009.7500,0.969898
4009.8000,0.973834
4009.8500,0.974742
4009.9000,0.984533
4009.9500,0.975595
4010.0000,0.930495
4010.0500,0.954843
4010.1000,0.962728
4010.1500,0.972278
4010.2000,0.976162
4010.2500,0.969639
4010.3000,0.981993
4010.3500,0.963348
4010.4000,0.946428
4010.4500,0.976764
4010.5000,1.00127
4010.5500,1.01268
4010.6000,0.995216
4010.6500,0.997948
4010.7000,0.984185
4010.7500,1.00125
4010.8000,0.998035
4010.8500,1.00012
4010.9000,0.996408
4010.9500,0.99352
4011.0000,0.984922
4011.0500,0.978033
4011.1000,1.00537
4011.1500,1.01338
4011.2000,1.0067
4011.2500,1.00483
4011.3000,1.0023
4011.3500,1.04621
4011.4000,1.03937
4011.4500,1.02904
4011.5000,1.02232
4011.5500,1.02829
4011.6000,1.05731
4011.6500,1.0316
4011.7000,1.02823
4011.7500,1.06166
4011.8000,1.01993
4011.8500,1.03758
4011.9000,1.0437
4011.9500,1.0307
4012.0000,1.04896
4012.0500,1.01476
4012.1000,1.03103
4012.1500,1.04552
4012.2000,1.04386
4012.2500,1.03173
4012.3000,1.04915
4012.3500,0.992751
4012.4000,1.02678
4012.4500,1.06054
4012.5000,1.03715
4012.5500,1.03484
4012.6000,1.06491
4012.6500,1.05364
4012.7000,1.0491
4012.7500,1.02025
4012.8000,1.03102
4012.8500,1.02951
4012.9000,1.02534
4012.9500,1.05302
4013.0000,1.0725
4013.0500,1.04929
4013.1000,1.01425
4013.1500,0.993593
4013.2000,1.04723
4013.2500,1.05201
4013.3000,1.04667
4013.3500,1.07076
4013.4000,1.02108
4013.4500,1.00998
4013.5000,1.01738
4013.5500,1.03577
4013.6000,1.05424
4013.6500,1.01101
4013.7000,1.0025
4013.7500,1.03224
4013.8000,1.02859
4013.8500,1.0108
4013.9000,1.01974
4013.9500,0.99863
4014.0000,1.05453
4014.0500,1.01648
4014.1000,1.0244
4014.1500,1.01292
4014.2000,1.02208
4014.2500,1.02941
4014.3000,1.03148
4014.3500,1.04505
4014.4000,1.00442
4014.4500,1.03718
4014.5000,1.03511
4014.5500,0.984249
4014.6000,1.00202
4014.6500,1.01174
4014.7000,1.03406
4014.7500,1.04579
4014.8000,1.04422
4014.8500,1.06758
4014.9000,1.00827
4014.9500,1.00493
4015.0000,1.0019
4015.0500,1.01214
4015.1000,1.0185
4015.1500,1.03712
4015.2000,1.04611
4015.2500,1.02016
4015.3000,1.05405
4015.3500,1.04316
4015.4000,1.01798
4015.4500,1.03288
4015.5000,0.994404
4015.5500,1.00483
4015.6000,1.029
4015.6500,1.02367
4015.7000,1.02777
4015.7500,1.01037
4015.8000,0.996177
4015.8500,1.03778
4015.9000,1.01905
4015.9500,1.00427
4016.0000,1.02637
4016.0500,1.01288
4016.1000,1.00914
4016.1500,1.01441
4016.2000,1.01604
4016.2500,1.01449
4016.3000,1.00318
4016.3500,0.969944
4016.4000,1.01752
4016.4500,1.02696
4016.5000,1.02939
4016.5500,1.0463
4016.6000,0.99398
4016.6500,1.00174
4016.7000,1.03683
4016.7500,1.02391
4016.8000,1.00855
4016.8500,1.00487
4016.9000,1.03177
4016.9500,0.982014
4017.0000,0.977408
4017.0500,1.01809
4017.1000,1.01314
4017.1500,1.0075
4017.2000,1.02925
4017.2500,1.01289
4017.3000,0.994837
4017.3500,1.0195
4017.4000,1.01492
4017.4500,0.990807
4017.5000,1.01552
4017.5500,0.988082
4017.6000,1.01005
4017.6500,1.02287
4017.7000,1.0438
4017.7500,1.0207
4017.8000,1.02568
4017.8500,1.0373
4017.9000,0.99616
