Longitud_de_onda_A,espectro
4000.0000,1.01173
4000.0500,0.968057
4000.1000,0.969056
4000.1500,0.977595
4000.2000,0.986157
4000.2500,0.95606
4000.3000,0.958006
4000.3500,0.942513
4000.4000,0.980684
4000.4500,0.957004
4000.5000,0.980479
4000.5500,1.02715
4000.6000,0.997629
4000.6500,0.9795
4000.7000,1.01535
4000.7500,1.01565
4000.8000,0.938291
4000.8500,0.924971
4000.9000,0.915279
4000.9500,0.979652
4001.0000,0.954705
4001.0500,0.932127
4001.1000,0.945047
4001.1500,0.956458
4001.2000,0.96788
4001.2500,0.907237
4001.3000,0.961997
4001.3500,0.939742
4001.4000,0.950532
4001.4500,1.04024
4001.5000,0.982685
4001.5500,0.956373
4001.6000,0.913568
4001.6500,0.989529
4001.7000,0.946971
4001.7500,0.967115
4001.8000,0.925913
4001.8500,0.930803
4001.9000,0.983561
4001.9500,0.97401
4002.0000,0.942563
4002.0500,0.99595
4002.1000,0.944992
4002.1500,0.924702
4002.2000,0.944681
4002.2500,0.944763
4002.3000,0.972093
4002.3500,0.954593
4002.4000,0.986678
4002.4500,0.989927
4002.5000,0.983668
4002.5500,0.962362
4002.6000,0.993597
4002.6500,1.00225
4002.7000,0.950103
4002.7500,0.966826
4002.8000,0.946282
4002.8500,0.95617
4002.9000,1.01784
4002.9500,1.00283
4003.0000,0.918279
4003.0500,0.959358
4003.1000,0.92095
4003.1500,0.921956
4003.2000,0.972015
4003.2500,0.976712
4003.3000,0.957742
4003.3500,0.971139
4003.4000,0.974522
4003.4500,0.986562
4003.5000,0.988808
4003.5500,0.983559
4003.6000,0.970422
4003.6500,0.958279
4003.7000,0.977401
4003.7500,1.00353
4003.8000,0.971121
4003.8500,1.01268
4003.9000,0.974568
4003.9500,0.938225
4004.0000,0.947072
4004.0500,0.968091
4004.1000,0.974846
4004.1500,0.99642
4004.2000,0.987225
4004.2500,1.01122
4004.3000,0.983692
4004.3500,0.959342
4004.4000,0.971826
4004.4500,0.993034
4004.5000,0.950942
4004.5500,0.961574
4004.6000,0.973456
4004.6500,0.972006
4004.7000,1.00049
4004.7500,0.95904
4004.8000,1.0434
4004.8500,1.05865
4004.9000,1.05999
4004.9500,0.981824
4005.0000,0.960667
4005.0500,1.00869
4005.1000,0.966242
4005.1500,0.950533
4005.2000,0.972019
4005.2500,1.00644
4005.3000,0.978169
4005.3500,1.03203
4005.4000,0.978988
4005.4500,0.978409
4005.5000,1.01801
4005.5500,1.02667
4005.6000,0.952525
4005.6500,0.995267
4005.7000,0.998132
4005.7500,1.00514
4005.8000,0.973757
4005.8500,0.983274
4005.9000,0.976109
4005.9500,1.00158
4006.0000,0.991915
4006.0500,0.997516
4006.1000,1.03576
4006.1500,0.944979
4006.2000,0.973582
4006.2500,1.01714
4006.3000,1.03356
4006.3500,1.01241
4006.4000,0.962481
4006.4500,0.981221
4006.5000,1.00514
4006.5500,0.95374
4006.6000,0.960557
4006.6500,1.00626
4006.7000,0.999101
4006.7500,0.97638
4006.8000,0.978102
4006.8500,1.01385
4006.9000,0.99035
4006.9500,0.998781
4007.0000,0.993195
4007.0500,0.967523
4007.1000,0.980771
4007.1500,0.982305
4007.2000,0.994663
4007.2500,0.99677
4007.3000,0.963899
4007.3500,0.965726
4007.4000,1.02194
4007.4500,0.972801
4007.5000,1.00521
4007.5500,0.997034
4007.6000,0.967233
4007.6500,0.94821
4007.7000,0.992801
4007.7500,0.998
4007.8000,0.987983
4007.8500,1.00887
4007.9000,1.0245
4007.9500,0.946507
4008.0000,0.97466
4008.0500,0.931574
4008.1000,0.98167
4008.1500,1.02907
4008.2000,0.992021
4008.2500,0.999151
4008.3000,0.977394
4008.3500,1.04227
4008.4000,1.00986
4008.4500,1.00718
4008.5000,0.999202
4008.5500,1.00727
4008.6000,0.970432
4008.6500,0.979543
4008.7000,0.96725
4008.7500,1.00945
4008.8000,0.988132
4008.8500,0.960436
4008.9000,0.984511
4008.9500,0.988444
4009.0000,0.982506
4009.0500,0.978295
4009.1000,1.00485
4009.1500,1.04205
4009.2000,1.00253
4009.2500,0.980411
4009.3000,0.99912
4009.3500,0.98798
4009.4000,0.945445
4009.4500,0.974052
4009.5000,0.982872
4009.5500,0.967192
4009.6000,0.981212
4009.6500,0.99336
4009.7000,1.0294
4009.7500,0.994274
4009.8000,1.03061
4009.8500,1.00823
4009.9000,1.01415
4009.9500,0.964707
4010.0000,0.980249
4010.0500,0.947033
4010.1000,0.975541
4010.1500,1.03318
4010.2000,1.00792
4010.2500,0.993699
4010.3000,0.972668
4010.3500,0.993079
4010.4000,1.01969
4010.4500,1.04518
4010.5000,0.975576
4010.5500,0.953245
4010.6000,0.956001
4010.6500,0.977266
4010.7000,0.983246
4010.7500,0.95875
4010.8000,0.980108
4010.8500,1.01413
4010.9000,0.994206
4010.9500,1.03535
4011.0000,1.01814
4011.0500,0.996015
4011.1000,0.975198
4011.1500,0.982494
4011.2000,1.01741
4011.2500,0.9596
4011.3000,0.980784
4011.3500,1.00154
4011.4000,1.05245
4011.4500,0.996602
4011.5000,0.962463
4011.5500,1.00148
4011.6000,1.01748
4011.6500,0.981666
4011.7000,0.994434
4011.7500,1.02797
4011.8000,0.977633
4011.8500,1.01916
4011.9000,1.00259
4011.9500,1.0057
4012.0000,1.00291
4012.0500,1.02297
4012.1000,0.960081
4012.1500,1.00715
4012.2000,1.02082
4012.2500,1.03047
4012.3000,1.01676
4012.3500,0.978812
4012.4000,1.02416
4012.4500,0.981141
4012.5000,0.992072
4012.5500,1.04112
4012.6000,1.02001
4012.6500,1.01242
4012.7000,0.970432
4012.7500,1.03779
4012.8000,0.94709
4012.8500,1.01205
4012.9000,0.9899
4012.9500,1.00977
4013.0000,1.03155
4013.0500,1.00264
4013.1000,1.02405
4013.1500,1.00186
4013.2000,1.0515
4013.2500,1.01725
4013.3000,0.982116
4013.3500,1.00024
4013.4000,0.969918
