Longitud_de_onda_A,espectro
4000.0000,1.01371
4000.0500,0.951592
4000.1000,0.96943
4000.1500,0.965566
4000.2000,0.933648
4000.2500,0.969071
4000.3000,1.01413
4000.3500,0.937957
4000.4000,0.983623
4000.4500,0.962053
4000.5000,0.920076
4000.5500,1.02313
4000.6000,0.96176
4000.6500,1.01019
4000.7000,0.989281
4000.7500,1.01612
4000.8000,0.949938
4000.8500,0.93562
4000.9000,0.99294
4000.9500,0.998666
4001.0000,0.9941
4001.0500,1.01276
4001.1000,0.923574
4001.1500,0.972747
4001.2000,1.03661
4001.2500,0.996133
4001.3000,0.999085
4001.3500,0.965765
4001.4000,1.00129
4001.4500,1.01931
4001.5000,0.971665
4001.5500,0.970392
4001.6000,0.988347
4001.6500,0.996217
4001.7000,0.961056
4001.7500,0.98653
4001.8000,1.00346
4001.8500,0.99585
4001.9000,0.977156
4001.9500,0.956728
4002.0000,1.02092
4002.0500,0.992889
4002.1000,1.01455
4002.1500,0.973929
4002.2000,0.988024
4002.2500,0.958418
4002.3000,0.927121
4002.3500,0.963051
4002.4000,0.997512
4002.4500,0.980984
4002.5000,0.989799
4002.5500,0.970924
4002.6000,0.98819
4002.6500,0.988779
4002.7000,0.956971
4002.7500,0.953473
4002.8000,0.921314
4002.8500,0.952943
4002.9000,0.981017
4002.9500,0.94987
4003.0000,1.00888
4003.0500,1.01476
4003.1000,0.947365
4003.1500,0.969575
4003.2000,0.965423
4003.2500,0.965211
4003.3000,0.973429
4003.3500,1.02444
4003.4000,0.964338
4003.4500,0.967124
4003.5000,0.970965
4003.5500,0.920145
4003.6000,0.922476
4003.6500,1.00768
4003.7000,0.977192
4003.7500,0.980827
4003.8000,0.982432
4003.8500,0.998817
4003.9000,0.971925
4003.9500,0.979303
4004.0000,0.996628
4004.0500,1.01172
4004.1000,1.0191
4004.1500,1.00519
4004.2000,1.05624
4004.2500,1.0005
4004.3000,0.969497
4004.3500,0.940192
4004.4000,0.944311
4004.4500,0.990624
4004.5000,0.96389
4004.5500,1.00934
4004.6000,1.00547
4004.6500,0.990679
4004.7000,0.98675
4004.7500,1.03109
4004.8000,0.990898
4004.8500,0.936187
4004.9000,0.986579
4004.9500,0.994955
4005.0000,0.993479
4005.0500,1.0103
4005.1000,0.979551
4005.1500,1.03755
4005.2000,0.983283
4005.2500,1.02532
4005.3000,1.06133
4005.3500,1.00441
4005.4000,0.973238
4005.4500,0.995927
4005.5000,1.02675
4005.5500,0.980036
4005.6000,1.00702
4005.6500,0.98043
4005.7000,1.03899
4005.7500,0.99143
4005.8000,0.993463
4005.8500,1.00894
4005.9000,0.982959
4005.9500,1.03155
4006.0000,1.07427
4006.0500,0.993389
4006.1000,1.01359
4006.1500,1.01504
4006.2000,1.03158
4006.2500,1.04865
4006.3000,0.980283
4006.3500,1.02698
4006.4000,1.16109
4006.4500,1.05497
4006.5000,1.02713
4006.5500,0.966706
4006.6000,0.983639
4006.6500,0.970376
4006.7000,1.01182
4006.7500,1.01699
4006.8000,1.01089
4006.8500,1.0266
4006.9000,1.00968
4006.9500,0.957028
4007.0000,1.04076
4007.0500,0.962629
4007.1000,1.04436
4007.1500,1.01715
4007.2000,0.986793
4007.2500,1.01639
4007.3000,0.956756
4007.3500,0.995776
4007.4000,1.03751
4007.4500,1.01881
4007.5000,1.01681
4007.5500,1.03239
4007.6000,1.05221
4007.6500,0.972988
4007.7000,0.961996
4007.7500,1.03024
4007.8000,0.997303
4007.8500,0.978674
4007.9000,1.00524
4007.9500,0.938516
4008.0000,1.00737
4008.0500,0.986193
4008.1000,0.987943
4008.1500,0.940826
4008.2000,1.02096
4008.2500,0.997478
4008.3000,1.00839
4008.3500,1.00783
4008.4000,1.05447
4008.4500,0.948199
4008.5000,0.985768
4008.5500,0.993225
4008.6000,1.01503
4008.6500,0.989739
4008.7000,0.981874
4008.7500,0.910334
4008.8000,0.901686
4008.8500,0.927458
4008.9000,1.00335
4008.9500,0.979871
4009.0000,0.970102
4009.0500,0.96022
4009.1000,0.918254
4009.1500,0.924624
4009.2000,0.952971
4009.2500,0.955528
4009.3000,0.976663
4009.3500,0.9854
4009.4000,0.948473
4009.4500,0.933511
4009.5000,0.976962
4009.5500,0.987677
4009.6000,0.947508
4009.6500,0.981975
4009.7000,0.979802
4009.7500,0.980232
4009.8000,0.989599
4009.8500,1.0646
4009.9000,0.995174
4009.9500,1.00077
4010.0000,0.978008
4010.0500,0.959681
4010.1000,0.91974
4010.1500,0.948738
4010.2000,0.953818
4010.2500,0.953729
4010.3000,0.970694
4010.3500,0.981419
4010.4000,0.966013
4010.4500,1.00104
4010.5000,0.983519
4010.5500,1.00872
4010.6000,0.995472
4010.6500,1.01495
4010.7000,0.953376
4010.7500,0.968589
4010.8000,1.00013
4010.8500,0.998201
4010.9000,0.988338
4010.9500,0.987482
4011.0000,1.0134
4011.0500,1.01436
4011.1000,0.988534
4011.1500,1.01273
4011.2000,0.996578
4011.2500,1.01405
4011.3000,1.02805
4011.3500,1.02828
4011.4000,1.02858
4011.4500,1.01178
4011.5000,1.01281
4011.5500,1.02731
4011.6000,1.05332
4011.6500,1.03244
4011.7000,1.0366
4011.7500,1.05933
4011.8000,1.00318
4011.8500,1.04469
4011.9000,1.08107
4011.9500,1.1104
4012.0000,1.08476
4012.0500,1.09209
4012.1000,1.00282
4012.1500,0.966503
4012.2000,1.12451
4012.2500,1.07609
4012.3000,0.990518
4012.3500,1.03295
4012.4000,1.01974
4012.4500,1.02206
4012.5000,1.01084
4012.5500,0.938747
4012.6000,1.07038
4012.6500,0.972359
4012.7000,1.02197
4012.7500,1.06813
4012.8000,1.04458
4012.8500,1.02532
4012.9000,1.03664
4012.9500,1.04562
4013.0000,1.09339
4013.0500,1.03809
4013.1000,1.04183
4013.1500,1.01956
4013.2000,0.995634
4013.2500,1.08103
4013.3000,1.04883
4013.3500,1.05366
4013.4000,0.997139
4013.4500,1.03772
4013.5000,1.07057
4013.5500,1.02255
4013.6000,1.03439
4013.6500,1.02314
4013.7000,1.28631
4013.7500,1.14328
4013.8000,1.00339
4013.8500,1.02225
4013.9000,1.06337
4013.9500,1.03015
4014.0000,1.00101
4014.0500,1.01289
4014.1000,1.04892
4014.1500,1.00587
4014.2000,1.00433
4014.2500,0.988835
4014.3000,1.00929
4014.3500,0.987571
4014.4000,1.00545
4014.4500,1.06708
4014.5000,1.00902
4014.5500,1.09827
4014.6000,1.01538
4014.6500,1.02144
4014.7000,1.03754
4014.7500,1.02506
4014.8000,0.989817
4014.8500,1.04901
4014.9000,1.03473
4014.9500,1.01553
4015.0000,1.01407
4015.0500,1.05938
4015.1000,1.02295
4015.1500,1.05787
4015.2000,1.0165
4015.2500,1.0099
4015.3000,1.04564
4015.3500,1.01023
4015.4000,1.03994
4015.4500,1.05192
4015.5000,1.04004
4015.5500,1.07109
4015.6000,1.07673
4015.6500,1.04192
4015.7000,1.02504
4015.7500,1.00609
4015.8000,1.02081
4015.8500,1.06433
4015.9000,1.07673
4015.9500,1.05405
4016.0000,1.02174
4016.0500,1.0259
4016.1000,1.0511
4016.1500,1.03585
4016.2000,1.04543
4016.2500,1.01702
4016.3000,1.03682
4016.3500,1.03798
4016.4000,1.0392
4016.4500,1.043
4016.5000,1.09957
4016.5500,1.02853
4016.6000,1.046
4016.6500,1.04511
4016.7000,1.04874
4016.7500,1.03399
4016.8000,1.0438
4016.8500,0.943729
4016.9000,0.998753
4016.9500,0.996968
4017.0000,1.02758
4017.0500,1.00536
4017.1000,1.05503
4017.1500,1.06831
4017.2000,1.0543
4017.2500,1.03419
4017.3000,0.992804
4017.3500,1.03946
4017.4000,1.02611
4017.4500,0.972115
4017.5000,1.00068
4017.5500,1.05856
4017.6000,1.04399
4017.6500,1.042
4017.7000,1.02026
4017.7500,0.979208
4017.8000,1.03337
4017.8500,0.993347
4017.9000,1.07093
4017.9500,1.01562
4018.0000,0.998498
4018.0500,1.02246
4018.1000,0.999367
4018.1500,0.992421
4018.2000,0.993546
4018.2500,0.996072
4018.3000,1.00297
4018.3500,1.00177
4018.4000,1.02153
4018.4500,1.00587
4018.5000,1.01971
4018.5500,1.01674
4018.6000,1.04476
4018.6500,1.01553
4018.7000,1.00333
4018.7500,1.02789
4018.8000,1.0117
4018.8500,1.06279
4018.9000,0.998922
4018.9500,1.00647
4019.0000,0.985493
4019.0500,1.00105
4019.1000,1.02435
4019.1500,0.986275
4019.2000,1.01288
4019.2500,1.02867
4019.3000,0.996694
4019.3500,0.990652
4019.4000,1.00906
4019.4500,1.03709
4019.5000,0.971185
4019.5500,0.981358
4019.6000,1.01313
4019.6500,1.00223
4019.7000,1.05859
4019.7500,1.01669
4019.8000,0.997511
4019.8500,0.970046
4019.9000,0.984128
4019.9500,1.00116
4020.0000,1.01009
4020.0500,0.997564
4020.1000,0.960476
4020.1500,1.02129
4020.2000,0.976164
4020.2500,1.03564
4020.3000,1.05525
4020.3500,1.03435
4020.4000,1.02295
4020.4500,0.967297
4020.5000,0.978515
4020.5500,1.01873
4020.6000,1.01077
4020.6500,1.0044
4020.7000,1.01551
4020.7500,0.980278
4020.8000,0.987948
4020.8500,1.00471
4020.9000,0.965922
4020.9500,0.997837
4021.0000,1.04432
4021.0500,1.04952
4021.1000,1.05422
4021.1500,1.02549
4021.2000,1.0037
4021.2500,0.995271
4021.3000,1.01351
4021.3500,0.976737
4021.4000,1.02998
4021.4500,1.01515
4021.5000,1.00762
4021.5500,0.94948
4021.6000,1.02303
4021.6500,1.02767
4021.7000,1.02548
4021.7500,1.01529
4021.8000,1.00788
4021.8500,0.995881
4021.9000,1.0199
4021.9500,1.00498
