Longitud_de_onda_A,espectro
4000.0000,0.962356
4000.0500,0.98025
4000.1000,0.958375
4000.1500,0.952158
4000.2000,0.914585
4000.2500,0.956974
4000.3000,0.965958
4000.3500,0.963226
4000.4000,0.982744
4000.4500,0.956714
4000.5000,0.982788
4000.5500,0.964587
4000.6000,0.943658
4000.6500,0.982924
4000.7000,0.954045
4000.7500,0.963299
4000.8000,0.973182
4000.8500,0.980181
4000.9000,1.00121
4000.9500,0.957887
4001.0000,0.948057
4001.0500,0.991133
4001.1000,1.01967
4001.1500,0.956003
4001.2000,1.03301
4001.2500,0.975916
4001.3000,0.984223
4001.3500,0.972708
4001.4000,0.95641
4001.4500,0.963487
4001.5000,0.96952
4001.5500,0.997022
4001.6000,0.952283
4001.6500,0.972477
4001.7000,0.961368
4001.7500,0.984451
4001.8000,0.968113
4001.8500,0.984316
4001.9000,0.95478
4001.9500,0.964081
4002.0000,0.997843
4002.0500,0.971963
4002.1000,0.961395
4002.1500,0.956165
4002.2000,1.00783
4002.2500,0.955662
4002.3000,0.943482
4002.3500,0.94772
4002.4000,0.984759
4002.4500,0.981685
4002.5000,0.955426
4002.5500,0.958447
4002.6000,0.950663
4002.6500,0.947059
4002.7000,0.97633
4002.7500,0.982864
4002.8000,0.981989
4002.8500,0.982843
4002.9000,0.966738
4002.9500,0.984025
4003.0000,0.968832
4003.0500,0.969505
4003.1000,0.955724
4003.1500,1.01172
4003.2000,0.977959
4003.2500,0.9384
4003.3000,1.02174
4003.3500,0.985455
4003.4000,0.965859
4003.4500,0.971072
4003.5000,0.996939
4003.5500,0.9721
4003.6000,0.975419
4003.6500,1.03082
4003.7000,0.968627
4003.7500,0.994966
4003.8000,1.01117
4003.8500,0.964829
4003.9000,0.992885
4003.9500,0.981189
4004.0000,0.985191
4004.0500,1.01074
4004.1000,0.955555
4004.1500,1.00256
4004.2000,0.9869
4004.2500,1.05396
4004.3000,0.999355
4004.3500,0.969627
4004.4000,0.984803
4004.4500,0.970781
4004.5000,1.01071
4004.5500,1.0097
4004.6000,0.981231
4004.6500,0.996117
4004.7000,0.952808
4004.7500,0.993152
4004.8000,1.03528
4004.8500,0.957425
4004.9000,0.973208
4004.9500,0.946204
4005.0000,0.984943
4005.0500,0.948542
4005.1000,0.974458
4005.1500,0.964143
4005.2000,0.982911
4005.2500,0.977107
4005.3000,0.964106
4005.3500,0.981727
4005.4000,0.971016
4005.4500,0.963435
4005.5000,1.0077
4005.5500,0.995104
4005.6000,1.03795
4005.6500,0.967925
4005.7000,0.999553
4005.7500,1.03156
4005.8000,1.00769
4005.8500,1.03708
4005.9000,1.01937
4005.9500,1.04253
4006.0000,1.00569
4006.0500,1.00446
4006.1000,0.991729
4006.1500,0.996811
4006.2000,0.977246
4006.2500,0.949107
4006.3000,0.972374
4006.3500,0.984562
4006.4000,1.02143
4006.4500,0.994047
4006.5000,0.965436
4006.5500,0.965944
4006.6000,1.00199
4006.6500,1.01097
4006.7000,1.02675
4006.7500,0.95423
4006.8000,1.02369
4006.8500,1.04883
4006.9000,0.875143
4006.9500,1.00491
4007.0000,0.988195
4007.0500,1.01631
4007.1000,0.97796
4007.1500,0.985645
4007.2000,1.00627
4007.2500,0.989397
4007.3000,1.02696
4007.3500,0.99562
4007.4000,1.04386
4007.4500,0.998153
4007.5000,1.02727
4007.5500,1.00123
4007.6000,0.970449
4007.6500,0.993685
4007.7000,1.02482
4007.7500,0.999559
4007.8000,1.03876
4007.8500,0.985402
4007.9000,1.00003
4007.9500,0.998962
4008.0000,1.05549
4008.0500,0.988418
4008.1000,1.03084
4008.1500,1.00865
4008.2000,1.02768
4008.2500,1.03141
4008.3000,1.0436
4008.3500,1.02709
4008.4000,1.03552
4008.4500,0.982746
4008.5000,0.993721
4008.5500,1.00932
4008.6000,0.961475
4008.6500,1.01446
4008.7000,1.00329
4008.7500,1.01328
4008.8000,1.02465
4008.8500,0.997043
4008.9000,0.998107
4008.9500,0.970273
4009.0000,0.964524
4009.0500,1.01615
4009.1000,1.00762
4009.1500,0.999634
4009.2000,0.971905
4009.2500,1.00156
4009.3000,1.00438
4009.3500,0.975856
4009.4000,0.977311
4009.4500,1.0173
4009.5000,1.01227
4009.5500,0.967877
4009.6000,0.958531
4009.6500,1.03902
4009.7000,0.988557
4009.7500,1.03214
4009.8000,0.980066
4009.8500,0.97678
4009.9000,0.966638
4009.9500,0.984231
4010.0000,0.973602
4010.0500,1.00586
4010.1000,0.967793
4010.1500,0.937059
4010.2000,0.960392
4010.2500,0.92811
4010.3000,0.946235
4010.3500,0.943233
4010.4000,0.959241
4010.4500,0.988676
4010.5000,0.907974
4010.5500,0.93978
4010.6000,0.919519
4010.6500,0.916552
4010.7000,0.92563
4010.7500,0.917666
4010.8000,0.927169
4010.8500,0.886045
4010.9000,0.921047
4010.9500,0.893926
4011.0000,0.892434
4011.0500,0.949293
4011.1000,0.929355
4011.1500,0.9061
4011.2000,0.927918
4011.2500,0.919685
4011.3000,0.918565
4011.3500,0.965995
4011.4000,0.95066
4011.4500,0.939916
4011.5000,0.927786
4011.5500,0.993609
4011.6000,1.02772
4011.6500,1.05186
4011.7000,1.02431
4011.7500,1.02314
4011.8000,1.0087
4011.8500,1.0292
4011.9000,1.01906
4011.9500,1.0046
4012.0000,0.989044
4012.0500,0.99053
4012.1000,0.981955
4012.1500,0.9893
4012.2000,1.03485
4012.2500,0.983885
4012.3000,0.98718
4012.3500,1.00567
4012.4000,0.993887
4012.4500,1.00937
4012.5000,1.0148
4012.5500,0.988791
4012.6000,0.97891
4012.6500,1.00157
4012.7000,1.03202
4012.7500,1.00803
4012.8000,0.988395
4012.8500,0.969932
4012.9000,1.04618
4012.9500,0.984839
4013.0000,0.964213
4013.0500,0.97827
4013.1000,0.988304
4013.1500,0.966784
4013.2000,1.03983
4013.2500,1.01928
4013.3000,1.01381
4013.3500,1.03036
4013.4000,1.01672
4013.4500,0.983934
4013.5000,1.00601
4013.5500,1.03242
4013.6000,1.01106
4013.6500,1.02529
4013.7000,1.00732
4013.7500,1.02085
4013.8000,1.04797
4013.8500,0.985732
4013.9000,1.06597
4013.9500,1.0358
4014.0000,0.995352
4014.0500,1.00056
4014.1000,1.00827
4014.1500,1.02939
4014.2000,0.973459
4014.2500,0.975105
4014.3000,0.975138
4014.3500,0.964332
4014.4000,0.995293
4014.4500,0.998847
4014.5000,0.980963
4014.5500,1.0018
4014.6000,1.01553
4014.6500,1.00823
4014.7000,1.06056
4014.7500,1.01449
4014.8000,1.0162
4014.8500,1.02462
4014.9000,0.974546
4014.9500,1.02069
4015.0000,1.01596
4015.0500,1.05164
4015.1000,0.988321
4015.1500,1.02987
4015.2000,1.01729
4015.2500,1.00299
4015.3000,1.01359
4015.3500,1.01533
4015.4000,1.03804
4015.4500,1.02253
4015.5000,1.01988
4015.5500,0.99273
4015.6000,0.9842
4015.6500,0.946393
4015.7000,1.03917
4015.7500,1.00626
4015.8000,1.0232
4015.8500,1.01376
4015.9000,1.02274
4015.9500,0.980718
4016.0000,0.963606
4016.0500,0.98697
4016.1000,0.996888
4016.1500,0.987141
4016.2000,1.04603
4016.2500,0.992638
4016.3000,0.964678
4016.3500,0.968008
4016.4000,0.998598
4016.4500,1.00375
4016.5000,1.03131
4016.5500,1.01138
4016.6000,0.998907
4016.6500,1.03902
4016.7000,1.04745
4016.7500,0.994582
4016.8000,1.04933
4016.8500,1.04461
4016.9000,1.00961
4016.9500,0.992222
4017.0000,1.01792
4017.0500,1.02763
4017.1000,1.01224
4017.1500,1.04498
4017.2000,1.00656
4017.2500,0.99198
4017.3000,1.01814
4017.3500,1.01443
4017.4000,1.01132
4017.4500,1.01471
4017.5000,0.996956
4017.5500,0.962429
4017.6000,1.02101
4017.6500,1.01123
4017.7000,1.02311
4017.7500,0.992545
4017.8000,1.05127
4017.8500,1.06393
4017.9000,1.02423
4017.9500,0.980887
4018.0000,0.997193
4018.0500,1.01893
4018.1000,1.01198
4018.1500,1.0206
4018.2000,1.01635
4018.2500,1.0056
4018.3000,1.00389
4018.3500,1.02734
4018.4000,1.01226
4018.4500,1.00985
4018.5000,0.970659
4018.5500,0.998259
4018.6000,0.977079
4018.6500,0.998919
4018.7000,0.99634
4018.7500,1.00049
4018.8000,1.00429
4018.8500,1.03903
4018.9000,1.02058
4018.9500,0.998281
4019.0000,1.02035
4019.0500,1.00272
4019.1000,0.999865
4019.1500,0.988386
4019.2000,0.961521
4019.2500,1.00583
4019.3000,1.00572
4019.3500,1.01836
4019.4000,0.995745
4019.4500,0.98143
4019.5000,0.981143
4019.5500,1.00768
4019.6000,1.00335
4019.6500,0.980459
4019.7000,0.962508
4019.7500,0.972907
4019.8000,0.968645
4019.8500,0.958235
4019.9000,1.03173
4019.9500,0.990064
4020.0000,0.984129
4020.0500,0.940618
4020.1000,0.983438
4020.1500,0.987941
4020.2000,0.980741
4020.2500,0.982484
4020.3000,0.997315
4020.3500,1.00799
4020.4000,0.984964
4020.4500,0.985016
4020.5000,0.966845
4020.5500,0.966136
4020.6000,0.943397
4020.6500,1.02031
4020.7000,1.01021
4020.7500,1.01246
4020.8000,0.959543
4020.8500,1.00405
4020.9000,0.967551
4020.9500,0.995886
4021.0000,0.986922
4021.0500,0.986776
4021.1000,0.968937
4021.1500,0.957938
4021.2000,0.964497
4021.2500,0.949989
4021.3000,1.02578
4021.3500,1.01241
4021.4000,0.989847
4021.4500,0.985639
4021.5000,0.942224
4021.5500,1.01534
4021.6000,1.01037
4021.6500,1.00982
4021.7000,0.962046
4021.7500,1.01197
4021.8000,0.989429
4021.8500,0.977004
4021.9000,0.980035
4021.9500,0.975361
4022.0000,0.98102
4022.0500,1.02287
4022.1000,1.01617
4022.1500,0.964392
4022.2000,0.988015
4022.2500,1.02061
4022.3000,0.993993
4022.3500,0.989495
4022.4000,1.00586
4022.4500,0.997321
4022.5000,1.01071
4022.5500,0.998222
4022.6000,0.993141
4022.6500,0.968713
4022.7000,0.984536
4022.7500,0.959723
4022.8000,0.942258
4022.8500,0.979371
4022.9000,0.978991
4022.9500,0.96205
4023.0000,0.989055
4023.0500,0.992498
4023.1000,1.01558
4023.1500,0.993128
4023.2000,0.967207
4023.2500,0.968723
4023.3000,0.970405
4023.3500,0.978081
4023.4000,0.981327
4023.4500,0.994655
4023.5000,0.991846
4023.5500,0.948739
4023.6000,0.955932
4023.6500,0.96106
4023.7000,0.966164
4023.7500,0.956747
4023.8000,0.980685
4023.8500,0.967235
4023.9000,0.988724
4023.9500,0.968543
4024.0000,0.946793
4024.0500,0.952685
4024.1000,0.973
4024.1500,0.949306
4024.2000,0.966744
4024.2500,0.953332
4024.3000,0.992704
4024.3500,0.953808
4024.4000,0.943005
4024.4500,0.966028
4024.5000,0.960466
4024.5500,0.949849
4024.6000,0.944616
4024.6500,0.943685
4024.7000,0.94643
4024.7500,0.929998
4024.8000,0.937244
4024.8500,0.941911
4024.9000,0.962302
4024.9500,0.958142
4025.0000,0.978515
4025.0500,0.961339
4025.1000,0.973379
4025.1500,0.947779
4025.2000,0.930352
4025.2500,0.940986
4025.3000,0.932346
4025.3500,0.901321
4025.4000,0.914569
4025.4500,0.943694
4025.5000,0.890353
4025.5500,0.881091
4025.6000,0.926883
4025.6500,0.882129
4025.7000,0.902863
4025.7500,0.943914
4025.8000,0.922142
4025.8500,0.872478
4025.9000,0.904318
4025.9500,0.898014
4026.0000,0.885106
4026.0500,0.867373
4026.1000,0.909712
4026.1500,0.879047
4026.2000,0.860475
4026.2500,0.866721
4026.3000,0.886611
4026.3500,0.905379
4026.4000,0.866479
4026.4500,0.873038
4026.5000,0.838729
4026.5500,0.841952
4026.6000,0.792412
4026.6500,0.820996
4026.7000,0.803845
