Longitud_de_onda_A,espectro
4000.0000,0.97121
4000.0500,1.0938
4000.1000,1.07328
4000.1500,1.14413
4000.2000,1.11271
4000.2500,1.15804
4000.3000,1.13408
4000.3500,1.03429
4000.4000,0.985139
4000.4500,1.12428
4000.5000,1.02512
4000.5500,1.01803
4000.6000,1.05024
4000.6500,0.96631
4000.7000,1.04151
4000.7500,0.987304
4000.8000,0.958529
4000.8500,0.988364
4000.9000,1.03796
4000.9500,0.95223
4001.0000,0.981131
4001.0500,0.977435
4001.1000,1.01836
4001.1500,0.979584
4001.2000,0.934446
4001.2500,0.959107
4001.3000,1.01981
4001.3500,0.974007
4001.4000,1.00619
4001.4500,1.02816
4001.5000,1.1119
4001.5500,1.03939
4001.6000,1.06295
4001.6500,1.02669
4001.7000,1.02989
4001.7500,1.09238
4001.8000,1.04703
4001.8500,1.02178
4001.9000,1.07648
4001.9500,1.03414
4002.0000,0.998206
4002.0500,1.02731
4002.1000,0.969444
4002.1500,1.01428
4002.2000,0.992197
4002.2500,0.977084
4002.3000,0.990631
4002.3500,1.06552
4002.4000,1.06717
4002.4500,1.04539
4002.5000,1.01629
4002.5500,1.05223
4002.6000,1.0712
4002.6500,1.02556
4002.7000,1.0064
4002.7500,1.12038
4002.8000,1.03611
4002.8500,1.0244
4002.9000,0.933292
4002.9500,0.998557
4003.0000,1.02213
4003.0500,0.983191
4003.1000,1.02347
4003.1500,0.998434
4003.2000,1.03231
4003.2500,1.01445
4003.3000,1.0115
4003.3500,1.03944
4003.4000,1.05924
4003.4500,1.06969
4003.5000,1.06401
4003.5500,1.03057
4003.6000,1.05696
4003.6500,1.08072
4003.7000,1.10347
4003.7500,1.11505
4003.8000,1.05339
4003.8500,1.11556
4003.9000,1.06833
4003.9500,1.09347
4004.0000,1.07358
4004.0500,0.997816
4004.1000,1.04161
4004.1500,0.994793
4004.2000,1.05195
4004.2500,1.01706
4004.3000,0.967697
4004.3500,0.954038
4004.4000,0.890222
4004.4500,0.858493
4004.5000,0.944159
4004.5500,0.849309
4004.6000,0.90551
4004.6500,0.901515
4004.7000,0.859872
4004.7500,0.911309
4004.8000,0.921428
4004.8500,0.970128
4004.9000,0.96205
4004.9500,0.950219
4005.0000,0.967104
4005.0500,0.970726
4005.1000,0.949774
4005.1500,0.959187
4005.2000,0.946216
4005.2500,0.96705
4005.3000,0.896344
4005.3500,0.886361
4005.4000,0.802319
4005.4500,0.825463
4005.5000,0.853039
4005.5500,0.850879
4005.6000,0.835539
4005.6500,0.831174
4005.7000,0.811687
4005.7500,0.785368
4005.8000,0.818074
4005.8500,0.805721
4005.9000,0.775856
4005.9500,0.776006
4006.0000,0.781075
4006.0500,0.801461
4006.1000,0.825988
4006.1500,0.833328
4006.2000,0.857414
4006.2500,0.820147
4006.3000,0.917287
4006.3500,0.845625
4006.4000,0.954629
4006.4500,0.933853
4006.5000,0.988887
4006.5500,0.980149
4006.6000,0.941397
4006.6500,0.950836
4006.7000,0.874816
4006.7500,0.960336
4006.8000,0.985782
4006.8500,0.9951
4006.9000,1.01498
4006.9500,0.985527
4007.0000,0.9615
4007.0500,0.98359
4007.1000,1.00872
4007.1500,0.99679
4007.2000,0.970822
4007.2500,0.967775
4007.3000,1.03655
4007.3500,1.01785
4007.4000,0.953546
4007.4500,1.00163
4007.5000,0.990436
4007.5500,1.00145
4007.6000,1.09195
4007.6500,1.06153
4007.7000,1.04666
4007.7500,1.03488
4007.8000,1.01147
4007.8500,1.02635
4007.9000,1.02287
4007.9500,1.0538
4008.0000,1.00811
4008.0500,1.02598
4008.1000,1.06204
4008.1500,0.95687
4008.2000,1.0073
4008.2500,0.957162
4008.3000,1.01132
4008.3500,1.00891
4008.4000,1.02018
4008.4500,1.02527
4008.5000,1.07073
4008.5500,1.08036
4008.6000,1.10428
4008.6500,1.09773
4008.7000,1.08546
4008.7500,1.09246
4008.8000,1.10249
4008.8500,1.07302
4008.9000,1.07627
4008.9500,1.05454
4009.0000,1.02803
4009.0500,1.01015
4009.1000,0.949335
4009.1500,1.02547
4009.2000,1.01496
4009.2500,1.05027
4009.3000,1.05296
4009.3500,1.08948
4009.4000,1.07145
4009.4500,1.07452
4009.5000,1.02929
4009.5500,1.02952
4009.6000,1.05423
4009.6500,1.04144
4009.7000,1.04482
4009.7500,0.997859
4009.8000,1.04537
4009.8500,1.02978
4009.9000,0.979917
4009.9500,0.977932
4010.0000,1.04302
4010.0500,1.03857
4010.1000,0.952797
4010.1500,0.96614
4010.2000,0.940425
4010.2500,0.930843
4010.3000,1.00839
4010.3500,0.975535
4010.4000,1.03248
4010.4500,1.0191
4010.5000,1.07094
4010.5500,1.07818
4010.6000,1.01238
4010.6500,1.1029
4010.7000,1.05549
4010.7500,1.0602
4010.8000,1.10726
4010.8500,1.04092
4010.9000,1.04746
4010.9500,1.05312
4011.0000,1.11858
4011.0500,1.1311
4011.1000,1.12961
4011.1500,1.13618
4011.2000,1.11522
4011.2500,1.12166
4011.3000,1.16477
4011.3500,1.07221
4011.4000,1.1031
4011.4500,1.04956
4011.5000,1.01514
4011.5500,1.09816
4011.6000,0.956841
4011.6500,1.01554
4011.7000,0.975812
4011.7500,1.01025
4011.8000,1.00693
4011.8500,1.00108
4011.9000,1.02926
4011.9500,1.04587
4012.0000,0.929738
4012.0500,1.03768
4012.1000,1.01172
4012.1500,1.07343
4012.2000,1.0663
4012.2500,1.14838
4012.3000,1.10972
4012.3500,1.05995
4012.4000,1.03647
4012.4500,1.06771
4012.5000,1.08541
4012.5500,0.970458
4012.6000,1.02392
4012.6500,0.996165
4012.7000,1.00754
4012.7500,0.953401
4012.8000,0.938621
4012.8500,0.936806
4012.9000,0.887436
4012.9500,0.959525
4013.0000,0.955247
4013.0500,0.917966
4013.1000,0.834133
4013.1500,0.920321
4013.2000,0.935132
4013.2500,0.917009
4013.3000,0.908448
4013.3500,0.97393
4013.4000,1.01808
4013.4500,0.972187
4013.5000,1.00486
4013.5500,1.05585
4013.6000,1.06357
4013.6500,1.07481
4013.7000,1.05432
4013.7500,0.966788
4013.8000,0.992251
4013.8500,1.06511
4013.9000,1.00274
4013.9500,1.02919
4014.0000,1.00822
4014.0500,0.979296
4014.1000,0.984195
4014.1500,0.916482
4014.2000,0.932515
4014.2500,0.960668
4014.3000,1.0203
4014.3500,0.999861
4014.4000,1.01455
4014.4500,1.02436
4014.5000,0.997417
4014.5500,1.04912
4014.6000,0.993946
4014.6500,0.99829
4014.7000,0.947191
4014.7500,0.960423
4014.8000,0.902537
4014.8500,0.94004
4014.9000,0.9413
4014.9500,0.991655
4015.0000,0.872436
4015.0500,0.978639
4015.1000,0.938061
4015.1500,0.95222
4015.2000,1.02332
4015.2500,1.01814
4015.3000,0.991295
4015.3500,1.03912
4015.4000,1.01454
4015.4500,1.02438
4015.5000,1.04807
4015.5500,0.992935
4015.6000,0.982788
4015.6500,0.945259
4015.7000,0.997463
4015.7500,1.0061
4015.8000,0.99914
4015.8500,0.947468
4015.9000,1.02145
4015.9500,1.03851
4016.0000,1.02436
4016.0500,0.965544
4016.1000,1.0225
4016.1500,1.01563
4016.2000,1.06576
4016.2500,0.968011
4016.3000,0.978911
4016.3500,0.95886
4016.4000,0.914261
4016.4500,0.968068
4016.5000,0.940767
4016.5500,0.899314
4016.6000,0.985016
4016.6500,1.00912
4016.7000,0.987048
4016.7500,0.991746
4016.8000,0.937693
4016.8500,0.970103
4016.9000,0.973753
4016.9500,1.03693
4017.0000,1.06502
4017.0500,0.993159
4017.1000,1.05945
4017.1500,1.01077
4017.2000,0.997631
4017.2500,0.99149
4017.3000,0.96913
4017.3500,0.974218
4017.4000,0.930252
4017.4500,0.902348
4017.5000,0.934004
4017.5500,0.907032
4017.6000,0.868733
4017.6500,0.87083
4017.7000,0.87088
4017.7500,0.918933
4017.8000,0.911264
4017.8500,0.902081
4017.9000,0.968825
4017.9500,0.92031
4018.0000,0.942211
4018.0500,0.976731
4018.1000,0.962134
4018.1500,1.00728
4018.2000,1.00367
4018.2500,0.936958
4018.3000,0.994218
4018.3500,0.96772
4018.4000,0.934922
4018.4500,0.944141
4018.5000,0.968768
4018.5500,0.988848
4018.6000,0.97556
4018.6500,1.03842
4018.7000,1.04463
4018.7500,1.02399
4018.8000,1.03346
4018.8500,1.10358
4018.9000,1.106
4018.9500,1.09198
4019.0000,0.998854
4019.0500,1.02725
4019.1000,1.033
4019.1500,1.01806
4019.2000,1.03635
4019.2500,0.99287
4019.3000,1.05054
4019.3500,1.07408
4019.4000,1.04225
4019.4500,1.06115
4019.5000,1.08087
4019.5500,1.04181
4019.6000,1.07649
4019.6500,1.02649
4019.7000,1.06972
4019.7500,1.09245
4019.8000,1.07775
4019.8500,1.02757
4019.9000,1.05643
4019.9500,1.10464
4020.0000,1.13168
4020.0500,1.11
4020.1000,1.1083
4020.1500,1.03595
4020.2000,1.01463
4020.2500,1.05121
4020.3000,1.0763
4020.3500,1.08849
4020.4000,1.05884
4020.4500,1.08376
