Longitud_de_onda_A,espectro
4000.0000,0.863492
4000.0500,1.0499
4000.1000,0.871129
4000.1500,1.17146
4000.2000,1.06125
4000.2500,1.18979
4000.3000,1.0283
4000.3500,0.892717
4000.4000,0.63169
4000.4500,0.314902
4000.5000,0.296879
4000.5500,0.577606
4000.6000,0.40398
4000.6500,1.3641
4000.7000,1.03829
4000.7500,1.36704
4000.8000,0.954028
4000.8500,1.27639
4000.9000,1.32793
4000.9500,1.314
4001.0000,1.42946
4001.0500,0.896272
4001.1000,0.76134
4001.1500,0.692584
4001.2000,0.991144
4001.2500,1.27868
4001.3000,0.418445
4001.3500,1.64449
4001.4000,0.968363
4001.4500,0.861602
4001.5000,1.15145
4001.5500,0.825633
4001.6000,0.918697
4001.6500,0.492991
4001.7000,1.10724
4001.7500,0.95537
4001.8000,1.20983
4001.8500,1.42536
4001.9000,1.51193
4001.9500,1.18756
4002.0000,1.38704
4002.0500,0.963242
4002.1000,1.58465
4002.1500,1.42459
4002.2000,1.37196
4002.2500,1.88503
4002.3000,0.919999
4002.3500,1.32766
4002.4000,0.985162
4002.4500,0.53337
4002.5000,0.87009
4002.5500,0.710031
4002.6000,0.706582
4002.6500,1.06249
4002.7000,1.37622
4002.7500,1.2812
4002.8000,1.20959
4002.8500,0.917691
4002.9000,0.609414
4002.9500,0.675633
4003.0000,0.921704
4003.0500,1.13468
4003.1000,1.26045
4003.1500,0.971965
4003.2000,1.18075
4003.2500,1.24813
4003.3000,0.908359
4003.3500,1.50993
4003.4000,1.55097
4003.4500,0.91086
4003.5000,0.626307
4003.5500,0.740074
4003.6000,0.826492
4003.6500,1.22711
4003.7000,0.927793
4003.7500,0.836118
4003.8000,0.426932
4003.8500,0.998804
4003.9000,0.457561
4003.9500,0.737467
4004.0000,0.843562
4004.0500,1.19506
4004.1000,1.14852
4004.1500,0.982958
4004.2000,0.817516
4004.2500,0.840994
4004.3000,0.709377
4004.3500,1.21432
4004.4000,1.14594
4004.4500,1.18965
4004.5000,0.746595
4004.5500,1.03527
4004.6000,0.536631
4004.6500,0.979373
4004.7000,0.697291
4004.7500,0.652667
4004.8000,0.440484
4004.8500,0.702483
4004.9000,0.699515
4004.9500,0.680529
4005.0000,0.76582
4005.0500,0.195324
4005.1000,0.397849
4005.1500,0.217678
4005.2000,0.0420426
4005.2500,0.116179
4005.3000,0.366617
4005.3500,0.517777
4005.4000,0.22459
4005.4500,0.863434
4005.5000,0.659513
4005.5500,0.703767
4005.6000,0.516095
4005.6500,0.551704
4005.7000,0.545258
4005.7500,0.733024
4005.8000,1.2574
4005.8500,0.916689
4005.9000,1.06637
4005.9500,0.706846
4006.0000,1.03092
4006.0500,1.32404
4006.1000,0.884447
4006.1500,0.773817
4006.2000,0.764101
4006.2500,1.26826
4006.3000,0.526835
4006.3500,0.88736
4006.4000,0.75972
4006.4500,0.703841
4006.5000,0.881893
4006.5500,0.825989
4006.6000,0.921851
4006.6500,0.198871
4006.7000,0.665194
4006.7500,0.355676
4006.8000,0.573816
4006.8500,1.06163
4006.9000,1.23144
4006.9500,1.40585
4007.0000,1.04968
4007.0500,0.644467
4007.1000,1.01751
4007.1500,1.08474
4007.2000,0.314913
4007.2500,0.429609
4007.3000,0.404463
4007.3500,1.07794
4007.4000,0.347907
