Longitud_de_onda_A,espectro
4000.0000,0.0020506
4000.0500,0.00150754
4000.1000,0.000457142
4000.1500,0.00435486
4000.2000,-0.00121857
4000.2500,-0.00478415
4000.3000,0.000151005
4000.3500,-0.00118615
4000.4000,0.00304714
4000.4500,-0.00064286
4000.5000,0.0115191
4000.5500,8.95458e-05
4000.6000,-0.0041566
4000.6500,-0.00649949
4000.7000,0.00330922
4000.7500,0.0074072
4000.8000,0.00397079
4000.8500,-0.000978656
4000.9000,0.0020573
4000.9500,0.000420437
4001.0000,0.00168031
4001.0500,-0.00073721
4001.1000,0.00154148
4001.1500,0.000465167
4001.2000,0.00853508
4001.2500,-0.00585832
4001.3000,-0.000351728
4001.3500,0.00121915
4001.4000,-0.00158846
4001.4500,0.00411228
4001.5000,-0.00302772
4001.5500,0.000823592
4001.6000,0.00120074
4001.6500,0.00335048
4001.7000,3.69663e-05
4001.7500,0.00231856
4001.8000,0.00330234
4001.8500,0.00974295
4001.9000,-0.00332263
4001.9500,-0.00506957
4002.0000,0.00645773
4002.0500,-0.00413521
4002.1000,0.00391925
4002.1500,0.00317545
4002.2000,0.00327769
4002.2500,-0.00544448
4002.3000,7.87935e-05
4002.3500,0.000784481
4002.4000,-0.00700053
4002.4500,-0.00491624
4002.5000,0.000315751
4002.5500,-0.00481414
4002.6000,0.00036952
4002.6500,0.00341895
4002.7000,0.00331032
4002.7500,0.00741486
4002.8000,-0.00118793
4002.8500,0.000719942
4002.9000,0.0019269
4002.9500,-0.00256181
4003.0000,0.00346866
4003.0500,-0.000368317
4003.1000,-0.00362476
4003.1500,-0.000657782
4003.2000,0.00500763
4003.2500,-0.000987212
4003.3000,0.00806467
4003.3500,0.00828533
4003.4000,0.00114244
4003.4500,0.00155327
4003.5000,0.00512117
4003.5500,0.0050193
4003.6000,0.00167694
4003.6500,0.00676369
4003.7000,-0.00326926
4003.7500,-0.00894135
4003.8000,-0.00115472
4003.8500,-0.00511445
4003.9000,-0.00302304
4003.9500,-0.00634843
4004.0000,0.00273869
4004.0500,-0.00107655
4004.1000,0.000703107
4004.1500,-5.64924e-05
4004.2000,-0.00112854
4004.2500,-0.00283849
4004.3000,0.00343551
4004.3500,0.00575566
4004.4000,-0.00273632
4004.4500,-0.00924106
4004.5000,-0.00492975
4004.5500,-0.00237837
4004.6000,-0.00441135
4004.6500,-0.00968524
4004.7000,0.0017478
4004.7500,0.00561597
4004.8000,0.00365754
4004.8500,0.00820199
4004.9000,-0.00251785
4004.9500,0.00354087
4005.0000,-0.00700037
4005.0500,-0.00352123
4005.1000,0.000793681
4005.1500,-0.00370058
4005.2000,0.00620369
4005.2500,-0.00183849
4005.3000,0.00600424
4005.3500,0.00222
4005.4000,0.00083959
4005.4500,0.00156186
4005.5000,0.00104472
4005.5500,0.00145539
4005.6000,0.00302318
4005.6500,0.000447094
4005.7000,0.00550609
4005.7500,0.00716407
4005.8000,-0.00443769
4005.8500,0.00182705
4005.9000,-0.00504739
4005.9500,-0.0026491
4006.0000,-0.0039593
4006.0500,0.00182451
4006.1000,-0.00350911
4006.1500,0.00479574
4006.2000,0.00583695
4006.2500,-0.00244121
4006.3000,-0.00961024
4006.3500,0.00185965
