Longitud_de_onda_A,espectro
4000.0000,1.08709
4000.0500,1.09727
4000.1000,0.967347
4000.1500,0.925123
4000.2000,0.98175
4000.2500,1.06756
4000.3000,1.05075
4000.3500,0.968556
4000.4000,1.12235
4000.4500,1.04649
4000.5000,0.980937
4000.5500,0.9347
4000.6000,0.998446
4000.6500,1.03023
4000.7000,0.910608
4000.7500,0.981831
4000.8000,1.01457
4000.8500,0.953171
4000.9000,1.11998
4000.9500,1.04831
4001.0000,1.00912
4001.0500,1.04135
4001.1000,0.97039
4001.1500,1.02207
4001.2000,0.964518
4001.2500,0.96658
4001.3000,0.998284
4001.3500,0.967309
4001.4000,1.05795
4001.4500,1.05818
4001.5000,1.03147
4001.5500,1.09173
4001.6000,1.04524
4001.6500,0.971568
4001.7000,0.934726
4001.7500,0.932577
4001.8000,1.0341
4001.8500,1.12647
4001.9000,1.13683
4001.9500,1.12501
4002.0000,1.02014
4002.0500,1.09273
4002.1000,1.04749
4002.1500,1.06573
4002.2000,1.03976
4002.2500,1.01834
4002.3000,1.12251
4002.3500,0.955708
4002.4000,1.03043
4002.4500,1.08612
4002.5000,0.958394
4002.5500,1.03615
4002.6000,0.990417
4002.6500,1.00962
4002.7000,1.12389
4002.7500,1.01261
4002.8000,0.998007
4002.8500,1.12163
4002.9000,1.0294
4002.9500,1.05144
4003.0000,1.04953
4003.0500,1.00701
4003.1000,0.983049
4003.1500,0.979058
4003.2000,0.965213
4003.2500,0.992004
4003.3000,0.973742
4003.3500,0.931237
4003.4000,1.11815
4003.4500,1.13971
4003.5000,1.03362
4003.5500,1.06483
4003.6000,0.980256
4003.6500,1.02113
4003.7000,1.0206
4003.7500,1.04958
4003.8000,1.00049
4003.8500,1.07101
4003.9000,0.934548
4003.9500,0.970255
4004.0000,1.03949
4004.0500,0.983643
4004.1000,1.10738
4004.1500,1.06039
4004.2000,1.06831
4004.2500,1.04368
4004.3000,1.05025
4004.3500,0.940278
4004.4000,0.995634
4004.4500,1.04259
4004.5000,1.1661
4004.5500,1.16764
4004.6000,1.14239
4004.6500,1.01089
4004.7000,1.09033
4004.7500,1.029
4004.8000,1.0149
4004.8500,1.05645
4004.9000,0.985411
4004.9500,1.59758
4005.0000,1.14642
4005.0500,1.13823
4005.1000,1.07401
4005.1500,1.02105
4005.2000,0.947662
4005.2500,1.02005
4005.3000,1.04008
4005.3500,1.03819
4005.4000,1.0274
4005.4500,1.15114
4005.5000,1.20413
4005.5500,1.17379
4005.6000,1.05131
4005.6500,1.03752
4005.7000,1.13559
4005.7500,1.13162
4005.8000,1.03082
4005.8500,1.07672
4005.9000,1.14417
4005.9500,1.08029
4006.0000,1.1223
4006.0500,1.19177
4006.1000,1.08855
4006.1500,1.07655
4006.2000,0.999216
4006.2500,1.02134
4006.3000,1.00698
4006.3500,1.13166
4006.4000,1.0594
4006.4500,1.19476
4006.5000,0.977894
4006.5500,1.14863
4006.6000,1.09842
4006.6500,1.01801
4006.7000,0.994039
4006.7500,1.15554
4006.8000,1.07225
4006.8500,0.858926
4006.9000,1.04185
4006.9500,1.09942
4007.0000,1.05621
4007.0500,1.14192
4007.1000,1.03936
4007.1500,1.19366
4007.2000,1.23869
4007.2500,1.1388
4007.3000,1.04176
4007.3500,0.987545
4007.4000,0.947318
4007.4500,0.958774
4007.5000,0.954629
4007.5500,1.01241
4007.6000,1.00923
4007.6500,1.01912
4007.7000,1.08524
4007.7500,0.994545
4007.8000,0.971262
4007.8500,1.15081
4007.9000,1.08891
4007.9500,1.21416
4008.0000,1.01563
4008.0500,1.0369
4008.1000,0.977476
4008.1500,1.02117
4008.2000,1.06318
4008.2500,1.19519
4008.3000,1.1052
4008.3500,1.03625
4008.4000,1.18785
4008.4500,1.05932
4008.5000,1.1768
4008.5500,1.07198
4008.6000,0.964225
4008.6500,0.985671
4008.7000,1.00651
4008.7500,1.17664
4008.8000,1.06139
4008.8500,1.05638
4008.9000,1.09462
4008.9500,1.05161
4009.0000,1.1785
4009.0500,0.937822
4009.1000,1.03029
4009.1500,1.08579
4009.2000,1.02335
4009.2500,1.04782
4009.3000,1.07456
4009.3500,1.07732
4009.4000,0.975246
4009.4500,0.969475
4009.5000,0.958054
4009.5500,1.07392
4009.6000,1.05427
4009.6500,1.13571
4009.7000,1.02177
4009.7500,1.00399
4009.8000,1.0227
4009.8500,1.21966
4009.9000,1.03973
4009.9500,1.22498
4010.0000,1.12229
4010.0500,1.08026
4010.1000,1.02227
4010.1500,1.19105
4010.2000,1.03588
4010.2500,1.13383
4010.3000,1.10204
4010.3500,1.24239
4010.4000,0.985172
4010.4500,1.01628
4010.5000,1.079
4010.5500,1.06109
4010.6000,1.04975
4010.6500,1.08831
4010.7000,1.06101
4010.7500,1.13168
4010.8000,1.03625
4010.8500,1.11878
4010.9000,0.91523
4010.9500,1.01233
4011.0000,1.2445
4011.0500,1.21677
4011.1000,1.34523
4011.1500,1.23843
4011.2000,1.0859
4011.2500,0.997788
4011.3000,0.983379
4011.3500,1.1068
4011.4000,1.07149
4011.4500,0.930463
4011.5000,1.08144
4011.5500,1.03452
4011.6000,1.03338
4011.6500,1.01449
4011.7000,1.03036
4011.7500,1.00244
4011.8000,1.19747
4011.8500,1.16026
4011.9000,1.05315
4011.9500,1.15137
4012.0000,1.31276
4012.0500,1.00678
4012.1000,1.06818
4012.1500,1.17003
4012.2000,1.04554
4012.2500,1.05164
4012.3000,1.09288
4012.3500,1.23846
4012.4000,1.17818
4012.4500,0.931607
4012.5000,1.03695
4012.5500,1.17959
4012.6000,1.13515
4012.6500,1.18804
4012.7000,1.08013
4012.7500,0.950003
4012.8000,1.1019
4012.8500,1.03362
4012.9000,1.11852
4012.9500,1.21763
4013.0000,1.01305
4013.0500,1.03218
4013.1000,1.10319
4013.1500,1.23623
4013.2000,1.04767
4013.2500,1.03147
4013.3000,0.962848
4013.3500,1.13242
4013.4000,1.01294
4013.4500,1.02604
4013.5000,1.25917
4013.5500,1.09831
4013.6000,0.989448
4013.6500,1.04646
4013.7000,1.11427
4013.7500,1.11346
4013.8000,1.01664
4013.8500,1.16773
4013.9000,1.20615
4013.9500,1.12469
4014.0000,1.01429
4014.0500,0.948355
4014.1000,1.07581
4014.1500,1.06076
4014.2000,1.00331
4014.2500,1.18099
4014.3000,1.18244
4014.3500,1.19169
4014.4000,1.1935
4014.4500,1.21442
4014.5000,1.03972
4014.5500,0.970685
4014.6000,1.01518
4014.6500,1.0269
4014.7000,1.09306
4014.7500,1.18221
4014.8000,1.02955
4014.8500,0.982753
4014.9000,1.12972
4014.9500,0.948126
4015.0000,0.950462
4015.0500,1.01818
4015.1000,1.06711
4015.1500,1.0495
4015.2000,0.963285
4015.2500,1.1306
4015.3000,1.10388
4015.3500,1.07056
4015.4000,1.08659
4015.4500,1.04119
4015.5000,1.04149
4015.5500,1.06098
4015.6000,1.00724
4015.6500,1.02225
4015.7000,0.979349
4015.7500,0.976847
4015.8000,1.09785
4015.8500,1.14242
4015.9000,1.00334
4015.9500,1.03218
4016.0000,1.00733
4016.0500,0.996179
4016.1000,1.03102
4016.1500,1.0423
4016.2000,1.12846
4016.2500,1.04826
4016.3000,1.40564
4016.3500,1.34891
4016.4000,1.08879
4016.4500,1.14315
4016.5000,1.0247
4016.5500,1.03141
4016.6000,1.11103
4016.6500,1.07223
4016.7000,1.00974
4016.7500,1.06852
4016.8000,1.03566
4016.8500,1.08786
4016.9000,1.11662
4016.9500,1.08787
4017.0000,1.07112
4017.0500,1.0916
4017.1000,1.1227
4017.1500,1.09279
4017.2000,1.23145
4017.2500,1.06344
4017.3000,1.01264
4017.3500,1.09193
4017.4000,1.01542
4017.4500,1.12295
4017.5000,0.999838
4017.5500,1.0234
4017.6000,0.964433
4017.6500,1.07951
4017.7000,1.08867
4017.7500,1.08306
4017.8000,1.03829
4017.8500,1.02418
4017.9000,1.12734
4017.9500,1.17253
4018.0000,1.13351
4018.0500,1.03028
4018.1000,0.93956
4018.1500,1.10967
4018.2000,1.06799
4018.2500,1.01101
4018.3000,0.996846
4018.3500,1.09755
4018.4000,1.02629
4018.4500,1.05563
4018.5000,1.01848
4018.5500,1.03385
4018.6000,1.10728
4018.6500,1.0176
4018.7000,1.02262
4018.7500,1.06813
4018.8000,1.02381
4018.8500,1.07138
4018.9000,1.09778
4018.9500,1.11096
4019.0000,1.02236
4019.0500,0.998776
4019.1000,1.06041
4019.1500,1.06488
4019.2000,1.06889
4019.2500,1.09401
4019.3000,1.03569
4019.3500,1.02654
4019.4000,1.03507
4019.4500,1.10608
4019.5000,0.994618
4019.5500,1.06144
4019.6000,1.02848
4019.6500,1.04579
4019.7000,1.10668
4019.7500,1.03145
4019.8000,1.05301
4019.8500,1.06551
4019.9000,1.10793
4019.9500,1.05204
4020.0000,1.04562
4020.0500,1.00886
4020.1000,0.95489
4020.1500,1.0534
4020.2000,1.10172
4020.2500,1.01179
4020.3000,1.00331
4020.3500,1.03316
4020.4000,1.09448
4020.4500,0.935257
4020.5000,0.941259
4020.5500,0.95975
4020.6000,1.18087
4020.6500,0.963532
4020.7000,1.02097
4020.7500,1.02355
4020.8000,1.05922
4020.8500,0.96511
4020.9000,1.00527
4020.9500,1.27534
4021.0000,1.01707
4021.0500,1.11788
4021.1000,0.965509
4021.1500,1.04565
4021.2000,0.985227
4021.2500,1.08733
4021.3000,1.01898
4021.3500,1.1101
4021.4000,1.0777
4021.4500,1.0654
4021.5000,1.10127
4021.5500,0.963356
4021.6000,1.00289
4021.6500,1.07175
4021.7000,1.11963
4021.7500,1.1195
4021.8000,1.13096
4021.8500,1.06229
4021.9000,1.13006
4021.9500,1.09514
4022.0000,1.05662
4022.0500,1.06169
4022.1000,1.125
4022.1500,1.01244
4022.2000,1.0711
4022.2500,1.08088
4022.3000,1.06226
4022.3500,1.07451
4022.4000,0.964747
4022.4500,1.08331
4022.5000,1.1407
4022.5500,1.09408
4022.6000,0.9653
4022.6500,1.01881
4022.7000,1.06291
4022.7500,0.975582
4022.8000,1.10374
4022.8500,0.999984
4022.9000,0.937463
4022.9500,1.0163
4023.0000,0.944003
4023.0500,1.01897
4023.1000,0.996894
4023.1500,0.971755
4023.2000,0.938694
4023.2500,1.07607
4023.3000,1.04887
4023.3500,1.0668
4023.4000,1.03191
4023.4500,1.10222
4023.5000,1.00208
4023.5500,1.01705
4023.6000,0.881937
4023.6500,1.0657
4023.7000,0.972193
4023.7500,0.993178
4023.8000,0.845079
4023.8500,1.00614
4023.9000,0.859914
4023.9500,0.971927
4024.0000,1.00741
4024.0500,0.957198
4024.1000,1.07484
4024.1500,1.0001
4024.2000,0.953783
4024.2500,0.899991
4024.3000,0.981508
4024.3500,0.977966
4024.4000,0.99088
4024.4500,0.916535
4024.5000,0.948035
4024.5500,0.98788
4024.6000,0.905031
4024.6500,1.01022
4024.7000,0.924322
4024.7500,0.984835
4024.8000,0.95558
4024.8500,0.917711
4024.9000,0.88241
4024.9500,0.969096
4025.0000,0.926135
4025.0500,0.857355
4025.1000,0.903795
4025.1500,0.915436
4025.2000,0.903685
4025.2500,0.847224
4025.3000,0.958183
4025.3500,0.867833
4025.4000,0.910529
4025.4500,0.884192
4025.5000,0.989114
4025.5500,0.952171
4025.6000,0.925717
4025.6500,0.920618
4025.7000,0.968832
4025.7500,0.871356
4025.8000,0.861854
4025.8500,0.911162
4025.9000,0.881685
4025.9500,1.0131
4026.0000,0.804678
4026.0500,0.933894
4026.1000,0.963904
4026.1500,0.902213
4026.2000,0.915123
4026.2500,0.983192
4026.3000,0.908698
4026.3500,0.957136
4026.4000,0.876167
4026.4500,0.990967
4026.5000,0.927366
4026.5500,0.937291
4026.6000,0.933222
4026.6500,1.03344
4026.7000,0.958901
4026.7500,0.920993
4026.8000,0.903003
4026.8500,0.898756
4026.9000,0.817381
4026.9500,0.948121
4027.0000,0.875684
4027.0500,0.940832
4027.1000,0.945332
4027.1500,0.975321
4027.2000,0.955488
4027.2500,0.990713
4027.3000,0.877099
4027.3500,0.852293
4027.4000,0.856563
4027.4500,0.924536
4027.5000,0.87073
4027.5500,0.910977
4027.6000,0.899077
4027.6500,0.949239
4027.7000,0.902175
4027.7500,0.940432
4027.8000,0.87144
4027.8500,0.968458
4027.9000,0.895198
4027.9500,0.886037
4028.0000,0.89163
4028.0500,1.00425
4028.1000,1.02859
4028.1500,0.979914
4028.2000,0.923212
4028.2500,1.01445
4028.3000,0.957822
4028.3500,0.972821
4028.4000,0.932469
4028.4500,0.942356
4028.5000,0.9969
4028.5500,0.99844
4028.6000,0.981205
4028.6500,0.96962
4028.7000,1.00243
4028.7500,0.979702
4028.8000,0.958506
4028.8500,0.995201
4028.9000,0.91171
4028.9500,0.979588
4029.0000,0.897874
4029.0500,0.987971
4029.1000,0.967012
4029.1500,1.01763
4029.2000,0.96443
4029.2500,0.982017
4029.3000,1.0122
4029.3500,1.05942
4029.4000,1.02848
4029.4500,1.04413
4029.5000,0.961816
4029.5500,1.06879
4029.6000,1.09065
4029.6500,1.01756
4029.7000,0.982778
4029.7500,1.04136
4029.8000,0.973124
4029.8500,0.952162
4029.9000,0.947822
4029.9500,1.02582
4030.0000,0.965955
4030.0500,0.911203
4030.1000,1.00337
4030.1500,1.01261
4030.2000,1.07141
4030.2500,0.978722
4030.3000,1.12096
4030.3500,1.00125
4030.4000,1.02988
4030.4500,1.03593
4030.5000,0.996057
4030.5500,1.02695
4030.6000,0.997045
4030.6500,1.05682
4030.7000,1.07912
4030.7500,0.979977
4030.8000,1.20415
4030.8500,1.08154
4030.9000,1.10882
4030.9500,0.991983
4031.0000,1.02964
4031.0500,1.05465
4031.1000,1.07808
4031.1500,0.94247
4031.2000,0.984833
4031.2500,1.03677
4031.3000,1.02528
4031.3500,0.924398
4031.4000,1.01656
4031.4500,1.12109
4031.5000,1.00672
4031.5500,0.974075
4031.6000,1.01217
4031.6500,1.07477
4031.7000,1.02019
4031.7500,0.948
4031.8000,0.882654
4031.8500,0.986584
4031.9000,1.02567
4031.9500,0.988554
4032.0000,1.04797
4032.0500,1.00098
4032.1000,1.11167
4032.1500,1.07105
4032.2000,1.10374
4032.2500,1.01473
4032.3000,1.02535
4032.3500,0.981373
4032.4000,0.919217
4032.4500,1.12681
4032.5000,1.082
4032.5500,1.04844
4032.6000,0.946217
4032.6500,1.02026
4032.7000,1.0036
4032.7500,0.996423
4032.8000,1.04843
4032.8500,1.09759
4032.9000,1.07272
4032.9500,1.042
4033.0000,1.01407
4033.0500,1.01565
4033.1000,0.97451
4033.1500,1.08545
4033.2000,1.07426
4033.2500,1.05001
4033.3000,0.945766
4033.3500,0.954987
4033.4000,0.95564
4033.4500,1.02123
4033.5000,1.05554
4033.5500,1.10779
4033.6000,1.02093
4033.6500,0.963889
4033.7000,1.02792
4033.7500,1.06057
4033.8000,1.03119
4033.8500,0.973869
4033.9000,0.891775
4033.9500,1.03474
4034.0000,0.949104
4034.0500,1.00292
4034.1000,1.02664
4034.1500,1.01012
4034.2000,1.00297
4034.2500,1.08007
4034.3000,1.03203
4034.3500,1.05217
4034.4000,1.13274
4034.4500,0.997792
4034.5000,1.04071
4034.5500,1.09359
4034.6000,0.951939
4034.6500,0.989772
4034.7000,0.95985
4034.7500,1.06555
4034.8000,0.993612
4034.8500,0.942391
4034.9000,1.14414
4034.9500,1.02778
4035.0000,1.08535
4035.0500,1.19041
4035.1000,1.07927
4035.1500,1.00274
4035.2000,1.1002
4035.2500,1.06935
4035.3000,1.04584
4035.3500,1.06758
4035.4000,1.00963
4035.4500,0.983621
4035.5000,0.956677
4035.5500,1.02212
4035.6000,0.998045
4035.6500,0.987963
4035.7000,0.922808
4035.7500,0.890781
4035.8000,0.920965
4035.8500,0.941553
4035.9000,0.993665
4035.9500,1.08829
4036.0000,1.07836
4036.0500,1.13655
4036.1000,1.04282
4036.1500,1.00004
4036.2000,0.966268
4036.2500,0.986483
4036.3000,1.04044
4036.3500,0.952123
4036.4000,1.06223
4036.4500,1.05117
4036.5000,0.990068
4036.5500,0.959175
4036.6000,1.03029
4036.6500,1.05343
4036.7000,1.01588
4036.7500,1.03114
4036.8000,1.01813
4036.8500,0.976961
4036.9000,1.02339
4036.9500,1.04826
4037.0000,1.04146
4037.0500,1.04457
4037.1000,1.05744
4037.1500,1.09535
4037.2000,1.08618
4037.2500,1.02033
4037.3000,0.940589
4037.3500,1.05663
4037.4000,1.01854
4037.4500,1.06808
4037.5000,1.05783
4037.5500,1.07976
4037.6000,1.05525
4037.6500,0.87575
4037.7000,1.13524
4037.7500,1.0267
4037.8000,1.01625
4037.8500,0.976435
4037.9000,1.08787
4037.9500,1.01093
4038.0000,1.02593
4038.0500,1.12619
4038.1000,1.03231
4038.1500,1.03962
4038.2000,0.97521
4038.2500,0.984575
4038.3000,1.06187
4038.3500,0.967692
4038.4000,1.03412
4038.4500,0.967552
4038.5000,0.962017
4038.5500,1.11194
4038.6000,1.10037
4038.6500,1.08141
4038.7000,0.906437
4038.7500,0.995316
4038.8000,1.01844
4038.8500,1.01613
4038.9000,0.991543
4038.9500,0.964542
4039.0000,1.01062
4039.0500,1.0022
4039.1000,1.0551
4039.1500,1.21087
4039.2000,1.15261
4039.2500,1.03882
4039.3000,0.991246
4039.3500,0.929161
4039.4000,1.03908
4039.4500,1.09286
4039.5000,0.912269
4039.5500,1.04707
