Longitud_de_onda_A,espectro
4000.0000,0.896407
4000.0500,0.843724
4000.1000,0.841459
4000.1500,0.987335
4000.2000,0.881779
4000.2500,0.70787
4000.3000,0.766613
4000.3500,0.814952
4000.4000,0.677004
4000.4500,0.516586
4000.5000,0.48682
4000.5500,0.667529
4000.6000,0.799171
4000.6500,1.0407
4000.7000,1.21298
4000.7500,1.11948
4000.8000,1.10508
4000.8500,1.06614
4000.9000,0.999641
4000.9500,1.12559
4001.0000,1.05623
4001.0500,0.970447
4001.1000,0.89623
4001.1500,0.878106
4001.2000,0.834425
4001.2500,0.815034
4001.3000,0.899223
4001.3500,0.904162
4001.4000,0.888945
4001.4500,0.865378
4001.5000,0.839201
4001.5500,0.765268
4001.6000,0.683501
4001.6500,0.559742
4001.7000,0.559017
4001.7500,0.662955
4001.8000,0.966097
4001.8500,1.16669
4001.9000,1.15149
4001.9500,1.25844
4002.0000,1.18132
4002.0500,1.14581
4002.1000,1.09446
4002.1500,1.07489
4002.2000,1.1074
4002.2500,1.17807
4002.3000,1.08191
4002.3500,1.11585
4002.4000,0.890813
4002.4500,0.687824
4002.5000,0.675635
4002.5500,0.784152
4002.6000,0.836264
4002.6500,0.876644
4002.7000,0.892664
4002.7500,0.950328
4002.8000,1.04288
4002.8500,0.942973
4002.9000,0.854998
4002.9500,0.760054
4003.0000,0.888107
4003.0500,0.950597
4003.1000,0.925632
4003.1500,0.947548
4003.2000,1.12484
4003.2500,1.20882
4003.3000,1.06624
4003.3500,1.17963
4003.4000,1.2135
4003.4500,1.03499
4003.5000,0.934109
4003.5500,0.972775
4003.6000,0.978306
4003.6500,0.947498
4003.7000,0.808805
4003.7500,0.669573
4003.8000,0.66896
4003.8500,0.716333
4003.9000,0.874388
4003.9500,0.805498
4004.0000,0.663311
4004.0500,0.776764
4004.1000,0.850696
4004.1500,1.01384
4004.2000,0.935588
4004.2500,0.951858
4004.3000,0.9759
4004.3500,0.994982
4004.4000,0.958678
4004.4500,1.11562
4004.5000,1.06916
4004.5500,1.02363
4004.6000,1.01361
4004.6500,0.814851
4004.7000,0.790829
4004.7500,0.71863
4004.8000,0.711961
4004.8500,0.593277
4004.9000,0.514709
4004.9500,0.507647
4005.0000,0.582509
4005.0500,0.51651
4005.1000,0.440087
4005.1500,0.385978
4005.2000,0.276822
4005.2500,0.275241
4005.3000,0.284886
4005.3500,0.359187
4005.4000,0.420642
4005.4500,0.44491
4005.5000,0.48126
4005.5500,0.59102
4005.6000,0.737112
4005.6500,0.648628
4005.7000,0.632035
4005.7500,0.673847
4005.8000,0.802136
4005.8500,0.84185
4005.9000,0.802185
4005.9500,0.727172
4006.0000,0.802176
4006.0500,0.827846
4006.1000,0.958677
4006.1500,0.824037
4006.2000,0.774114
4006.2500,0.800529
