Longitud_de_onda_A,espectro
4000.0000,1.24238
4000.0500,1.23645
4000.1000,0.904974
4000.1500,0.868619
4000.2000,0.699521
4000.2500,1.00312
4000.3000,0.99782
4000.3500,0.626602
4000.4000,0.943254
4000.4500,0.838535
4000.5000,1.28816
4000.5500,0.346767
4000.6000,0.579991
4000.6500,0.839007
4000.7000,1.47696
4000.7500,0.880215
4000.8000,1.29321
4000.8500,0.730408
4000.9000,1.76191
4000.9500,1.56523
4001.0000,0.14487
4001.0500,0.995656
4001.1000,1.46519
4001.1500,1.10864
4001.2000,0.933491
4001.2500,1.28514
4001.3000,1.24549
4001.3500,1.06854
4001.4000,1.30916
4001.4500,1.59671
4001.5000,1.14903
4001.5500,1.42131
4001.6000,0.978407
4001.6500,0.884427
4001.7000,1.09478
4001.7500,1.32516
4001.8000,0.824772
4001.8500,0.780059
4001.9000,0.8699
4001.9500,0.922669
4002.0000,0.607972
4002.0500,0.93607
4002.1000,1.10687
4002.1500,1.15197
4002.2000,0.85442
4002.2500,0.873123
4002.3000,1.64015
4002.3500,1.13696
4002.4000,1.30083
4002.4500,1.07073
4002.5000,1.60301
4002.5500,0.7866
4002.6000,0.958981
4002.6500,1.24207
4002.7000,1.2075
4002.7500,0.797241
4002.8000,0.729914
4002.8500,0.932253
4002.9000,1.08317
4002.9500,0.807584
4003.0000,1.25759
4003.0500,1.56257
4003.1000,0.858476
4003.1500,0.937225
4003.2000,1.46027
4003.2500,1.38324
4003.3000,1.55288
4003.3500,1.21086
4003.4000,1.07451
4003.4500,1.05175
4003.5000,1.37917
4003.5500,1.36938
4003.6000,1.7912
4003.6500,0.978828
4003.7000,1.18407
4003.7500,1.01692
4003.8000,0.941764
4003.8500,1.27638
4003.9000,0.740108
4003.9500,0.579033
4004.0000,0.618717
4004.0500,0.777658
4004.1000,0.922532
4004.1500,0.983158
4004.2000,1.11493
4004.2500,0.962429
4004.3000,1.2828
4004.3500,1.10183
4004.4000,1.10474
4004.4500,1.20978
4004.5000,1.07904
4004.5500,1.42324
4004.6000,0.598174
4004.6500,1.19308
4004.7000,1.29645
4004.7500,1.33983
4004.8000,0.72579
4004.8500,0.923904
4004.9000,1.23395
4004.9500,0.797069
4005.0000,0.411076
4005.0500,0.526077
4005.1000,0.801919
4005.1500,0.733282
4005.2000,0.529095
4005.2500,0.350105
4005.3000,0.149115
4005.3500,0.578842
4005.4000,0.552851
4005.4500,0.600403
4005.5000,0.851779
4005.5500,0.400527
4005.6000,0.178106
4005.6500,0.305134
4005.7000,0.739949
4005.7500,1.26833
4005.8000,0.798869
4005.8500,1.1591
4005.9000,1.09302
4005.9500,1.40025
4006.0000,0.753774
4006.0500,0.817765
4006.1000,0.815547
4006.1500,1.23472
4006.2000,0.427826
4006.2500,1.08056
4006.3000,1.45814
4006.3500,1.16694
4006.4000,1.0042
4006.4500,1.2707
4006.5000,0.927532
4006.5500,1.18416
4006.6000,1.9238
4006.6500,1.06162
4006.7000,1.16587
4006.7500,0.929638
4006.8000,1.56593
4006.8500,0.993517
4006.9000,1.21211
4006.9500,1.03551
4007.0000,1.1133
4007.0500,1.40138
4007.1000,1.2343
4007.1500,0.969608
4007.2000,0.310786
4007.2500,0.976207
4007.3000,0.996069
4007.3500,0.909224
4007.4000,1.00123
4007.4500,1.44829
4007.5000,0.75697
4007.5500,0.933114
4007.6000,1.49655
4007.6500,1.45267
4007.7000,1.49554
4007.7500,1.80539
4007.8000,1.46649
4007.8500,1.92327
4007.9000,3.6352
4007.9500,1.64191
4008.0000,1.25131
4008.0500,1.03117
4008.1000,1.30224
4008.1500,1.00361
4008.2000,0.979039
4008.2500,1.00731
4008.3000,1.15718
4008.3500,1.28453
4008.4000,1.11065
4008.4500,1.50239
4008.5000,0.664492
4008.5500,1.06075
4008.6000,0.865948
4008.6500,1.36996
4008.7000,0.587045
4008.7500,1.09851
4008.8000,1.0767
4008.8500,0.282305
4008.9000,0.763189
4008.9500,0.730498
4009.0000,0.373858
4009.0500,0.490268
4009.1000,0.789415
4009.1500,0.476396
4009.2000,0.740069
4009.2500,1.09618
4009.3000,1.19663
4009.3500,1.22708
4009.4000,1.06181
4009.4500,1.53741
4009.5000,1.33138
4009.5500,1.03301
4009.6000,0.99173
4009.6500,0.888364
4009.7000,0.93467
4009.7500,0.471362
4009.8000,0.120928
4009.8500,0.469417
4009.9000,0.849809
4009.9500,0.645201
4010.0000,0.802525
4010.0500,0.975851
4010.1000,1.26351
4010.1500,1.38793
4010.2000,1.57932
4010.2500,2.09886
4010.3000,1.55894
4010.3500,1.23417
4010.4000,1.33065
4010.4500,0.917852
4010.5000,1.16946
4010.5500,1.26769
4010.6000,0.937971
4010.6500,1.71549
4010.7000,1.21262
4010.7500,1.18051
4010.8000,0.95489
4010.8500,0.942159
4010.9000,3.56458
4010.9500,4.17817
4011.0000,1.31541
4011.0500,0.938209
4011.1000,1.08807
4011.1500,0.87671
4011.2000,0.411871
4011.2500,1.04781
4011.3000,1.01079
4011.3500,1.73095
4011.4000,1.19759
4011.4500,1.10472
4011.5000,1.80075
4011.5500,1.17435
4011.6000,1.14343
4011.6500,0.93753
4011.7000,0.865392
4011.7500,1.69877
4011.8000,1.44504
4011.8500,1.44981
4011.9000,1.1233
4011.9500,1.15243
4012.0000,0.633148
4012.0500,1.35996
4012.1000,1.7581
4012.1500,1.20395
4012.2000,1.85234
4012.2500,2.00546
4012.3000,1.20953
4012.3500,0.945679
4012.4000,0.855219
4012.4500,0.448743
4012.5000,0.400599
4012.5500,1.226
4012.6000,1.11438
4012.6500,0.715686
4012.7000,0.458257
4012.7500,0.680944
4012.8000,0.675474
4012.8500,1.13141
4012.9000,1.03158
4012.9500,1.1117
4013.0000,1.44536
4013.0500,1.20022
4013.1000,1.29975
4013.1500,1.14205
4013.2000,1.62939
4013.2500,1.74694
4013.3000,1.19761
4013.3500,0.767998
4013.4000,0.983371
4013.4500,1.44148
4013.5000,1.48028
4013.5500,1.23551
4013.6000,1.01643
4013.6500,1.57676
4013.7000,0.889168
4013.7500,0.79596
4013.8000,0.707643
4013.8500,1.05047
4013.9000,1.08265
4013.9500,0.937943
4014.0000,0.500477
4014.0500,0.694905
4014.1000,0.88839
4014.1500,1.27818
4014.2000,1.34535
4014.2500,0.854907
4014.3000,1.852
4014.3500,1.90125
4014.4000,1.57111
4014.4500,1.06582
4014.5000,1.21581
4014.5500,1.32873
4014.6000,0.8567
4014.6500,1.33216
4014.7000,0.902951
4014.7500,0.541922
4014.8000,0.90259
4014.8500,0.989985
4014.9000,1.31278
4014.9500,1.18193
4015.0000,1.24937
4015.0500,1.34702
4015.1000,1.78389
4015.1500,1.19956
4015.2000,1.56574
4015.2500,1.47077
4015.3000,1.37757
4015.3500,1.19211
4015.4000,1.05451
4015.4500,1.06426
4015.5000,1.29252
4015.5500,0.645128
4015.6000,1.22451
4015.6500,0.988131
4015.7000,1.4077
4015.7500,1.12194
4015.8000,0.907254
4015.8500,0.782756
4015.9000,1.25578
4015.9500,1.82367
4016.0000,1.60013
4016.0500,1.44475
4016.1000,1.11349
4016.1500,1.87316
4016.2000,1.67984
4016.2500,1.10801
4016.3000,1.5371
4016.3500,0.83023
4016.4000,1.10387
4016.4500,0.980621
4016.5000,1.3516
4016.5500,1.21604
4016.6000,1.25825
4016.6500,1.84262
4016.7000,1.08377
4016.7500,1.02134
4016.8000,1.18467
4016.8500,1.57692
4016.9000,1.05578
4016.9500,1.21535
4017.0000,1.13227
4017.0500,0.85083
4017.1000,0.766823
4017.1500,0.409787
4017.2000,0.751672
4017.2500,1.14671
4017.3000,1.01286
4017.3500,1.48712
4017.4000,1.13056
4017.4500,1.14696
4017.5000,1.51277
4017.5500,0.798964
4017.6000,0.772516
4017.6500,0.747269
4017.7000,0.734492
4017.7500,0.76691
4017.8000,0.426972
4017.8500,0.319538
4017.9000,0.708493
4017.9500,1.42561
4018.0000,0.509345
4018.0500,0.76521
4018.1000,0.662129
4018.1500,0.686277
4018.2000,0.859556
4018.2500,0.588898
4018.3000,0.23134
4018.3500,0.639107
4018.4000,0.657316
4018.4500,0.716846
4018.5000,0.870084
4018.5500,1.25723
4018.6000,1.07636
4018.6500,1.15329
4018.7000,1.0991
4018.7500,1.34513
4018.8000,1.26099
4018.8500,0.962231
4018.9000,0.979084
4018.9500,0.994677
4019.0000,1.6285
4019.0500,0.704737
4019.1000,0.962234
4019.1500,1.20987
4019.2000,0.932167
4019.2500,0.958416
4019.3000,0.704416
4019.3500,0.411006
4019.4000,0.395974
4019.4500,1.05787
4019.5000,0.870491
4019.5500,0.885843
4019.6000,1.32014
4019.6500,1.46215
4019.7000,1.24955
4019.7500,0.98915
4019.8000,1.13642
4019.8500,1.41492
4019.9000,1.15622
4019.9500,0.979089
4020.0000,1.68316
4020.0500,1.19485
4020.1000,1.18883
4020.1500,1.25294
4020.2000,0.794184
4020.2500,0.757004
4020.3000,0.286894
4020.3500,0.697873
4020.4000,0.138255
4020.4500,0.511024
4020.5000,0.658236
4020.5500,0.0626258
4020.6000,0.579154
4020.6500,0.696003
4020.7000,0.71561
4020.7500,1.13432
4020.8000,1.14999
4020.8500,0.649105
4020.9000,0.879501
4020.9500,0.743393
4021.0000,0.916416
4021.0500,0.305741
4021.1000,0.731653
4021.1500,0.412087
4021.2000,0.877241
4021.2500,1.074
4021.3000,1.01028
4021.3500,0.658829
4021.4000,0.571717
4021.4500,1.20481
4021.5000,1.24958
4021.5500,1.05562
4021.6000,0.754892
4021.6500,0.934701
4021.7000,0.66968
4021.7500,0.710577
4021.8000,0.63969
4021.8500,0.781731
4021.9000,0.70507
4021.9500,0.890081
4022.0000,8.23505
4022.0500,3.10496
4022.1000,1.85426
4022.1500,0.812434
4022.2000,0.67242
4022.2500,1.03533
4022.3000,1.0172
4022.3500,1.08757
4022.4000,1.11708
4022.4500,1.43222
4022.5000,1.0263
4022.5500,0.849503
4022.6000,1.04359
4022.6500,1.29432
4022.7000,1.19545
4022.7500,0.989602
4022.8000,0.752508
4022.8500,0.766063
4022.9000,1.34417
4022.9500,0.996898
4023.0000,0.911747
4023.0500,0.962153
4023.1000,0.751605
4023.1500,0.948473
4023.2000,0.888617
4023.2500,0.54127
4023.3000,0.661487
4023.3500,1.08558
4023.4000,1.1563
4023.4500,1.0032
4023.5000,1.06717
4023.5500,0.537154
4023.6000,1.01192
4023.6500,0.730659
4023.7000,0.727512
4023.7500,0.748895
4023.8000,0.649094
4023.8500,0.591542
4023.9000,0.68393
4023.9500,0.933281
4024.0000,0.812625
4024.0500,0.739109
4024.1000,0.820335
4024.1500,1.25646
4024.2000,0.981592
4024.2500,0.754518
4024.3000,0.918313
4024.3500,0.987958
4024.4000,0.508482
4024.4500,0.684648
4024.5000,0.67302
4024.5500,0.66174
4024.6000,0.663848
4024.6500,0.494938
4024.7000,0.168845
4024.7500,0.11297
4024.8000,0.632373
4024.8500,0.528028
4024.9000,0.407987
4024.9500,0.553815
4025.0000,0.603755
4025.0500,0.847244
4025.1000,0.754246
4025.1500,0.915053
4025.2000,0.320051
4025.2500,0.704204
4025.3000,0.60555
4025.3500,0.758298
4025.4000,0.752687
4025.4500,1.15089
4025.5000,0.749513
4025.5500,1.38712
4025.6000,1.46414
4025.6500,1.50327
4025.7000,1.21236
4025.7500,1.6517
4025.8000,0.804642
4025.8500,1.48935
4025.9000,1.11805
4025.9500,1.00038
4026.0000,1.0758
4026.0500,0.922029
4026.1000,1.31456
4026.1500,1.10053
4026.2000,0.93661
4026.2500,0.845606
4026.3000,0.966603
4026.3500,0.723602
4026.4000,0.829069
4026.4500,0.774472
4026.5000,0.982964
4026.5500,0.907112
4026.6000,0.592235
4026.6500,0.766087
4026.7000,0.919451
4026.7500,1.14863
4026.8000,0.872422
4026.8500,0.506722
4026.9000,1.11761
4026.9500,1.54061
4027.0000,0.908156
4027.0500,0.730761
4027.1000,0.710286
4027.1500,0.863467
4027.2000,0.405706
4027.2500,0.340469
4027.3000,0.758917
4027.3500,1.06343
4027.4000,1.38787
4027.4500,1.37058
4027.5000,1.19542
4027.5500,0.698938
4027.6000,1.26177
4027.6500,1.05798
4027.7000,0.541994
4027.7500,1.14982
4027.8000,1.2275
4027.8500,1.07276
4027.9000,1.1984
4027.9500,1.32015
4028.0000,1.22316
4028.0500,0.998211
4028.1000,0.706754
4028.1500,1.09143
4028.2000,1.10568
4028.2500,0.927482
4028.3000,0.951427
4028.3500,1.1344
4028.4000,1.28515
4028.4500,0.489161
4028.5000,1.02954
4028.5500,1.10862
4028.6000,1.0359
4028.6500,0.933483
4028.7000,0.964424
4028.7500,0.959967
4028.8000,0.999601
4028.8500,1.12737
4028.9000,0.983802
4028.9500,1.17768
4029.0000,0.977113
4029.0500,0.690344
4029.1000,0.937543
4029.1500,0.895708
4029.2000,1.05289
4029.2500,1.03746
4029.3000,1.22938
4029.3500,1.2629
4029.4000,1.03382
4029.4500,1.40841
4029.5000,0.963123
